Effect,Desc,Effect,Effect,Effect,Effect,Effect,Effect,,
92,hockey_flag_wrapped_blue,90,0,0,0,0,0,,
93,hockey_flag01_blue,91,0,0,0,0,0,,
94,hockey_fieldmarker,92,0,0,0,0,0,,
95,hockey_flag_wrapped_yellow,93,0,0,0,0,0,,
96,hockey_flag01_yellow,94,0,0,0,0,0,,
97,hockey_flag_wrapped_brown,95,0,0,0,0,0,,
98,hockey_flag01_brown,96,0,0,0,0,0,,
99,hockey_flag_wrapped_green,97,0,0,0,0,0,,
100,hockey_flag01_green,98,0,0,0,0,0,,
101,hockey_flag_wrapped_red,99,0,0,0,0,0,,
102,hockey_flag01_red,100,0,0,0,0,0,,
103,Flame,101,0,0,0,0,0,,
104,Buzzing flies,102,0,0,0,0,0,,
105,Buzzing flies,103,0,0,0,0,0,,
106,Mid Electric Hit,104,0,0,0,0,0,,
107,guild_banner_alb_effect,105,0,0,0,0,0,,
108,guild_banner_mid_effect,106,0,0,0,0,0,,
109,guild_banner_hib_effect,107,0,0,0,0,0,,
110,Poison Elemental,108,0,0,0,0,0,,
111,Pulsating Darkness,109,0,0,0,0,0,,
112,guild_banner_alb_effect,110,0,0,0,0,0,,
113,guild_banner_mid_effect,111,0,0,0,0,0,,
114,guild_banner_hib_effect,112,0,0,0,0,0,,
115,nightmare mount,118,127,128,129,130,0,,
116,King Lugs Aura,117,0,0,0,0,0,,
117,undead mount,119,102,0,0,0,0,,
118,earth horse,120,0,0,0,0,0,,
119,molochs eye for moloch,121,0,0,0,0,0,,
120,molochs eye for monster,122,0,0,0,0,0,,
121,frost horse,123,0,0,0,0,0,,
122,unicorn horn effect,124,0,0,0,0,0,,
123,fire horse,113,114,115,116,126,0,,
124,storm horse,125,0,0,0,0,0,,
125,regular unicorn effect,131,0,0,0,0,0,,
126,Heretic Focus(don't remove) ,78,0,0,0,0,0,,
127,Admorenth,132,0,0,0,0,0,,
128,New Placeable Portal,133,0,0,0,0,0,,
129,Magic Fire,134,0,0,0,0,0,,
130,Silver Construct Death,136,0,0,0,0,0,,
131,Monster Portal Effect,137,0,0,0,0,0,,
132,Relic Health Amulet,138,149,0,0,0,0,,
133,Relic Earth Runestone,139,149,0,0,0,0,,
134,Relic Earth Razestone,140,167,0,0,0,0,,
135,Relic Death Skull,141,166,0,0,0,0,,
136,Relic Death Mask,142,166,0,0,0,0,,
137,Relic Death Blade,143,149,0,0,0,0,,
138,Relic Artisan Shield,144,167,0,0,0,0,,
139,Relic Artisan Gear,145,166,0,0,0,0,,
140,Relic Unity Staff,146,167,0,0,0,0,,
141,Relic Unity Scroll,147,149,0,0,0,0,,
142,Relic Health Brazier,148,167,0,0,0,0,,
143,Relic Forge Flame,150,149,0,0,0,0,,
144,Relic Ruler Bracer,151,149,0,0,0,0,,
145,Relic Storm Orrery,152,166,0,0,0,0,,
146,Relic Storm Palantir,153,166,0,0,0,0,,
147,Relic Forge Anvil,154,167,0,0,0,0,,
148,Relic Cow Bell,155,149,0,0,0,0,,
149,Black Wind w/ MinoSkull,156,0,0,0,0,0,,
150,Relic Ruler Wreath,157,167,0,0,0,0,,
151,Relic Battle Trident,158,149,0,0,0,0,,
152,Relic Battle Statue,159,167,0,0,0,0,,
153,Relic Ruler Statue,160,166,0,0,0,0,,
154,Relic Warhorn,161,166,0,0,0,0,,
155,Red Labyrinth Fire,162,0,0,0,0,0,,
156,Ambient Moths,163,0,0,0,0,0,,
157,Ambient Butterflies,164,0,0,0,0,0,,
158,Black Wind w/ Scary Face,165,0,0,0,0,0,,
159,Red Relic Light Beam,166,0,0,0,0,0,,
160,White Relic Light Beam,149,0,0,0,0,0,,
161,Gold Relic Light Beam,167,0,0,0,0,0,,
162,Purple Labyrinth Fire,168,0,0,0,0,0,,
163,Relic Lock Effect,169,0,0,0,0,0,,
164,Rolling Boulder,170,0,0,0,0,0,,
175,Copper Construct Death,171,0,0,0,0,0,,
176,Red Rising Rings 3,175,178,0,0,0,0,,
177,Blue Rising Rings 3,176,180,0,0,0,0,,
178,Green Rising Rings 3,177,179,0,0,0,0,,
179,Albion Maelstrom,181,184,0,0,0,0,,
180,Midgard Maelstrom,182,184,0,0,0,0,,
181,Hibernian Maelstrom,183,184,0,0,0,0,,
182,Exploding Glimmer Knight,185,0,0,0,0,0,,
183,Placeable Fire Prop 1,186,0,0,0,0,0,,
184,Hibernian Dragon Effect Monster,187,0,0,0,0,0,,
185,Black Smoke Effect Prop,188,0,0,0,0,0,,
186,Lore Quest Indicator,189,0,0,0,0,0,,
187,Lesson Quest Indicator,190,0,0,0,0,0,,
188,Quest Completer,191,0,0,0,0,0,,
189,Quest Pending Indicator,192,0,0,0,0,0,,
190,Blue Relic Light Beam,193,0,0,0,0,0,,
191,Green Relic Light Beam,194,0,0,0,0,0,,
192,Bonedancer totem yellow,195,196,0,0,0,0,,
193,Bonedancer totem purple,195,197,0,0,0,0,,
194,Bonedancer totem blue,195,198,0,0,0,0,,
195,Warlord Siege Ward Alb,199,54,0,0,0,0,,
196,Warlord Siege Ward Mid,199,55,0,0,0,0,,
197,Warlord Siege Ward Hib,199,56,0,0,0,0,,
