Information,,Skin,Multi,Archive,Expansion,Material,Material,Material
392,Crude Leather,b_lea0_body1f.tga,0,1,0,0,,
393,Crude Leather,b_lea0_arm1.tga,0,1,0,0,,
394,Crude Leather,b_lea0_glov1.tga,0,1,0,0,,
395,Crude Leather,b_lea0_lbody1.tga,0,1,0,0,,
396,Crude Leather,b_lea0_leg1.tga,0,1,0,0,,
397,Crude Leather,b_lea0_boot1.tga,0,1,0,0,,
398,Heavy Studded,b_std3_body1m.tga,0,1,0,0,,
399,Heavy Studded,b_std3_body1f.tga,0,1,0,0,,
400,Heavy Studded,b_std3_arm1.tga,0,1,0,0,,
401,Heavy Studded,b_std3_glov1.tga,0,1,0,0,,
402,Heavy Studded,b_std3_lbody1.tga,0,1,0,0,,
403,Heavy Studded,b_std3_leg1.tga,0,1,0,0,,
404,Heavy Studded,b_std3_boot1.tga,0,1,0,0,,
433,Special Leather,b_lea0_body1m.tga,0,1,0,0,,
434,Special Leather,b_lea0_body1f.tga,0,1,0,0,,
435,Special Leather,b_lea0_arm1.tga,0,1,0,0,,
436,Special Leather,b_lea0_glov1.tga,0,1,0,0,,
437,Special Leather,b_lea0_lbody1.tga,0,1,0,0,,
438,Special Leather,b_lea0_leg1.tga,0,1,0,0,,
439,Special Leather,b_lea0_boot1.tga,0,1,0,0,,
440,New Chain 2,b_chn2_body1m.tga,0,1,0,0,,
441,New Chain 2,b_chn2_body1f.tga,0,1,0,0,,
442,New Chain 2,b_chn2_arm1.tga,0,1,0,0,,
443,New Chain 2,b_chn2_glov1.tga,0,1,0,0,,
444,New Chain 2,b_chn2_lbody1.tga,0,1,0,0,,
445,New Chain 2,b_chn2_leg1.tga,0,1,0,0,,
446,New Chain 2,b_chn2_boot1.tga,0,1,0,0,,
447,New Chain 3,b_chn2_body1m.tga,0,1,0,0,,
448,New Chain 3,b_chn2_body1f.tga,0,1,0,0,,
449,New Chain 3,b_chn2_arm1.tga,0,1,0,0,,
450,New Chain 3,b_chn2_glov1.tga,0,1,0,0,,
451,New Chain 3,b_chn2_lbody1.tga,0,1,0,0,,
452,New Chain 3,b_chn2_leg1.tga,0,1,0,0,,
453,New Chain 3,b_chn2_boot1.tga,0,1,0,0,,
454,New Chain 4,b_chn2_body1m.tga,0,1,0,0,,
455,New Chain 4,b_chn2_body1f.tga,0,1,0,0,,
456,New Chain 4,b_chn2_arm1.tga,0,1,0,0,,
457,New Chain 4,b_chn2_glov1.tga,0,1,0,0,,
458,New Chain 4,b_chn2_lbody1.tga,0,1,0,0,,
459,New Chain 4,b_chn2_leg1.tga,0,1,0,0,,
460,New Chain 4,b_chn2_boot1.tga,0,1,0,0,,
461,Special Chain,b_chn2_body1m.tga,0,1,0,0,,
462,Special Chain,b_chn2_body1f.tga,0,1,0,0,,
463,Special Chain,b_chn2_arm1.tga,0,1,0,0,,
464,Special Chain,b_chn2_glov1.tga,0,1,0,0,,
465,Special Chain,b_chn2_lbody1.tga,0,1,0,0,,
466,Special Chain,b_chn2_leg1.tga,0,1,0,0,,
467,Special Chain,b_chn2_boot1.tga,0,1,0,0,,
468,New Plate 3,b_plt1_body1m.tga,0,1,0,0,,
469,New Plate 3,b_plt1_body1f.tga,0,1,0,0,,
470,New Plate 3,b_plt1_arm1.tga,0,1,0,0,,
471,New Plate 3,b_plt1_glov1.tga,0,1,0,0,,
472,New Plate 3,b_plt1_lbody1.tga,0,1,0,0,,
473,New Plate 3,b_plt1_leg1.tga,0,1,0,0,,
474,New Plate 3,b_plt1_boot1.tga,0,1,0,0,,
475,New Plate 4,b_plt1_body1m.tga,0,1,0,0,,
476,New Plate 4,b_plt1_body1f.tga,0,1,0,0,,
477,New Plate 4,b_plt1_arm1.tga,0,1,0,0,,
478,New Plate 4,b_plt1_glov1.tga,0,1,0,0,,
479,New Plate 4,b_plt1_lbody1.tga,0,1,0,0,,
480,New Plate 4,b_plt1_leg1.tga,0,1,0,0,,
481,New Plate 4,b_plt1_boot1.tga,0,1,0,0,,
482,Special Plate,b_plt1_body1m.tga,0,1,0,0,,
483,Special Plate,b_plt1_body1f.tga,0,1,0,0,,
484,Special Plate,b_plt1_arm1.tga,0,1,0,0,,
485,Special Plate,b_plt1_glov1.tga,0,1,0,0,,
486,Special Plate,b_plt1_lbody1.tga,0,1,0,0,,
487,Special Plate,b_plt1_leg1.tga,0,1,0,0,,
488,Special Plate,b_plt1_boot1.tga,0,1,0,0,,
489,New Studded 4,b_std2_body1m.tga,0,1,0,0,,
490,New Studded 4,b_std2_body1f.tga,0,1,0,0,,
491,New Studded 4,b_std2_arm1.tga,0,1,0,0,,
492,New Studded 4,b_std2_glov1.tga,0,1,0,0,,
493,New Studded 4,b_std2_lbody1.tga,0,1,0,0,,
494,New Studded 4,b_std2_leg1.tga,0,1,0,0,,
495,New Studded 4,b_std2_boot1.tga,0,1,0,0,,
496,Special Studded,b_std3_body1m.tga,0,1,0,0,,
497,Special Studded,b_std3_body1f.tga,0,1,0,0,,
498,Special Studded,b_std3_arm1.tga,0,1,0,0,,
499,Special Studded,b_std3_glov1.tga,0,1,0,0,,
500,Special Studded,b_std3_lbody1.tga,0,1,0,0,,
501,Special Studded,b_std3_leg1.tga,0,1,0,0,,
502,Special Studded,b_std3_boot1.tga,0,1,0,0,,
503,Norse Studded,n_std0_body1m.tga,0,1,0,0,,
504,Norse Studded,n_std0_body1f.tga,0,1,0,0,,
505,Norse Studded,n_std0_arm1.tga,0,1,0,0,,
506,Norse Studded,n_std0_glov1.tga,0,1,0,0,,
507,Norse Studded,n_std0_lbody1.tga,0,1,0,0,,
508,Norse Studded,n_std0_leg1.tga,0,1,0,0,,
509,Norse Studded,n_std0_boot1.tga,0,1,0,0,,
510,Norse Chain,n_chn0_body1m.tga,0,1,0,0,,
511,Norse Chain,b_chn1_body1f.tga,0,1,0,0,,
512,Norse Chain,n_chn0_arm1.tga,0,1,0,0,,
513,Norse Chain,n_chn0_glov1.tga,0,1,0,0,,
514,Norse Chain,n_chn0_lbody1.tga,0,1,0,0,,
515,Norse Chain,n_chn0_leg1.tga,0,1,0,0,,
516,Norse Chain,n_chn0_boot1.tga,0,1,0,0,,
517,Norse Leather,n_lea0_body1m.tga,0,1,0,0,,
518,Norse Leather,n_lea0_body1f.tga,0,1,0,0,,
519,Norse Leather,n_lea0_arm1.tga,0,1,0,0,,
520,Norse Leather,n_lea0_glov1.tga,0,1,0,0,,
521,Norse Leather,n_lea0_lbody1.tga,0,1,0,0,,
522,Norse Leather,n_lea0_leg1.tga,0,1,0,0,,
523,Norse Leather,n_lea0_boot1.tga,0,1,0,0,,
524,Norse Cloth,n_cth1_body1F.tga,0,1,0,0,,
525,Norse Cloth,n_cth1_body1M.tga,0,1,0,0,,
526,Norse Cloth,n_cth1_boot1.tga,0,1,0,0,,
527,Norse Cloth,n_cth1_glov1.tga,0,1,0,0,,
528,Norse Cloth,n_cth1_Lbody1.tga,0,1,0,0,,
529,Norse Cloth,n_cth1_leg1.tga,0,1,0,0,,
530,Norse Cloth,n_cth1_arm1.tga,0,1,0,0,,
531,Norse Studded 2,n_std2_body1m.tga,0,1,0,0,,
532,Norse Studded 2,n_std2_body1f.tga,0,1,0,0,,
533,Norse Studded 2,n_std2_arm1.tga,0,1,0,0,,
534,Norse Studded 2,n_std2_glov1.tga,0,1,0,0,,
535,Norse Studded 2,n_std2_lbody1.tga,0,1,0,0,,
536,Norse Studded 2,n_std2_leg1.tga,0,1,0,0,,
537,Norse Studded 2,n_std2_boot1.tga,0,1,0,0,,
538,Norse Chain 2,n_chn1_body1m.tga,0,1,0,0,,
539,Norse Chain 2,n_chn1_body1f.tga,0,1,0,0,,
540,Norse Chain 2,n_chn1_arm1.tga,0,1,0,0,,
541,Norse Chain 2,n_chn1_glov1.tga,0,1,0,0,,
542,Norse Chain 2,n_chn1_lbody1.tga,0,1,0,0,,
543,Norse Chain 2,n_chn1_leg1.tga,0,1,0,0,,
544,Norse Chain 2,n_chn1_boot1.tga,0,1,0,0,,
545,Norse Leather 2,n_lea1_body1m.tga,0,1,0,0,,
546,Norse Leather 2,n_lea1_body1f.tga,0,1,0,0,,
547,Norse Leather 2,n_lea1_arm1.tga,0,1,0,0,,
548,Norse Leather 2,n_lea1_glov1.tga,0,1,0,0,,
549,Norse Leather 2,n_lea1_lbody1.tga,0,8,0,0,,
550,Norse Leather 2,n_lea1_leg1.tga,0,1,0,0,,
551,Norse Leather 2,n_lea1_boot1.tga,0,1,0,0,,
552,Norse Cloth 2,n_cth2_body1F.tga,0,3,0,0,,
553,Norse Cloth 2,n_cth2_body1M.tga,0,3,0,0,,
554,Norse Cloth 2,n_cth2_boot1.tga,0,3,0,0,,
555,Norse Cloth 2,n_cth2_glov1.tga,0,3,0,0,,
556,Norse Cloth 2,n_cth2_Lbody1.tga,0,3,0,0,,
557,Norse Cloth 2,n_cth2_leg1.tga,0,3,0,0,,
558,Norse Cloth 2,n_cth2_arm1.tga,0,3,0,0,,
559,Norse Studded 3,n_std3_body1m.tga,0,1,0,0,,
560,Norse Studded 3,n_std3_body1f.tga,0,1,0,0,,
561,Norse Studded 3,n_std3_arm1.tga,0,1,0,0,,
562,Norse Studded 3,n_std3_glov1.tga,0,1,0,0,,
563,Norse Studded 3,n_std3_lbody1.tga,0,1,0,0,,
564,Norse Studded 3,n_std3_leg1.tga,0,1,0,0,,
565,Norse Studded 3,n_std3_boot1.tga,0,1,0,0,,
566,Norse Chain 3,n_chn2_body1m.tga,0,1,0,0,,
567,Norse Chain 3,b_chn2_body1f.tga,0,1,0,0,,
568,Norse Chain 3,n_chn2_arm1.tga,0,1,0,0,,
569,Norse Chain 3,n_chn2_glov1.tga,0,1,0,0,,
570,Norse Chain 3,n_chn2_lbody1.tga,0,1,0,0,,
571,Norse Chain 3,n_chn2_leg1.tga,0,1,0,0,,
572,Norse Chain 3,n_chn2_boot1.tga,0,1,0,0,,
573,Norse Leather 3,n_lea2_body1m.tga,0,1,0,0,,
574,Norse Leather 3,n_lea2_body1f.tga,0,1,0,0,,
575,Norse Leather 3,n_lea2_arm1.tga,0,1,0,0,,
576,Norse Leather 3,n_lea2_glov1.tga,0,1,0,0,,
577,Norse Leather 3,n_lea2_lbody1.tga,0,1,0,0,,
578,Norse Leather 3,n_lea2_leg1.tga,0,1,0,0,,
579,Norse Leather 3,n_lea2_boot1.tga,0,1,0,0,,
580,Norse Cloth 3,n_cth1_body1F.tga,0,1,0,0,,
581,Norse Cloth 3,n_cth1_body1M.tga,0,1,0,0,,
582,Norse Cloth 3,n_cth1_boot1.tga,0,1,0,0,,
583,Norse Cloth 3,n_cth1_glov1.tga,0,1,0,0,,
584,Norse Cloth 3,n_cth1_Lbody1.tga,0,1,0,0,,
585,Norse Cloth 3,n_cth1_leg1.tga,0,1,0,0,,
586,Norse Cloth 3,n_cth1_arm1.tga,0,1,0,0,,
587,Norse Special Studded,n_std3_body1m.tga,0,1,0,0,,
588,Norse Special Studded,n_std3_body1f.tga,0,1,0,0,,
589,Norse Special Studded,n_std3_arm1.tga,0,1,0,0,,
590,Norse Special Studded,n_std3_glov1.tga,0,1,0,0,,
591,Norse Special Studded,n_std3_lbody1.tga,0,1,0,0,,
592,Norse Special Studded,n_std3_leg1.tga,0,1,0,0,,
593,Norse Special Studded,n_std3_boot1.tga,0,1,0,0,,
594,Norse Special Chain,n_chn2_body1m.tga,0,1,0,0,,
595,Norse Special Chain,b_chn2_body1f.tga,0,1,0,0,,
596,Norse Special Chain,n_chn2_arm1.tga,0,1,0,0,,
597,Norse Special Chain,n_chn2_glov1.tga,0,1,0,0,,
598,Norse Special Chain,n_chn2_lbody1.tga,0,1,0,0,,
599,Norse Special Chain,n_chn2_leg1.tga,0,1,0,0,,
600,Norse Special Chain,n_chn2_boot1.tga,0,1,0,0,,
601,Norse Special Leather,n_lea3_body1m.tga,0,1,0,0,,
602,Norse Special Leather,n_lea3_body1f.tga,0,1,0,0,,
603,Norse Special Leather,n_lea3_arm1.tga,0,1,0,0,,
604,Norse Special Leather,n_lea3_glov1.tga,0,1,0,0,,
605,Norse Special Leather,n_lea3_lbody1.tga,0,1,0,0,,
606,Norse Special Leather,n_lea3_leg1.tga,0,1,0,0,,
607,Norse Special Leather,n_lea3_boot1.tga,0,1,0,0,,
608,Norse Special Cloth,n_cth1_body1F.tga,0,1,0,0,,
609,Norse Special Cloth,n_cth1_body1M.tga,0,1,0,0,,
610,Norse Special Cloth,n_cth1_boot1.tga,0,1,0,0,,
611,Norse Special Cloth,n_cth1_glov1.tga,0,1,0,0,,
612,Norse Special Cloth,n_cth1_Lbody1.tga,0,1,0,0,,
613,Norse Special Cloth,n_cth1_leg1.tga,0,1,0,0,,
614,Norse Special Cloth,n_cth1_arm1.tga,0,1,0,0,,
615,Norse Helm Texture,N_helm.tga,0,7,0,0,,
618,Norse Cloak Texture,t_cloak.tga,0,1,0,0,,
619,Celtic Special Cloth,h_cth1_body1F.tga,0,1,0,0,,
620,Celtic Special Cloth,h_cth1_body1M.tga,0,1,0,0,,
621,Celtic Special Cloth,h_cth1_arm1.tga,0,1,0,0,,
622,Celtic Special Cloth,h_cth1_glov1.tga,0,1,0,0,,
623,Celtic Special Cloth,h_cth1_Lbody1.tga,0,1,0,0,,
624,Celtic Special Cloth,h_cth1_leg1.tga,0,1,0,0,,
625,Celtic Special Cloth,h_cth1_boot1.tga,0,1,0,0,,
626,Celtic Special Reinforced,h_ren1_body1m.tga,0,1,0,0,,
627,Celtic Special Reinforced,h_ren1_body1f.tga,0,1,0,0,,
628,Celtic Special Reinforced,h_ren1_arm1.tga,0,1,0,0,,
629,Celtic Special Reinforced,h_ren1_glov1.tga,0,1,0,0,,
630,Celtic Special Reinforced,h_ren1_lbody1.tga,0,1,0,0,,
631,Celtic Special Reinforced,h_ren1_leg1.tga,0,1,0,0,,
632,Celtic Special Reinforced,h_ren1_boot1.tga,0,1,0,0,,
633,Celtic Special Scaled,h_scl1_body1m.tga,0,1,0,0,,
634,Celtic Special Scaled,h_scl1_body1f.tga,0,1,0,0,,
635,Celtic Special Scaled,h_scl1_arm1.tga,0,1,0,0,,
636,Celtic Special Scaled,h_scl1_glov1.tga,0,1,0,0,,
637,Celtic Special Scaled,h_scl1_lbody1.tga,0,1,0,0,,
638,Celtic Special Scaled,h_scl1_leg1.tga,0,1,0,0,,
639,Celtic Special Scaled,h_scl1_boot1.tga,0,1,0,0,,
640,Celtic Special Leather,h_lea1_body1m.tga,0,1,0,0,,
641,Celtic Special Leather,h_lea1_body1f.tga,0,1,0,0,,
642,Celtic Special Leather,h_lea1_arm1.tga,0,1,0,0,,
643,Celtic Special Leather,h_lea1_glov1.tga,0,1,0,0,,
644,Celtic Special Leather,h_lea1_lbody1.tga,0,1,0,0,,
645,Celtic Special Leather,h_lea1_leg1.tga,0,1,0,0,,
646,Celtic Special Leather,h_lea1_boot1.tga,0,1,0,0,,
647,Celtic Worn Cloth,h_cth1_body1F.tga,0,1,0,0,,
648,Celtic Worn Cloth,h_cth1_body1M.tga,0,1,0,0,,
649,Celtic Worn Cloth,h_cth1_arm1.tga,0,1,0,0,,
650,Celtic Worn Cloth,h_cth1_glov1.tga,0,1,0,0,,
651,Celtic Worn Cloth,h_cth1_Lbody1.tga,0,1,0,0,,
652,Celtic Worn Cloth,h_cth1_leg1.tga,0,1,0,0,,
653,Celtic Worn Cloth,h_cth1_boot1.tga,0,1,0,0,,
654,Celtic Worn Reinforced,h_ren1_body1m.tga,0,1,0,0,,
655,Celtic Worn Reinforced,h_ren1_body1f.tga,0,1,0,0,,
656,Celtic Worn Reinforced,h_ren1_arm1.tga,0,1,0,0,,
657,Celtic Worn Reinforced,h_ren1_glov1.tga,0,1,0,0,,
658,Celtic Worn Reinforced,h_ren1_lbody1.tga,0,1,0,0,,
659,Celtic Worn Reinforced,h_ren1_leg1.tga,0,1,0,0,,
660,Celtic Worn Reinforced,h_ren1_boot1.tga,0,1,0,0,,
661,Celtic Worn Scaled,h_scl1_body1m.tga,0,1,0,0,,
662,Celtic Worn Scaled,h_scl1_body1f.tga,0,1,0,0,,
663,Celtic Worn Scaled,h_scl1_arm1.tga,0,1,0,0,,
664,Celtic Worn Scaled,h_scl1_glov1.tga,0,1,0,0,,
665,Celtic Worn Scaled,h_scl1_lbody1.tga,0,1,0,0,,
666,Celtic Worn Scaled,h_scl1_leg1.tga,0,1,0,0,,
667,Celtic Worn Scaled,h_scl1_boot1.tga,0,1,0,0,,
668,Celtic Worn Leather,h_lea0_body1m.tga,0,1,0,0,,
669,Celtic Worn Leather,h_lea0_body1f.tga,0,1,0,0,,
670,Celtic Worn Leather,h_lea0_arm1.tga,0,1,0,0,,
671,Celtic Worn Leather,h_lea0_glov1.tga,0,1,0,0,,
672,Celtic Worn Leather,h_lea0_lbody1.tga,0,1,0,0,,
673,Celtic Worn Leather,h_lea0_leg1.tga,0,1,0,0,,
674,Celtic Worn Leather,h_lea0_boot1.tga,0,1,0,0,,
675,Celtic Cloth 1,h_cth1_body1F.tga,0,1,0,0,,
676,Celtic Cloth 1,h_cth1_body1M.tga,0,1,0,0,,
677,Celtic Cloth 1,h_cth1_arm1.tga,0,1,0,0,,
678,Celtic Cloth 1,h_cth1_glov1.tga,0,1,0,0,,
679,Celtic Cloth 1,h_cth1_Lbody1.tga,0,1,0,0,,
680,Celtic Cloth 1,h_cth1_leg1.tga,0,1,0,0,,
681,Celtic Cloth 1,h_cth1_boot1.tga,0,1,0,0,,
682,Celtic Reinforced 1,h_ren1_body1m.tga,0,1,0,0,,
683,Celtic Reinforced 1,h_ren1_body1f.tga,0,1,0,0,,
684,Celtic Reinforced 1,h_ren1_arm1.tga,0,1,0,0,,
685,Celtic Reinforced 1,h_ren1_glov1.tga,0,1,0,0,,
686,Celtic Reinforced 1,h_ren1_lbody1.tga,0,1,0,0,,
687,Celtic Reinforced 1,h_ren1_leg1.tga,0,1,0,0,,
688,Celtic Reinforced 1,h_ren1_boot1.tga,0,1,0,0,,
689,Celtic Scaled 1,h_scl1_body1m.tga,0,1,0,0,,
690,Celtic Scaled 1,h_scl1_body1f.tga,0,1,0,0,,
691,Celtic Scaled 1,h_scl1_arm1.tga,0,1,0,0,,
692,Celtic Scaled 1,h_scl1_glov1.tga,0,1,0,0,,
693,Celtic Scaled 1,h_scl1_lbody1.tga,0,1,0,0,,
694,Celtic Scaled 1,h_scl1_leg1.tga,0,1,0,0,,
695,Celtic Scaled 1,h_scl1_boot1.tga,0,1,0,0,,
696,Celtic Leather 1,h_lea1_body1m.tga,0,1,0,0,,
697,Celtic Leather 1,h_lea1_body1f.tga,0,1,0,0,,
698,Celtic Leather 1,h_lea1_arm1.tga,0,1,0,0,,
699,Celtic Leather 1,h_lea1_glov1.tga,0,1,0,0,,
700,Celtic Leather 1,h_lea1_lbody1.tga,0,1,0,0,,
701,Celtic Leather 1,h_lea1_leg1.tga,0,1,0,0,,
702,Celtic Leather 1,h_lea1_boot1.tga,0,1,0,0,,
703,Celtic Cloth 2,h_cth1_body1F.tga,0,1,0,0,,
704,Celtic Cloth 2,h_cth1_body1M.tga,0,1,0,0,,
710,Celtic Reinforced 2,h_ren2_body1m.tga,0,1,0,0,,
711,Celtic Reinforced 2,h_ren2_body1f.tga,0,1,0,0,,
712,Celtic Reinforced 2,h_ren2_arm1.tga,0,1,0,0,,
713,Celtic Reinforced 2,h_ren2_glov1.tga,0,1,0,0,,
714,Celtic Reinforced 2,h_ren2_lbody1.tga,0,1,0,0,,
715,Celtic Reinforced 2,h_ren2_leg1.tga,0,1,0,0,,
716,Celtic Reinforced 2,h_ren2_boot1.tga,0,1,0,0,,
717,Celtic Scaled 2,h_scl2_body1m.tga,0,1,0,0,,
718,Celtic Scaled 2,h_scl2_body1f.tga,0,1,0,0,,
719,Celtic Scaled 2,h_scl2_arm1.tga,0,1,0,0,,
720,Celtic Scaled 2,h_scl2_glov1.tga,0,1,0,0,,
721,Celtic Scaled 2,h_scl2_lbody1.tga,0,1,0,0,,
722,Celtic Scaled 2,h_scl2_leg1.tga,0,1,0,0,,
723,Celtic Scaled 2,h_scl2_boot1.tga,0,1,0,0,,
724,Celtic Leather 2,h_lea2_body1m.tga,0,1,0,0,,
725,Celtic Leather 2,h_lea2_body1f.tga,0,1,0,0,,
726,Celtic Leather 2,h_lea2_arm1.tga,0,1,0,0,,
727,Celtic Leather 2,h_lea2_glov1.tga,0,1,0,0,,
728,Celtic Leather 2,h_lea2_lbody1.tga,0,1,0,0,,
729,Celtic Leather 2,h_lea2_leg1.tga,0,1,0,0,,
730,Celtic Leather 2,h_lea2_boot1.tga,0,1,0,0,,
738,Celtic Reinforced 3,h_ren3_body1m.tga,0,1,0,0,,
739,Celtic Reinforced 3,h_ren3_body1f.tga,0,1,0,0,,
740,Celtic Reinforced 3,h_ren3_arm1.tga,0,1,0,0,,
741,Celtic Reinforced 3,h_ren3_glov1.tga,0,1,0,0,,
742,Celtic Reinforced 3,h_ren3_lbody1.tga,0,1,0,0,,
743,Celtic Reinforced 3,h_ren3_leg1.tga,0,1,0,0,,
744,Celtic Reinforced 3,h_ren3_boot1.tga,0,1,0,0,,
745,Celtic Scaled 3,h_scl3_body1m.tga,0,1,0,0,,
746,Celtic Scaled 3,h_scl3_body1f.tga,0,1,0,0,,
747,Celtic Scaled 3,h_scl3_arm1.tga,0,1,0,0,,
748,Celtic Scaled 3,h_scl3_glov1.tga,0,1,0,0,,
749,Celtic Scaled 3,h_scl3_lbody1.tga,0,1,0,0,,
750,Celtic Scaled 3,h_scl3_leg1.tga,0,1,0,0,,
751,Celtic Scaled 3,h_scl3_boot1.tga,0,1,0,0,,
752,Celtic Leather 3,h_lea3_body1m.tga,0,1,0,0,,
753,Celtic Leather 3,h_lea3_body1f.tga,0,1,0,0,,
754,Celtic Leather 3,h_lea3_arm1.tga,0,1,0,0,,
755,Celtic Leather 3,h_lea3_glov1.tga,0,1,0,0,,
