Anim,,,,,base, ,,,Blend ,No ,No,,Flex,Swim,Horse,Horse Sock
41,clap,em_clap.kfa,17,15,15,clamp,0,0,0,0,0,0,0,2212,3368,
42,cry,em_cry.kfa,24,15,15,clamp,0,0,0,0,0,0,0,1739,3249,
43,curtsey,em_curtsey.kfa,35,15,15,clamp,0,0,0,0,0,0,0,1739,3249,
44,big flex,em_dblflex.kfa,35,15,15,clamp,0,0,0,0,0,0,0,2213,3249,
45,blow kiss,em_kiss.kfa,30,15,15,clamp,0,0,0,0,0,0,0,2215,3249,
46,dance,em_rvrdance.kfa,40,15,15,clamp,0,0,0,0,0,0,0,1739,3249,
47,small flex,em_flex.kfa,18,15,15,clamp,0,0,0,0,0,0,0,2214,3249,
48,laugh,em_laugh.kfa,24,15,15,clamp,0,0,0,0,0,0,0,1739,3371,
49,point,em_point.kfa,16,15,15,clamp,0,0,0,0,0,0,0,2217,3249,
50,salute,em_salute.kfa,14,15,15,clamp,0,0,0,0,0,0,0,1739,3413,
51,bang on shield,em_shieldbang.kfa,20,15,15,clamp,0,0,0,0,0,0,0,1739,3249,
52,victory,em_victory.kfa,20,15,15,clamp,0,0,0,0,0,0,0,2211,3415,
53,wave,em_wavelong.kfa,19,15,15,clamp,0,0,0,0,0,0,0,2218,3438,
54,Spear Combat style 3(Not used),a_h_1sp_cs003.kfa,23,15,15,clamp,466,0,0,0,0,0,0,,,
55,Spear combat style 4(Not used),a_h_1sp_cs004.kfa,19,15,15,clamp,333,0,0,0,0,0,0,,,
56,Polearm style 4,a_h_w2s_cs01_04.kfa,15,15,15,clamp,400,0,0,0,0,0,0,1736,3357,
57,Polearm style 5,a_h_w2s_cs01_05.kfa,23,15,15,clamp,466,0,0,0,0,0,0,1737,3357,
58,Staff Style 5,a_h_w2st_cs05.kfa,19,15,15,clamp,300,0,0,0,0,0,0,1759,3365,
59,Dwarf Male 2H combat idle,ci_hd_n2s.kfa,30,15,15,loop,0,0,0,0,0,0,0,1664,3249,
60,Falling,ju_h_c.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
61,werewolf howl idle anim,ww_idle-howl.kfa,23,5,15,loop,0,0,0,0,0,0,0,,,
62,ettin swim,ettin_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,,,
63,giant swim,giant_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,,,
64,lizard swim,lizard_swim.kfa,15,15,15,loop,0,0,0,0,0,0,0,,,
65,roman dead swim,rd_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,,,
66,skeleton swim,skel_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,,,
67,vendo swim,ven_swim.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
68,werewofl swim,ww_swim.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
69,zombie swim,zombie_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,,,
70,Arachite swim,sect_swim.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
71,horse attack high,hrs_atthi.kfa,17,15,15,clamp,0,0,0,0,1,0,0,,,
72,horse attack low,hrs_attlo.kfa,11,15,15,clamp,0,0,0,0,1,0,0,,,
73,horse combat idle,hrs_cidle.kfa,35,15,15,loop,0,0,0,0,1,0,0,,,
74,horse death,hrs_death.kfa,10,15,15,clamp,0,0,0,0,1,0,0,,,
75,horse flinch,hrs_flinch.kfa,8,15,15,clamp,0,0,0,0,1,0,0,,,
76,horse idle,hrs_idle.kfa,16,5,15,loop,0,0,0,0,1,0,0,,,
77,horse run,hrs_gllp.kfa,8,15,15,loop,0,0,0,0,1,0,0,,,
78,horse walk,hrs_walk.kfa,16,15,15,loop,0,0,0,0,1,0,0,,,
79,scrag attack high,scrag_athi.kfa,15,15,15,clamp,0,0,0,0,0,0,0,2180,3249,
80,scrag attack low,scrag_atlo.kfa,17,15,15,clamp,0,0,0,0,0,0,0,2180,3249,
81,scrag combat idle,scrag_cidle.kfa,30,15,15,loop,0,0,0,0,0,0,0,2181,3249,
82,scrag death,scrag_death.kfa,13,15,15,clamp,0,0,0,0,0,0,0,2182,3249,
83,scrag flinch,scrag_flinch.kfa,10,15,15,clamp,0,0,0,0,0,0,0,2183,3249,
84,scrag idle,scrag_idle.kfa,20,15,15,loop,0,0,0,0,0,0,0,2184,3249,
85,scrag run,scrag_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,2184,3249,
86,scrag spell a,scrag_sp_a.kfa,15,15,15,clamp,0,0,0,0,0,0,0,2180,3249,
87,scrag spell b,scrag_sp_b.kfa,10,15,15,loop,0,0,0,0,0,0,0,2180,3249,
88,scrag spellc,scrag_sp_c.kfa,23,15,15,clamp,0,0,0,0,0,0,0,2180,3249,
89,scrag walk,scrag_walk.kfa,20,15,15,loop,0,0,0,0,0,0,0,2184,3249,
90,scrag swim,scrag_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,2184,3249,
91,Human Shout,a_h_shout.kfa,19,15,15,clamp,0,0,0,0,0,0,0,,,
93,Human throwing a,a_h_1th_1.kfa,37,15,15,clamp,0,0,0,0,0,0,0,1621,3363,
94,Human throwing b,a_h_1th_2.kfa,7,15,15,loop,0,0,0,0,0,0,0,1622,3362,
95,Human throwing c,a_h_1th_3.kfa,13,15,15,clamp,0,0,0,0,0,0,0,1623,3361,
96,Skeleton Walk,skel_walk.kfa,18,15,15,loop,0,0,0,0,0,0,0,,,
97,Skeleton Run,skel_run.kfa,15,15,15,loop,0,0,0,0,0,0,0,,,
98,Skeleton Attack,skel_attack.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
99,Skeleton Bow A,skel_bow_a.kfa,37,15,15,clamp,0,0,0,0,0,0,0,,,
100,Skeleton Bow Idle,skel_bow_b.kfa,7,15,15,loop,0,0,0,0,0,0,0,,,
101,Skeleton Bow Fire,skel_bow_c.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
102,Skeleton Cast a,skel_cast_a.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
103,Skeleton cast b,skel_cast_b.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
104,Skeleton cast c,skel_cast_c.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
105,skeleton combat idle,skel_cidle.kfa,15,15,15,loop,0,0,0,0,0,0,0,,,
106,skeleton death,skel_death.kfa,14,15,15,clamp,0,0,0,0,0,0,0,,,
107,skeleton flinch,skel_flinch.kfa,12,15,15,clamp,0,0,0,0,0,0,0,,,
108,skeleton idle,skel_idle.kfa,15,10,15,loop,0,0,0,0,0,0,0,,,
112,Human spear attack high,a_h_1sp_high.kfa,19,15,15,clamp,0,0,0,0,0,0,0,,,
113,Human spear attack med,a_h_1sp_med.kfa,8,15,15,clamp,0,0,0,0,0,0,0,,,
114,Human spear attack low,a_h_1sp_low.kfa,11,15,15,clamp,0,0,0,0,0,0,0,,,
115,Human spear flinch,cf_h_1sp_high.kfa,12,15,15,clamp,0,0,0,0,0,0,0,,,
116,Human spear flinch low,cf_h_1sp_low.kfa,12,15,15,clamp,0,0,0,0,0,0,0,,,
117,Human Spear combat idle,ci_h_1sp.kfa,30,15,15,loop,0,0,0,0,0,0,0,1656,3357,
118,Human spear style 01,a_h_1sp_cs002.kfa,14,15,15,clamp,0,0,0,0,0,0,0,,,
119,Human spear style 02,a_h_1sp_cs001.kfa,18,15,15,clamp,0,0,0,0,0,0,0,,,
120,cockatrice attack high,cocka_athi.kfa,16,15,15,clamp,0,0,0,0,0,0,0,,,
121,cockatrice attack low,cocka_atlo.kfa,16,15,15,clamp,0,0,0,0,0,0,0,,,
122,cockatrice combat idle,cocka_cidle.kfa,16,10,15,loop,0,0,0,0,0,0,0,,,
123,cockatrice death,cocka_death.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
124,cockatrice flinch,cocka_fli.kfa,8,15,15,loop,0,0,0,0,0,0,0,,,
125,cockatrice idle,cocka_idle.kfa,20,15,15,loop,0,0,0,0,0,0,0,,,
126,cockatrice run,cocka_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
127,cockatrice walk,cocka_walk.kfa,20,15,15,loop,0,0,0,0,0,0,0,,,
128,Human Shield combat style 1,a_h_1shld_cs01_01.kfa,15,15,15,clamp,0,0,0,0,0,0,0,1710,3249,
130,Goblin 2 idle,gob2_idle.kfa,60,7,15,loop,0,0,0,0,0,0,0,140,,
131,Goblin 2 combat idle,gob2_cidle.kfa,16,15,15,loop,0,0,0,0,0,0,0,140,,
132,Goblin 2 Run,gob2_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,140,,
133,Goblin 2 Walk,gob2_walk.kfa,16,15,15,loop,0,0,0,0,0,0,0,140,,
134,Goblin 2 attack high,gob2_ahigh.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
135,Goblin 2 attack low,gob2_alow.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
136,Goblin 2 flinch,gob2_hits.kfa,10,15,15,clamp,0,0,0,0,0,0,0,140,,
137,Goblin 2 spell 1,gob2_sp_a.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
138,Goblin 2 spell 2,gob2_sp_b.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
139,Goblin 2 spell 3,gob2_sp_c.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
140,Goblin 2 Swim,gob2_swim.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
141,Goblin 2 alternate idle 1,gob2_idle1.kfa,20,7,15,loop,0,0,0,0,0,0,0,140,,
142,Goblin 2 alternate idle 2,gob2_idle2.kfa,40,7,15,loop,0,0,0,0,0,0,0,140,,
143,Goblin 2 alternate idle 3 (funny),gob2_idle3.kfa,20,15,15,loop,0,0,0,0,0,0,0,140,,
144,Goblin 2 death,gob2_deth.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
145,Staff Style 1,a_h_w2st_cs01.kfa,25,15,15,clamp,0,0,0,0,0,0,0,1763,3365,
146,Staff Style2,a_h_w2st_cs02.kfa,19,15,15,clamp,0,0,0,0,0,0,0,1762,3365,
147,Staff Style 3,a_h_w2st_cs03.kfa,25,15,15,clamp,0,0,0,0,0,0,0,1761,3365,
148,Staff Style 4,a_h_w2st_cs04.kfa,23,15,15,clamp,0,0,0,0,0,0,0,1760,3365,
149,vendo walk,ven_walk.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
150,vendo run,ven_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
151,vendo combat idle,ven_cidle.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
152,vendo attack high,ven_ahigh.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
153,vendo attack med,ven_amed.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
154,vendo attack low,ven_alow.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
155,vendo flinch,ven_flinch.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
156,vendo swim,ven_swim.kfa,22,15,15,loop,0,0,0,0,0,0,0,,,
157,vendo death,ven_death.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
158,vendo spell cast a,ven_spella.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
159,vendo spellcast b,ven_spellb.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
160,vendo spellcast c,ven_spellc.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
161,vendo idle,ven_idle.kfa,30,4,15,loop,0,0,0,0,0,0,0,,,
162,werewolf walk,ww_walk.kfa,20,15,15,loop,0,0,0,0,0,0,0,1847,3249,
163,werewolf run,ww_run.kfa,10,15,15,loop,0,0,0,0,0,0,0,1847,3249,
164,werewolf idle,ww_idle.kfa,30,5,15,loop,0,0,0,0,0,0,0,1739,3249,
165,werewolf combat idle,ww_cidle.kfa,14,15,15,loop,0,0,0,0,0,0,0,1654,3249,
166,werewolf attack high,ww_ahigh.kfa,13,15,15,clamp,0,0,0,0,0,0,0,1613,3249,
167,werewolf attack medium with weapon,ww_amedw.kfa,10,15,15,clamp,0,0,0,0,0,0,0,1616,3249,
168,werewolf attack low,ww_alow.kfa,10,15,15,clamp,0,0,0,0,0,0,0,1613,3249,
169,werewolf attack low with weapon,ww_aloww.kfa,10,15,15,clamp,0,0,0,0,0,0,0,1616,3249,
170,werewolf flinch,ww_flinch.kfa,10,15,15,clamp,0,0,0,0,0,0,0,1653,3249,
171,werewolf swim,ww_swim.kfa,22,15,15,loop,0,0,0,0,0,0,0,1847,3249,
172,werewolf death,ww_death.kfa,14,15,15,clamp,0,0,0,0,0,0,0,1669,3249,
173,werewolf spell a,ww_spella.kfa,15,15,15,clamp,0,0,0,0,0,0,0,1757,3249,
174,werewolff spell b,ww_spellb.kfa,10,15,15,loop,0,0,0,0,0,0,0,1802,3249,
175,werewolf spell c,ww_spellc.kfa,23,15,15,clamp,0,0,0,0,0,0,0,1748,3249,
176,Lurikeen female idle,I_lf.kfa,30,5,15,loop,0,0,0,0,0,0,0,1739,3418,
177,lurikeen male idle,I_lm.kfa,30,5,15,loop,0,0,0,0,0,0,0,1739,3418,
178,lurikeen female run,r_lf.kfa,12,15,15,loop,0,0,0,0,0,0,0,1847,3248,
179,lurikeen male run,r_lm.kfa,12,15,15,loop,0,0,0,0,0,0,0,1847,3248,
180,lurikeen female walk,w_lf.kfa,15,15,15,loop,0,0,0,0,0,0,0,1847,3247,
181,lurikeen male walk,w_lm.kfa,22,15,15,loop,0,0,0,0,0,0,0,1847,3247,
182,Firbolg female idle,I_ff.kfa,30,5,15,loop,0,0,0,0,0,0,0,1739,3418,
183,Ettin Attack High,ettin_ahigh.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
184,Ettin attack medium,ettin_amed.kfa,12,15,15,clamp,0,0,0,0,0,0,0,,,
185,Ettin Death,ettin_death.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
186,Ettin Hits,ettin_hits.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
187,Ettin Idle,ettin_idle.kfa,50,5,15,loop,0,0,0,0,0,0,0,,,
188,Ettin Run,ettin_run.kfa,14,15,15,loop,0,0,0,0,0,0,0,,,
189,Ettin spellcast a,ettin_spellcast_a.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
190,Ettin spellcast b,ettin_spellcast_b.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
191,Ettin spellcast c,ettin_spellcast_c.kfa,23,15,15,clamp,600,0,0,0,0,0,0,,,
192,Ettin Walk,ettin_run.kfa,28,15,15,loop,300,0,0,0,0,0,0,,,
193,Ettin combat idle,ettin_cidle.kfa,15,15,15,loop,300,0,0,0,0,0,0,,,
194,1h Crush Style 4,a_h_1c_cs01_04.kfa,23,15,15,clamp,0,0,0,0,0,0,0,1693,3364,
195,1h Slash style 5,a_h_1s_cs01_05.kfa,16,15,15,clamp,0,0,0,0,0,0,0,1706,3364,
196,1H crush style 5,a_h_1c_cs01_05.kfa,17,15,15,clamp,0,0,0,0,0,0,0,1694,3364,
197,1H slash style 6,a_h_1s_cs01_06.kfa,16,15,15,clamp,250,0,0,0,0,0,0,1707,3364,
198,1H Thrust style 4,a_h_1t_cs01_04.kfa,29,15,15,clamp,500,0,0,0,0,0,0,1714,3364,
199,1H thrust style 5,a_h_1t_cs01_05.kfa,26,15,15,clamp,400,0,0,0,0,0,0,1715,3364,
200,Brownie Walk,brown_walk.kfa,20,15,15,loop,400,0,0,0,0,0,0,,,
201,Brownie Idle,brown_idle.kfa,6,6,15,loop,0,0,0,0,0,0,0,,,
202,Brownie Attack,brown_attack.kfa,11,15,15,clamp,0,0,0,0,0,0,0,,,
203,Brownie Swim,brown_swim.kfa,28,15,15,loop,0,0,0,0,0,0,0,,,
204,Brownie Die,brown_die.kfa,9,15,15,clamp,0,0,0,0,0,0,0,,,
205,Brownie Flinch,brown_flinch.kfa,9,15,15,clamp,466,0,0,0,0,0,0,,,
206,Brownie Sum,brown_sum.kfa,15,15,15,clamp,466,0,0,0,0,0,0,,,
207,Brownie Gat,brown_gat.kfa,7,15,15,loop,0,0,0,0,0,0,0,,,
208,Brownie Cst,brown_cst.kfa,15,15,15,loop,0,0,0,0,0,0,0,,,
212,Roman Dead Walk,rd_walk.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
213,Roman Dead idle,RD_idle.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
214,Roman Dead Cidle,RD_cidle.kfa,30,15,15,loop,0,0,0,0,0,0,0,1654,3249,
216,Human Crossbow,a_h_2cb_3.kfa,13,15,15,clamp,0,0,0,0,0,0,0,1629,3358,
217,Human Lute Spell,SP_H_Lute_A.kfa,15,15,15,clamp,400,0,0,0,0,0,0,,,
218,Human Lute Spell,SP_H_Lute_B.kfa,10,15,15,loop,470,0,0,0,0,0,0,,,
219,Human Lute Spell,SP_H_Lute_C.kfa,23,15,15,clamp,304,0,0,0,0,0,0,,,
220,Human Drum Spell,SP_H_drum_A.kfa,15,15,15,clamp,0,0,0,0,0,0,0,,,
221,Human drum Spell,SP_H_drum_B.kfa,10,15,15,loop,0,0,0,0,0,0,0,,,
222,Human Drum Spell,SP_H_drum_C.kfa,23,15,15,clamp,0,0,0,0,0,0,0,,,
223,Roman Dead attack,RD_attack.kfa,12,15,15,clamp,400,0,0,0,0,0,0,,,
224,Roman Dead death,RD_death.kfa,14,15,15,clamp,333,0,0,0,0,0,0,1617,3249,
225,Roman Dead flinch,RD_flinch.kfa,12,15,15,clamp,466,0,0,0,0,0,0,1653,3249,
231,Roman Dead run,R_hm.kfa,15,15,15,loop,0,0,0,0,0,0,0,,,
233,Human Attack,a_h_1s_high_d.kfa,17,12,15,clamp,0,0,0,0,0,0,0,1614,3364,
236,Kobold Male Idle,I_km.kfa,25,2,15,loop,0,0,0,0,0,0,0,,,
240,Wolf Idle,wlf_idle.kfa,48,12,15,loop,0,0,0,0,1,0,0,3626,,
241,Wolf Trot,wlf_walk.kfa,10,15,15,loop,0,0,0,0,1,0,0,3626,,
242,Wolf Gallop/run,wlf_gllp.kfa,10,15,15,loop,0,0,0,0,1,0,0,3626,,
243,Wolf Walk,wlf_walk.kfa,54,15,15,loop,0,0,0,0,1,0,0,3626,,
244,Wolf Death,wlf_deth.kfa,13,15,15,clamp,0,0,0,0,1,0,0,,,
245,Wolf Attack Hi,wlf_alo.kfa,20,15,15,clamp,0,0,0,0,1,0,0,,,
246,Wolf Attack Lo,wlf_alo.kfa,20,15,15,clamp,0,0,0,0,1,0,0,,,
247,Wolf Flinch,wlf_hits.kfa,12,15,15,clamp,0,0,0,0,1,0,0,,,
248,Wolf Combat Idle,wlf_grwl.kfa,16,15,15,loop,0,0,0,0,1,0,0,3626,,
250,Goblin Idle,gob_idle.kfa,60,6,15,loop,0,0,0,0,0,0,0,,,
251,Goblin Walk,gob_walk.kfa,20,15,15,loop,0,0,0,0,0,0,0,,,
252,Goblin Run,gob_run.kfa,11,15,15,loop,0,0,0,0,0,0,0,,,
253,Goblin Attack Hi,gob_alo.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
254,Goblin Death,gob_deth.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
255,Goblin Combat Idle,gob_idla.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
256,Goblin Combat Flinch,gob_hits.kfa,10,15,15,clamp,0,0,0,0,0,0,0,,,
260,Spider Idle,spider_idle.kfa,30,3,15,loop,0,0,0,0,0,0,0,,,
261,Spider Walk,spider_walk.kfa,15,30,30,loop,0,0,0,0,0,0,0,,,
262,Spider Run,spider_run.kfa,15,30,30,loop,0,0,0,0,0,0,0,,,
263,Spider Attack Hi,spider_attack.kfa,17,15,15,clamp,0,0,0,0,0,0,0,,,
264,Spider Death,spider_death.kfa,20,15,15,clamp,0,0,0,0,0,0,0,,,
265,Spider Combat Idle,spider_cidle.kfa,30,15,15,loop,0,0,0,0,0,0,0,,,
266,Spider Combat Flinch,spider_flinch.kfa,10,15,15,clamp,466,0,0,0,0,0,0,,,
270,Bear Idle,bear_idle.kfa,50,15,15,loop,333,0,0,0,1,0,0,3627,,
271,Bear Walk,bear_walk.kfa,64,15,15,loop,533,0,0,0,1,0,0,3627,,
272,Bear Run,bear_run.kfa,12,15,15,loop,333,0,0,0,1,0,0,3627,,
273,Bear Death,bear_death.kfa,19,15,15,clamp,1000,0,0,0,1,0,0, ,,
274,Bear Attack Hi,bear_attack.kfa,10,15,15,clamp,0,0,0,0,1,0,0,,,
275,Bear Attack Lo,bear_attack.kfa,10,15,15,clamp,0,0,0,0,1,0,0,,,
276,Bear Flinch,bear_flinch.kfa,10,15,15,clamp,0,0,0,0,1,0,0,,,
277,Bear Combat Idle,bear_cidle.kfa,30,15,15,loop,0,0,0,0,1,0,0,3627,,
280,Tree Idle,tree_idle.kfa,30,15,15,loop,0,0,0,0,0,0,0,2208,3249,
281,Tree Walk,tree_walk.kfa,15,15,15,loop,0,0,0,0,0,0,0,2209,3247,
282,2H style 05,a_h_n2_cs01_05.kfa,24,15,15,clamp,0,0,0,0,0,0,0,1731,3249,
283,Tree Death,Tree_death.kfa,31,15,15,clamp,0,0,0,0,0,0,0,2206,3249,
284,Tree Attack Hi,tree_attack1.kfa,10,15,15,clamp,0,0,0,0,0,0,0,2204,3364,
285,Tree Attack Lo,tree_attack2.kfa,16,15,15,clamp,0,0,0,0,0,0,0,2204,3364,
286,Tree Flinch,tree_flinch.kfa,10,15,15,clamp,0,0,0,0,0,0,0,2207,3249,
287,tree idle,tree_cidle.kfa,16,15,15,loop,0,0,0,0,0,0,0,2208,3249,
288,Roman dead bow,Rd_bow_a.kfa,37,15,15,clamp,0,0,0,0,0,0,0,,,
289,Roman dead bow,Rd_bow_b.kfa,7,15,15,loop,0,0,0,0,0,0,0,,,
290,Lion Idle,lion_idle.kfa,48,8,15,loop,0,0,0,0,1,0,0,3625,,
291,Lion Walk,lion_walk.kfa,60,15,15,loop,0,0,0,0,1,0,0,3625,,
292,Lion Run,lion_run.kfa,10,15,15,loop,0,0,0,0,1,0,0,3625,,
293,Lion Death,lion_death.kfa,21,15,15,clamp,0,0,0,0,1,0,0,,,
294,Lion Attack Hi,lion_attack.kfa,22,15,15,clamp,0,0,0,0,1,0,0,,,
295,Lion Attack Lo,lion_attack.kfa,22,15,15,clamp,0,0,0,0,1,0,0,,,
296,Lion Flinch,lion_flinch.kfa,12,15,15,clamp,0,0,0,0,1,0,0,,,
297,Lion Combat Idle,lion_cidle.kfa,22,15,15,loop,0,0,0,0,1,0,0,3625,,
298,Roman dead bow,Rd_bow_c.kfa,13,15,15,clamp,0,0,0,0,0,0,0,,,
299,Roman dead Cbow,Rd_cbow_a.kfa,37,15,15,clamp,0,0,0,0,0,0,0,,,
300,Lizard Idle,lizard_idle.kfa,16,3,15,loop,0,0,0,0,1,0,0,,,
301,Lizard Walk,lizard_walk.kfa,16,15,15,loop,0,0,0,0,1,0,0,,,
302,Lizard Run,lizard_run.kfa,12,15,15,loop,0,0,0,0,1,0,0,,,
303,Lizard Death,lizard_death.kfa,24,15,15,clamp,0,0,0,0,1,0,0,,,
304,Lizard Attack Hi,lizard_attack.kfa,16,15,15,clamp,0,0,0,0,1,0,0,,,
305,Lizard Attack Lo,lizard_attack.kfa,16,15,15,clamp,0,0,0,0,1,0,0,,,
306,Lizard Flinch,lizard_flinch.kfa,12,15,15,clamp,0,0,0,0,1,0,0,,,
307,Lizard Combat Idle,lizard_cidle.kfa,16,15,15,loop,0,0,0,0,1,0,0,,,
308,zombie Idle,zombie_idle.kfa,30,15,15,loop,0,0,0,0,0,0,0,1739,3249,
309,zombie combat Idle,zombie_cidle.kfa,30,15,15,loop,0,0,0,0,0,0,0,1654,3249,
