2500 Limit,,NIF,,Expansion,[0] Flex,[1] Flex,[2] Flex,[3] Flex,[4] Flex,[5] Flex,[6] Flex,[7] Flex,[8] Flex,[9] Flex,Back,Housing,Frontiers,New,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata,Cata %,Helm
190,briton lochabar axe,b_po_lochaberaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
191,briton bill,b_po_bill01,0,0,,,,,,,,,,,,,,,,,,,,,
192,briton lucerne hammer,b_po_lucernehammer01,0,0,,,,,,,,,,,,,,,,,,,,,
193,briton halberd,b_po_halbard01,0,0,,,,,,,,,,,,,,,,,,,,,
194,briton longbow,b_bo_longbow01,0,0,,,,,,,,,,,,,,,,,,,,,
195,briton shortbow,b_bo_shortbow01,0,0,,,,,,,,,,,,,,,,,,,,,
196,briton greatbow,b_bo_greatbow01,0,0,,,,,,,,,,,,,,,,,,,,,
197,briton staff,b_st_staff01,0,0,,,,,,,,,,,,,,,,,,,,,
198,briton quarterstaff,b_st_quarterstaff01,0,0,,,,,,,,,,,,,,,,,,,,,
199,briton shod quarterstaff,b_st_shodstaff01,0,0,,,,,,,,,,,,,,,,,,,,,
200,briton focus staff,b_st_focussstaff01,0,0,,,,,,,,,,,,,,,,,,,,,
201,Norse 1H axe,n_1h_handaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
202,VFX_helmet_NULL-SharM,VFX_helmet_NULL-SharM,0,4,,,,,,,,,,,,,,,,,,,1,,
203,norse gravestone,n_gravestone,0,0,,,,,,,,,,,,,,,,,,,,,
204,hiberninan gravestone,h_gravestone,0,0,,,,,,,,,,,,,,,,,,,,,
205,Norse throwing dagger,n_1h_dagger01,0,0,,,,,,,,,,,,,,,,,,,,,
206,Albion Relic Staff,r_bstaff,0,0,,,,,,,,,,,,,,,,,,,,,
207,Albion Relic Scabbard,r_bscabbard,0,0,,,,,,,,,,,,,,,,,,,,,
208,Hiberniean Relic Cauldron,r_hcauldron,0,0,,,,,,,,,,,,,,,,,,,,,
209,Hibernian Relic Spear,r_hspear,0,0,,,,,,,,,,,,,,,,,,,,,
210,Norse Relic Hammer,r_nhammer,0,0,,,,,,,,,,,,,,,,,,,,,
211,Norse Relic Horn,r_nhorn,0,0,,,,,,,,,,,,,,,,,,,,,
212,Hibernia great falcata,h_2h_greatfalcata01,0,0,,,,,,,,,,,-10,,,,,,,,,,
213,hibernia sledgehammer,h_2h_sledgehammer01,0,0,,,,,,,,,,,-10,,,,,,,,,,
214,hibernia Pickhammer,h_bl_pickhammer01,0,0,,,,,,,,,,,-10,,,,,,,,,,
215,hibernia hooked spear,h_sp_hookspear01,0,0,,,,,,,,,,,-10,,,,,,,,,,
216,hibernia guard rapier,h_th_guardedrapier01,0,0,,,,,,,,,,,0,,,,,,,,,,
217,Briton archmace,b_2h_archmace01,0,0,,,,,,,,,,,,,,,,,,,,,
218,briton great scimitar,b_2h_greatscimitar01,0,0,,,,,,,,,,,,,,,,,,,,,
219,briton warpick,b_2h_warpick01,0,0,,,,,,,,,,,,,,,,,,,,,
220,briton 1h archmace,b_cr_archmace01,0,0,,,,,,,,,,,,,,,,,,,,,
221,briton bardiche,b_po_bardiche01,0,0,,,,,,,,,,,,,,,,,,,,,
222,briton poleaxe,b_po_poleaxe01,0,0,,,,,,,,,,,,,,,,,,,,,
223,briton spiked hammer,b_po_spikedhammer01,0,0,,,,,,,,,,,,,,,,,,,,,
224,briton jambia,b_sl_jambiya01,0,0,,,,,,,,,,,,,,,,,,,,,
225,briton sabre,b_sl_sabre01,0,0,,,,,,,,,,,,,,,,,,,,,
226,briton guarded rapier,b_th_guardedrapier01,0,0,,,,,,,,,,,,,,,,,,,,,
227,norse cleaver,n_1h_cleaver01,0,0,,,,,,,,,,,,,,,,,,,,,
228,norse dwarven shortsword,n_1h_dwarvenshortsword01,0,0,,,,,,,,,,,,,,,,,,,,,
229,norse spike hammer,n_1h_spikehammer01,0,0,,,,,,,,,,,,,,,,,,,,,
230,norse battle spear,n_2h_battlespear01,0,0,,,,,,,,,,,,,,,,,,,,,
231,norse dwarven sword,n_2h_dwarvensword01,0,0,,,,,,,,,,,,,,,,,,,,,
232,norse 2h spiked hammer,n_2h_spikehammer01,0,0,,,,,,,,,,,,,,,,,,,,,
233,norse warcleaver,n_2h_warcleaver01,0,0,,,,,,,,,,,,,,,,,,,,,
234,briton partizan,b_po_partizan01,0,0,,,,,,,,,,,,,,,,,,,,,
235,arrow,arrow,0,0,,,,,,,,,,,,,,,,,,,,,
236,briton 2h sword hilt,b_2h_2hswordhilt01,0,0,,,,,,,,,,,,,,,,,,,,,
237,briton longsword hilt,b_sl_longswhilt01,0,0,,,,,,,,,,,,,,,,,,,,,
238,norse 1h longsword hilt,n_1h_longswhilt01,0,0,,,,,,,,,,,,,,,,,,,,,
239,norse 2h sword hilt,n_2h_swordhilt01,0,0,,,,,,,,,,,,,,,,,,,,,
240,hibernian 1h longsword hilt,h_1h_longswhilt01,0,0,,,,,,,,,,,,,,,,,,,,,
241,hibernian 2h sword hilt,h_2hswordhilt01,0,0,,,,,,,,,,,,,,,,,,,,,
242,Briton Guild Banner,b_guildbanner01,0,0,,,,,,,,,,,,,,,,,,,,,
243,Hibernian Guild Banner,h_guildbanner01,0,0,,,,,,,,,,,,,,,,,,,,,
244,Norse Guild Banner,n_guildbanner01,0,0,,,,,,,,,,,,,,,,,,,,,
245,Alchemist Table,tool_alchemy,0,0,,,,,,,,,,,,,,,,,,,,,
246,Necro Staff,B_st_GloryHand01,0,0,,,,,,,,,,,,,,,,,,,,,
247,Alb 2H Slash,B_2h_Avalonian2hSword01,0,0,,,,,,,,,,,,,,,,,,,,,
248,Alb 2H Blunt,B_2h_AvalonianMace01,0,0,,,,,,,,,,,,,,,,,,,,,
249,Alb 2H Slash,B_2h_Claymore01,0,0,,,,,,,,,,,,,,,,,,,,,
250,Alb 2H Blunt,B_2h_CoffinHammer01,0,0,,,,,,,,,,,,,,,,,,,,,
251,Alb 2H Slash,B_2h_HoodAxe01,0,0,,,,,,,,,,,,,,,,,,,,,
252,Alb 2H Thrust,B_2h_InquisitorsPick01,0,0,,,,,,,,,,,,,,,,,,,,,
253,Alb 2H Slash,B_2h_RoyalScimitar01,0,0,,,,,,,,,,,,,,,,,,,,,
254,Alb Brawlers Bow,B_bo_BrawlersBow01,0,0,,,,,,,,,,,,,,,,,,,,,
255,Alb Saracen Long Bow,B_bo_SaracenLongbow01,0,0,,,,,,,,,,,,,,,,,,,,,
256,Alb Saracen Short Bow,B_bo_SaracenShortbow01,0,0,,,,,,,,,,,,,,,,,,,,,
257,Alb Skinners Bow,B_bo_SkinnersBow01,0,0,,,,,,,,,,,,,,,,,,,,,
258,Alb Thorn Bow,B_bo_ThornBow01,0,0,,,,,,,,,,,,,,,,,,,,,
259,Alb Avalonian Mace,B_cr_AvalonianMace01,0,0,,,,,,,,,,,,,,,,,,,,,
260,Alb BishopsMace,B_cr_BishopsMace01,0,0,,,,,,,,,,,,,,,,,,,,,
261,Alb Coffin Hammer Mace,B_cr_CoffinHammer01,0,0,,,,,,,,,,,,,,,,,,,,,
262,Alb Coffin Mace Mace,B_cr_CoffinMace01,0,0,,,,,,,,,,,,,,,,,,,,,
263,Alb Flex Chain,B_flx_Chain01_S,0,0,1323,1324,1325,1326,1327,1328,1329,1330,1331,1382,0,,,,,,,,,,
264,Alb Flex Chain Saw,B_flx_ChainSaw01_S,0,0,1323,1324,1325,1326,1327,1328,1329,1330,1331,1382,0,,,,,,,,,,
265,Alb Flex Chain Whip,B_flx_ChainWhip01_L,0,0,1341,1342,1343,1344,1345,1346,1347,1348,1349,1384,0,,,,,,,,,,
266,Alb Flex Dagger Flail,B_flx_DaggerFlail01_M,0,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
267,Alb Flex Flail,B_flx_Flail01_M,0,0,1332,1372,1334,1335,1336,1337,1338,1339,1340,1386,0,,,,,,,,,,
268,Alb Flex Morning Star,B_flx_MorningStar01_M,0,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
269,Alb Flex Pick Flail,B_flx_PickFlail01_M,0,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
270,Alb Flex Spiked Flail,B_flx_SpikedFlail01_M,0,0,1332,1372,1334,1335,1336,1337,1338,1339,1340,1386,0,,,,,,,,,,
271,Alb Flex Spiked Whip,B_flx_SpikeWhip01_L,0,0,1341,1342,1343,1344,1345,1346,1347,1348,1349,1384,0,,,,,,,,,,
272,Alb Flex War Chain,B_flx_WarChain01_S,0,0,1323,1324,1325,1326,1327,1328,1329,1330,1331,1382,0,,,,,,,,,,
273,Alb Flex Whip,B_flx_Whip01_L,0,0,1341,1342,1343,1344,1345,1346,1347,1348,1349,1384,0,,,,,,,,,,
274,Alb Flex Whip Dagger,B_flx_WhipDagger01_M,0,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
275,Alb Flex Whip Mace,B_flx_WhipMace01_M,0,0,1332,1333,1334,1335,1336,1337,1338,1339,1340,1383,0,,,,,,,,,,
276,Alb Bishops Reach,B_po_BishopsReach01,0,0,,,,,,,,,,,,,,,,,,,,,
277,Alb Footmans Pick,B_po_FootmansPick01,0,0,,,,,,,,,,,,,,,,,,,,,
278,Alb Military Fork,B_po_MilitaryFork01,0,0,,,,,,,,,,,,,,,,,,,,,
279,Alb Sabre Axe,B_po_SabreAxe01,0,0,,,,,,,,,,,,,,,,,,,,,
280,Alb Saracen Glaive,B_po_SaracenGlaive01,0,0,,,,,,,,,,,,,,,,,,,,,
281,Alb Tall Hammer,B_po_TallHammer01,0,0,,,,,,,,,,,,,,,,,,,,,
282,Alb Breton Toothpick,B_sl_BretonToothpick01,0,0,,,,,,,,,,,,,,,,,,,,,
283,Alb Cinquedea,B_sl_Cinquedea01,0,0,,,,,,,,,,,,,,,,,,,,,
284,Alb Coffin Axe,B_sl_CoffinAxe01,0,0,,,,,,,,,,,-10,,,,,,,,,,
285,Alb Falchion,B_sl_Falchion01,0,0,,,,,,,,,,,,,,,,,,,,,
286,Alb War Axe,B_sl_WarAxe01,0,0,,,,,,,,,,,-10,,,,,,,,,,
287,Alb Bishops Reach Staff,B_st_BishopsReachStaff01,0,0,,,,,,,,,,,,,,,,,,,,,
288,Alb Spiked Staff,B_st_SpikedStaff01,0,0,,,,,,,,,,,,,,,,,,,,,
289,Alb Spiked Staff Mace,B_st_SpikedStaffMace01,0,0,,,,,,,,,,,,,,,,,,,,,
290,Alb Staff Mace,B_st_StaffMace01,0,0,,,,,,,,,,,,,,,,,,,,,
291,Alb Duelists Dagger,B_th_DuelistsDagger01,0,0,,,,,,,,,,,,,,,,,,,,,
292,Alb Duelists Rapier,B_th_DuelistsRapier01,0,0,,,,,,,,,,,,,,,,,,,,,
293,Alb Parrying Dagger,B_th_ParryingDagger01,0,0,,,,,,,,,,,,,,,,,,,,,
294,Alb Parrying Rapier,B_th_ParryingRapier01,0,0,,,,,,,,,,,,,,,,,,,,,
295,Alb Highlander Dirk,B_th_SgianDubh01,0,0,,,,,,,,,,,,,,,,,,,,,
296,Alb Assault Crossbow,B_xbo_AssaultCrossbow01,0,0,,,,,,,,,,,,,,,,,,,,,
297,Alb Brawlers Crossbow,B_xbo_BrawlersCrossbow01,0,0,,,,,,,,,,,,,,,,,,,,,
298,Alb Xbo Crossbow,B_xbo_Crossbow01,0,0,,,,,,,,,,,,,,,,,,,,,
299,Alb Xbo Skinners Crossbow,B_xbo_SkinnersCrossbow01,0,0,,,,,,,,,,,,,,,,,,,,,
300,Alb Xbo Steel Crossbow,B_xbo_SteelCrossbow01,0,0,,,,,,,,,,,,,,,,,,,,,
301,Hib Elven Dagger,H_1h_ElvenDagger01,0,0,,,,,,,,,,,0,,,,,,,,,,
302,Hib Elven Long Sword,H_1h_ElvenLongSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
303,Hib Elven Short Sword,H_1h_ElvenShortSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
304,Hib Elven Firbolg Dagger,H_1h_FirbolgDagger01,0,0,,,,,,,,,,,-10,,,,,,,,,,
305,Hib Elven Firbolg L Sword,H_1h_FirbolgLongSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
306,Hib Elven Firbolg S Sword,H_1h_FirbolgShortSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
307,Hib Leaf Point Broadsword,H_1h_LeafPointBroadSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
308,Hib Leaf Point Dagger,H_1h_LeafPointDagger01,0,0,,,,,,,,,,,-10,,,,,,,,,,
309,Hib Leaf Short Sword,H_1h_LeafPointShortSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
310,Hib 2H Hammer,H_2h_CelticHammer01,0,0,,,,,,,,,,,0,,,,,,,,,,
311,Hib 2H Mace,H_2h_CelticMace01,0,0,,,,,,,,,,,0,,,,,,,,,,
312,Hib 2H Dire Club,H_2h_DireClub01,0,0,,,,,,,,,,,0,,,,,,,,,,
313,Hib 2H Elf Great Sword,H_2h_ElvenGreatSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
314,Hib 2H Firbolg Hammer,H_2h_FirbolgHammer01,0,0,,,,,,,,,,,0,,,,,,,,,,
315,Hib 2H Firbolg Mace,H_2h_FirbolgMace01,0,0,,,,,,,,,,,0,,,,,,,,,,
316,Hib 2H Firbolg Troll Splitter,H_2h_FirbolgTrollSplitter01,0,0,,,,,,,,,,,-10,,,,,,,,,,
317,Hib 2H Leaf Point Sword,H_2h_LeafPointGreatSword01,0,0,,,,,,,,,,,-10,,,,,,,,,,
318,Hib 2H Shod Shilelagh,H_2h_ShodShillelagh01,0,0,,,,,,,,,,,0,,,,,,,,,,
319,Hib Celtic Hammer,H_bl_CelticHammer01,0,0,,,,,,,,,,,0,,,,,,,,,,
320,Hib Celtic Mace,H_bl_CelticMace01,0,0,,,,,,,,,,,0,,,,,,,,,,
321,Hib Dire Mace,H_bl_DireClub01,0,0,,,,,,,,,,,0,,,,,,,,,,
322,Hib Firbolg Hammer,H_bl_FirbolgHammer01,0,0,,,,,,,,,,,0,,,,,,,,,,
323,Hib Firbolg Mace,H_bl_FirbolgMace01,0,0,,,,,,,,,,,0,,,,,,,,,,
324,Hib Brawlers Bow,H_bo_BrawlersBow01,0,0,,,,,,,,,,,0,,,,,,,,,,
