desc - face, icon, face, morph 1, morph 2, morph 3, morph 4, hair style, skin color, eye color, tattoo
TROLL MALE 4,140,2,4,4,4,4,0,0,0,4
TROLL MALE 5,511,3,4,4,4,4,0,0,0,7
TROLL MALE 6,512,2,4,4,4,4,0,0,0,10
TROLL MALE 7,141,4,4,4,4,6,0,0,0,7
TROLL MALE 8,142,1,4,4,4,6,0,0,0,0
TROLL MALE 9,143,3,4,4,4,6,0,0,0,1
TROLL MALE 10,144,3,4,4,4,8,0,0,0,4
TROLL MALE 11,513,4,4,4,4,6,0,0,0,7
TROLL MALE 12,514,0,4,4,4,6,0,0,0,10
TROLL FEMALE 1,145,1,4,4,4,4,0,0,0,10
TROLL FEMALE 2,146,4,4,4,4,4,0,0,0,13
TROLL FEMALE 3,147,3,4,4,4,4,0,0,0,7
TROLL FEMALE 4,148,5,4,4,4,4,0,0,0,1
TROLL FEMALE 5,515,2,4,4,4,4,0,0,0,4
TROLL FEMALE 6,516,4,4,4,4,4,0,0,0,7
TROLL FEMALE 7,149,0,4,4,4,4,0,0,0,3
TROLL FEMALE 8,150,2,4,4,4,4,0,0,0,13
TROLL FEMALE 9,151,5,4,4,4,4,0,0,0,7
TROLL FEMALE 10,152,4,4,4,4,4,0,0,0,1
TROLL FEMALE 11,517,0,4,4,4,4,0,0,0,4
TROLL FEMALE 12,518,3,4,4,4,4,0,0,0,7
DWARF MALE 1,185,1,4,4,4,4,0,0,5,0
DWARF MALE 2,186,4,4,4,4,4,0,0,7,0
DWARF MALE 3,187,3,4,4,4,4,0,0,5,0
DWARF MALE 4,188,1,4,4,4,4,0,0,7,0
DWARF MALE 5,519,2,4,4,4,4,0,0,0,0
DWARF MALE 6,520,0,4,4,4,4,5,0,5,0
DWARF MALE 7,189,5,4,4,4,4,1,0,7,0
DWARF MALE 8,190,0,4,4,4,4,1,0,5,0
DWARF MALE 9,191,3,4,4,4,4,1,0,7,0
DWARF MALE 10,192,4,4,4,4,4,1,0,5,0
DWARF MALE 11,521,2,4,4,4,4,1,0,0,0
DWARF MALE 12,522,1,4,4,4,4,4,0,5,0
DWARF FEMALE 1,193,0,4,4,4,4,1,0,2,0
DWARF FEMALE 2,194,5,4,4,4,4,1,0,1,0
DWARF FEMALE 3,195,3,4,4,4,4,1,0,1,0
DWARF FEMALE 4,196,4,4,4,4,4,1,0,0,0
DWARF FEMALE 5,523,0,4,4,4,4,1,0,2,0
DWARF FEMALE 6,524,3,4,4,4,4,1,0,1,0
DWARF FEMALE 7,197,1,4,4,4,4,2,0,0,0
DWARF FEMALE 8,198,2,4,4,4,4,2,0,2,0
DWARF FEMALE 9,199,3,4,4,4,4,2,0,1,0
DWARF FEMALE 10,200,4,4,4,4,4,2,0,0,0
DWARF FEMALE 11,525,3,4,4,4,4,2,0,2,0
DWARF FEMALE 12,526,5,4,4,4,4,2,0,1,0
KOBOLD MALE 1,169,1,4,4,4,4,0,0,5,0
KOBOLD MALE 2,170,5,3,4,4,4,0,0,3,0
KOBOLD MALE 3,171,3,4,4,4,4,0,0,2,0
KOBOLD MALE 4,172,0,7,4,4,4,0,0,5,0
KOBOLD MALE 5,527,5,8,4,4,4,1,0,0,0
KOBOLD MALE 6,528,6,8,4,4,4,3,0,3,0
KOBOLD MALE 7,173,2,4,4,4,4,0,0,5,0
KOBOLD MALE 8,174,4,4,4,4,4,0,0,2,0
KOBOLD MALE 9,175,1,4,4,4,4,0,0,5,0
KOBOLD MALE 10,176,5,4,4,4,4,0,0,2,0
KOBOLD MALE 11,529,2,4,4,4,4,1,0,2,0
KOBOLD MALE 12,530,2,4,4,4,4,3,0,5,0
KOBOLD FEMALE 1,177,4,4,4,4,4,0,0,0,0
KOBOLD FEMALE 2,178,0,4,4,4,4,0,0,2,0
KOBOLD FEMALE 3,179,3,4,4,4,4,0,0,1,0
KOBOLD FEMALE 4,180,5,4,4,4,4,0,0,0,0
KOBOLD FEMALE 5,531,1,4,4,4,4,0,0,2,0
KOBOLD FEMALE 6,532,2,4,4,4,4,0,0,1,0
KOBOLD FEMALE 7,181,4,4,4,4,4,1,0,0,0
KOBOLD FEMALE 8,182,0,4,4,4,4,1,0,2,0
KOBOLD FEMALE 9,183,5,4,4,4,4,1,0,1,0
KOBOLD FEMALE 10,184,0,4,4,4,4,1,0,0,0
KOBOLD FEMALE 11,533,1,4,4,4,4,1,0,2,0
KOBOLD FEMALE 12,534,2,4,4,4,4,1,0,1,0
CELT MALE 1,302,2,4,4,4,4,4,0,6,0
CELT MALE 2,303,5,4,4,4,4,4,0,1,0
CELT MALE 3,304,1,4,4,4,4,4,0,5,0
CELT MALE 4,305,1,4,4,4,4,0,0,0,0
CELT MALE 5,535,0,4,4,4,4,0,0,0,1
CELT MALE 6,536,4,4,4,4,4,0,0,7,0
CELT MALE 7,306,5,4,4,4,4,1,0,0,0
CELT MALE 8,307,5,4,4,4,4,1,0,0,0
CELT MALE 9,308,1,4,4,4,4,1,0,6,0
CELT MALE 10,309,1,4,4,4,4,1,0,6,0
CELT MALE 11,537,1,4,4,4,4,1,0,1,1
CELT MALE 12,538,2,4,4,4,4,1,0,0,0
CELT FEMALE 1,310,0,4,4,4,4,2,0,0,0
CELT FEMALE 2,311,1,4,4,4,4,2,0,0,0
CELT FEMALE 3,312,0,4,4,4,4,2,0,6,0
CELT FEMALE 4,313,2,4,4,4,4,2,0,5,0
CELT FEMALE 5,539,5,4,4,4,4,2,0,0,0
CELT FEMALE 6,540,4,4,4,4,4,2,0,6,1
CELT FEMALE 7,314,0,4,4,4,4,1,0,1,0
CELT FEMALE 8,315,1,4,4,4,4,1,0,1,0
CELT FEMALE 9,316,1,4,4,4,4,1,0,6,0
CELT FEMALE 10,317,1,4,4,4,4,1,0,5,0
CELT FEMALE 11,541,4,4,4,4,4,1,0,3,0
CELT FEMALE 12,542,4,4,4,4,4,1,0,6,1
FIRBOLG MALE 1,286,1,4,4,4,4,1,0,5,0
FIRBOLG MALE 2,287,5,4,4,4,4,4,0,0,0
FIRBOLG MALE 3,288,3,4,4,4,4,0,0,7,0
FIRBOLG MALE 4,289,4,4,4,4,4,1,0,5,0
FIRBOLG MALE 5,552,5,4,4,4,4,1,0,3,0
FIRBOLG MALE 6,552,1,4,4,4,4,1,0,5,0
FIRBOLG MALE 7,290,3,4,4,4,4,2,0,7,0
FIRBOLG MALE 8,291,2,4,4,4,4,6,0,5,0
FIRBOLG MALE 9,292,3,4,4,4,4,7,0,3,0
FIRBOLG MALE 10,293,5,4,4,4,4,6,0,7,0
FIRBOLG MALE 11,553,3,4,4,4,4,5,0,5,0
FIRBOLG MALE 12,554,0,4,4,4,4,2,0,7,0
FIRBOLG FEMALE 1,294,3,4,4,4,4,0,0,4,0
FIRBOLG FEMALE 2,295,4,4,4,4,4,0,0,7,0
FIRBOLG FEMALE 3,296,5,4,4,4,4,0,0,4,0
FIRBOLG FEMALE 4,297,1,4,4,4,4,0,0,7,0
FIRBOLG FEMALE 5,555,2,4,4,4,4,0,0,4,0
FIRBOLG FEMALE 6,556,0,4,4,4,4,0,0,0,0
FIRBOLG FEMALE 7,298,2,4,4,4,4,1,0,4,0
FIRBOLG FEMALE 8,299,4,4,4,4,4,1,0,7,0
FIRBOLG FEMALE 9,300,5,4,4,4,4,1,0,7,0
FIRBOLG FEMALE 10,301,1,4,4,4,4,1,0,4,0
FIRBOLG FEMALE 11,557,5,4,4,4,4,1,0,4,0
FIRBOLG FEMALE 12,558,0,4,4,4,4,1,0,0,0
ELF MALE 1,334,0,4,4,4,4,2,0,1,0
ELF MALE 2,335,3,4,4,4,4,2,0,4,0
ELF MALE 3,336,2,4,4,4,4,2,0,6,0
ELF MALE 4,337,5,4,4,4,4,2,0,6,0
ELF MALE 5,559,4,4,4,4,4,2,0,1,0
ELF MALE 6,560,1,4,4,4,4,2,0,0,0
ELF MALE 7,338,0,4,4,4,4,1,0,1,0
ELF MALE 8,339,3,4,4,4,4,1,0,4,0
ELF MALE 9,340,2,4,4,4,4,1,0,6,0
ELF MALE 10,341,5,4,4,4,4,1,0,6,0
ELF MALE 11,561,4,4,4,4,4,1,0,1,0
ELF MALE 12,562,1,4,4,4,4,1,0,0,0
ELF FEMALE 1,342,2,4,4,4,4,3,0,0,0
ELF FEMALE 2,343,0,4,4,4,4,3,0,6,0
ELF FEMALE 3,344,5,4,4,4,4,3,0,4,0
ELF FEMALE 4,345,3,4,4,4,4,3,0,0,0
ELF FEMALE 5,563,4,4,4,4,4,3,0,3,0
ELF FEMALE 6,564,1,4,4,4,4,3,0,1,0
ELF FEMALE 7,346,4,4,4,4,4,0,0,4,0
ELF FEMALE 8,347,3,4,4,4,4,0,0,0,0
ELF FEMALE 9,348,0,4,4,4,4,0,0,4,0
ELF FEMALE 10,349,2,4,4,4,4,0,0,0,0
ELF FEMALE 11,565,1,4,4,4,4,0,0,3,0
ELF FEMALE 12,566,5,4,4,4,4,0,0,0,0
LURIKEEN MALE 1,318,2,4,4,4,4,1,0,1,0
LURIKEEN MALE 2,319,0,4,4,4,4,3,0,4,0
LURIKEEN MALE 3,320,3,4,4,4,4,1,0,2,0
LURIKEEN MALE 4,321,5,4,4,4,4,0,0,5,0
LURIKEEN MALE 5,543,4,4,4,4,4,1,0,2,0
LURIKEEN MALE 6,544,1,4,4,4,4,0,0,2,0
LURIKEEN MALE 7,322,5,4,4,4,4,1,0,5,0
LURIKEEN MALE 8,323,0,4,4,4,4,3,0,1,0
LURIKEEN MALE 9,324,3,4,4,4,4,1,0,4,0
LURIKEEN MALE 10,325,4,4,4,4,4,0,0,2,0
LURIKEEN MALE 11,545,2,4,4,4,4,1,0,5,0
LURIKEEN MALE 12,546,1,4,4,4,4,0,0,1,0
LURIKEEN FEMALE 1,326,0,4,4,4,4,3,0,4,0
LURIKEEN FEMALE 2,327,4,4,4,4,4,3,0,1,0
LURIKEEN FEMALE 3,328,3,4,4,4,4,3,0,0,0
LURIKEEN FEMALE 4,329,1,4,4,4,4,3,0,2,0
LURIKEEN FEMALE 5,547,5,4,4,4,4,3,0,2,0
LURIKEEN FEMALE 6,548,2,4,4,4,4,3,0,5,0
LURIKEEN FEMALE 7,330,0,4,4,4,4,0,0,4,0
LURIKEEN FEMALE 8,331,4,4,4,4,4,0,0,1,0
LURIKEEN FEMALE 9,332,3,4,4,4,4,0,0,0,0
LURIKEEN FEMALE 10,333,1,4,4,4,4,0,0,2,0
LURIKEEN FEMALE 11,549,5,4,4,4,4,0,0,2,0
LURIKEEN FEMALE 12,550,2,4,4,4,4,0,0,5,0
INCONNU MALE 1,716,0,4,4,4,4,4,0,0,0
INCONNU MALE 2,717,4,4,4,4,4,4,0,1,0
INCONNU MALE 3,720,1,4,4,4,4,4,0,5,0
INCONNU MALE 4,721,3,4,4,4,4,4,0,2,0
INCONNU MALE 5,805,5,4,4,4,4,4,0,0,0
INCONNU MALE 6,806,2,4,4,4,4,4,0,3,0
INCONNU MALE 7,718,0,4,4,4,4,5,0,4,0
INCONNU MALE 8,719,4,4,4,4,4,5,0,5,0
INCONNU MALE 9,722,1,4,4,4,4,5,0,1,0
INCONNU MALE 10,723,3,4,4,4,4,5,0,1,0
INCONNU MALE 11,807,5,4,4,4,4,5,0,0,0
INCONNU MALE 12,808,2,4,4,4,4,5,0,4,0
INCONNU FEMALE 1,724,0,4,4,4,4,0,0,0,0
INCONNU FEMALE 2,725,2,4,4,4,4,0,0,1,0
INCONNU FEMALE 3,728,5,4,4,4,4,0,0,5,0
INCONNU FEMALE 4,729,1,4,4,4,4,0,0,2,0
INCONNU FEMALE 5,809,4,4,4,4,4,0,0,0,0
INCONNU FEMALE 6,810,5,4,4,4,4,0,0,3,0
INCONNU FEMALE 7,726,0,4,4,4,4,1,0,4,0
INCONNU FEMALE 8,727,2,4,4,4,4,1,0,5,0
INCONNU FEMALE 9,730,5,4,4,4,4,1,0,1,0
INCONNU FEMALE 10,731,1,4,4,4,4,1,0,1,0
INCONNU FEMALE 11,811,4,4,4,4,4,1,0,0,0
INCONNU FEMALE 12,812,5,4,4,4,4,1,0,4,0
VALKYN MALE 1,773,4,4,4,4,4,0,0,2,0
VALKYN MALE 2,774,0,4,4,4,4,0,0,1,0
VALKYN MALE 3,775,3,4,4,4,4,0,0,0,0
VALKYN MALE 4,776,5,4,4,4,4,0,0,2,0
VALKYN MALE 5,832,2,4,4,4,4,0,0,1,0
VALKYN MALE 6,833,2,4,4,4,4,2,0,0,0
VALKYN MALE 7,777,5,4,4,4,4,2,0,2,0
VALKYN MALE 8,778,4,4,4,4,4,0,0,1,0
VALKYN MALE 9,779,0,4,4,4,4,0,0,0,0
VALKYN MALE 10,780,1,4,4,4,4,0,0,2,0
VALKYN MALE 11,834,3,4,4,4,4,0,0,1,0
VALKYN MALE 12,835,2,4,4,4,4,0,0,0,0
VALKYN FEMALE 1,781,0,4,4,4,4,0,0,2,0
VALKYN FEMALE 2,782,4,4,4,4,4,0,0,3,0
VALKYN FEMALE 3,783,5,4,4,4,4,2,0,2,0
VALKYN FEMALE 4,784,4,4,4,4,4,2,0,3,0
VALKYN FEMALE 5,836,3,4,4,4,4,0,0,2,0
VALKYN FEMALE 6,837,1,4,4,4,4,0,0,3,0
VALKYN FEMALE 7,785,2,4,4,4,4,0,0,2,0
VALKYN FEMALE 8,786,5,4,4,4,4,0,0,5,0
VALKYN FEMALE 9,787,0,4,4,4,4,2,0,6,0
VALKYN FEMALE 10,788,4,4,4,4,4,2,0,3,0
VALKYN FEMALE 11,836,3,4,4,4,4,2,0,5,0
VALKYN FEMALE 12,837,2,4,4,4,4,2,0,3,0
SYLVAN MALE 1,700,0,4,4,4,4,0,0,0,0
SYLVAN MALE 2,701,4,4,4,4,4,0,0,0,0
SYLVAN MALE 3,702,3,4,4,4,4,4,0,0,0
SYLVAN MALE 4,703,2,4,4,4,4,4,0,0,0
SYLVAN MALE 5,849,0,4,4,4,4,0,0,0,0
SYLVAN MALE 6,850,1,4,4,4,4,0,0,0,0
SYLVAN MALE 7,704,0,4,4,4,4,0,0,0,0
SYLVAN MALE 8,705,5,4,4,4,4,0,0,0,0
SYLVAN MALE 9,706,3,4,4,4,4,4,0,0,0
SYLVAN MALE 10,707,5,4,4,4,4,4,0,0,0
SYLVAN MALE 11,851,1,4,4,4,4,4,0,0,0
SYLVAN MALE 12,852,0,4,4,4,4,4,0,0,0
SYLVAN FEMALE 1,708,0,4,4,4,4,0,0,0,0
SYLVAN FEMALE 2,709,2,4,4,4,4,0,0,0,0
SYLVAN FEMALE 3,710,3,4,4,4,4,0,0,0,0
SYLVAN FEMALE 4,711,1,4,4,4,4,0,0,0,0
SYLVAN FEMALE 5,853,4,4,4,4,4,0,0,0,0
SYLVAN FEMALE 6,854,5,4,4,4,4,0,0,0,0
SYLVAN FEMALE 7,712,0,4,4,4,4,3,0,0,0
SYLVAN FEMALE 8,713,2,4,4,4,4,3,0,0,0
SYLVAN FEMALE 9,714,3,4,4,4,4,3,0,0,0
SYLVAN FEMALE 10,715,1,4,4,4,4,3,0,0,0
SYLVAN FEMALE 11,855,4,4,4,4,4,3,0,0,0
SYLVAN FEMALE 12,856,5,4,4,4,4,3,0,0,0
HALF_OGRE MALE 1,1008,2,4,4,4,4,3,0,7,0
HALF_OGRE MALE 2,1009,3,4,4,4,4,1,0,6,0
HALF_OGRE MALE 3,1010,4,4,4,4,4,3,0,7,0
HALF_OGRE MALE 4,1011,1,4,4,4,4,3,0,6,0
HALF_OGRE MALE 5,1012,5,4,4,4,4,0,0,7,0
HALF_OGRE MALE 6,1013,0,4,4,4,4,1,0,6,0
HALF_OGRE MALE 7,1014,5,4,4,4,4,0,0,7,0
HALF_OGRE MALE 8,1015,3,4,4,4,4,3,0,6,0
HALF_OGRE MALE 9,1016,1,4,4,4,4,1,0,7,0
HALF_OGRE MALE 10,1017,3,4,4,4,4,1,0,6,0
HALF_OGRE MALE 11,1018,2,4,4,4,4,3,0,7,0
HALF_OGRE MALE 12,1019,0,4,4,4,4,3,0,6,0
HALF_OGRE FEMALE 1,1020,0,4,4,4,4,0,0,1,0
HALF_OGRE FEMALE 2,1021,2,4,4,4,4,0,0,0,0
HALF_OGRE FEMALE 3,1022,4,4,4,4,4,1,0,1,0
HALF_OGRE FEMALE 4,1023,3,0,4,4,4,1,0,0,0
HALF_OGRE FEMALE 5,1024,4,4,4,4,4,0,0,1,0
HALF_OGRE FEMALE 6,1025,1,4,4,4,4,0,0,0,0
HALF_OGRE FEMALE 7,1026,0,4,4,4,4,1,0,1,0
HALF_OGRE FEMALE 8,1027,5,4,4,4,4,1,0,0,0
HALF_OGRE FEMALE 9,1028,2,4,4,4,4,0,0,1,0
HALF_OGRE FEMALE 10,1029,3,4,4,4,4,0,0,0,0
HALF_OGRE FEMALE 11,1030,3,4,4,4,4,1,0,1,0
HALF_OGRE FEMALE 12,1031,5,4,4,4,4,1,0,0,0
FROSTALF MALE 1,1051,2,4,4,4,4,3,0,0,0
FROSTALF MALE 2,1052,5,4,4,4,4,3,0,1,0
FROSTALF MALE 3,1053,2,4,4,4,4,0,0,2,0
FROSTALF MALE 4,1054,5,4,4,4,4,0,0,3,0
FROSTALF MALE 5,1055,1,4,4,4,4,3,0,3,0
FROSTALF MALE 6,1056,0,4,4,4,4,3,0,2,0
FROSTALF MALE 7,1057,2,4,4,4,4,0,0,1,0
FROSTALF MALE 8,1058,4,4,4,4,4,0,0,0,0
FROSTALF MALE 9,1059,0,4,4,4,4,3,0,3,0
FROSTALF MALE 10,1060,3,4,4,4,4,3,0,2,0
FROSTALF MALE 11,1061,0,4,4,4,4,0,0,0,0
FROSTALF MALE 12,1062,3,4,4,4,4,0,0,1,0
FROSTALF FEMALE 1,1063,2,4,4,4,4,1,0,0,0
FROSTALF FEMALE 2,1064,0,4,4,4,4,1,0,1,0
FROSTALF FEMALE 3,1065,3,4,4,4,4,2,0,2,0
FROSTALF FEMALE 4,1066,1,4,4,4,4,2,0,3,0
FROSTALF FEMALE 5,1067,5,4,4,4,4,1,0,3,0
FROSTALF FEMALE 6,1068,0,4,4,4,4,1,0,2,0
FROSTALF FEMALE 7,1069,2,4,4,4,4,2,0,1,0
FROSTALF FEMALE 8,1070,4,4,4,4,4,2,0,0,0
FROSTALF FEMALE 9,1071,3,4,4,4,4,1,0,3,0
FROSTALF FEMALE 10,1072,1,4,4,4,4,1,0,2,0
FROSTALF FEMALE 11,1073,5,4,4,4,4,2,0,0,0
FROSTALF FEMALE 12,1074,0,4,4,4,4,2,0,1,0
SHAR MALE 1,1075,4,4,4,4,4,0,0,0,5
SHAR MALE 2,1076,0,4,4,4,4,0,0,0,4
SHAR MALE 3,1077,3,4,4,4,4,4,0,0,5
SHAR MALE 4,1078,5,4,4,4,4,4,0,3,4
SHAR MALE 5,1079,1,4,4,4,4,0,0,0,3
SHAR MALE 6,1080,5,4,4,4,4,0,0,0,2
SHAR MALE 7,1081,1,4,4,4,4,4,0,5,3
SHAR MALE 8,1082,4,4,4,4,4,4,0,0,2
SHAR MALE 9,1083,4,4,4,4,4,0,0,0,1
SHAR MALE 10,1084,3,4,4,4,4,1,0,0,2
SHAR MALE 11,1085,5,4,4,4,4,4,0,0,1
SHAR MALE 12,1086,3,4,4,4,4,1,0,0,2
SHAR FEMALE 1,1087,2,4,4,4,4,0,0,0,5
SHAR FEMALE 2,1088,4,4,4,4,4,0,0,0,4
SHAR FEMALE 3,1089,3,4,4,4,4,1,0,0,3
SHAR FEMALE 4,1090,1,4,4,4,4,1,0,0,2
SHAR FEMALE 5,1091,5,4,4,4,4,0,0,0,3
