Nif with path,Obey Nif Emissiveness and Dismount Restriction
zones/nifs/NAegirhamn01.nif,2
zones/nifs/VCBridgeMed.nif,2
frontiers/nifs/H_ropeBrdge_F.nif,2
frontiers/nifs/m_ropebrdge_f.nif,2
frontiers/nifs/a_ropebrdge_f.nif,2
frontiers/nifs/hibmilegate_f.nif,2
frontiers/nifs/albmilegate_f.nif,2
frontiers/nifs/midmilegate_f.nif,2
zones/nifs/n-stockade.nif,2
newtowns/zones/nifs/Hshroombrella.nif,2
zones/nifs/Hshroombrella.nif,2
zones/nifs/OC_SafeHaven_ExtWall.nif,2
newtowns/zones/nifs/h06_hbindstone.nif,1
newtowns/zones/nifs/h06_smithy.nif,1
newtowns/zones/nifs/elfstable2.nif,1
newtowns/zones/nifs/b06_bindstone.nif,1
newtowns/zones/nifs/m06_bindstone.nif,1
newtowns/zones/nifs/m06_stable.nif,1
newtowns/zones/nifs/m06_tikitorch.nif,1
newtowns/zones/nifs/m06_Shopsmall.nif,1
newtowns/zones/nifs/NAegTeleport.nif,1
newtowns/zones/nifs/m06_stable.nif,2
newtowns/zones/nifs/h-bridge1.nif,2
zones/nifs/m06_stable.nif,2
newtowns/zones/nifs/hibteleport.nif,1
newtowns/zones/nifs/bavteleporter.nif,1
newtowns/zones/nifs/hborderkeep1.nif,1
newtowns/zones/nifs/bogtower2.nif,1
newtowns/zones/nifs/bogtower3.nif,1
newtowns/zones/nifs/bogbridge.nif,1
newtowns/zones/nifs/n-stockade.nif,1
newtowns/zones/nifs/b06_forgebase.nif,1
newtowns/zones/nifs/borderkeep1.nif,1
newtowns/zones/nifs/bchurch1.nif,1
newtowns/zones/nifs/bridge.nif,1
newtowns/zones/nifs/hlogbent_02.nif,2
zones/nifs/hlogbent_02.nif,2
newtowns/zones/nifs/camwall.nif,2
zones/nifs/Overland_entrance_small.nif,1
zones/nifs/b_henge.nif,2
newtowns/zones/nifs/b_henge.nif,2
newtowns/zones/nifs/hborderkeep1_frontier.nif,1
newtowns/zones/nifs/bridge.nif,2
newtowns/zones/nifs/Nblacksmith_normal.nif,1
newtowns/zones/nifs/lnghse2_normal.nif,1
newtowns/zones/nifs/elftavern2_normal.nif,1
newtowns/zones/nifs/nrs-hut1_normal.nif,1
frontiers/nifs/bridge01_f_189.nif,2
frontiers/nifs/bridge02_f_189.nif,2
frontiers/nifs/bridge03_f_189.nif,2
zones/nifs/HLurikHutSm.nif,1
zones/nifs/Helfshack.nif,1
zones/nifs/camwall.nif,1
zones/nifs/H_elfhall.nif,1
zones/nifs/Bfarmhouse.nif,1
zones/nifs/Btavern.nif,1
zones/nifs/Brit_shop.nif,1
zones/nifs/Nblacksmith.nif,1
zones/nifs/NTavern.nif,1
zones/nifs/nrs-hut1.nif,1
zones/nifs/nrshse1.nif,1
zones/nifs/houtwall.nif,1
zones/nifs/b-forge1.nif,1
zones/nifs/Hceltcottage.nif,1
zones/nifs/lnghse2.nif,1
zones/nifs/NDwfArmorhut.nif,1
zones/nifs/brghouse.nif,1
zones/nifs/Hcelthut.nif,1
zones/nifs/Stable.nif,1
zones/nifs/Britbarn.nif,1
zones/nifs/b-rndtw2.nif,1
zones/nifs/N-bridge1.nif,1
zones/nifs/elftavern2.nif,1
zones/nifs/h06_hbindstone.nif,1
zones/nifs/h06_smithy.nif,1
zones/nifs/elfstable2.nif,1
zones/nifs/b06_bindstone.nif,1
zones/nifs/m06_bindstone.nif,1
zones/nifs/m06_stable.nif,1
zones/nifs/m06_tikitorch.nif,1
zones/nifs/m06_Shopsmall.nif,1
zones/nifs/NAegTeleport.nif,1
zones/nifs/hibteleport.nif,1
zones/nifs/bavteleporter.nif,1
zones/nifs/hborderkeep1.nif,1
zones/nifs/bogtower2.nif,1
zones/nifs/bogtower3.nif,1
zones/nifs/bogbridge.nif,1
zones/nifs/n-stockade.nif,1
zones/nifs/b06_forgebase.nif,1
zones/nifs/borderkeep1.nif,1
zones/nifs/bchurch1.nif,1
zones/nifs/bridge.nif,1
zones/nifs/hborderkeep1_frontier.nif,1
zones/nifs/Nblacksmith_normal.nif,1
zones/nifs/lnghse2_normal.nif,1
zones/nifs/elftavern2_normal.nif,1
zones/nifs/nrs-hut1_normal.nif,1
