Cata,Description,Part,Selection,Mat List
50,Heavy : Blanket Barding - Square Trim  w/ reigns,1,17,26
50,Heavy : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
50,Heavy : Half Barding - No Trim,1,19,28
50,Heavy : Half Barding - Full Trim,1,20,29
50,Heavy : Half Barding - Triangle Trim,1,21,30
50,Heavy : Half Barding - Square Trim,1,22,31
50,Heavy : Half Barding - Half Moon Trim,1,23,32
50,Heavy : Half Barding - Full Trim w/ reigns,1,24,33
50,Heavy : Half Barding - Triangle Trim w/ reigns,1,25,34
50,Heavy : Half Barding - Square Trim  w/ reigns,1,26,35
50,Heavy : Half Barding - Half Moon Trim  w/ reigns,1,27,36
50,Heavy : Full Barding - No Trim,1,28,37
50,Heavy : Full Barding - Full Trim,1,29,38
50,Heavy : Full Barding - Triangle Trim,1,30,39
50,Heavy : Full Barding - Square Trim,1,31,40
50,Heavy : Full Barding - Half Moon Trim,1,32,41
50,Heavy : Full Barding - Full Trim w/ reigns,1,33,42
50,Heavy : Full Barding - Triangle Trim w/ reigns,1,34,43
50,Heavy : Full Barding - Square Trim  w/ reigns,1,35,44
50,Heavy : Full Barding - Half Moon Trim  w/ reigns,1,36,45
52,Unicorn : Armor - Saddle,0,0,1
52,Unicorn : Armor - Light Armor,0,1,2
52,Unicorn : Armor - Medium Armor,0,2,3
52,Unicorn : Armor - Heavy Armor,0,3,4
52,Unicorn : Body - Unicorn Horse,2,0,7
52,Unicorn :No Saddle,1,4,0
52,Standard : No Barding,1,0,0
52,Unicorn : Tasset Barding - No Trim,1,1,10
52,Unicorn : Tasset Barding - Full Trim,1,2,11
52,Unicorn : Tasset Barding - Triangle Trim,1,3,12
52,Unicorn : Tasset Barding - Square Trim,1,4,13
52,Unicorn : Tasset Barding - Half Moon Trim,1,5,14
52,Unicorn : Tasset Barding - Full Trim w/ reigns,1,6,15
52,Unicorn : Tasset Barding - Triangle Trim w/ reigns,1,7,16
52,Unicorn : Tasset Barding - Square Trim  w/ reigns,1,8,17
52,Unicorn : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
52,Unicorn : Blanket Barding - No Trim,1,10,19
52,Unicorn : Blanket Barding - Full Trim,1,11,20
52,Unicorn : Blanket Barding - Triangle Trim,1,12,21
52,Unicorn : Blanket Barding - Square Trim,1,13,22
52,Unicorn : Blanket Barding - Half Moon Trim,1,14,23
52,Unicorn : Blanket Barding - Full Trim w/ reigns,1,15,24
52,Unicorn : Blanket Barding - Triangle Trim w/ reigns,1,16,25
52,Unicorn : Blanket Barding - Square Trim  w/ reigns,1,17,26
52,Unicorn : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
52,Unicorn : Half Barding - No Trim,1,19,28
52,Unicorn : Half Barding - Full Trim,1,20,29
52,Unicorn : Half Barding - Triangle Trim,1,21,30
52,Unicorn : Half Barding - Square Trim,1,22,31
52,Unicorn : Half Barding - Half Moon Trim,1,23,32
52,Unicorn : Half Barding - Full Trim w/ reigns,1,24,33
52,Unicorn : Half Barding - Triangle Trim w/ reigns,1,25,34
52,Unicorn : Half Barding - Square Trim  w/ reigns,1,26,35
52,Unicorn : Half Barding - Half Moon Trim  w/ reigns,1,27,36
52,Unicorn : Full Barding - No Trim,1,28,37
52,Unicorn : Full Barding - Full Trim,1,29,38
52,Unicorn : Full Barding - Triangle Trim,1,30,39
52,Unicorn : Full Barding - Square Trim,1,31,40
52,Unicorn : Full Barding - Half Moon Trim,1,32,41
52,Unicorn : Full Barding - Full Trim w/ reigns,1,33,42
52,Unicorn : Full Barding - Triangle Trim w/ reigns,1,34,43
52,Unicorn : Full Barding - Square Trim  w/ reigns,1,35,44
52,Unicorn : Full Barding - Half Moon Trim  w/ reigns,1,36,45
49,Nightmare : Armor - Saddle,0,0,1
49,Nightmare : Armor - Light Armor,0,1,2
49,Nightmare : Armor - Medium Armor,0,2,3
49,Nightmare : Armor - Heavy Armor,0,3,4
49,Nightmare : Body - Nightmare Horse,2,0,8
49,Nightmare :No Saddle,1,4,0
49,Standard : No Barding,1,0,0
49,Nightmare : Tasset Barding - No Trim,1,1,10
49,Nightmare : Tasset Barding - Full Trim,1,2,11
49,Nightmare : Tasset Barding - Triangle Trim,1,3,12
49,Nightmare : Tasset Barding - Square Trim,1,4,13
49,Nightmare : Tasset Barding - Half Moon Trim,1,5,14
49,Nightmare : Tasset Barding - Full Trim w/ reigns,1,6,15
49,Nightmare : Tasset Barding - Triangle Trim w/ reigns,1,7,16
49,Nightmare : Tasset Barding - Square Trim  w/ reigns,1,8,17
49,Nightmare : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
49,Nightmare : Blanket Barding - No Trim,1,10,19
49,Nightmare : Blanket Barding - Full Trim,1,11,20
49,Nightmare : Blanket Barding - Triangle Trim,1,12,21
49,Nightmare : Blanket Barding - Square Trim,1,13,22
49,Nightmare : Blanket Barding - Half Moon Trim,1,14,23
49,Nightmare : Blanket Barding - Full Trim w/ reigns,1,15,24
49,Nightmare : Blanket Barding - Triangle Trim w/ reigns,1,16,25
49,Nightmare : Blanket Barding - Square Trim  w/ reigns,1,17,26
49,Nightmare : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
49,Nightmare : Half Barding - No Trim,1,19,28
49,Nightmare : Half Barding - Full Trim,1,20,29
49,Nightmare : Half Barding - Triangle Trim,1,21,30
49,Nightmare : Half Barding - Square Trim,1,22,31
49,Nightmare : Half Barding - Half Moon Trim,1,23,32
49,Nightmare : Half Barding - Full Trim w/ reigns,1,24,33
49,Nightmare : Half Barding - Triangle Trim w/ reigns,1,25,34
49,Nightmare : Half Barding - Square Trim  w/ reigns,1,26,35
49,Nightmare : Half Barding - Half Moon Trim  w/ reigns,1,27,36
49,Nightmare : Full Barding - No Trim,1,28,37
49,Nightmare : Full Barding - Full Trim,1,29,38
49,Nightmare : Full Barding - Triangle Trim,1,30,39
49,Nightmare : Full Barding - Square Trim,1,31,40
49,Nightmare : Full Barding - Half Moon Trim,1,32,41
49,Nightmare : Full Barding - Full Trim w/ reigns,1,33,42
49,Nightmare : Full Barding - Triangle Trim w/ reigns,1,34,43
49,Nightmare : Full Barding - Square Trim  w/ reigns,1,35,44
49,Nightmare : Full Barding - Half Moon Trim  w/ reigns,1,36,45
51,Standard : No Barding,1,0,0
51,Undead : Armor - Saddle,0,0,1
51,Undead : Armor - Light Armor,0,1,2
51,Undead : Armor - Medium Armor,0,2,3
51,Undead : Armor - Heavy Armor,0,3,4
51,Undead : Body - Undead Horse,2,0,9
51,Undead :No Saddle,1,4,0
51,Standard : No Barding,1,0,0
51,Undead : Tasset Barding - No Trim,1,1,10
51,Undead : Tasset Barding - Full Trim,1,2,11
51,Undead : Tasset Barding - Triangle Trim,1,3,12
51,Undead : Tasset Barding - Square Trim,1,4,13
51,Undead : Tasset Barding - Half Moon Trim,1,5,14
51,Undead : Tasset Barding - Full Trim w/ reigns,1,6,15
51,Undead : Tasset Barding - Triangle Trim w/ reigns,1,7,16
51,Undead : Tasset Barding - Square Trim  w/ reigns,1,8,17
51,Undead : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
51,Undead : Blanket Barding - No Trim,1,10,19
51,Undead : Blanket Barding - Full Trim,1,11,20
51,Undead : Blanket Barding - Triangle Trim,1,12,21
51,Undead : Blanket Barding - Square Trim,1,13,22
51,Undead : Blanket Barding - Half Moon Trim,1,14,23
51,Undead : Blanket Barding - Full Trim w/ reigns,1,15,24
51,Undead : Blanket Barding - Triangle Trim w/ reigns,1,16,25
51,Undead : Blanket Barding - Square Trim  w/ reigns,1,17,26
51,Undead : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
51,Undead : Half Barding - No Trim,1,19,28
51,Undead : Half Barding - Full Trim,1,20,29
51,Undead : Half Barding - Triangle Trim,1,21,30
51,Undead : Half Barding - Square Trim,1,22,31
51,Undead : Half Barding - Half Moon Trim,1,23,32
51,Undead : Half Barding - Full Trim w/ reigns,1,24,33
51,Undead : Half Barding - Triangle Trim w/ reigns,1,25,34
51,Undead : Half Barding - Square Trim  w/ reigns,1,26,35
51,Undead : Half Barding - Half Moon Trim  w/ reigns,1,27,36
51,Undead : Full Barding - No Trim,1,28,37
51,Undead : Full Barding - Full Trim,1,29,38
51,Undead : Full Barding - Triangle Trim,1,30,39
51,Undead : Full Barding - Square Trim,1,31,40
51,Undead : Full Barding - Half Moon Trim,1,32,41
51,Undead : Full Barding - Full Trim w/ reigns,1,33,42
51,Undead : Full Barding - Triangle Trim w/ reigns,1,34,43
51,Undead : Full Barding - Square Trim  w/ reigns,1,35,44
51,Undead : Full Barding - Half Moon Trim  w/ reigns,1,36,45
53,Epic : Armor - Saddle,0,0,1
53,Epic : Armor - Light Armor,0,1,2
53,Epic : Armor - Medium Armor,0,2,3
53,Epic : Armor - Epic Armor,0,3,4
53,Epic : Body - Epic Horse,2,0,6
51,Epic :No Saddle,1,4,0
53,Epic : No Barding,1,1,0
53,Epic : Tasset Barding - No Trim,1,1,10
53,Epic : Tasset Barding - Full Trim,1,2,11
53,Epic : Tasset Barding - Triangle Trim,1,3,12
53,Epic : Tasset Barding - Square Trim,1,4,13
53,Epic : Tasset Barding - Half Moon Trim,1,5,14
53,Epic : Tasset Barding - Full Trim w/ reigns,1,6,15
53,Epic : Tasset Barding - Triangle Trim w/ reigns,1,7,16
53,Epic : Tasset Barding - Square Trim  w/ reigns,1,8,17
53,Epic : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
53,Epic : Blanket Barding - No Trim,1,10,19
53,Epic : Blanket Barding - Full Trim,1,11,20
53,Epic : Blanket Barding - Triangle Trim,1,12,21
53,Epic : Blanket Barding - Square Trim,1,13,22
53,Epic : Blanket Barding - Half Moon Trim,1,14,23
53,Epic : Blanket Barding - Full Trim w/ reigns,1,15,24
53,Epic : Blanket Barding - Triangle Trim w/ reigns,1,16,25
53,Epic : Blanket Barding - Square Trim  w/ reigns,1,17,26
53,Epic : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
53,Epic : Half Barding - No Trim,1,19,28
53,Epic : Half Barding - Full Trim,1,20,29
53,Epic : Half Barding - Triangle Trim,1,21,30
53,Epic : Half Barding - Square Trim,1,22,31
53,Epic : Half Barding - Half Moon Trim,1,23,32
53,Epic : Half Barding - Full Trim w/ reigns,1,24,33
53,Epic : Half Barding - Triangle Trim w/ reigns,1,25,34
53,Epic : Half Barding - Square Trim  w/ reigns,1,26,35
53,Epic : Half Barding - Half Moon Trim  w/ reigns,1,27,36
53,Epic : Full Barding - No Trim,1,28,37
53,Epic : Full Barding - Full Trim,1,29,38
53,Epic : Full Barding - Triangle Trim,1,30,39
53,Epic : Full Barding - Square Trim,1,31,40
53,Epic : Full Barding - Half Moon Trim,1,32,41
53,Epic : Full Barding - Full Trim w/ reigns,1,33,42
53,Epic : Full Barding - Triangle Trim w/ reigns,1,34,43
53,Epic : Full Barding - Square Trim  w/ reigns,1,35,44
53,Epic : Full Barding - Half Moon Trim  w/ reigns,1,36,45
59,Unicorn : Armor - Saddle,0,0,1
59,Unicorn : Armor - Light Armor,0,1,2
59,Unicorn : Armor - Medium Armor,0,2,3
59,Unicorn : Armor - Heavy Armor,0,3,4
59,Unicorn : Body - Unicorn Horse,2,0,7
59,Unicorn :No Saddle,1,4,0
59,Standard : No Barding,1,0,0
59,Unicorn : Tasset Barding - No Trim,1,1,10
59,Unicorn : Tasset Barding - Full Trim,1,2,11
59,Unicorn : Tasset Barding - Triangle Trim,1,3,12
59,Unicorn : Tasset Barding - Square Trim,1,4,13
59,Unicorn : Tasset Barding - Half Moon Trim,1,5,14
59,Unicorn : Tasset Barding - Full Trim w/ reigns,1,6,15
59,Unicorn : Tasset Barding - Triangle Trim w/ reigns,1,7,16
59,Unicorn : Tasset Barding - Square Trim  w/ reigns,1,8,17
59,Unicorn : Tasset Barding - Half Moon Trim  w/ reigns,1,9,18
59,Unicorn : Blanket Barding - No Trim,1,10,19
59,Unicorn : Blanket Barding - Full Trim,1,11,20
59,Unicorn : Blanket Barding - Triangle Trim,1,12,21
59,Unicorn : Blanket Barding - Square Trim,1,13,22
59,Unicorn : Blanket Barding - Half Moon Trim,1,14,23
59,Unicorn : Blanket Barding - Full Trim w/ reigns,1,15,24
59,Unicorn : Blanket Barding - Triangle Trim w/ reigns,1,16,25
59,Unicorn : Blanket Barding - Square Trim  w/ reigns,1,17,26
59,Unicorn : Blanket Barding - Half Moon Trim  w/ reigns,1,18,27
59,Unicorn : Half Barding - No Trim,1,19,28
59,Unicorn : Half Barding - Full Trim,1,20,29
59,Unicorn : Half Barding - Triangle Trim,1,21,30
59,Unicorn : Half Barding - Square Trim,1,22,31
59,Unicorn : Half Barding - Half Moon Trim,1,23,32
59,Unicorn : Half Barding - Full Trim w/ reigns,1,24,33
59,Unicorn : Half Barding - Triangle Trim w/ reigns,1,25,34
59,Unicorn : Half Barding - Square Trim  w/ reigns,1,26,35
59,Unicorn : Half Barding - Half Moon Trim  w/ reigns,1,27,36
59,Unicorn : Full Barding - No Trim,1,28,37
59,Unicorn : Full Barding - Full Trim,1,29,38
59,Unicorn : Full Barding - Triangle Trim,1,30,39
59,Unicorn : Full Barding - Square Trim,1,31,40
59,Unicorn : Full Barding - Half Moon Trim,1,32,41
59,Unicorn : Full Barding - Full Trim w/ reigns,1,33,42
59,Unicorn : Full Barding - Triangle Trim w/ reigns,1,34,43
59,Unicorn : Full Barding - Square Trim  w/ reigns,1,35,44
59,Unicorn : Full Barding - Half Moon Trim  w/ reigns,1,36,45
