Information,,Skin,,Archive,Expansion,,Housing,Material,Material,Material
51,Avalonian,a_cth1_arm1.tga,0,2,0,0,,0,,
52,Avalonian,a_cth1_leg1.tga,0,2,0,0,,0,,
53,Avalonian,a_cth1_glov1.tga,0,2,0,0,,0,,
54,Avalonian,a_cth1_lbody1.tga,0,2,0,0,,0,,
55,Avalonian,a_cth1_boot1.tga,0,2,0,0,,0,,
56,Avalonian Male Head,a_mhed1.tga,1,2,0,0,,0,,
57,Avalonian Male Head,a_mhed2.tga,1,2,0,0,,0,,
58,Avalonian Male Head,a_mhed3.tga,1,2,0,0,,0,,
59,Avalonian Male Head,a_mhed4.tga,1,2,0,0,,0,,
60,Avalonian Female Head,a_fhed1.tga,1,2,0,0,,0,,
61,Avalonian Female Head,a_fhed2.tga,1,2,0,0,,0,,
62,Avalonian Female Head,a_fhed3.tga,1,2,0,0,,0,,
63,Avalonian Female Head,a_fhed4.tga,1,2,0,0,,0,,
75,demon,demon1.bmp,0,2,0,0,,0,,
79,cloak guy stuff,cloak1.bmp,0,2,0,0,,0,,
80,Skeleton 1,skel1.tga,0,2,0,0,,0,,
81,Skeleton 2,skel2.tga,0,2,0,0,,0,,
82,Skeleton 3,skel3.tga,0,2,0,0,,0,,
83,Spriggarn,sprig1.bmp,0,2,0,0,,0,,
84,Brownie,brownie1.bmp,0,2,0,0,,0,,
85,Troll,troll1.bmp,0,2,0,0,,0,,
86,Snake,snake1.tga,0,2,0,0,,0,,
87,Snake,snake2.tga,0,2,0,0,,0,,
88,Snake,snake3.tga,0,2,0,0,,0,,
97,Grey Wolf,wolf.tga,0,2,0,0,,0,,
98,Black Wolf,wolf_black.tga,0,2,0,0,,0,,
99,Goblin,goblin_generic.tga,0,2,0,0,,0,,
100,Goblin,goblin_whelp.tga,0,2,0,0,,0,,
101,Goblin,goblin_chieftain.tga,0,3,0,0,,0,,
102,Goblin,goblin_shaman.tga,0,3,0,0,,0,,
103,Spider,spider.tga,0,3,0,0,,0,,
104,Spider,spider_brown.tga,0,3,0,0,,0,,
105,Brown Bear,bear_brown.tga,0,3,0,0,,0,,
106,Black Bear,bear_black.tga,0,3,0,0,,0,,
107,Fellwood,tree_base2.tga,0,3,0,0,,0,,
108,Elder Fellwood,tree_eyeglow.tga,0,3,0,0,,0,,
109,Boar,boar.tga,0,3,0,0,,0,,
110,Zombie Boar,boar_redeyes.tga,0,3,0,0,,0,,
111,Tan Lion,cougar.tga,0,3,0,0,,0,,
112,Black Lion,cougar_black.tga,0,3,0,0,,0,,
113,Lizard,Lizard01.tga,0,3,0,0,,0,,
114,Merchant,m1_bodym.tga,0,3,0,0,,0,,
115,Merchant,m1_bodyf.tga,0,3,0,0,,0,,
116,Merchant,m1_arm1.tga,0,3,0,0,,0,,
117,Merchant,m1_glove1.tga,0,3,0,0,,0,,
118,Merchant,m1_tunic1.tga,0,3,0,0,,0,,
119,Merchant,m1_legs1.tga,0,3,0,0,,0,,
120,Merchant,m1_boot1.tga,0,3,0,0,,0,,
121,Merchant,m2_bodym.tga,0,3,0,0,,0,,
122,Merchant,m2_bodyf.tga,0,3,0,0,,0,,
123,Merchant,m2_arm1.tga,0,3,0,0,,0,,
124,Merchant,m2_glove1.tga,0,3,0,0,,0,,
125,Merchant,m2_tunic1.tga,0,3,0,0,,0,,
126,Blacksmith,m3_bodym.tga,0,3,0,0,,0,,
127,Blacksmith,m3_arm1.tga,0,3,0,0,,0,,
128,Blacksmith,m3_glove1.tga,0,3,0,0,,0,,
129,Blacksmith,m3_tunic1.tga,0,3,0,0,,0,,
130,Guard,B_grd1b_body1m.tga,0,21,0,0,,0,,
131,Guard,B_grd1b_body1f.tga,0,21,0,0,,0,,
132,Guard,g1_lbody1.tga,0,3,0,0,,0,,
133,Guard,g1_arms1.tga,0,3,0,0,,0,,
134,Guard,g1_gloves1.tga,0,3,0,0,,0,,
135,Guard,g1_legs1.tga,0,3,0,0,,0,,
136,Guard,g1_boots1.tga,0,3,0,0,,0,,
137,Roman Dead,roman01.tga,0,3,0,0,,0,,
138,Grungy Roman Dead,roman02.tga,0,3,0,0,,0,,
139,Zombie Base Skin,zomtex01.tga,0,3,0,0,,0,,
140,Brownie base skin,brown_1.tga,0,3,0,0,,0,,
141,Troglodyte base skin,troglo1.tga,0,11,0,0,,0,,
142,Rock Creature base skin,rock.tga,0,3,0,0,,0,,
143,Ant Skin,ant.tga,0,3,0,0,,0,,
144,Carrion Eater (spider),crawler.tga,0,3,0,0,,0,,
145,Vein Spider,vein.tga,0,3,0,0,,0,,
146,Frog Skin,frog1.tga,0,3,0,0,,0,,
147,Giant Base Skin,giant1.tga,0,3,0,0,,0,,
148,Forest Giant Skin,giant-forest.tga,0,3,0,0,,0,,
149,Ice Giant,giant-ice.tga,0,3,0,0,,0,,
150,Fire Giant,giant-fire.tga,0,3,0,0,,0,,
151,worm,worm.tga,0,4,0,0,,0,,
152,Carrion Eater 2 (spider),crawler2.tga,0,4,0,0,,0,,
153,Vein Spider 2,vein2.tga,0,4,0,0,,0,,
154,Carrion Eater 3 Spider,eater.tga,0,4,0,0,,0,,
155,Icky Spider,ick.tga,0,4,0,0,,0,,
156,Mud rock creature,rock-mud.tga,0,4,0,0,,0,,
157,Lava rock creature,rock-lava.tga,0,4,0,0,,0,,
158,Ice rock creature,rock-ice.tga,0,4,0,0,,0,,
159,Huldu base skin,huldu.tga,0,4,0,0,,0,,
160,Wilding Huldu,wilding1.tga,0,4,0,0,,0,,
161,Savage lynx,savage.tga,0,4,0,0,,0,,
162,Grass lynx,grasscat.tga,0,4,0,0,,0,,
163,Lynx base,lynx.tga,0,4,0,0,,0,,
164,Sprite Base,sprite.tga,0,4,0,0,,0,,
165,Troll Male Base Skin,t_cth1_body1m.tga,0,4,0,0,,0,,
166,Troll Arm 1,t_cth1_arm1.tga,0,4,0,0,,0,,
167,Troll Female Base Skin,t_cth1_body1f.tga,0,4,0,0,,0,,
168,Troll Cloak,t_cloak.tga,0,4,0,0,,0,,
169,Troll Boot 1,t_cth1_boot1.tga,0,4,0,0,,0,,
170,Troll Glove 1,t_cth1_glov1.tga,0,4,0,0,,0,,
171,Troll Lower Body 1,t_cth1_lbody1.tga,0,4,0,0,,0,,
172,Troll leg 1,t_cth1_leg1.tga,0,4,0,0,,0,,
173,Troll Female Head 1,t_fhed1.tga,1,4,0,0,,0,,
174,Troll Female Head 2,t_fhed2.tga,1,4,0,0,,0,,
175,Troll Female Head 3,t_fhed3.tga,1,4,0,0,,0,,
176,Troll female Head 4,t_fhed4.tga,1,4,0,0,,0,,
177,Troll Hair 1,t_hair1.tga,0,4,0,0,,0,,
178,Troll Hair 2,t_hair2.tga,0,4,0,0,,0,,
179,Troll Hair 3,t_hair3.tga,0,4,0,0,,0,,
180,Troll Hair 4,t_hair4.tga,0,4,0,0,,0,,
181,Troll Male Head 1,t_mhed1.tga,1,4,0,0,,0,,
182,Troll Male Head 2,t_mhed2.tga,1,4,0,0,,0,,
183,Troll Male Head 3,t_mhed3.tga,1,4,0,0,,0,,
184,Troll Male Head 4,t_mhed4.tga,1,4,0,0,,0,,
185,Female Norse Body,v_cth1_body1f.tga,0,4,0,0,,0,,
186,Male Norse Body,v_cth1_body1m.tga,0,4,0,0,,0,,
187,Norse Arms 1,v_cth1_arm1.tga,0,4,0,0,,0,,
188,Norse Boot 1,v_cth1_boot1.tga,0,4,0,0,,0,,
189,Norse Glove 1,v_cth1_glov1.tga,0,4,0,0,,0,,
190,Norse Lower body 1,v_cth1_lbody1.tga,0,4,0,0,,0,,
191,Norse Leg 1,v_cth1_leg1.tga,0,4,0,0,,0,,
192,Norse Male Head 1,v_mhed1.tga,1,4,0,0,,0,,
193,Norse Male Head 2,v_mhed2.tga,1,4,0,0,,0,,
194,Norse Male Head 3,v_mhed3.tga,1,4,0,0,,0,,
195,Norse Male Head 4,v_mhed4.tga,1,4,0,0,,0,,
196,Norse Female Head 1,v_fhed1.tga,1,4,0,0,,0,,
197,Norse Female Head 2,v_fhed2.tga,1,4,0,0,,0,,
198,Norse Female Head 3,v_fhed3.tga,1,4,0,0,,0,,
199,Norse Female Head 4,v_fhed4.tga,1,4,0,0,,0,,
206,Kobold Arms,k_cth1_arm1.tga,0,5,0,0,,0,,
207,Kobold Female Body,k_cth1_body1f.tga,0,5,0,0,,0,,
208,Kobold Male Body,k_cth1_body1m.tga,0,5,0,0,,0,,
209,Kobold Boot,k_cth1_boot1.tga,0,5,0,0,,0,,
210,Kobold lower body,k_cth1_lbody1.tga,0,5,0,0,,0,,
211,Kobold legs,k_cth1_leg1.tga,0,5,0,0,,0,,
212,Kobold female head 1,k_fhed1.tga,1,5,0,0,,0,,
213,Kobold female head 2,k_fhed2.tga,1,5,0,0,,0,,
214,Kobold female head 3,k_fhed3.tga,1,5,0,0,,0,,
215,Kobold female head 4,k_fhed4.tga,1,5,0,0,,0,,
216,Kobold male head 1,k_mhed1.tga,1,5,0,0,,0,,
217,Kobold Male head 2,k_mhed2.tga,1,5,0,0,,0,,
218,Kobold Male head 3,k_mhed3.tga,1,5,0,0,,0,,
219,Kobold Male head 4,k_mhed4.tga,1,5,0,0,,0,,
220,Kobold gloves,k_cth1_glov1.tga,0,5,0,0,,0,,
227,Dwarf Arms,d_cth1_arm1.tga,0,5,0,0,,0,,
228,Dwarf Female body 1,d_cth1_body1f.tga,0,5,0,0,,0,,
229,Dwarf male body 1,d_cth1_body1m.tga,0,5,0,0,,0,,
230,dwarf boots 1,d_cth1_boot1.tga,0,5,0,0,,0,,
231,dwarf glove 1,d_cth1_glov1.tga,0,5,0,0,,0,,
232,dwarf lower body 1,d_cth1_lbody1.tga,0,5,0,0,,0,,
233,dwarf legs 1,d_cth1_leg1.tga,0,5,0,0,,0,,
234,dwarf male head 1,d_mhed1.tga,1,5,0,0,,0,,
235,dwarf male head 2,d_mhed2.tga,1,5,0,0,,0,,
236,dwarf male head 3,d_mhed3.tga,1,5,0,0,,0,,
237,dwarf male head 4,d_mhed4.tga,1,5,0,0,,0,,
238,dwarf female head 1,d_fhed1.tga,1,5,0,0,,0,,
239,dwarf female head 2,d_fhed2.tga,1,5,0,0,,0,,
240,dwarf female head 3,d_fhed3.tga,1,5,0,0,,0,,
241,dwarf female head 4,d_fhed4.tga,1,5,0,0,,0,,
242,Cabal Pet Darkmap,giantdark.tga,2,5,0,0,,0,,
243,Cabal Pet Yellow,yellowmarble.tga,0,5,0,0,,0,,
244,Cabal Pet Red,redmarble.tga,0,5,0,0,,0,,
245,Cabal Pet Blue,bluemarble.tga,0,5,0,0,,0,,
246,Cabal Pet Green,greenmarble.tga,0,5,0,0,,0,,
247,Goblin 2 Warrior,goblin2_warrior.tga,0,5,0,0,,0,,
248,Goblin 2 Base skin,goblin2.tga,0,5,0,0,,0,,
249,Goblin 2 Shaman,goblin2_shaman.tga,0,5,0,0,,0,,
250,Goblin 2 Whelp,goblin2_whelp.tga,0,5,0,0,,0,,
251,Vendo Base,vendo.tga,0,6,0,0,,0,,
252,Vendo Warrior,vendo_warrior.tga,0,6,0,0,,0,,
253,vendo king,vendo_king.tga,0,6,0,0,,0,,
254,vendo shaman,vendo_shaman.tga,0,6,0,0,,0,,
255,Werewolf Soldier,werewolf_soldier.tga,0,6,0,0,,0,,
256,Elf Body,e_cth0_body1m.tga,0,6,0,0,,0,,
257,Elf Female Body,e_cth0_body1f.tga,0,6,0,0,,0,,
258,Elf Arms,e_cth0_arm1.tga,0,6,0,0,,0,,
259,Elf Gloves,e_cth0_glov1.tga,0,6,0,0,,0,,
260,Elf lower body,e_cth0_lbody1.tga,0,6,0,0,,0,,
261,Elf legs,e_cth0_leg1.tga,0,6,0,0,,0,,
262,Elk Boots,e_cth0_boot1.tga,0,6,0,0,,0,,
263,Firbolg male body,f_cth0_body1m.tga,0,6,0,0,,0,,
264,Firbolg female body,f_cth0_body1f.tga,0,6,0,0,,0,,
265,Firbolg arms,f_cth0_arm1.tga,0,6,0,0,,0,,
266,firbolg gloves,f_cth0_glov1.tga,0,6,0,0,,0,,
267,firbolg lower body,f_cth0_lbody1.tga,0,6,0,0,,0,,
268,firbolg legs,f_cth0_leg1.tga,0,6,0,0,,0,,
269,firbolg boots,f_cth0_boot1.tga,0,6,0,0,,0,,
270,lurikeen male body,l_cth0_body1m.tga,0,6,0,0,,0,,
271,lurikeen female body,l_cth0_body1f.tga,0,6,0,0,,0,,
272,lurikeen arms,l_cth0_arm1.tga,0,6,0,0,,0,,
273,lurikeen gloves,l_cth0_glov1.tga,0,6,0,0,,0,,
274,lurikeen lower body,l_cth0_lbody1.tga,0,6,0,0,,0,,
275,lurikeen legs,l_cth0_leg1.tga,0,6,0,0,,0,,
276,lurikeen boots,l_cth0_boot1.tga,0,6,0,0,,0,,
277,Celt male body,c_cth0_body1m.tga,0,6,0,0,,0,,
278,Celt female body,c_cth0_body1f.tga,0,6,0,0,,0,,
279,Celt arms,c_cth0_arm1.tga,0,6,0,0,,0,,
280,Celt gloves,c_cth0_glov1.tga,0,6,0,0,,0,,
281,Celt lower body,c_cth0_lbody1.tga,0,6,0,0,,0,,
282,Celt legs,c_cth0_leg1.tga,0,6,0,0,,0,,
283,Celt boots,c_cth0_boot1.tga,0,6,0,0,,0,,
284,lurikeen male head 1,l_mhed1.tga,1,6,0,0,,0,,
285,lurikeen male head 2,l_mhed2.tga,1,6,0,0,,0,,
286,lurikeen male head 3,l_mhed3.tga,1,6,0,0,,0,,
287,lurikeen male head 4,l_mhed4.tga,1,6,0,0,,0,,
288,lurikeen female head 1,l_fhed1.tga,1,6,0,0,,0,,
289,lurikeen female head 2,l_fhed2.tga,1,6,0,0,,0,,
290,lurikeen female head 3,l_fhed3.tga,1,6,0,0,,0,,
291,lurikeen female head 4,l_fhed4.tga,1,6,0,0,,0,,
292,firbolg male head 1,f_mhed1.tga,1,6,0,0,,0,,
293,firbolg male head 2,f_mhed2.tga,1,6,0,0,,0,,
294,firbolg male head 3,f_mhed3.tga,1,6,0,0,,0,,
295,firbolg male head 4,f_mhed4.tga,1,6,0,0,,0,,
296,firbolg female head 1,f_fhed1.tga,1,6,0,0,,0,,
297,firbolg female head 2,f_fhed2.tga,1,6,0,0,,0,,
298,firbolg female head 3,f_fhed3.tga,1,6,0,0,,0,,
299,firbolg female head 4,f_fhed4.tga,1,6,0,0,,0,,
1000,elf male head 1,e_mhed1.tga,1,7,0,0,,0,,
1001,elf male head 2,e_mhed2.tga,1,7,0,0,,0,,
1002,elf male head 3,e_mhed3.tga,1,7,0,0,,0,,
1003,elf male head 4,e_mhed4.tga,1,7,0,0,,0,,
1004,elf female head 1,e_fhed1.tga,1,7,0,0,,0,,
1005,elf female head 2,e_fhed2.tga,1,7,0,0,,0,,
1006,elf female head 3,e_fhed3.tga,1,7,0,0,,0,,
1007,elf female head 4,e_fhed4.tga,1,7,0,0,,0,,
1008,celt male head 1,c_mhed1.tga,1,7,0,0,,0,,
1009,celt male head 2,c_mhed2.tga,1,7,0,0,,0,,
1010,celt male head 3,c_mhed3.tga,1,7,0,0,,0,,
1011,celt male head 4,c_mhed4.tga,1,7,0,0,,0,,
1012,celt female head 1,c_fhed1.tga,1,7,0,0,,0,,
1013,celt female head 2,c_fhed2.tga,1,7,0,0,,0,,
1014,celt female head 3,c_fhed3.tga,1,7,0,0,,0,,
1015,celt female head 4,c_fhed4.tga,1,7,0,0,,0,,
1016,white hair,hair_white.tga,0,7,0,0,,0,,
1017,blonde hair,hair_blonde.tga,0,7,0,0,,0,,
1018,auburn hair,hair_auburn.tga,0,7,0,0,,0,,
1019,platinum hair,hair_plat.tga,0,7,0,0,,0,,
1020,dirty blonde hair,hair_dirtblonde.tga,0,7,0,0,,0,,
1021,black hair,hair_black.tga,0,7,0,0,,0,,
1022,brown hair,hair_brown.tga,0,7,0,0,,0,,
1023,gray hair,hair_gray.tga,0,7,0,0,,0,,
1024,dark brown hair,hair_dkbrown.tga,0,7,0,0,,0,,
1025,bright red hair,hair_brightred.tga,0,7,0,0,,0,,
1026,blue black hair,hair_blueblack.tga,0,7,0,0,,0,,
1027,green hair,hair_green.tga,0,7,0,0,,0,,
1028,pewter hair,hair_pewter.tga,0,7,0,0,,0,,
1029,teal hair,hair_teal.tga,0,7,0,0,,0,,
1030,red hair,hair_red.tga,0,7,0,0,,0,,
1031,blue hair,hair_blue.tga,0,7,0,0,,0,,
1032,werewolf leader,werewolf_leader.tga,0,7,0,0,,0,,
1033,werewolf shaman,werewolf_shaman.tga,0,7,0,0,,0,,
1034,ice lizard,icelizard.tga,0,7,0,0,,0,,
1035,green lizard,greenlizard.tga,0,7,0,0,,0,,
1036,silver lizard,silverlizard.tga,0,7,0,0,,0,,
1037,ettin 1,ettin1.tga,0,7,0,0,,0,,
1038,ogre 1,ogre1.tga,0,7,0,0,,0,,
1039,cyclops,cyclops.tga,0,7,0,0,,0,,
1040,Arachite 1,arachite01.tga,0,7,0,0,,0,,
1041,arachite 2,arachite02.tga,0,7,0,0,,0,,
1042,saracen hair,hair_sarbrowna.tga,0,7,0,0,,0,,
1043,saracen hair,hair_sardkbrowna.tga,0,7,0,0,,0,,
1044,saracen hair,hair_sarblacka.tga,0,7,0,0,,0,,
1045,saracen hair,hair_sarbrownb.tga,0,7,0,0,,0,,
1046,saracen hair,hair_sardkbrownb.tga,0,7,0,0,,0,,
1047,saracen hair,hair_sarblackb.tga,0,7,0,0,,0,,
1048,horse base skin,horse_brown.tga,0,7,0,0,,0,,
1049,Scrag base skin,scrag.tga,0,7,0,0,,0,,
1050,Evil Horse,horse_evil01.tga,0,7,0,0,,0,,
1051,bandit caster,b_band_cst01.tga,0,8,0,0,,0,,
1052,bandit female caster,b_band_cst01f.tga,0,8,0,0,,0,,
1053,bandit leader,b_band_ldr01.tga,0,8,0,0,,0,,
1054,bandit female leader,b_band_ldr01f.tga,0,8,0,0,,0,,
1055,bandit,b_band01.tga,0,8,0,0,,0,,
1056,bandit female,b_band01f.tga,0,8,0,0,,0,,
1057,bandit caster,h_band_cst01.tga,0,8,0,0,,0,,
1058,bandit female caster,h_band_cst01f.tga,0,8,0,0,,0,,
1059,bandit leader,h_band_ldr01.tga,0,8,0,0,,0,,
1060,bandit female leader,h_band_ldr01f.tga,0,8,0,0,,0,,
1061,bandit,h_band01.tga,0,8,0,0,,0,,
1062,bandit female,h_band01f.tga,0,8,0,0,,0,,
1063,bandit caster,n_band_cst01.tga,0,8,0,0,,0,,
1064,bandit female caster,n_band_ldr01f.tga,0,8,0,0,,0,,
1065,bandit leader,n_band_ldr01.tga,0,8,0,0,,0,,
1066,bandit female leader,n_band01f.tga,0,8,0,0,,0,,
1067,bandit,n_band01.tga,0,8,0,0,,0,,
1068,bandit female,n_band_cst01f.tga,0,8,0,0,,0,,
1069,Wight Base Skin,wight01.tga,0,8,0,0,,0,,
1070,lich base skin,lich01.tga,0,8,0,0,,0,,
1071,Norse male undead,n_unde01m.tga,0,8,0,0,,0,,
1072,norse female undead,n_unde01f.tga,0,8,0,0,,0,,
1073,briton female undead,b_unde01f.tga,0,8,0,0,,0,,
1074,briton male undead,b_unde01m.tga,0,8,0,0,,0,,
1075,elf undead female,e_unde01f.tga,0,8,0,0,,0,,
1076,elf male undead,e_unde01.tga,0,8,0,0,,0,,
1077,troll undead male,t_unde01.tga,0,8,0,0,,0,,
1078,white hourse,horse_white.tga,0,8,0,0,,0,,
1079,speckled horse,horse_speck.tga,0,8,0,0,,0,,
1080,dark brown horse,horse_dkbrwn.tga,0,8,0,0,,0,,
1081,black horse,horse_black.tga,0,8,0,0,,0,,
1082,avalonian undead male,a_unde01.tga,0,8,0,0,,0,,
1083,avalonian undead female,a_unde01f.tga,0,8,0,0,,0,,
1084,Snow Worm,worm_snow.tga,0,8,0,0,,0,,
1085,Snow Spider,spider_snow.tga,0,8,0,0,,0,,
1086,cockatrice base skin,cockatrice01.tga,0,8,0,0,,0,,
1087,basilisk base skin,basilisk01.tga,0,8,0,0,,0,,
1088,swamp worm,worm_swamp.tga,0,8,0,0,,0,,
1089,earthy worm,worm_earthy.tga,0,8,0,0,,0,,
1090,snow wolf,wolf_snow.tga,0,8,0,0,,0,,
1091,snow ogre,ogre_snow.tga,0,8,0,0,,0,,
1092,snow vendo,vendo_snow.tga,0,8,0,0,,0,,
1093,snow werewolf,werewolf_snow.tga,0,8,0,0,,0,,
1094,snow cat,lynx_snow.tga,0,8,0,0,,0,,
1095,snow arachite,arachite_snow.tga,0,8,0,0,,0,,
1096,Crab base skin,crab01.tga,0,8,0,0,,0,,
1097,Scorpion base skin,scorp01.tga,0,8,0,0,,0,,
1098,Briton male head 5,b_mhed5.tga,1,9,0,0,,0,,
1099,Briton male head 6,b_mhed6.tga,1,9,0,0,,0,,
1100,Briton female head 5,b_fhed5.tga,1,9,0,0,,0,,
1101,briton female head 6,b_fhed6.tga,1,9,0,0,,0,,
1102,saracen male head 5,s_mhed5.tga,1,9,0,0,,0,,
1103,saracen male head 6,s_mhed6.tga,1,10,0,0,,0,,
1104,saracen female head 5,s_fhed5.tga,1,9,0,0,,0,,
1105,saracen female head 6,s_fhed6.tga,1,9,0,0,,0,,
1106,High male head 5,h_mhed5.tga,1,9,0,0,,0,,
1107,High male head 6,h_mhed6.tga,1,9,0,0,,0,,
1108,High female head 5,h_fhed5.tga,1,9,0,0,,0,,
1109,high female head 6,h_fhed6.tga,1,9,0,0,,0,,
1110,Ava male head 5,a_mhed5.tga,1,9,0,0,,0,,
1111,ava male head 6,a_mhed6.tga,1,10,0,0,,0,,
1112,ava female head 5,a_fhed5.tga,1,9,0,0,,0,,
1113,ava female head 6,a_fhed6.tga,1,9,0,0,,0,,
1114,viking male head 5,v_mhed5.tga,1,9,0,0,,0,,
1115,viking male head 6,v_mhed6.tga,1,9,0,0,,0,,
1116,viking female head 5,v_fhed5.tga,1,9,0,0,,0,,
1117,viking female head 6,v_fhed6.tga,1,9,0,0,,0,,
1118,troll male head 5,t_mhed5.tga,1,15,0,0,,0,,
1119,troll male head 6,t_mhed6.tga,1,15,0,0,,0,,
1120,troll female head 5,t_fhed5.tga,1,9,0,0,,0,,
1121,troll female head 6,t_fhed6.tga,1,9,0,0,,0,,
1122,dwarf male head 5,d_mhed5.tga,1,9,0,0,,0,,
1123,dwarf male head 6,d_mhed6.tga,1,9,0,0,,0,,
1124,dwarf female head 5,d_fhed5.tga,1,9,0,0,,0,,
1125,dwarf female head 6,d_fhed6.tga,1,9,0,0,,0,,
1126,kobold male head 5,k_mhed5.tga,1,9,0,0,,0,,
1127,kobold male head 6,k_mhed6.tga,1,9,0,0,,0,,
1128,kobold female head 5,k_fhed5.tga,1,9,0,0,,0,,
1129,kobold female head 6,k_fhed6.tga,1,9,0,0,,0,,
1130,celtic male head 5,c_mhed5.tga,1,9,0,0,,0,,
1131,celtic male head 6,c_mhed6.tga,1,9,0,0,,0,,
1132,celtic female head 5,c_fhed5.tga,1,9,0,0,,0,,
1133,celtic female head 6,c_fhed6.tga,1,9,0,0,,0,,
1134,lurikeen male head 5,l_mhed5.tga,1,9,0,0,,0,,
1135,lurikeen male head 6,l_mhed6.tga,1,9,0,0,,0,,
1136,lurikeen female head 5,l_fhed5.tga,1,9,0,0,,0,,
1137,lurikeen female head 6,l_fhed6.tga,1,9,0,0,,0,,
1138,firbolg male head 5,f_mhed5.tga,1,10,0,0,,0,,
1139,firbolg male head 6,f_mhed6.tga,1,10,0,0,,0,,
1140,firbolg female head 5,f_fhed5.tga,1,10,0,0,,0,,
1141,firbolg female head 6,f_fhed6.tga,1,10,0,0,,0,,
1142,elven male head 5,e_mhed5.tga,1,9,0,0,,0,,
1143,elven male head 6,e_mhed6.tga,1,9,0,0,,0,,
1144,elven female head 5,e_fhed5.tga,1,9,0,0,,0,,
1145,elven female head 6,e_fhed6.tga,1,9,0,0,,0,,
1146,Regular Rat,rat.tga,0,10,0,0,,0,,
1147,Diseased Rat,rat_diseased.tga,0,10,0,0,,0,,
1148,Polar bear,bear_polar.tga,0,10,0,0,,0,,
1149,Knotty Fellwood,tree_knotty.tga,0,10,0,0,,0,,
1150,skrag_plant.tga,skrag_plant.tga,0,10,0,0,,0,,
1151,Badger Base Skin,badger.tga,0,10,0,0,,0,,
1152,termite,termite.tga,0,11,0,0,,0,,
1153,orange frog,frog_orange.tga,0,11,0,0,,0,,
1154,faerie frog,frog_faerie.tga,0,11,0,0,,0,,
1155,blue faerie drake,drake_faerie_blue.tga,0,11,0,0,,0,,
1156,black crab,crab_black.tga,0,11,0,0,,0,,
