1000 limit,,,Use File
87,Midgard lugged spear orange to purple flame,352,
88,Midgard lugged spear hot purple flame,353,
89,Midgard lugged spear silvery glow,354,
90,Briton quarterstaff blue glow,355,
91,Briton quarterstaff blue glow w/ twinkles,356,
92,Briton quarterstaff gold glow,357,
93,Briton quarterstaff gold glow w/ twinkles,358,
94,Briton quarterstaff  faint red glow,359,
95,Relic pad effect,499,
96,Admorenth's Staff Effect (Admorenth ONLY),731,
98,Ice Fist 1,777,1
99,Fire Fist 2,778,1
100,Fire Fist 1,779,1
101,Force/Ripple Fist,780,1
102,Smoke Fist,781,1
103,Energy Fist 1,782,1
104,Energy Fist 2,784,1
105,ADR_DSL_Hib_flex_thrust_sfx,836,1
106,ADR_DSL_Hib_flex_slash_sfx,837,1
107,ADR_DSL_Hib_flex_blunt_sfx,838,1
108,ADR_DSL_Hib_bow_short_sfx,839,1
109,ADR_DSL_Hib_bow_long_sfx,840,1
110,ADR_DSL_Hib_bow_cross_sfx,841,1
111,ADR_DSL_Hib_2h_sword_thrust_sfx,842,1
112,ADR_DSL_Hib_2h_sword_slash_sfx,843,1
113,ADR_DSL_Hib_2h_hammer_blunt_sfx,844,1
114,ADR_DSL_Hib_2h_axe_sfx,845,1
115,ADR_DSL_Hib_1h_sword_thrust_offhand_sfx,846,1
116,ADR_DSL_Hib_1h_sword_thrust_mainhand_sfx,847,1
117,ADR_DSL_Hib_1h_sword_slash_offhand_sfx,848,1
118,ADR_DSL_Hib_1h_sword_slash_mainhand_sfx,849,1
119,ADR_DSL_Hib_1h_hammer_blunt_offhand_sfx,850,1
120,ADR_DSL_Hib_1h_hammer_blunt_mainhand_sfx,851,1
121,ADR_DSL_Hib_1h_axe_offhand_sfx,852,1
122,ADR_DSL_Hib_1h_axe_mainhand_sfx,853,1
123,ADR_DSL_Hib_Shield_Small_sfx,854,1
124,ADR_DSL_Hib_Shield_Medium_sfx,855,1
125,ADR_DSL_Hib_Shield_Large_sfx,856,1
126,ADR_DSL_Hib_scythe_sfx,857,1
127,ADR_DSL_Hib_quiver_sfx,858,1
128,ADR_DSL_Hib_quarterstaff_sfx,859,1
129,ADR_DSL_Hib_pole-arm_spear_thrust_sfx,860,1
130,ADR_DSL_Hib_pole-arm_spear_slash_sfx,861,1
131,ADR_DSL_Hib_pole-arm_blunt_sfx,862,1
132,ADR_DSL_Hib_magicstaff_sfx,863,1
133,ADR_DSL_Hib_harp_sfx,864,1
134,ADR_DSL_Hib_H2h_thrust_offhand_sfx,865,1
135,ADR_DSL_Hib_H2h_thrust_mainhand_sfx,866,1
136,ADR_DSL_Hib_H2h_slash_offhand_sfx,867,1
137,ADR_DSL_Hib_H2h_slash_mainhand_sfx,868,1
138,ADR_DSL_Hib_H2h_blunt_offhand_sfx,869,1
139,ADR_DSL_Hib_H2h_blunt_mainhand_sfx,870,1
140,ADR_DSL_Mid_Flex_thrust_sfx,871,1
141,ADR_DSL_Mid_H2h_blunt_mainhand_sfx,872,1
142,ADR_DSL_Mid_H2h_blunt_offhand_sfx,873,1
143,ADR_DSL_Mid_H2h_slash_mainhand_sfx,874,1
144,ADR_DSL_Mid_H2h_slash_offhand_sfx,875,1
145,ADR_DSL_Mid_H2h_thrust_mainhand_sfx,876,1
146,ADR_DSL_Mid_H2h_thrust_offhand_sfx,877,1
147,ADR_DSL_Mid_harp_sfx,878,1
148,ADR_DSL_Mid_magicstaff_sfx,879,1
149,ADR_DSL_Mid_pole-arm_blunt_sfx,880,1
150,ADR_DSL_Mid_pole-arm_spear_slash_sfx,881,1
151,ADR_DSL_Mid_pole-arm_spear_thrust_sfx,882,1
152,ADR_DSL_Mid_quarterstaff_sfx,883,1
153,ADR_DSL_Mid_quiver_sfx,884,1
154,ADR_DSL_Mid_scythe_sfx,885,1
155,ADR_DSL_Mid_Shield_Large_sfx,886,1
156,ADR_DSL_Mid_Shield_Medium_sfx,887,1
157,ADR_DSL_Mid_Shield_Small_sfx,888,1
158,ADR_DSL_Mid_1h_axe_mainhand_sfx,889,1
159,ADR_DSL_Mid_1h_axe_offhand_sfx,890,1
160,ADR_DSL_Mid_1h_hammer_blunt_mainhand_sfx,891,1
161,ADR_DSL_Mid_1h_hammer_blunt_offhand_sfx,892,1
162,ADR_DSL_Mid_1h_sword_slash_mainhand_sfx,893,1
163,ADR_DSL_Mid_1h_sword_slash_offhand_sfx,894,1
164,ADR_DSL_Mid_1h_sword_thrust_mainhand_sfx,895,1
165,ADR_DSL_Mid_1h_sword_thrust_offhand_sfx,896,1
166,ADR_DSL_Mid_2h_axe_sfx,897,1
167,ADR_DSL_Mid_2h_hammer_blunt_sfx,898,1
168,ADR_DSL_Mid_2h_sword_slash_sfx,899,1
169,ADR_DSL_Mid_2h_sword_thrust_sfx,900,1
170,ADR_DSL_Mid_bow_cross_sfx,901,1
171,ADR_DSL_Mid_bow_long_sfx,902,1
172,ADR_DSL_Mid_bow_short_sfx,903,1
173,ADR_DSL_Mid_Flex_blunt_sfx,904,1
174,ADR_DSL_Mid_Flex_slash_sfx,905,1
175,ADR_DSL_Alb_1h_sword_slash_offhand_sfx,906,1
176,ADR_DSL_Alb_1h_sword_slash_mainhand_sfx,907,1
177,ADR_DSL_Alb_1h_hammer_blunt_offhand_sfx,908,1
178,ADR_DSL_Alb_1h_hammer_blunt_mainhand_sfx,909,1
179,ADR_DSL_Alb_1h_axe_offhand_sfx,910,1
180,ADR_DSL_Alb_1h_axe_mainhand_sfx,911,1
181,ADR_DSL_Alb_Shield_Small_sfx,912,1
182,ADR_DSL_Alb_Shield_Medium_sfx,913,1
183,ADR_DSL_Alb_Shield_Large_sfx,914,1
184,ADR_DSL_Alb_scythe_sfx,915,1
185,ADR_DSL_Alb_quiver_sfx,916,1
186,ADR_DSL_Alb_quarterstaff_sfx,917,1
187,ADR_DSL_Alb_pole-arm_spear_thrust_sfx,918,1
188,ADR_DSL_Alb_pole-arm_spear_slash_sfx,919,1
189,ADR_DSL_Alb_pole-arm_blunt_sfx,920,1
190,ADR_DSL_Alb_magicstaff_sfx,921,1
191,ADR_DSL_Alb_harp_sfx,922,1
192,ADR_DSL_Alb_H2h_thrust_offhand_sfx,923,1
193,ADR_DSL_Alb_H2h_thrust_mainhand_sfx,924,1
194,ADR_DSL_Alb_H2h_slash_offhand_sfx,925,1
195,ADR_DSL_Alb_H2h_slash_mainhand_sfx,926,1
196,ADR_DSL_Alb_H2h_blunt_offhand_sfx,927,1
197,ADR_DSL_Alb_H2h_blunt_mainhand_sfx,928,1
198,ADR_DSL_Alb_Flex_thrust_sfx,929,1
199,ADR_DSL_Alb_Flex_slash_sfx,930,1
200,ADR_DSL_Alb_Flex_blunt_sfx,931,1
201,ADR_DSL_Alb_bow_short_sfx,932,1
202,ADR_DSL_Alb_bow_long_sfx,933,1
203,ADR_DSL_Alb_bow_cross_sfx,934,1
204,ADR_DSL_Alb_2h_sword_thrust_sfx,935,1
205,ADR_DSL_Alb_2h_sword_slash_sfx,936,1
206,ADR_DSL_Alb_2h_hammer_blunt_sfx,937,1
207,ADR_DSL_Alb_2h_axe_sfx,938,1
208,ADR_DSL_Alb_1h_sword_thrust_offhand_sfx,939,1
209,ADR_DSL_Alb_1h_sword_thrust_mainhand_sfx,940,1
256,Paladin Epic Two Handed Slash,601,1
257,Hero Epic Blunt,603,1
258,Warrior Epic One Handed Axe,604,1
259,Hero_Piercing_2H,605,1
260,Hero_Spear_2H,606,1
261,Hero_Spear_1H,607,1
262,Hero_Piercing_1H,608,1
263,Hero_Blunt_2H,609,1
264,Hero_Blade_2H,610,1
265,Hero_Blade_1H,611,1
266,Reaver_Sword_1H,612,1
267,palladin_Slash_1h,613,1
268,palladin_Thrust_2H,614,1
269,palladin_Thrust_1H,615,1
270,Reaver_Thrust_1H,616,1
271,Reaver_Crush_1H,617,1
272,Warrior_Sword_1H,618,1
273,Warrior_Hammer_2H,619,1
274,Warrior_Hammer_1H,620,1
275,Warrior_Axe_2H,621,1
276,Warrior_Sword_2H,622,1
277,Reaver_Flex_1H,623,1
278,palladin_Crush_2H,624,1
279,palladin_Crush_1H,625,1
280,Armsman_Thrust_2H,626,1
281,Armsman_Crush_1H,627,1
282,Armsman_Crush_2H,628,1
283,Armsman_Pole_S,629,1
284,Armsman_Sword_1H,630,1
285,Armsman_Sword_2H,631,1
286,Armsman_Thrust_1H,632,1
287,Mercenary_T,633,1
288,Mercenary_C,634,1
289,Mercenary_S,635,1
290,minstrel_T,636,1
291,minstrel_S,637,1
292,minstrel_H,638,1
293,infiltrator_T,639,1
294,Infiltrator_S,640,1
295,sfx_epic_wpn_Armsman_Pole_C,641,1
296,Heretic_flexS_1H,642,1
297,Heretic_crush_1H,643,1
298,Heretic_flexC_1H,644,1
299,sfx_epic_wpn_cleric_C,645,1
300,Scout_Bow,646,1
301,Scout_T,647,1
302,Scout_S,648,1
303,sfx_epic_wpn_skald_axe_1h,649,1
304,sfx_epic_wpn_skald_hammer_1h,650,1
305,sfx_epic_wpn_skald_sword_1h,651,1
306,sfx_epic_wpn_skald_hammer_2h,652,1
307,sfx_epic_wpn_skald_axe_2h,653,1
308,sfx_epic_wpn_skald_sword_2h,654,1
309,sfx_epic_Druid_Crush_1H,655,1
310,sfx_epic_Druid_Blade_1H,656,1
311,sfx_epic_wpn_savage_sword_1h,657,1
312,sfx_epic_wpn_savage_sword_2h,658,1
313,sfx_epic_wpn_savage_axe_1h,659,1
314,sfx_epic_Warden_Blade_1H,660,1
315,sfx_epic_Warden_Crush_1H,661,1
316,sfx_epic_Friar_Staff&Crush,662,1
317,sfx_epic_Necromancer_Staff,663,1
318,sfx_epic_wpn_savage_axe_2h,664,1
319,sfx_epic_wpn_savage_hth,665,1
320,sfx_epic_wpn_savage_hammer_1h,666,1
321,sfx_epic_wpn_savage_hammer_2h,667,1
322,sfx_epic_wpn_valkyrie_sword_1h,668,1
323,sfx_epic_wpn_valkyrie_sword_2h,669,1
324,sfx_epic_Ranger_Bow,670,1
325,sfx_epic_Ranger_Pierce_1H,671,1
326,sfx_epic_Ranger_Slash_1H,672,1
327,sfx_epic_wpn_valkyrie_spear,673,1
328,sfx_epic_wpn_Sorcerer_St,674,1
329,sfx_epic_wpn_hunter_sword_2h,675,1
330,sfx_epic_wpn_hunter_sword_1H,676,1
331,sfx_epic_wpn_hunter_spear,677,1
332,sfx_epic_wpn_hunter_bow,678,1
333,sfx_epic_Blademaster_Pierce_1H,679,1
334,sfx_epic_Blademaster_Slash_1H,680,1
335,sfx_epic_Blademaster_Crush_1H,681,1
336,sfx_epic_wpn_thane_sword_2h,682,1
337,sfx_epic_wpn_thane_sword_1h,683,1
338,sfx_epic_wpn_thane_axe_2h,684,1
339,sfx_epic_wpn_thane_axe_1h,685,1
340,sfx_epic_Bainshee_Staff,686,1
341,sfx_epic_Animist_Staff,687,1
342,sfx_epic_Eldritch_Staff,688,1
343,sfx_epic_Enchanter_Staff,689,1
344,sfx_epic_wpn_thane_hammer_2h,690,1
345,sfx_epic_wpn_thane_hammer_1h,691,1
346,sfx_epic_wpn_shadowblade_sword_2h,692,1
347,sfx_epic_wpn_shadowblade_sword_1h,693,1
348,sfx_epic_Mentalist_Staff,694,1
349,sfx_epic_Valewalker_Sy,695,1
350,sfx_epic_wpn_shadowblade_axe_1h,696,1
351,sfx_epic_wpn_shadowblade_axe_2h,697,1
352,sfx_epic_Healer_Crush_2H,698,1
353,sfx_epic_Healer_Crush_1H,699,1
354,sfx_epic_Spiritmaster_Staff,700,1
355,sfx_epic_wpn_Cabalist_st,701,1
356,sfx_epic_wpn_Theurgist_St,702,1
357,sfx_epic_wpn_Vampiir_T,703,1
358,sfx_epic_wpn_Wizard_St,704,1
359,sfx_epic_wpn_Runemaster_St,710,1
360,sfx_epic_Shaman_Crush_1H,711,1
361,sfx_epic_Bonedancer_Staff,712,1
362,sfx_epic_Warlock_Staff,713,1
363,sfx_epic_Shaman_Crush_2H,714,1
364,sfx_epic_wpn_Champion_Slash_2h,715,1
365,sfx_epic_wpn_Champion_Slash_1h,716,1
366,sfx_epic_wpn_Champion_Pierce_1h,717,1
367,sfx_epic_wpn_Champion_Crush_2h,718,1
368,sfx_epic_wpn_Champion_Crush_1h,719,1
369,sfx_epic_wpn_nightshade_T,720,1
370,sfx_epic_wpn_nightshade_S,721,1
371,sfx_epic_wpn_berserker_axe_2h,722,1
372,sfx_epic_wpn_berserker_axe_1h,723,1
373,sfx_epic_wpn_berserker_sword_2h,724,1
374,sfx_epic_wpn_berserker_sword_1h,725,1
375,sfx_epic_wpn_berserker_hammer_2h,726,1
376,sfx_epic_wpn_berserker_hammer_1h,727,1
377,sfx_epic_wpn_Bard_Blade_1H,728,1
378,sfx_epic_wpn_Bard_Crush_1H,729,1
379,sfx_epic_wpn_Bard_Harp,730,1
380,sfx_AlbMauler_Staff01,785,1
381,sfx_HibMauler_Staff01,786,1
382,sfx_MidMauler_Staff01,787,1
383,sfx_MidMauler_Punch01,790,1
384,sfx_HibMauler_Punch01,791,1
385,sfx_AlbMauler_Punch01,792,1
386,VFX_epic_DF_wpn_Armsman_thrust_2H01,945,1
387,VFX_epic_DF_wpn_Armsman_Crush_1H01,946,1
388,VFX_epic_DF_wpn_Armsman_Crush_2H01,947,1
389,VFX_epic_DF_wpn_Armsman_pole_C01,948,1
390,VFX_epic_DF_wpn_Armsman_pole_S01,949,1
391,VFX_epic_DF_wpn_Armsman_sword_1H01,950,1
392,VFX_epic_DF_wpn_Armsman_sword_2H01,951,1
393,VFX_epic_DF_wpn_Armsman_thrust_1H01,952,1
394,VFX_Epic_wpn_DF_Paladin_thrust_2H,953,1
395,VFX_Epic_wpn_DF_Paladin_thrust_1H,954,1
396,VFX_Epic_wpn_DF_Paladin_slash_2H,955,1
397,VFX_Epic_wpn_DF_Paladin_slash_1H,956,1
398,VFX_Epic_wpn_DF_Paladin_crush_2H,957,1
399,VFX_Epic_wpn_DF_Paladin_crush_1H,958,1
400,VFX_Epic_wpn_DF_Eldritch_Epic_Staff,959,1
401,VFX_Epic_wpn_DF_Enchanter_Epic_Staff,960,1
402,VFX_Epic_wpn_DF_Mentalist_Epic_Staff,961,1
403,VFX_Epic_wpn_DF_Animist_Epic_Staff,962,1
404,VFX_Epic_wpn_DF_Bainshee_Epic_Staff,963,1
405,VFX_Epic_wpn_DF_Valewalker_Epic_Scythe,964,1
406,VFX_Epic_wpn_DF_Vampiir_Epic_Pierce,965,1
407,VFX_Epic_wpn_DF_Nightshade_Epic_Blade,966,1
408,VFX_Epic_wpn_DF_Nightshade_Epic_Pierce,967,1
409,VFX_Epic_wpn_DF_Bard_Epic_Blade,968,1
410,VFX_Epic_wpn_DF_Bard_Epic_Blunt,969,1
411,VFX_Epic_wpn_DF_Bard_Epic_Drum,970,1
412,VFX_Epic_wpn_DF_Bard_Epic_Flute,971,1
413,VFX_Epic_wpn_DF_Bard_Epic_Harp,972,1
414,VFX_Epic_wpn_DF_Bard_Epic_Lute,973,1
415,VFX_Epic_wpn_DF_Ranger_Epic_Pierce,974,1
416,VFX_Epic_wpn_DF_Ranger_Epic_Blade,975,1
417,VFX_Epic_wpn_DF_Hib_Recurve_Bow,976,1
418,VFX_Epic_wpn_DF_Blademaster_Epic_Blade,977,1
419,VFX_Epic_wpn_DF_Blademaster_Epic_Pierce,978,1
420,VFX_Epic_wpn_DF_Blademaster_Epic_Blunt,979,1
421,VFX_Epic_wpn_DF_Druid_Epic_Blade,980,1
422,VFX_Epic_wpn_DF_Druid_Epic_Blunt,981,1
423,VFX_Epic_wpn_DF_Warden_Epic_Blade,982,1
424,VFX_Epic_wpn_DF_Warden_Epic_Blunt,983,1
425,VFX_Epic_wpn_DF_Champion_Epic_Blade,984,1
426,VFX_Epic_wpn_DF_Champion_Epic_Pierce,985,1
427,VFX_Epic_wpn_DF_Champion_Epic_Blunt,986,1
428,VFX_Epic_wpn_DF_Champion_Epic_Large_Blade,987,1
429,VFX_Epic_wpn_DF_Champion_Epic_Large_Blunt,988,1
430,VFX_Epic_wpn_DF_Hero_Epic_Blade,989,1
431,VFX_Epic_wpn_DF_Hero_Epic_Pierce,990,1
432,VFX_Epic_wpn_DF_Hero_Epic_Blunt,991,1
433,VFX_Epic_wpn_DF_Hero_Epic_Large_Blade,992,1
434,VFX_Epic_wpn_DF_Hero_Epic_Large_Blunt,993,1
435,VFX_Epic_wpn_DF_Hero_Epic_Large_Pierce,994,1
436,VFX_Epic_wpn_DF_Hero_Epic_Celtic_Spear,995,1
437,VFX_Epic_wpn_DF_Hero_Epic_Celtic_2H_Spear,996,1
438,VFX_Epic_wpn_DF_Cabalist_Epic_Staff,997,1
439,VFX_Epic_wpn_DF_Sorcerer_Epic_Staff,998,1
440,VFX_Epic_wpn_DF_Theurgist_Epic_Staff,999,1
441,VFX_Epic_wpn_DF_Wizard_Epic_Staff,1000,1
442,VFX_Epic_wpn_DF_Necromancer_Epic_Staff,1001,1
443,VFX_Epic_wpn_DF_Infiltrator_Epic_Slash,1002,1
444,VFX_Epic_wpn_DF_Infiltrator_Epic_Thrust,1003,1
445,VFX_Epic_wpn_DF_Friar_Epic_Staff,1004,1
446,VFX_Epic_wpn_DF_Friar_Epic_Crush,1005,1
447,VFX_Epic_wpn_DF_Scout_Epic_Slash,1006,1
448,VFX_Epic_wpn_DF_Scout_Epic_Thrust,1007,1
449,VFX_Epic_wpn_DF_Scout_Epic_Longbow,1008,1
450,VFX_Epic_wpn_DF_Minstrel_Epic_Slash,1009,1
451,VFX_Epic_wpn_DF_Minstrel_Epic_Thrust,1010,1
452,VFX_Epic_wpn_DF_Minstrel_Epic_Drum,1011,1
453,VFX_Epic_wpn_DF_Minstrel_Epic_Flute,1012,1
454,VFX_Epic_wpn_DF_Minstrel_Epic_Harp,1013,1
455,VFX_Epic_wpn_DF_Minstrel_Epic_Lute,1014,1
456,VFX_Epic_wpn_DF_Cleric_Epic_Crush,1015,1
457,VFX_Epic_wpn_DF_Mercenary_Epic_Crush,1016,1
458,VFX_Epic_wpn_DF_Mercenary_Epic_Slash,1017,1
459,VFX_Epic_wpn_DF_Mercenary_Epic_Thrust,1018,1
460,VFX_Epic_wpn_DF_Heretic_Epic_Crush,1019,1
461,VFX_Epic_wpn_DF_Heretic_Epic_Flex_Crush,1020,1
462,VFX_Epic_wpn_DF_Heretic_Epic_Flex_Slash,1021,1
463,VFX_Epic_wpn_DF_Reaver_Epic_Crush,1022,1
464,VFX_Epic_wpn_DF_Reaver_Epic_Slash,1023,1
465,VFX_Epic_wpn_DF_Reaver_Epic_Thrust,1024,1
466,VFX_Epic_wpn_DF_Reaver_Epic_Flex_Crush,1025,1
467,VFX_Epic_wpn_DF_Reaver_Epic_Flex_Crush,1026,1
468,VFX_Epic_wpn_DF_Runemaster_Epic_Staff,1027,1
469,VFX_Epic_wpn_DF_Spirit_Master_Epic_Staff,1028,1
470,VFX_Epic_wpn_DF_Bonedancer_Epic_Staff,1029,1
471,VFX_Epic_wpn_DF_Warlock_Epic_Staff,1030,1
472,VFX_Epic_wpn_DF_Shadowblade_Epic_Sword,1031,1
473,VFX_Epic_wpn_DF_Shadowblade_Epic_Two_Handed_Sword,1032,1
474,VFX_Epic_wpn_DF_Shadowblade_Epic_Axe,1033,1
475,VFX_Epic_wpn_DF_Shadowblade_Epic_Two_Handed_Axe,1034,1
476,VFX_Epic_wpn_DF_Hunter_Epic_Sword,1035,1
477,VFX_Epic_wpn_DF_Hunter_Epic_Two_Handed_Sword,1036,1
478,VFX_Epic_wpn_DF_Hunter_Epic_Spear_Thrust,1037,1
479,VFX_Epic_wpn_DF_Hunter_Epic_Bow,1038,1
480,VFX_Epic_wpn_DF_Berzerker_Epic_Axe,1039,1
481,VFX_Epic_wpn_DF_Berzerker_Epic_Two_Handed_Axe,1040,1
482,VFX_Epic_wpn_DF_Berzerker_Epic_Hammer,1041,1
483,VFX_Epic_wpn_DF_Berzerker_Epic_Two_Handed_Hammer,1042,1
484,VFX_Epic_wpn_DF_Berzerker_Epic_Sword,1043,1
485,VFX_Epic_wpn_DF_Berzerker_Epic_Two_Handed_Sword,1044,1
486,VFX_Epic_wpn_DF_Savage_Epic_Axe,1045,1
487,VFX_Epic_wpn_DF_Savage_Epic_Two_Handed_Axe,1046,1
488,VFX_Epic_wpn_DF_Savage_Epic_Hammer,1047,1
489,VFX_Epic_wpn_DF_Savage_Epic_Two_Handed_Hammer,1048,1
490,VFX_Epic_wpn_DF_Savage_Epic_Sword,1049,1
491,VFX_Epic_wpn_DF_Savage_Epic_Two_Handed_Sword,1050,1
492,VFX_Epic_wpn_DF_Savage_Epic_Hand_to_Hand_Slash,1051,1
493,VFX_Epic_wpn_DF_Savage_Epic_Hand_to_Hand_Crush,1052,1
494,VFX_Epic_wpn_DF_Healer_Epic_Hammer,1053,1
495,VFX_Epic_wpn_DF_Healer_Epic_Two_Handed_Hammer,1054,1
496,VFX_Epic_wpn_DF_Shaman_Epic_Hammer,1055,1
497,VFX_Epic_wpn_DF_Shaman_Epic_Two_Handed_Hammer,1056,1
498,VFX_Epic_wpn_DF_Skald_Epic_Axe,1057,1
499,VFX_Epic_wpn_DF_Skald_Epic_Two_Handed_Axe,1058,1
500,VFX_Epic_wpn_DF_Skald_Epic_Hammer,1059,1
501,VFX_Epic_wpn_DF_Skald_Epic_Two_Handed_Hammer,1060,1
502,VFX_Epic_wpn_DF_Skald_Epic_Sword,1061,1
503,VFX_Epic_wpn_DF_Skald_Epic_Two_Handed_Sword,1062,1
504,VFX_Epic_wpn_DF_Thane_Epic_Axe,1063,1
505,VFX_Epic_wpn_DF_Thane_Epic_Two_Handed_Axe,1064,1
506,VFX_Epic_wpn_DF_Thane_Epic_Hammer,1065,1
507,VFX_Epic_wpn_DF_Thane_Epic_Two_Handed_Hammer,1066,1
508,VFX_Epic_wpn_DF_Thane_Epic_Sword,1067,1
509,VFX_Epic_wpn_DF_Thane_Epic_Two_Handed_Sword,1068,1
510,VFX_Epic_wpn_DF_Warrior_Epic_Axe,1069,1
511,VFX_Epic_wpn_DF_Warrior_Epic_Two_Handed_Axe,1070,1
512,VFX_Epic_wpn_DF_Warrior_Epic_Hammer,1071,1
513,VFX_Epic_wpn_DF_Warrior_Epic_Two_Handed_Hammer,1072,1
514,VFX_Epic_wpn_DF_Warrior_Epic_Sword,1073,1
515,VFX_Epic_wpn_DF_Warrior_Epic_Two_Handed_Sword,1074,1
516,VFX_Epic_wpn_DF_Valkyrie_Epic_Sword,1075,1
517,VFX_Epic_wpn_DF_Valkyrie_Epic_Two_Handed_Sword,1076,1
518,VFX_Epic_wpn_DF_Valkyrie_Epic_Spear_Thrust,1077,1
519,VFX_Epic_wpn_DF_Valkyrie_Epic_Spear_Slash,1078,1
520,VFX_Championweapon_DF_MidMauler_Staff01,1079,1
521,VFX_Championweapon_DF_AlbMauler_Punch01,1080,1
522,VFX_Championweapon_DF_AlbMauler_Staff01,1081,1
523,VFX_Championweapon_DF_HibMauler_Punch01,1082,1
524,VFX_Championweapon_DF_HibMauler_Staff01,1083,1
525,VFX_Championweapon_DF_MidMauler_Punch01,1084,1
526,B_2h_Coffinhammer01_VFX_Energy,1085,1
527,B_2h_InquisitorsPick01_VFX_Energy,1086,1
528,B_2h_RoyalScimitar01_VFX_Energy,1087,1
529,B_bo_SaracenShortbow01_VFX_Energy,1088,1
530,B_bo_ThornBow01_VFX_Energy,1089,1
531,B_Cr_BishopsMace01_VFX_Energy,1090,1
532,B_Cr_CoffinMace01_VFX_Energy,1091,1
533,B_flx_PickFlail01_VFX_Energy,1092,1
534,B_flx_SpikedFlail01_VFX_Energy,1093,1
535,B_Po_MilitaryFork01_VFX_Energy,1094,1
536,B_Po_SaracenGlaive01_VFX_Energy,1095,1
537,B_Po_TallHammer01_VFX_Energy,1096,1
538,B_sl_Cinquedea01_VFX_Energy,1097,1
539,B_sl_Falchion01_VFX_Energy,1098,1
540,b_st_magestaff01_VFX_Energy,1099,1
541,B_st_SpikedStaffMace01_VFX_Energy,1100,1
542,B_th_DuelistsDagger01_VFX_Energy,1101,1
543,B_th_DuelistsRapier01_VFX_Energy,1102,1
544,B_xbo_SkinnersCrossbow01_VFX_Energy,1103,1
545,H_1h_FirbolgLongSword01_VFX_Energy,1104,1
546,H_1h_FirbolgShortSword01_VFX_Energy,1105,1
547,H_2h_FirbolgHammer01_VFX_Energy,1106,1
