Information,,Skin,,Archive,Expansion,
47,chnBody05_01_f.dds,chnBody05_01_f.dds,0,10,4,
48,chnBody05_01_m.dds,chnBody05_01_m.dds,0,10,4,
49,chnBody05_02_f.dds,chnBody05_02_f.dds,0,10,4,
50,chnBody05_02_m.dds,chnBody05_02_m.dds,0,10,4,
51,chnBody05_03_f.dds,chnBody05_03_f.dds,0,10,4,
52,chnBody05_03_m.dds,chnBody05_03_m.dds,0,10,4,
53,chnBody05_04_f.dds,chnBody05_04_f.dds,0,10,4,
54,chnBody05_04_m.dds,chnBody05_04_m.dds,0,10,4,
55,chnBody05_05_f.dds,chnBody05_05_f.dds,0,10,4,
56,chnBody05_05_m.dds,chnBody05_05_m.dds,0,10,4,
57,chnBody05_06_f.dds,chnBody05_06_f.dds,0,10,4,
58,chnBody05_06_m.dds,chnBody05_06_m.dds,0,10,4,
59,chnBody05_07_f.dds,chnBody05_07_f.dds,0,10,4,
60,chnBody05_07_m.dds,chnBody05_07_m.dds,0,10,4,
61,chnBody05_08_f.dds,chnBody05_08_f.dds,0,10,4,
62,chnBody05_08_m.dds,chnBody05_08_m.dds,0,10,4,
63,chnBody05_09_f.dds,chnBody05_09_f.dds,0,10,4,
64,chnBody05_09_m.dds,chnBody05_09_m.dds,0,10,4,
65,chnBody05_10_f.dds,chnBody05_10_f.dds,0,10,4,
66,chnBody05_10_m.dds,chnBody05_10_m.dds,0,10,4,
67,chnBody05_11_f.dds,chnBody05_11_f.dds,0,10,4,
68,chnBody05_11_m.dds,chnBody05_11_m.dds,0,10,4,
69,chnbody1_09.dds,chnbody1_09.dds,0,10,4,
70,chnBoots01_01.dds,chnBoots01_01.dds,0,10,4,
71,chnBoots01_01_bump.dds,chnBoots01_01_bump.dds,0,10,4,
72,chnBoots01_01_gloss.dds,chnBoots01_01_gloss.dds,0,10,4,
73,chnBoots01_02.dds,chnBoots01_02.dds,0,10,4,
74,chnBoots01_03.dds,chnBoots01_03.dds,0,10,4,
75,chnBoots01_04.dds,chnBoots01_04.dds,0,10,4,
76,chnBoots01_05.dds,chnBoots01_05.dds,0,10,4,
77,chnBoots01_06.dds,chnBoots01_06.dds,0,10,4,
78,chnBoots01_07.dds,chnBoots01_07.dds,0,10,4,
79,chnBoots01_08.dds,chnBoots01_08.dds,0,10,4,
80,chnBoots01_09.dds,chnBoots01_09.dds,0,10,4,
81,chnBoots01_10.dds,chnBoots01_10.dds,0,10,4,
82,chnBoots01_11.dds,chnBoots01_11.dds,0,10,4,
83,chnBoots01_Epic_Shaman.dds,chnBoots01_Epic_Shaman.dds,0,10,4,
84,chnBoots01_Epic_Thane.dds,chnBoots01_Epic_Thane.dds,0,10,4,
85,chnBoots01_Epic_Warrior.dds,chnBoots01_Epic_Warrior.dds,0,10,4,
86,chnGloves01_01.dds,chnGloves01_01.dds,0,10,4,
87,chnGloves01_01_bump.dds,chnGloves01_01_bump.dds,0,10,4,
88,chnGloves01_01_gloss.dds,chnGloves01_01_gloss.dds,0,10,4,
89,chnGloves01_02.dds,chnGloves01_02.dds,0,10,4,
90,chnGloves01_03.dds,chnGloves01_03.dds,0,10,4,
91,chnGloves01_04.dds,chnGloves01_04.dds,0,10,4,
92,chnGloves01_05.dds,chnGloves01_05.dds,0,10,4,
93,chnGloves01_06.dds,chnGloves01_06.dds,0,10,4,
94,chnGloves01_07.dds,chnGloves01_07.dds,0,10,4,
95,chnGloves01_08.dds,chnGloves01_08.dds,0,10,4,
96,chnGloves01_09.dds,chnGloves01_09.dds,0,10,4,
97,chnGloves01_10.dds,chnGloves01_10.dds,0,10,4,
98,chnGloves01_11.dds,chnGloves01_11.dds,0,10,4,
99,chnGloves01_Epic_Shaman.dds,chnGloves01_Epic_Shaman.dds,0,10,4,
100,chnGloves01_Epic_Thane.dds,chnGloves01_Epic_Thane.dds,0,10,4,
101,chnGloves01_Epic_Warrior.dds,chnGloves01_Epic_Warrior.dds,0,10,4,
102,chnLeg1_05.dds,chnLeg1_05.dds,0,10,4,
103,chnLegs01_05.dds,chnLegs01_05.dds,0,10,4,
104,chnLegs01_05_bump.dds,chnLegs01_05_bump.dds,0,10,4,
105,chnLegs01_05_gloss.dds,chnLegs01_05_gloss.dds,0,10,4,
111,cthArm01_lea01_TOA_A.dds,cthArm01_lea01_TOA_A.dds,0,11,4,
112,cthArms01_01.dds,cthArms01_01.dds,0,11,4,
113,ctharms01_02.dds,ctharms01_02.dds,0,11,4,
114,ctharms01_03.dds,ctharms01_03.dds,0,11,4,
115,ctharms01_04.dds,ctharms01_04.dds,0,11,4,
116,ctharms01_05.dds,ctharms01_05.dds,0,11,4,
117,cthArms01_chn01.dds,cthArms01_chn01.dds,0,11,4,
118,cthArms01_chn01_TOA_A.dds,cthArms01_chn01_TOA_A.dds,0,11,4,
119,cthArms01_chn01_TOA_O.dds,cthArms01_chn01_TOA_O.dds,0,11,4,
120,cthArms01_chn01_TOA_S.dds,cthArms01_chn01_TOA_S.dds,0,11,4,
121,cthArms01_chn01_TOA_V.dds,cthArms01_chn01_TOA_V.dds,0,11,4,
122,cthArms01_chn02.dds,cthArms01_chn02.dds,0,11,4,
123,cthArms01_chn03.dds,cthArms01_chn03.dds,0,11,4,
124,cthArms01_chn04.dds,cthArms01_chn04.dds,0,11,4,
125,cthArms01_chn05.dds,cthArms01_chn05.dds,0,11,4,
126,cthArms01_chn06.dds,cthArms01_chn06.dds,0,11,4,
127,cthArms01_chn07.dds,cthArms01_chn07.dds,0,11,4,
128,cthArms01_chn08.dds,cthArms01_chn08.dds,0,11,4,
129,cthArms01_chn09.dds,cthArms01_chn09.dds,0,11,4,
130,cthArms01_chn10.dds,cthArms01_chn10.dds,0,11,4,
131,cthArms01_chn11.dds,cthArms01_chn11.dds,0,11,4,
132,ctharms01_eirene_TOA_O.dds,ctharms01_eirene_TOA_O.dds,0,11,4,
133,cthArms01_Epic_Armsman.dds,cthArms01_Epic_Armsman.dds,0,11,4,
134,ctharms01_Epic_Bard.dds,ctharms01_Epic_Bard.dds,0,11,4,
135,cthArms01_Epic_Bezerker.dds,cthArms01_Epic_Bezerker.dds,0,11,4,
136,cthArms01_Epic_Blademaster.dds,cthArms01_Epic_Blademaster.dds,0,11,4,
137,cthArms01_Epic_Champion.dds,cthArms01_Epic_Champion.dds,0,11,4,
138,cthArms01_Epic_Cleric.dds,cthArms01_Epic_Cleric.dds,0,11,4,
139,cthArms01_Epic_Druid.dds,cthArms01_Epic_Druid.dds,0,11,4,
140,cthArms01_Epic_Healer.dds,cthArms01_Epic_Healer.dds,0,11,4,
141,cthArms01_Epic_Hero.dds,cthArms01_Epic_Hero.dds,0,11,4,
142,cthArms01_Epic_Hunter.dds,cthArms01_Epic_Hunter.dds,0,11,4,
143,cthArms01_Epic_Infiltrator.dds,cthArms01_Epic_Infiltrator.dds,0,11,4,
144,cthArms01_Epic_merc.dds,cthArms01_Epic_merc.dds,0,11,4,
145,cthArms01_Epic_Minstrel.dds,cthArms01_Epic_Minstrel.dds,0,11,4,
146,cthArms01_Epic_nitshade.dds,cthArms01_Epic_nitshade.dds,0,11,4,
147,cthArms01_Epic_Paladin.dds,cthArms01_Epic_Paladin.dds,0,11,4,
148,cthArms01_Epic_Ranger.dds,cthArms01_Epic_Ranger.dds,0,11,4,
149,cthArms01_Epic_Reaver.dds,cthArms01_Epic_Reaver.dds,0,11,4,
150,cthArms01_Epic_savage.dds,cthArms01_Epic_savage.dds,0,11,4,
151,cthArms01_Epic_SBlade.dds,cthArms01_Epic_SBlade.dds,0,11,4,
152,cthArms01_Epic_Scout.dds,cthArms01_Epic_Scout.dds,0,11,4,
153,cthArms01_Epic_Shaman.dds,cthArms01_Epic_Shaman.dds,0,11,4,
154,cthArms01_Epic_Skald.dds,cthArms01_Epic_Skald.dds,0,11,4,
155,cthArms01_Epic_Thane.dds,cthArms01_Epic_Thane.dds,0,11,4,
156,cthArms01_Epic_Warden.dds,cthArms01_Epic_Warden.dds,0,11,4,
157,cthArms01_Epic_Warrior.dds,cthArms01_Epic_Warrior.dds,0,11,4,
158,ctharms01_fop_TOA_A.dds,ctharms01_fop_TOA_A.dds,0,30,4,
159,cthArms01_lea01.dds,cthArms01_lea01.dds,0,11,4,
160,cthArms01_lea01_TOA_O.dds,cthArms01_lea01_TOA_O.dds,0,11,4,
161,cthArms01_lea01_TOA_S.dds,cthArms01_lea01_TOA_S.dds,0,11,4,
162,cthArms01_lea01_TOA_V.dds,cthArms01_lea01_TOA_V.dds,0,11,4,
163,cthArms01_lea02.dds,cthArms01_lea02.dds,0,11,4,
164,cthArms01_lea03.dds,cthArms01_lea03.dds,0,11,4,
165,cthArms01_lea04.dds,cthArms01_lea04.dds,0,11,4,
166,cthArms01_lea05.dds,cthArms01_lea05.dds,0,11,4,
167,cthArms01_lea06.dds,cthArms01_lea06.dds,0,11,4,
168,cthArms01_lea07.dds,cthArms01_lea07.dds,0,11,4,
169,cthArms01_lea08.dds,cthArms01_lea08.dds,0,11,4,
170,cthArms01_lea09.dds,cthArms01_lea09.dds,0,11,4,
171,cthArms01_lea10.dds,cthArms01_lea10.dds,0,11,4,
172,cthArms01_lea11.dds,cthArms01_lea11.dds,0,11,4,
173,cthArms01_lea12.dds,cthArms01_lea12.dds,0,11,4,
174,cthArms01_plt01.dds,cthArms01_plt01.dds,0,11,4,
175,cthArms01_plt01_TOA_A.dds,cthArms01_plt01_TOA_A.dds,0,11,4,
176,cthArms01_plt01_TOA_S.dds,cthArms01_plt01_TOA_S.dds,0,11,4,
177,cthArms01_plt01_TOA_V.dds,cthArms01_plt01_TOA_V.dds,0,11,4,
178,cthArms01_plt02.dds,cthArms01_plt02.dds,0,11,4,
179,cthArms01_plt03.dds,cthArms01_plt03.dds,0,11,4,
180,cthArms01_plt04.dds,cthArms01_plt04.dds,0,11,4,
181,cthArms01_plt05.dds,cthArms01_plt05.dds,0,11,4,
182,cthArms01_ren01.dds,cthArms01_ren01.dds,0,11,4,
183,cthArms01_ren02.dds,cthArms01_ren02.dds,0,11,4,
184,cthArms01_ren03.dds,cthArms01_ren03.dds,0,11,4,
185,cthArms01_ren04.dds,cthArms01_ren04.dds,0,11,4,
186,ctharms01_scl01.dds,ctharms01_scl01.dds,0,11,4,
187,cthArms01_scl01_TOA_A.dds,cthArms01_scl01_TOA_A.dds,0,11,4,
188,cthArms01_scl01_TOA_O.dds,cthArms01_scl01_TOA_O.dds,0,11,4,
189,cthArms01_scl01_TOA_S.dds,cthArms01_scl01_TOA_S.dds,0,11,4,
190,cthArms01_scl01_TOA_V.dds,cthArms01_scl01_TOA_V.dds,0,11,4,
191,ctharms01_scl02.dds,ctharms01_scl02.dds,0,11,4,
192,ctharms01_scl03.dds,ctharms01_scl03.dds,0,11,4,
193,ctharms01_scl04.dds,ctharms01_scl04.dds,0,11,4,
194,cthArms01_ss_Bri.dds,cthArms01_ss_Bri.dds,0,11,4,
195,CthArms01_SS_Dwa.dds,CthArms01_SS_Dwa.dds,0,11,4,
196,cthArms01_SS_Fro.dds,cthArms01_SS_Fro.dds,0,11,4,
197,cthArms01_SS_Kob.dds,cthArms01_SS_Kob.dds,0,11,4,
198,cthArms01_SS_Nor.dds,cthArms01_SS_Nor.dds,0,11,4,
199,cthArms01_ss_Tro.dds,cthArms01_ss_Tro.dds,0,11,4,
200,CthArms01_SS_Val.dds,CthArms01_SS_Val.dds,0,11,4,
201,cthArms01_std01.dds,cthArms01_std01.dds,0,11,4,
202,cthArms01_std01_TOA_A.dds,cthArms01_std01_TOA_A.dds,0,11,4,
203,cthArms01_std01_TOA_O.dds,cthArms01_std01_TOA_O.dds,0,11,4,
204,cthArms01_std01_TOA_S.dds,cthArms01_std01_TOA_S.dds,0,11,4,
205,cthArms01_std01_TOA_V.dds,cthArms01_std01_TOA_V.dds,0,11,4,
206,cthArms01_std02.dds,cthArms01_std02.dds,0,11,4,
207,cthArms01_std03.dds,cthArms01_std03.dds,0,11,4,
208,cthArms01_std04.dds,cthArms01_std04.dds,0,11,4,
209,cthArms01_std05.dds,cthArms01_std05.dds,0,48,4,
210,cthArms01_std06.dds,cthArms01_std06.dds,0,11,4,
211,cthArms01_TOA_mummy.dds,cthArms01_TOA_mummy.dds,0,11,4,
212,cthArms01_TOA_O.dds,cthArms01_TOA_O.dds,0,11,4,
213,cthArms01_TOA_S.dds,cthArms01_TOA_S.dds,0,11,4,
214,cthArms01_TOA_shade.dds,cthArms01_TOA_shade.dds,0,53,4,
215,cthArms01_TOA_V.dds,cthArms01_TOA_V.dds,0,11,4,
216,ctharms01_winds_TOA_O.dds,ctharms01_winds_TOA_O.dds,0,11,4,
217,cthbody01_01_f.dds,cthbody01_01_f.dds,0,12,4,
218,cthbody01_01_m.dds,cthbody01_01_m.dds,0,12,4,
219,cthbody01_02_f.dds,cthbody01_02_f.dds,0,12,4,
220,cthbody01_02_m.dds,cthbody01_01_m.dds,0,12,4,
221,cthbody01_03_f.dds,cthbody01_03_f.dds,0,12,4,
222,cthbody01_03_m.dds,cthbody01_03_m.dds,0,12,4,
223,cthbody01_04_f.dds,cthbody01_04_f.dds,0,12,4,
224,cthbody01_04_m.dds,cthbody01_04_m.dds,0,12,4,
225,cthbody01_05_f.dds,cthbody01_05_f.dds,0,12,4,
226,cthbody01_05_m.dds,cthbody01_05_m.dds,0,12,4,
227,cthbody01_06_f.dds,cthbody01_06_f.dds,0,12,4,
228,cthbody01_06_m.dds,cthbody01_06_m.dds,0,12,4,
229,cthbody01_07_f.dds,cthbody01_07_f.dds,0,12,4,
230,cthbody01_07_m.dds,cthbody01_07_m.dds,0,12,4,
231,cthbody01_08_f.dds,cthbody01_08_f.dds,0,12,4,
232,cthbody01_08_m.dds,cthbody01_08_m.dds,0,12,4,
233,cthbody01_12_f.dds,cthbody01_12_f.dds,0,12,4,
234,cthbody01_12_m.dds,cthbody01_12_m.dds,0,12,4,
235,cthBody01_Epic_Bonedancer_f.dds,cthBody01_Epic_Bonedancer_f.dds,0,12,4,
236,cthBody01_Epic_Bonedancer_m.dds,cthBody01_Epic_Bonedancer_m.dds,0,12,4,
237,cthBody01_Scarab_TOA_S.dds,cthBody01_Scarab_TOA_S_m.dds,0,27,4,
238,CthBody01_ss_Bri_F.dds,CthBody01_ss_Bri_F.dds,0,12,4,
239,CthBody01_ss_bri_M.dds,CthBody01_ss_bri_M.dds,0,12,4,
240,CthBody01_SS_Dwa_F.dds,CthBody01_SS_Dwa_F.dds,0,12,4,
241,CthBody01_SS_Dwa_M.dds,CthBody01_SS_Dwa_M.dds,0,12,4,
242,cthBody01_SS_Fro_F.dds,cthBody01_SS_Fro_F.dds,0,12,4,
243,cthBody01_SS_Fro_M.dds,cthBody01_SS_Fro_M.dds,0,12,4,
244,cthBody01_SS_Kob_F.dds,cthBody01_SS_Kob_F.dds,0,12,4,
245,cthBody01_SS_Kob_M.dds,cthBody01_SS_Kob_M.dds,0,12,4,
246,cthBody01_SS_Nor_F.dds,cthBody01_SS_Nor_F.dds,0,12,4,
247,cthBody01_SS_Nor_M.dds,cthBody01_SS_Nor_M.dds,0,12,4,
248,CthBody01_SS_Tro_F.dds,CthBody01_SS_Tro_F.dds,0,12,4,
249,CthBody01_SS_Tro_M.dds,CthBody01_SS_Tro_M.dds,0,12,4,
250,CthBody01_SS_Val_f.dds,CthBody01_SS_Val_f.dds,0,12,4,
251,CthBody01_SS_Val_m.dds,CthBody01_SS_Val_m.dds,0,12,4,
252,cthBody01_TOA_mummy_F.dds,cthBody01_TOA_mummy_F.dds,0,12,4,
253,cthBody01_TOA_mummy_m.dds,cthBody01_TOA_mummy_m.dds,0,12,4,
254,cthBody01_TOA_shade_f.dds,cthBody01_TOA_shade_f.dds,0,53,4,
255,cthBody01_TOA_shade_m.dds,cthBody01_TOA_shade_m.dds,0,53,4,
256,cthboost01_rsch_TOA_N.dds,cthboost01_rsch_TOA_N.dds,0,13,4,
257,cthBoot01_01.dds,cthBoot01_01.dds,0,13,4,
258,cthBoot01_02.dds,cthboot01_02.dds,0,13,4,
259,cthBoot01_03.dds,cthBoot01_03.dds,0,13,4,
260,cthBoot01_04.dds,cthBoot01_04.dds,0,13,4,
261,cthBoot01_05.dds,cthBoot01_05.dds,0,13,4,
262,cthBoot01_06.dds,cthBoot01_06.dds,0,29,4,
263,cthBoot01_07.dds,cthBoot01_07.dds,0,13,4,
264,cthBoot01_08.dds,cthBoot01_08.dds,0,13,4,
265,cthBoot01_09.dds,cthBoot01_09.dds,0,13,4,
266,cthboot01_10.dds,cthboot01_10.dds,0,13,4,
267,cthboot01_rsch_TOA_A.dds,cthboot01_rsch_TOA_A.dds,0,13,4,
268,cthboot01_rsch_TOA_H.dds,cthboot01_rsch_TOA_H.dds,0,13,4,
269,cthboot01_rsch_TOA_N.dds,cthboot01_rsch_TOA_N.dds,0,13,4,
270,cthBoots01_01.dds,cthBoot01_01.dds,0,13,4,
271,cthBoots01_02.dds,cthBoot01_02.dds,0,13,4,
272,cthBoots01_03.dds,cthBoot01_03.dds,0,13,4,
273,cthBoots01_04.dds,cthBoot01_04.dds,0,13,4,
274,cthBoots01_05.dds,cthBoot01_05.dds,0,13,4,
275,cthBoots01_06.dds,cthBoot01_06.dds,0,13,4,
276,cthBoots01_07.dds,cthBoot01_07.dds,0,13,4,
277,cthBoots01_08.dds,cthBoot01_08.dds,0,13,4,
278,cthBoots01_09.dds,cthBoot01_09.dds,0,13,4,
279,cthboots01_10.dds,cthboot01_10.dds,0,13,4,
280,cthBoots01_Epic_Bonedancer.dds,cthBoots01_Epic_Bonedancer.dds,0,13,4,
281,cthboots01_rsch_TOA_A.dds,cthboots01_rsch_TOA_A.dds,0,13,4,
282,cthboots01_rsch_TOA_H.dds,cthboots01_rsch_TOA_H.dds,0,13,4,
283,CthBoots01_ss_bri.dds,CthBoots01_ss_bri.dds,0,13,4,
284,CthBoots01_SS_Dwa.dds,CthBoots01_SS_Dwa.dds,0,13,4,
285,cthBoots01_SS_Fro.dds,cthBoots01_SS_Fro.dds,0,13,4,
286,cthBoots01_SS_Kob.dds,cthBoots01_SS_Kob.dds,0,13,4,
287,cthBoots01_SS_Nor.dds,cthBoots01_SS_Nor.dds,0,13,4,
288,CthBoots01_SS_Tro.dds,CthBoots01_SS_Tro.dds,0,13,4,
289,CthBoots01_SS_Val.dds,CthBoots01_SS_Val.dds,0,13,4,
290,cthboots01_TOA_A.dds,cthBoots01_TOA_A.dds,0,29,4,
291,cthBoots01_TOA_mummy.dds,cthBoots01_TOA_mummy.dds,0,53,4,
292,cthBoots01_TOA_O.dds,cthBoots01_TOA_O.dds,0,29,4,
293,cthBoots01_TOA_S.dds,cthBoots01_TOA_S.dds,0,29,4,
294,cthBoots01_TOA_shade.dds,cthBoots01_TOA_shade.dds,0,53,4,
295,cthBoots01_TOA_V.dds,cthBoots01_TOA_V.dds,0,29,4,
296,cthBoots_Epic_Reaver.dds,cthBoots_Epic_Reaver.dds,0,13,4,
297,cthgloves01_01.dds,cthgloves01_01.dds,0,13,4,
298,cthgloves01_02.dds,cthgloves01_02.dds,0,13,4,
299,cthgloves01_03.dds,cthgloves01_03.dds,0,13,4,
300,cthgloves01_04.dds,cthgloves01_04.dds,0,13,4,
301,cthgloves01_05.dds,cthgloves01_05.dds,0,13,4,
302,cthgloves01_06.dds,cthgloves01_06.dds,0,29,4,
303,cthgloves01_07.dds,cthgloves01_07.dds,0,13,4,
304,cthgloves01_08.dds,cthgloves01_08.dds,0,13,4,
305,cthgloves01_09.dds,cthboots01_Epic_Runemaster.dds,0,39,4,
306,cthgloves01_10.dds,cthgloves01_10.dds,0,13,4,
307,cthGloves01_Epic_Bonedancer.dds,cthGloves01_Epic_Bonedancer.dds,0,13,4,
308,cthgloves01_rsch_TOA_A.dds,cthgloves01_rsch_TOA_A.dds,0,13,4,
309,cthgloves01_rsch_TOA_H.dds,cthgloves01_rsch_TOA_H.dds,0,13,4,
310,CthGloves01_ss_bri.dds,cthGloves01_SS_Bri.dds,0,39,4,
311,CthGloves01_SS_Dwa.dds,CthGloves01_SS_Dwa.dds,0,13,4,
312,cthGloves01_SS_Fro.dds,cthGloves01_SS_Fro.dds,0,13,4,
313,cthGloves01_SS_Kob.dds,cthGloves01_SS_Kob.dds,0,39,4,
314,cthGloves01_SS_Nor.dds,cthGloves01_SS_Nor.dds,0,39,4,
315,CthGloves01_SS_Tro.dds,CthGloves01_SS_Tro.dds,0,39,4,
316,CthGloves01_SS_Val.dds,CthGloves01_SS_Val.dds,0,39,4,
317,cthgloves01_TOA_A.dds,cthGloves01_TOA_A.dds,0,29,4,
318,cthGloves01_TOA_mummy.dds,cthGloves01_TOA_mummy.dds,0,53,4,
319,cthGloves01_TOA_O.dds,cthGloves01_TOA_O.dds,0,29,4,
320,cthgloves01_TOA_rsch_H.dds,cthgloves01_TOA_rsch_H.dds,0,13,4,
321,cthGloves01_TOA_S.dds,cthGloves01_TOA_S.dds,0,29,4,
322,cthGloves01_TOA_shade.dds,cthGloves01_TOA_shade.dds,0,53,4,
323,cthGloves01_TOA_V.dds,cthGloves01_TOA_V.dds,0,29,4,
324,cthLeg01_lea01_TOA_A.dds,cthLeg01_lea01_TOA_A.dds,0,14,4,
325,cthlegs01_01.dds,cthlegs01_01.dds,0,14,4,
326,cthlegs01_02.dds,cthlegs01_02.dds,0,14,4,
327,cthlegs01_03.dds,cthlegs01_03.dds,0,14,4,
328,cthlegs01_04.dds,cthlegs01_04.dds,0,14,4,
329,cthlegs01_05.dds,cthlegs01_05.dds,0,14,4,
330,cthlegs01_06.dds,cthlegs01_06.dds,0,14,4,
331,cthlegs01_07.dds,cthlegs01_07.dds,0,14,4,
332,cthlegs01_08.dds,cthlegs01_08.dds,0,14,4,
333,cthLegs01_09.dds,cthLegs01_09.dds,0,14,4,
334,cthlegs01_alvarus_TOA_O.dds,cthlegs01_alvarus_TOA_O.dds,0,14,4,
335,cthlegs01_chn01.dds,cthlegs01_chn01.dds,0,14,4,
336,cthLegs01_chn01_TOA_A.dds,cthLegs01_chn01_TOA_A.dds,0,14,4,
337,cthLegs01_chn01_TOA_O.dds,cthLegs01_chn01_TOA_O.dds,0,14,4,
338,cthLegs01_chn01_TOA_S.dds,cthLegs01_chn01_TOA_S.dds,0,14,4,
339,cthLegs01_chn01_TOA_V.dds,cthLegs01_chn01_TOA_V.dds,0,14,4,
340,cthlegs01_chn02.dds,cthlegs01_chn02.dds,0,14,4,
341,cthlegs01_chn03.dds,cthlegs01_chn03.dds,0,14,4,
342,cthlegs01_chn04.dds,cthlegs01_chn04.dds,0,14,4,
343,cthlegs01_chn05.dds,cthlegs01_chn05.dds,0,14,4,
344,cthlegs01_chn06.dds,cthlegs01_chn06.dds,0,14,4,
345,cthlegs01_chn07.dds,cthlegs01_chn07.dds,0,14,4,
346,cthlegs01_chn08.dds,cthlegs01_chn08.dds,0,14,4,
347,cthlegs01_chn09.dds,cthlegs01_chn09.dds,0,14,4,
348,cthlegs01_chn10.dds,cthlegs01_chn10.dds,0,14,4,
349,cthlegs01_chn11.dds,cthlegs01_chn11.dds,0,14,4,
350,cthLegs01_Epic_Armsman.dds,cthLegs01_Epic_Armsman.dds,0,14,4,
351,cthLegs01_Epic_Bard.dds,cthLegs01_Epic_Bard.dds,0,14,4,
352,cthLegs01_Epic_Bezerker.dds,cthLegs01_Epic_Bezerker.dds,0,14,4,
353,cthLegs01_Epic_Blademaster.dds,cthLegs01_Epic_Blademaster.dds,0,14,4,
354,cthLegs01_Epic_Bonedancer.dds,cthLegs01_Epic_Bonedancer.dds,0,14,4,
355,cthLegs01_Epic_Champion.dds,cthLegs01_Epic_Champion.dds,0,14,4,
356,cthLegs01_Epic_Cleric.dds,cthLegs01_Epic_Cleric.dds,0,14,4,
357,cthLegs01_Epic_Druid.dds,cthLegs01_Epic_Druid.dds,0,14,4,
358,cthLegs01_Epic_Healer.dds,cthLegs01_Epic_Healer.dds,0,14,4,
