Spell,Spell (level),Spell,Caster,Caster,Caster,Caster,Caster,Caster,Caster,Projectile,Target,Buildup,Pulse,Sound,Radius,Resist,Projectile,Play,Focus,Remove
84,Earth Wave,1563,35,36,37,145,146,0,34,0,34,0,0,18,294,332,,,,
85,Molten Wrap,1100,35,36,37,124,125,0,0,0,163,81,0,6,0,332,,,,
86,Greater Molten Wrap,1100,35,36,37,124,125,0,0,0,163,81,0,6,0,332,,,,
87,Molten Blanket,1101,35,36,37,124,125,0,0,0,164,81,0,6,0,332,,,,
88,Greater Molten Blanket,1101,35,36,37,124,125,0,0,0,164,81,0,6,0,332,,,,
89,Sheet of Lava,1102,35,36,37,124,125,0,0,0,264,81,0,6,0,332,,,,
;,1.83 changes,,,,,,,,,,,,,,,,,,,
90,Greater Sheet of Lava,1388,35,36,37,124,125,0,0,0,264,81,0,6,0,332,,,,
91,Sheet of Magma,1389,35,36,37,124,125,0,0,0,264,81,0,6,0,332,,,,
92,Greater Sheet of Magma,1389,35,36,37,124,125,0,0,0,264,81,0,6,0,332,,,,
;,1.83 Nearsignt,,,,,,,,,,,,,,,,,,,
93,Dusted Vision,1316,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
94,Encrusted Vision,1317,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
95,Mire Vision,1318,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
96,Soil Vision,1319,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;100,Abrasion,,,,,,,,,,,,,,,,,,,
101,Call Minor Earth Elemental,1030,38,39,40,1,2,0,0,0,190,0,0,13,0,332,,,,
102,Call Lesser Earth Elemental,1031,38,39,40,1,2,0,0,0,190,0,0,13,0,332,,,,
103,Call Earth Elemental,1032,38,39,40,1,2,0,0,0,190,0,0,13,0,332,,,,
104,Call Potent Earth Elemental,1033,38,39,40,1,2,0,0,0,190,0,0,13,0,332,,,,
105,Call Mighty Earth Elemental,1033,38,39,40,1,2,0,0,0,190,0,0,15,0,332,,,,
106,Call Supreme Earth Elemental,1033,38,39,40,1,2,0,0,0,190,0,0,15,0,332,,,,
107,Call Earthlord,1034,38,39,40,1,2,0,0,0,190,0,0,15,0,332,,,,
111,Skin of Dust,1410,32,33,34,1,2,0,0,0,35,0,0,18,0,332,,,,
112,Skin of Sand,1411,32,33,34,1,2,0,0,0,35,0,0,18,0,332,,,,
113,Skin of Earth,1412,32,33,34,1,2,0,0,0,35,0,0,18,0,332,,,,
114,Skin of Rock,1412,32,33,34,1,2,0,0,0,35,0,0,18,0,332,,,,
115,Skin of Stone,1413,32,33,34,1,2,0,0,0,35,0,0,18,0,332,,,,
116,Skin of Diamond,1414,32,33,34,1,2,0,0,0,35,0,0,18,0,332,,,,
121,Minor Friction,905,47,48,49,1,2,0,0,0,172,0,0,15,0,332,,,,
122,Lesser Friction,905,47,48,49,1,2,0,0,0,172,0,0,15,0,332,,,,
123,Friction,906,47,48,49,1,2,0,0,0,172,0,0,15,0,332,,,,
124,Major Friction,906,47,48,49,1,2,0,0,0,172,0,0,15,0,332,,,,
125,Greater Friction,907,47,48,49,1,2,0,0,0,172,0,0,16,0,332,,,,
126,Superior Friction,908,47,48,49,1,2,0,0,0,172,0,0,16,0,332,,,,
127,Paralyzing Friction,909,47,48,49,1,2,0,0,0,172,0,0,16,0,332,,,,
;,1.90 Additions,,,,,,,,,,,,,,,,,,,
128,Earth DD,424,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
129,Earth DD,425,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
130,Earth DD,426,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
131,Earth DD,427,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
132,Earth DD,428,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
133,Earth AEDD,429,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
134,Earth AEDD,430,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
135,Earth AEDD,431,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
136,Earth AEDD,432,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
137,Earth AEDD,433,35,36,37,145,146,0,0,0,34,0,0,18,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;150,Path of Ice,,,,,,,,,,,,,,,,,,,
151,Ice Cloud (Minor),1040,41,42,43,37,38,36,0,0,89,0,0,20,0,332,,,,
152,Ice Cloud,1040,41,42,43,37,38,36,0,0,89,0,0,20,0,332,,,,
153,Ice Cloud (Greater),1040,41,42,43,37,38,36,0,0,90,0,0,20,0,332,,,,
154,Ice Cloud (Potent),1041,41,42,43,37,38,36,0,0,90,0,0,20,0,332,,,,
155,Glittering Ice Cloud (Lesser),1041,41,42,43,37,38,36,0,0,91,0,0,20,0,332,,,,
156,Glittering Ice Cloud,1041,41,42,43,37,38,36,0,0,91,0,0,20,0,332,,,,
157,Glittering Ice Cloud (Major),1042,41,42,43,37,38,36,0,0,92,0,0,20,0,332,,,,
158,Ice Blast (Minor),1042,47,48,49,37,38,36,0,0,92,0,0,20,0,332,,,,
159,Ice Blast,1043,47,48,49,37,38,36,0,0,92,0,0,20,0,332,,,,
160,Ice Blast (Potent),1044,47,48,49,37,38,36,0,0,93,0,0,20,0,332,,,,
161,Ice Blast (Major),1017,47,48,49,37,38,36,0,0,93,0,0,20,0,332,,,,
171,Cold's Bitter Grip (Lesser),1045,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
172,Cold's Bitter Grip,1046,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
173,Cold's Bitter Grip (Greater),1046,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
174,Fingers Of Ice (Lesser),1047,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
175,Fingers Of Ice,1048,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
176,Fingers Of Ice (Greater),1048,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
177,Anchor Of Ice,1049,16,17,18,37,38,0,0,0,201,0,0,17,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;200,Liquifaction,,,,,,,,,,,,,,,,,,,
201,Burst of Steam  (Minor),1050,44,45,46,37,38,0,200,0,51,0,0,15,51,332,,,,
202,Burst of Steam,1050,44,45,46,37,38,0,200,0,51,0,0,15,51,332,,,,
203,Steaming Blast (Minor),1051,44,45,46,37,38,0,200,0,51,0,0,15,51,332,,,,
204,Steaming Blast,1051,44,45,46,37,38,0,200,0,51,0,0,15,51,332,,,,
205,Steaming Blast (Major),1052,44,45,46,37,38,0,200,0,265,0,0,15,265,332,,,,
206,Steaming Wind (Minor),1052,44,45,46,37,38,0,200,0,265,0,0,16,265,332,,,,
207,Steaming Wind,1053,44,45,46,37,38,0,200,0,265,0,0,16,265,332,,,,
208,Steaming Wind (Major),1054,44,45,46,37,38,0,200,0,265,0,0,16,265,332,,,,
;,1.83 change,,,,,,,,,,,,,,,,,,,
211,Ensnaring earth (Minor),1055,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
212,Ensnaring Earth (Lesser),1055,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
213,Ensnaring Earth,1055,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
214,Ensnaring Earth (Greater),1056,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
215,Ensnaring Earth (Potent),1056,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
216,Entangling Earth (Minor),1057,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
217,Entangling Earth,1057,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
218,Entangling Earth (Greater),1058,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
219,Entangling Earth (Potent),1059,47,48,49,145,146,0,34,0,171,0,0,18,0,332,,,,
221,Searing Wind (Minor),1085,47,48,49,124,125,36,0,0,90,0,0,20,0,332,,,,
222,Searing Wind (Lesser),1085,47,48,49,124,125,36,0,0,90,0,0,20,0,332,,,,
223,Searing Wind,1086,47,48,49,124,125,36,0,0,91,0,0,20,0,332,,,,
224,Searing Gust (Minor),1086,47,48,49,124,125,36,0,0,91,0,0,20,0,332,,,,
225,Searing Gust,1087,47,48,49,124,125,36,0,0,92,0,0,20,0,332,,,,
226,Searing Wave (Minor),1087,47,48,49,124,125,36,0,0,92,0,0,20,0,332,,,,
227,Searing Wave,1088,47,48,49,124,125,36,0,0,93,0,0,20,0,332,,,,
228,Searing Blast,1089,47,48,49,124,125,36,0,0,93,0,0,20,0,332,,,,
231,Simmering Cloud,1300,16,17,18,124,125,0,0,0,51,0,0,6,0,332,,,,
232,Broiling Cloud,1301,16,17,18,124,125,0,0,0,51,0,0,6,0,332,,,,
233,Sweltering Cloud,1301,47,48,49,124,125,0,0,0,51,0,0,6,0,332,,,,
234,Burning Cloud,1302,47,48,49,124,125,0,0,0,51,0,0,6,0,332,,,,
235,Torrid Cloud,1303,47,48,49,124,125,0,0,0,51,0,0,6,0,332,,,,
236,Boiling Cloud,1304,47,48,49,124,125,0,0,0,51,0,0,6,0,332,,,,
237,Cooling Tendrils,2723,41,42,43,37,38,36,0,0,90,0,0,20,0,332,,,,
238,Chilling Tendrils,2724,41,42,43,37,38,36,0,0,90,0,0,20,0,332,,,,
239,Frosting Tendrils,2725,16,17,18,37,38,40,0,0,90,0,0,20,0,332,,,,
240,Numbing Tendrils,2726,16,17,18,37,38,40,0,0,91,0,0,20,0,332,,,,
241,Freezing Tendrils,2727,16,17,18,37,38,40,0,0,91,0,0,20,0,332,,,,
242,Mitigating Cold,1591,16,17,18,37,38,40,0,0,90,0,0,20,0,332,,,,
243,Subduing Cold,1592,16,17,18,37,38,40,0,0,90,0,0,20,0,332,,,,
244,Inhibiting Cold,1593,16,17,18,37,38,40,0,0,91,0,0,20,0,332,,,,
245,Debilitating Cold,1594,16,17,18,37,38,40,0,0,91,0,0,20,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;250,Refrigeration,,,,,,,,,,,,,,,,,,,
251,Frost Blast,1395,47,48,49,37,38,36,0,0,89,0,0,20,0,332,,,,
252,Chilling Blast,1395,47,48,49,37,38,36,0,0,89,0,0,20,0,332,,,,
253,Frigid Blast,1395,47,48,49,37,38,36,0,0,90,0,0,20,0,332,,,,
254,Snow Blast,1396,47,48,49,37,38,36,0,0,90,0,0,20,0,332,,,,
255,Ice Blast,1396,47,48,49,37,38,36,0,0,91,0,0,20,0,332,,,,
256,Winter Blast,1397,47,48,49,37,38,36,0,0,91,0,0,20,0,332,,,,
257,Auroral Blast,1397,47,48,49,37,38,36,0,0,92,0,0,20,0,332,,,,
258,Hibernal Blast,1398,47,48,49,37,38,36,0,0,92,0,0,20,0,332,,,,
259,Arctic Blast,1399,47,48,49,37,38,36,0,0,93,0,0,20,0,332,,,,
261,Summon Minor Ice Spirit,1070,38,39,40,37,38,0,0,0,174,0,0,17,0,332,,,,
262,Summon Lesser Ice Spirit,1071,38,39,40,37,38,0,0,0,174,0,0,17,0,332,,,,
263,Summon Ice Spirit,1072,38,39,40,37,38,0,0,0,174,0,0,17,0,332,,,,
264,Summon Aged Ice Spirit,1073,38,39,40,37,38,0,0,0,174,0,0,17,0,332,,,,
265,Summon Elder Ice Spirit,1074,38,39,40,37,38,0,0,0,174,0,0,17,0,332,,,,
271,Field of Frost,2780,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
272,Field of Slush,2780,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
273,Field of Snow,2781,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
274,Field of Ice,2781,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
275,Floe of Snow,2782,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
276,Floe of Ice,2783,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
277,Expanse of Ice,2784,16,17,18,37,38,40,0,0,201,0,0,20,201,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;300,Path of Fire,,,,,,,,,,,,,,,,,,,
301,Summon Fire,1065,47,48,49,124,125,0,0,0,163,0,0,6,0,332,,,,
302,Fire Wind,1065,47,48,49,124,125,0,0,0,164,0,0,6,0,332,,,,
303,Circle Of Flames,1065,47,48,49,124,125,0,0,0,165,0,0,6,0,332,,,,
304,Fiery Orbs,1066,47,48,49,124,125,0,0,0,166,0,0,6,0,332,,,,
305,Fire Storm (Minor),1066,47,48,49,124,125,0,0,0,167,0,0,6,0,332,,,,
306,Fire Storrm,1067,47,48,49,124,125,0,0,0,167,0,0,6,0,332,,,,
307,Fire Storm (Major),1067,47,48,49,124,125,0,0,0,167,0,0,6,0,332,,,,
308,Fiery Maelstrom (Minor),1068,47,48,49,124,125,0,0,0,167,0,0,6,0,332,,,,
309,Fiery Maelstrom,1068,47,48,49,124,125,0,0,0,167,0,0,6,0,332,,,,
310,Fiery Maelstrom (Major),1069,47,48,49,124,125,0,0,0,167,0,0,6,0,332,,,,
311,Fire Bolt,1425,16,17,18,124,125,0,0,119,114,0,0,7,0,332,,,,
312,Fiery Bolt,1425,16,17,18,124,125,0,0,120,115,0,0,7,0,332,,,,
313,Fireball,1425,16,17,18,124,125,0,0,121,116,0,0,7,0,332,,,,
314,Reign of Fire (Minor),1426,16,17,18,124,125,0,0,122,117,0,0,7,0,332,,,,
315,Reign of Fire,1426,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
316,Reign of Fire (Major),1427,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
317,Flaming Rocks (Minor),1427,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
318,Flaming Rock,1428,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
319,Flaming Rocks (Greater),1428,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
320,Flaming Rocks (Major),1429,16,17,18,124,125,0,0,123,118,0,0,7,0,332,,,,
321,Aura of Incineration,1596,35,36,37,124,125,0,0,0,30,81,0,19,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;350,Pyromancy,,,,,,,,,,,,,,,,,,,
351,Minor Combustion,1340,16,17,18,124,125,0,0,0,163,0,0,6,0,332,,,,
352,Lesser Combustion,1340,16,17,18,124,125,0,0,0,163,0,0,6,0,332,,,,
353,Combustion,1340,16,17,18,124,125,0,0,0,164,0,0,6,0,332,,,,
354,Greater Combustion,1341,16,17,18,124,125,0,0,0,164,0,0,6,0,332,,,,
355,Major Combustion,1341,47,48,49,124,125,0,0,0,165,0,0,6,0,332,,,,
356,Minor Conflagration,1342,47,48,49,124,125,0,0,0,165,0,0,6,0,332,,,,
357,Lesser Conflagration,1342,47,48,49,124,125,0,0,0,166,0,0,12,0,332,,,,
358,Conflagration,1343,47,48,49,124,125,0,0,0,166,0,0,12,0,332,,,,
359,Greater Conflagration,1343,47,48,49,124,125,0,0,0,167,0,0,12,0,332,,,,
360,Major Conflagration,1344,47,48,49,124,125,0,0,0,167,0,0,12,0,332,,,,
361,Explosive Blast (Minor),1060,47,48,49,124,125,0,0,0,165,0,0,12,114,332,,,,
362,Explosive Blast,1060,47,48,49,124,125,0,0,0,165,0,0,12,114,332,,,,
363,Explosive Burst (Minor),1061,47,48,49,124,125,0,0,0,165,0,0,12,114,332,,,,
364,Explosive Burst,1061,47,48,49,124,125,0,0,0,166,0,0,12,114,332,,,,
365,Concussive Blast (Minor),1062,47,48,49,124,125,0,0,0,166,0,0,12,115,332,,,,
366,Concussive Blast,1062,47,48,49,124,125,0,0,0,166,0,0,12,115,332,,,,
367,Ebullient Blast (Minor),1063,47,48,49,124,125,0,0,0,167,0,0,12,115,332,,,,
368,Ebullient Blast,1064,47,48,49,124,125,0,0,0,167,0,0,12,264,332,,,,
371,Minor Fire Streak,1020,16,17,18,124,125,0,0,119,114,0,0,6,0,332,,,,
372,Fire Streak,1020,16,17,18,124,125,0,0,120,115,0,0,6,0,332,,,,
373,Minor Flame Streak,1021,16,17,18,124,125,0,0,121,116,0,0,6,0,332,,,,
374,Flame Streak,1021,16,17,18,124,125,0,0,121,116,0,0,6,0,332,,,,
375,Minor Incendiary Lance,1022,16,17,18,124,125,0,0,122,117,0,0,6,0,332,,,,
376,Incendiary Lance,1022,16,17,18,124,125,0,0,122,117,0,0,6,0,332,,,,
377,Minor Flame Spear,1023,16,17,18,124,125,0,0,123,118,0,0,6,0,332,,,,
378,Flame Spear,1024,16,17,18,124,125,0,0,123,118,0,0,6,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;400,Path of Air,,,,,,,,,,,,,,,,,,,
401,Bolstering Gust (Minor),35,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
402,Bolstering Gust,35,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
403,Bolstering Gust (Major),36,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
404,Bolstering Storm (Minor),36,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
405,Bolstering Storm,37,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
406,Bolstering Storm (Major),38,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
407,Bolstering Storm (Greater),39,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
408,Throw Weapon,1757,,,,,,,,,,,,,,,,,,
411,Brisk Wind (Minor),1430,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
412,Brisk Wind,1431,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
413,Lissome Wind (Minor),1432,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
414,Lissome Wind,1433,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
415,Lissome Wind (Major),1434,47,48,49,1,2,0,0,0,173,0,0,15,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;450,Vapormancy,,,,,,,,,,,,,,,,,,,
451,Call Lesser Air Sprite,1080,38,39,40,1,2,0,0,0,174,0,0,15,0,332,,,,
452,Call Minor Air Sprite,1081,38,39,40,1,2,0,0,0,174,0,0,15,0,332,,,,
453,Call Air Sprite,1082,38,39,40,1,2,0,0,0,174,0,0,15,0,332,,,,
454,Call Potent Air Sprite,1083,38,39,40,1,2,0,0,0,174,0,0,15,0,332,,,,
455,Call Mighty Air Sprite,1084,38,39,40,1,2,0,0,0,174,0,0,15,0,332,,,,
461,Confusing Gust (Minor),915,47,48,49,1,2,0,0,0,86,173,0,15,86,332,,,,
462,Confusing Gust,915,47,48,49,1,2,0,0,0,86,173,0,15,86,332,,,,
463,Confusing Gust (Major),916,47,48,49,1,2,0,0,0,86,173,0,15,86,332,,,,
464,Confusing Wind (Minor),917,47,48,49,1,2,0,0,0,86,174,0,15,86,332,,,,
465,Confusing Wind,918,47,48,49,1,2,0,0,0,87,174,0,15,87,332,,,,
466,Confusing Storm,919,47,48,49,1,2,0,0,0,87,174,0,15,87,332,,,,
471,Blasting Breeze,1085,41,42,43,37,38,36,0,0,172,0,0,16,0,332,,,,
472,Blasting Gust,1085,41,42,43,37,38,36,0,0,172,0,0,16,0,332,,,,
473,Blasting Winds,1086,41,42,43,37,38,36,0,0,172,0,0,16,0,332,,,,
474,Blasting Gale,1086,41,42,43,37,38,36,0,0,173,0,0,16,0,332,,,,
475,Blasting Squall,1087,41,42,43,37,38,36,0,0,173,0,0,16,0,332,,,,
476,Blasting Storm,1087,41,42,43,37,38,36,0,0,173,0,0,16,0,332,,,,
477,Blasting Cyclone,1088,47,48,49,37,38,36,0,0,174,0,0,16,0,332,,,,
478,Blasting Tempest,1088,47,48,49,37,38,36,0,0,174,0,0,16,0,332,,,,
479,Blasting Maelstrom,1089,47,48,49,37,38,36,0,0,174,0,0,16,0,332,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,
;,SORCERER,,,,,,,,,,,,,,,,,,,
;500,Matter,,,,,,,,,,,,,,,,,,,
501,Ward Blow,985,32,33,34,55,69,56,0,0,23,0,0,10,0,332,,,,
502,Fend Blow,985,32,33,34,55,69,56,0,0,23,0,0,10,0,332,,,,
503,Dampen Blow,986,32,33,34,55,69,56,0,0,23,0,0,10,0,332,,,,
504,Deflect Blow,986,32,33,34,55,69,56,0,0,23,0,0,10,0,332,,,,
505,Ward Offense,987,32,33,34,55,69,56,0,0,23,0,0,10,0,332,,,,
506,Fend Offense,987,32,33,34,55,69,80,0,0,23,0,0,10,0,332,,,,
507,Dampen Offense,988,32,33,34,55,69,80,0,0,23,0,0,10,0,332,,,,
508,Deflect Offense,988,32,33,34,55,69,80,0,0,23,0,0,10,0,332,,,,
509,Nullify Offense,989,32,33,34,55,69,80,0,0,23,0,0,10,0,332,,,,
511,Corrosive Mist,1090,35,36,37,59,76,57,0,0,65,0,0,13,0,332,,,,
512,Corrosive Fog,1090,35,36,37,59,76,57,0,0,65,0,0,13,0,332,,,,
513,Corrosive Cloud,1090,35,36,37,59,76,57,0,0,65,0,0,13,0,332,,,,
514,Corrosive Smoke,1091,35,36,37,59,76,57,0,0,65,0,0,13,0,332,,,,
515,Dissolving Mist,1091,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
516,Dissolving Fog,1091,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
517,Dissolving Cloud,1092,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
518,Dissolving Smoke,1092,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
519,Disintegrating Fog,1093,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
520,Disintegrating Cloud,1093,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
521,Disintegrating Smoke,1094,35,36,37,59,76,79,0,0,65,0,0,13,0,332,,,,
531,Barrier of Warding,1247,32,33,34,55,69,56,0,0,35,0,0,13,0,332,,,,
