Information,,NIF,Skins,,,,,,,,,,,,Sound,,,,,Head,Hug,,Obj,,Helm,Alt,Body ,cloak,Emblem,No FX,alternate,min float,max float,Combat ,,Arms,Head,LOD,Body,Mon,Legs,Body,Head,Arms,Legs,Shield,Lbody,Gloves,Boots,Gloves,Boots,Lbody,Body,Head,Arms,Gloves,Lbody,Boots,Legs,Biped,No,ForceHeld,ForceHeld,No,Shape Change,No,Cata,CatSkin,Cata Skin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,CatSkin,Cata,Cata,Cata,Cata,Cata,Cat No Armor,Cat No Armor,Cat No Armor,Cat No Armor,Cat No Armor,Cat No ,Cata Skinmode,Cata Eye Tint,Cata Skin Tint,Vampiir,Vampiir,Vampiir,Catac Alpha,Cata,Tutorial,Mount ,,
23,Flesh Wight used for Player Model,276,1069,0,0,0,0,0,0,0,0,100,85,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Small Skeleton,207,80,80,0,0,0,0,0,0,0,75,55,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Skeleton,207,81,81,0,0,0,0,0,0,0,100,75,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Large Skeleton,207,82,82,0,0,0,0,0,0,0,125,100,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,2,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Highlander Guard,210,130,1022,133,134,20,135,136,0,0,109,80,1,7,1,0,26,0,1,0,0,102,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,102,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Briton Guard,206,130,1018,133,134,132,135,136,0,0,100,75,1,8,0,0,9,0,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Brown Snake,208,86,0,0,0,0,0,0,0,0,150,25,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Green Snake,208,87,0,0,0,0,0,0,0,0,200,25,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Red Snake,208,88,0,0,0,0,0,0,0,0,250,25,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Briton Male,206,1,1022,3,5,6,4,7,79,0,100,80,1,8,0,0,9,1,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3238,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
33,Briton Male,206,1,1024,3,5,6,4,7,79,0,100,80,1,8,0,0,10,1,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3238,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
34,Briton Male,206,1,1018,3,5,6,4,7,79,0,100,80,1,8,0,0,11,1,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,582,3233,,3238,3232,3235,3236,3234,79,3237,1,1,1,,100,,,,,,,,,,,,,,,,,,
35,Briton Female,209,2,1020,3,5,6,4,7,79,0,100,78,1,11,0,0,12,1,1,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,96,,,,,,,,,,,,,,,,,,
36,Briton Female,209,2,1030,3,5,6,4,7,79,0,100,78,1,11,0,0,13,1,1,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,96,,,,,,,,,,,,,,,,,,
37,Briton Female,209,2,1017,3,5,6,4,7,79,0,100,78,1,11,0,0,14,1,1,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,96,,,,,,,,,,,,,,,,,,
38,Briton Female,209,2,1022,3,5,6,4,7,79,0,100,78,1,11,0,0,15,1,1,0,1,96,0,94,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,608,3310,,3309,6231,3235,3236,3234,79,3308,2,1,1,,96,,,,,,,,,,,,,,,,,,
39,High Male,210,16,1021,18,19,20,21,22,79,0,109,88,1,7,1,0,24,2,1,0,0,102,0,100,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,102,,,,,,,,,,,,,,1,,,,,,,594,3597,6058,3603,3232,3602,3600,3601,79,,5,1,1,1,110,,,,,,,,,,,,,,,,,,
40,High Male,210,16,1024,18,19,20,21,22,79,0,109,88,1,7,1,0,25,2,1,0,0,102,0,100,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,102,,,,,,,,,,,,,,1,,,,,,,594,3597,6058,3604,3232,3602,3600,3601,79,,5,1,1,1,110,,,,,,,,,,,,,,,,,,
41,High Male,210,16,1018,18,19,20,21,22,79,0,109,88,1,7,1,0,26,2,1,0,0,102,0,100,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,102,,,,,,,,,,,,,,1,,,,,,,594,3597,6058,3605,3232,3602,3600,3601,79,,5,1,1,1,110,,,,,,,,,,,,,,,,,,
42,High Male,210,16,1020,18,19,20,21,22,79,0,109,88,1,7,1,0,27,2,1,0,0,102,0,100,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,102,,,,,,,,,,,,,,1,,,,,,,594,3597,6058,3606,3232,3602,3600,3601,79,,5,1,1,1,110,,,,,,,,,,,,,,,,,,
43,High Female,211,17,1025,18,19,20,21,22,79,0,109,83,1,10,1,0,28,2,1,0,1,96,0,95,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,595,3598,6058,3609,6234,3602,6240,3601,79,,6,1,1,1,105,,,,,,,,,,,,,,,,,,
44,High Female,211,17,1023,18,19,20,21,22,79,0,109,83,1,10,1,0,29,2,1,0,1,96,0,95,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,595,3598,6058,3610,6234,3602,6240,3601,79,,6,1,1,1,105,,,,,,,,,,,,,,,,,,
45,High Female,211,17,1021,18,19,20,21,22,79,0,109,83,1,10,1,0,30,2,1,0,1,96,0,95,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,595,3598,6058,3611,6234,3602,6240,3601,79,,6,1,1,1,105,,,,,,,,,,,,,,,,,,
46,High Female,211,17,1024,18,19,20,21,22,79,0,109,83,1,10,1,0,31,2,1,0,1,96,0,95,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,595,3598,6058,3612,6234,3602,6240,3601,79,,6,1,1,1,105,,,,,,,,,,,,,,,,,,
47,Small Grey Wolf,212,97,0,0,0,0,0,0,0,0,50,50,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Saracen Male,213,32,1042,34,35,36,37,38,79,0,100,80,1,8,1,1,39,13,2,0,0,100,0,103,1,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,584,3633,,3639,3635,3638,3636,3637,79,,3,,1,,101,,,,,,,,,,,,,,,,,,
49,Saracen Male,213,32,1043,34,35,36,37,38,79,0,100,80,1,8,1,1,40,13,2,0,0,100,0,103,1,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,584,3633,,3640,3635,3638,3636,3637,79,,3,,1,,101,,,,,,,,,,,,,,,,,,
50,Saracen Male,213,32,1044,34,35,36,37,38,79,0,100,80,1,8,1,1,41,13,2,0,0,100,0,103,1,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,584,3633,,3641,3635,3638,3636,3637,79,,3,,1,,101,,,,,,,,,,,,,,,,,,
51,Saracen Male,213,32,1045,34,35,36,37,38,79,0,100,80,1,8,1,1,42,13,2,0,0,100,0,103,1,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,584,3633,,3642,3635,3638,3636,3637,79,,3,,1,,101,,,,,,,,,,,,,,,,,,
52,Saracen Female,214,33,1046,34,35,36,37,38,79,0,100,78,1,11,1,1,44,13,2,0,1,96,0,98,2,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,585,3634,,3645,3635,3638,3636,3637,79,,4,,1,,97,,,,,,,,,,,,,,,,,,
53,Saracen Female,214,33,1047,34,35,36,37,38,79,0,100,78,1,11,1,1,45,13,2,0,1,96,0,98,2,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,585,3634,,3646,3635,3638,3636,3637,79,,4,,1,,97,,,,,,,,,,,,,,,,,,
54,Saracen Female,214,33,1042,34,35,36,37,38,79,0,100,78,1,11,1,1,46,13,2,0,1,96,0,98,2,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,585,3634,,3647,3635,3638,3636,3637,79,,4,,1,,97,,,,,,,,,,,,,,,,,,
55,Saracen Female,214,33,1043,34,35,36,37,38,79,0,100,78,1,11,1,1,47,13,2,0,1,96,0,98,2,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,585,3634,,3648,3635,3638,3636,3637,79,,4,,1,,97,,,,,,,,,,,,,,,,,,
56,Large Grey Wolf,212,97,0,0,0,0,0,0,0,0,100,65,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Small Goblin  ,215,99,0,0,0,0,0,0,0,0,100,50,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Large Goblin  ,215,99,0,0,0,0,0,0,0,0,135,70,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Small Black Spider,216,103,0,0,0,0,0,0,0,0,65,50,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Large Black Spider,216,103,0,0,0,0,0,0,0,0,100,65,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Avalonian Male,217,49,1019,51,53,54,52,55,79,0,112,89,1,9,0,0,56,3,1,0,0,98,0,93,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,1,,,,,,,590,3651,,3657,3653,3656,3654,3655,79,,7,,1,,113,,,,,,,,,,,,,,,,,,
62,Avalonian Male,217,49,1030,51,53,54,52,55,79,0,112,89,1,9,0,0,57,3,1,0,0,98,0,93,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,1,,,,,,,590,3651,,3658,3653,3656,3654,3655,79,,7,,1,,113,,,,,,,,,,,,,,,,,,
63,Avalonian Male,217,49,1020,51,53,54,52,55,79,0,112,89,1,9,0,0,58,3,1,0,0,98,0,93,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,1,,,,,,,590,3651,,3659,3653,3656,3654,3655,79,,7,,1,,113,,,,,,,,,,,,,,,,,,
64,Avalonian Male,217,49,1017,51,53,54,52,55,79,0,112,89,1,9,0,0,59,3,1,0,0,98,0,93,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,1,,,,,,,590,3651,,3660,3653,3656,3654,3655,79,,7,,1,,113,,,,,,,,,,,,,,,,,,
65,Avalonian Female,218,50,1019,51,53,54,52,55,79,0,112,87,1,12,0,0,60,3,1,0,1,92,0,90,3,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,92,,,,,,,,,,,,,,1,,,,,,,591,3652,,3663,3653,3656,3654,3655,79,,8,,1,,112,,,,,,,,,,,,,,,,,,
66,Avalonian Female,218,50,1030,51,53,54,52,55,79,0,112,87,1,12,0,0,61,3,1,0,1,92,0,90,3,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,92,,,,,,,,,,,,,,1,,,,,,,591,3652,,3664,3653,3656,3654,3655,79,,8,,1,,112,,,,,,,,,,,,,,,,,,
67,Avalonian Female,218,50,1019,51,53,54,52,55,79,0,112,87,1,12,0,0,62,3,1,0,1,92,0,90,3,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,92,,,,,,,,,,,,,,1,,,,,,,591,3652,,3665,3653,3656,3654,3655,79,,8,,1,,112,,,,,,,,,,,,,,,,,,
68,Avalonian Female,218,50,1016,51,53,54,52,55,79,0,112,87,1,12,0,0,63,3,1,0,1,92,0,90,3,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,92,,,,,,,,,,,,,,1,,,,,,,591,3652,,3666,3653,3656,3654,3655,79,,8,,1,,112,,,,,,,,,,,,,,,,,,
69,Small Goblin Whelp,215,100,0,0,0,0,0,0,0,0,100,65,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Large Goblin Whelp,215,100,0,0,0,0,0,0,0,0,135,85,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Small Brown Spider,216,104,0,0,0,0,0,0,0,0,65,50,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Large Brown Spider,216,104,0,0,0,0,0,0,0,0,100,65,1,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Saracen Guard,213,130,1042,133,134,132,135,136,0,0,100,75,1,8,1,1,41,0,1,0,0,100,0,102,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,100,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Avalonian Guard,217,130,1023,133,134,132,135,136,0,0,112,84,1,9,0,0,59,0,1,0,0,98,0,93,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,98,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,High Female Merchant 1,211,115,1021,116,117,20,119,120,0,0,109,84,1,10,1,0,29,0,1,0,1,96,0,95,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,595,3598,6058,3612,6234,3602,6240,3601,79,,6,1,,1,105,,,,,,,,,,,,,,,,,,
76,High Female Merchant 2,211,122,1024,123,124,20,119,120,0,0,109,84,1,10,1,0,30,0,2,0,1,96,0,95,0,0,1,1,0,0,0,0,0,0,0,0,1419,0,0,0,0,0,0,0,96,,,,,,,,,,,,,,1,,,,,,,595,3598,6058,3612,6234,3602,6240,3601,79,,6,1,,1,105,,,,,,,,,,,,,,,,,,
