Information,, ,,,,,,,,,,,,,,,,,
111,Hair Tint 15,116,116,198,,,,,,,,,,,,,,,
112,Hair Tint 16,20,64,58,,,,,,,,,,,,,,,
113,Hair Tint 17,81,86,255,,,,,,,,,,,,,,,
114,Hair Tint 18,117,90,110,,,,,,,,,,,,,,,
115,Hair Tint 19,52,177,255,,,,,,,,,,,,,,,
116,Hair Tint 20,210,196,43,,,,,,,,,,,,,,,
117,Hair Tint 21,108,58,179,,,,,,,,,,,,,,,
118,Hair Tint 22,127,60,67,,,,,,,,,,,,,,,
119,Hair Tint 23,116,116,198,,,,,,,,,,,,,,,
120,Hair Tint 24,81,86,255,,,,,,,,,,,,,,,
121,Hair Tint 25,110,107,59,,,,,,,,,,,,,,,
122,Hair Tint 26,210,43,62,,,,,,,,,,,,,,,
123,Hair Tint 27,167,172,17,,,,,,,,,,,,,,,
124,Hair Tint 28,84,50,24,,,,,,,,,,,,,,,
125,Hair Tint 29,255,243,176,,,,,,,,,,,,,,,
126,Hair Tint 30,245,186,192,,,,,,,,,,,,,,,
127,Hair Tint 31,78,72,86,,,,,,,,,,,,,,,
128,Hair Tint 32,151,59,26,,,,,,,,,,,,,,,
129,Hair Tint 33,62,188,2,,,,,,,,,,,,,,,
130,Hair Tint 34,6,197,119,,,,,,,,,,,,,,,
131,Hair Tint 35,180,175,97,,,,,,,,,,,,,,,
132,Sylvan Hair 1,232,126,77,,,,,,,,,,,,,,,
133,Sylvan Hair 2,221,232,77,,,,,,,,,,,,,,,
134,Sylvan Hair 3,60,181,103,,,,,,,,,,,,,,,
135,Sylvan Hair 4,199,111,161,,,,,,,,,,,,,,,
136,Sylvan Hair 5,87,119,114,,,,,,,,,,,,,,,
137,Sylvan Hair 6,78,128,120,,,,,,,,,,,,,,,
138,Sylvan Hair 7,119,117,157,,,,,,,,,,,,,,,
139,Sylvan Hair 8,157,117,126,,,,,,,,,,,,,,,
140,Sylvan Hair 9,169,140,104,,,,,,,,,,,,,,,
141,Sylvan Hair 10,82,217,175,,,,,,,,,,,,,,,
142,Sylvan Hair 11,164,109,201,,,,,,,,,,,,,,,
143,Saracen Skin 2,223,207,166,,,,,,,,,,,,,,,
144,Saracen Skin 3,168,150,151,,,,,,,,,,,,,,,
145,Saracen Skin 4,152,127,111,,,,,,,,,,,,,,,
146,Saracen Skin 5,129,97,97,,,,,,,,,,,,,,,
147,Saracen Skin 6,112,69,69,,,,,,,,,,,,,,,
148,Saracen Skin 7,60,40,40,,,,,,,,,,,,,,,
149,Saracen Skin 8,24,0,0,,,,,,,,,,,,,,,
150,Inconu Skin 2,189,172,172,,,,,,,,,,,,,,,
151,Inconu Skin 3,160,159,202,,,,,,,,,,,,,,,
152,Inconu Skin 4,159,202,191,,,,,,,,,,,,,,,
153,Inconu Skin 5,181,194,166,,,,,,,,,,,,,,,
154,Inconu Skin 6,134,118,138,,,,,,,,,,,,,,,
155,Inconu Skin 7,107,120,148,,,,,,,,,,,,,,,
156,Inconu Skin 8,77,104,120,,,,,,,,,,,,,,,
157,HalfO Skin 2,255,200,155,,,,,,,,,,,,,,,
158,HalfO Skin 3,255,240,155,,,,,,,,,,,,,,,
159,HalfO Skin 4,174,188,196,,,,,,,,,,,,,,,
160,HalfO Skin 5,207,138,95,,,,,,,,,,,,,,,
161,HalfO Skin 6,207,186,95,,,,,,,,,,,,,,,
162,HalfO Skin 7,106,117,122,,,,,,,,,,,,,,,
163,HalfO Skin 8,121,87,94,,,,,,,,,,,,,,,
164,Sara Eye 1,67,49,66,,,,,,,,,,,,,,,
165,Sara Eye 2,81,35,45,,,,,,,,,,,,,,,
166,Sara Eye 3,72,33,25,,,,,,,,,,,,,,,
167,Sara Eye 4,72,50,25,,,,,,,,,,,,,,,
168,Sara Eye 5,6,5,2,,,,,,,,,,,,,,,
169,Sara Eye 6,93,42,26,,,,,,,,,,,,,,,
170,Sara Eye 7,82,66,59,,,,,,,,,,,,,,,
171,Sara Eye 8,54,69,75,,,,,,,,,,,,,,,
172,Inc Eye 1,207,138,95,,,,,,,,,,,,,,,
173,Inc Eye 2,219,178,83,,,,,,,,,,,,,,,
174,Inc Eye 3,196,189,171,,,,,,,,,,,,,,,
175,Inc Eye 4,176,201,88,,,,,,,,,,,,,,,
176,Inc Eye 5,77,154,115,,,,,,,,,,,,,,,
177,Inc Eye 6,67,123,163,,,,,,,,,,,,,,,
178,Inc Eye 7,67,68,163,,,,,,,,,,,,,,,
179,Inc Eye 8,132,88,142,,,,,,,,,,,,,,,
180,Half O Eye 1,104,126,156,,,,,,,,,,,,,,,
181,Half O Eye 2,83,151,75,,,,,,,,,,,,,,,
182,Half O Eye 3,138,109,101,,,,,,,,,,,,,,,
183,Half O Eye 4,110,60,32,,,,,,,,,,,,,,,
184,Half O Eye 5,32,17,9,,,,,,,,,,,,,,,
185,Half O Eye 6,46,44,126,,,,,,,,,,,,,,,
186,Half O Eye 7,89,42,87,,,,,,,,,,,,,,,
187,Half O Eye 8,113,29,37,,,,,,,,,,,,,,,
188,No tint,255,255,255,,,,,,,,,,,,,,,
189,Hair tint,54,29,90,,,,,,,,,,,,,,,
190,Sylvan Eye Tint 1,159,71,0,,,,,,,,,,,,,,,
191,Sylvan Eye Tint 2,159,116,0,,,,,,,,,,,,,,,
192,Sylvan Eye Tint 3,135,159,0,,,,,,,,,,,,,,,
193,Sylvan Eye Tint 4,0,123,2,,,,,,,,,,,,,,,
194,Sylvan Eye Tint 5,0,80,159,,,,,,,,,,,,,,,
195,Sylvan Eye Tint 6,67,38,173,,,,,,,,,,,,,,,
196,Sylvan Eye Tint 7,120,81,130,,,,,,,,,,,,,,,
197,Sylvan Eye Tint 8,172,38,50,,,,,,,,,,,,,,,
198,Sylvan Skin Tint 1,255,255,255,,,,,,,,,,,,,,,
199,Sylvan Skin Tint 2,149,183,239,,,,,,,,,,,,,,,
200,Sylvan Skin Tint 3,239,205,149,,,,,,,,,,,,,,,
201,Sylvan Skin Tint 4,48,88,153,,,,,,,,,,,,,,,
202,Sylvan Skin Tint 5,153,114,48,,,,,,,,,,,,,,,
203,Sylvan Skin Tint 6,48,58,74,,,,,,,,,,,,,,,
204,Sylvan Skin Tint 7,74,102,44,,,,,,,,,,,,,,,
205,Sylvan Skin Tint 8,106,44,28,,,,,,,,,,,,,,,
206,Firbolg Skin Tint 1,255,255,255,,,,,,,,,,,,,,,
207,Firbolg Skin Tint 2,255,194,157,,,,,,,,,,,,,,,
208,Firbolg Skin Tint 3,151,190,213,,,,,,,,,,,,,,,
209,Firbolg Skin Tint 4,213,151,206,,,,,,,,,,,,,,,
210,Firbolg Skin Tint 5,150,142,140,,,,,,,,,,,,,,,
211,Firbolg Skin Tint 6,189,131,100,,,,,,,,,,,,,,,
212,Firbolg Skin Tint 7,114,77,146,,,,,,,,,,,,,,,
213,Firbolg Skin Tint 8,58,0,8,,,,,,,,,,,,,,,
214,Shar Skin Tint 1,255,255,255,,,,,,,,,,,,,,,
215,Shar Skin Tint 2,186,179,255,,,,,,,,,,,,,,,
216,Shar Skin Tint 3,174,222,207,,,,,,,,,,,,,,,
217,Shar Skin Tint 4,192,180,141,,,,,,,,,,,,,,,
218,Shar Skin Tint 5,155,98,97,,,,,,,,,,,,,,,
219,Shar Skin Tint 6,130,91,123,,,,,,,,,,,,,,,
220,Shar Skin Tint 7,115,137,149,,,,,,,,,,,,,,,
221,Shar Skin Tint 8,101,59,47,,,,,,,,,,,,,,,
222,Celt Bainshee Skin,16,103,22,,,,,,,,,,,,,,,
223,Bainshee Eyes,0,0,0,,,,,,,,,,,,,,,
224,Saracen Tint,127,80,20,,,,,,,,,,,,,,,
225,Saracen Tint,80,50,17,,,,,,,,,,,,,,,
226,Saracen Tint,108,80,110,,,,,,,,,,,,,,,
227,Red Tint,255,0,0,,,,,,,,,,,,,,,
228,Celt Blue Hair,255,130,52,,,,,,,,,,,,,,,
229,Avalonians,140,96,47,,,,,,,,,,,,,,,
230,Avalonians,174,186,240,,,,,,,,,,,,,,,
231,Avalonians,207,174,133,,,,,,,,,,,,,,,
232,Avalonians,255,235,200,,,,,,,,,,,,,,,
233,Avalonians,243,201,122,,,,,,,,,,,,,,,
234,Avalonians,219,211,147,,,,,,,,,,,,,,,
235,Avalonians,125,142,170,,,,,,,,,,,,,,,
236,,224,224,224,,,,,,,,,,,,,,,
237,,192,192,192,,,,,,,,,,,,,,,
238,,128,128,128,,,,,,,,,,,,,,,
239,,255,196,136,,,,,,,,,,,,,,,
240,,245,137,90,,,,,,,,,,,,,,,
241,,233,226,150,,,,,,,,,,,,,,,
242,,170,234,268,,,,,,,,,,,,,,,
243,,194,148,149,,,,,,,,,,,,,,,
244,,140,140,140,,,,,,,,,,,,,,,
245,,140,192,20,,,,,,,,,,,,,,,
246,,27,167,118,,,,,,,,,,,,,,,
247,,139,62,48,,,,,,,,,,,,,,,
248,,73,79,86,,,,,,,,,,,,,,,
249,,220,235,248,,,,,,,,,,,,,,,
250,,140,96,47,,,,,,,,,,,,,,,
251,,174,186,240,,,,,,,,,,,,,,,
252,,207,174,133,,,,,,,,,,,,,,,
253,,150,116,78,,,,,,,,,,,,,,,
254,,255,235,200,,,,,,,,,,,,,,,
255,,243,201,122,,,,,,,,,,,,,,,
256,,219,211,147,,,,,,,,,,,,,,,
257,,125,142,170,,,,,,,,,,,,,,,
258,,213,170,145,,,,,,,,,,,,,,,
259,,228,157,105,,,,,,,,,,,,,,,
260,,143,151,72,,,,,,,,,,,,,,,
261,,40,63,170,,,,,,,,,,,,,,,
262,,153,179,238,,,,,,,,,,,,,,,
263,,33,117,167,,,,,,,,,,,,,,,
264,,67,165,218,,,,,,,,,,,,,,,
265,,145,145,145,,,,,,,,,,,,,,,
266,,108,108,108,,,,,,,,,,,,,,,
267,,186,173,173,,,,,,,,,,,,,,,
268,,119,100,100,,,,,,,,,,,,,,,
269,,80,80,80,,,,,,,,,,,,,,,
270,,138,171,196,,,,,,,,,,,,,,,
271,,187,234,238,,,,,,,,,,,,,,,
272,,142,124,89,,,,,,,,,,,,,,,
273,NPC Vamp Skin,0,0,77,,,,,,,,,,,,,,,
274,Albion King,255,255,255,,,,,,,,,,,,,,,
275,Midgard King,255,255,255,,,,,,,,,,,,,,,
276,Hibernian King,255,255,255,,,,,,,,,,,,,,,
277,Minotaur Skin 1,255,255,255,,,,,,,,,,,,,,,
278,Minotaur Skin 2,255,206,196,,,,,,,,,,,,,,,
279,Minotaur Skin 3,255,219,178,,,,,,,,,,,,,,,
280,Minotaur Skin 4,209,160,108,,,,,,,,,,,,,,,
281,Minotaur Skin 5,183,133,142,,,,,,,,,,,,,,,
282,Minotaur Skin 6,150,92,38,,,,,,,,,,,,,,,
283,Minotaur Skin 7,111,74,56,,,,,,,,,,,,,,,
284,Minotaur Skin 8,80,50,14,,,,,,,,,,,,,,,
285,Hibernian Mino Skin 1,255,255,255,,,,,,,,,,,,,,,
286,Hibernian Mino Skin 2,230,227,238,,,,,,,,,,,,,,,
287,Hibernian Mino Skin 3,209,206,227,,,,,,,,,,,,,,,
288,Hibernian Mino Skin 4,184,179,208,,,,,,,,,,,,,,,
289,Hibernian Mino Skin 5,159,155,182,,,,,,,,,,,,,,,
290,Hibernian Mino Skin 6,140,136,162,,,,,,,,,,,,,,,
291,Hibernian Mino Skin 7,116,113,136,,,,,,,,,,,,,,,
292,Hibernian Mino Skin 8,100,98,114,,,,,,,,,,,,,,,
293,Bainshee Skin Tint 2,16,22,103,,,,,,,,,,,,,,,
