,,0,1
57,,N_emblem_017.dds,0
58,,N_emblem_018.dds,0
59,,N_emblem_019.dds,0
60,,N_emblem_020.dds,0
61,,N_emblem_021.dds,0
62,,N_emblem_022.dds,0
63,,N_emblem_023.dds,0
64,,N_emblem_024.dds,0
65,,N_emblem_025.dds,0
66,,N_emblem_026.dds,0
67,,N_emblem_027.dds,0
68,,N_emblem_028.dds,0
69,,N_emblem_029.dds,0
70,,N_emblem_030.dds,0
71,,N_emblem_031.dds,0
72,,N_emblem_032.dds,0
73,,N_emblem_033.dds,0
74,,N_emblem_034.dds,0
75,,N_emblem_035.dds,0
76,,N_emblem_036.dds,0
77,,N_emblem_037.dds,0
78,,N_emblem_038.dds,0
79,,N_emblem_039.dds,0
80,,N_emblem_040.dds,0
81,Tree,H_emblem_001.dds,0
82,Leaves,H_emblem_002.dds,0
83,Sword Leaves,H_emblem_003.dds,0
84,Arrows,H_emblem_004.dds,0
85,Horse,H_emblem_005.dds,0
86,Knot,H_emblem_006.dds,0
87,Knot,H_emblem_007.dds,0
88,Knot,H_emblem_008.dds,0
89,Star Tree,H_emblem_009.dds,0
90,Sword,H_emblem_010.dds,0
91,,H_emblem_011.dds,0
92,,H_emblem_012.dds,0
93,,H_emblem_013.dds,0
94,,H_emblem_014.dds,0
95,,H_emblem_015.dds,0
96,,H_emblem_016.dds,0
97,,H_emblem_017.dds,0
98,,H_emblem_018.dds,0
99,,H_emblem_019.dds,0
100,,H_emblem_020.dds,0
101,,H_emblem_021.dds,0
102,,H_emblem_022.dds,0
103,,H_emblem_023.dds,0
104,,H_emblem_024.dds,0
105,,H_emblem_025.dds,0
106,,H_emblem_026.dds,0
107,,H_emblem_027.dds,0
108,,H_emblem_028.dds,0
109,,H_emblem_029.dds,0
110,,H_emblem_030.dds,0
111,,H_emblem_031.dds,0
112,,H_emblem_032.dds,0
113,,H_emblem_033.dds,0
114,,H_emblem_034.dds,0
115,,H_emblem_035.dds,0
116,,H_emblem_036.dds,0
117,,H_emblem_037.dds,0
118,,H_emblem_038.dds,0
119,,H_emblem_039.dds,0
120,,H_emblem_040.dds,0
121,,B_emblem_guard.dds,0
122,,N_emblem_guard.dds,0
123,,H_emblem_guard.dds,0
124,,B_emblem_041.dds,0
125,,B_emblem_042.dds,0
126,,B_emblem_043.dds,0
127,,B_emblem_044.dds,0
128,,B_emblem_045.dds,0
129,,B_emblem_046.dds,0
130,,B_emblem_047.dds,0
131,,B_emblem_048.dds,0
132,,B_emblem_049.dds,0
133,,B_emblem_050.dds,0
134,,B_emblem_051.dds,0
135,,B_emblem_052.dds,0
136,,B_emblem_053.dds,0
137,,B_emblem_054.dds,0
138,,B_emblem_055.dds,0
139,,B_emblem_056.dds,0
140,,B_emblem_057.dds,0
141,,B_emblem_058.dds,0
142,,B_emblem_059.dds,0
143,,B_emblem_060.dds,0
144,,B_emblem_061.dds,0
145,,B_emblem_062.dds,0
146,,B_emblem_063.dds,0
147,,B_emblem_064.dds,0
148,,B_emblem_065.dds,0
149,,H_emblem_041.dds,0
150,,H_emblem_042.dds,0
151,,H_emblem_043.dds,0
152,,H_emblem_044.dds,0
153,,H_emblem_045.dds,0
154,,H_emblem_046.dds,0
155,,H_emblem_047.dds,0
156,,H_emblem_048.dds,0
157,,H_emblem_049.dds,0
158,,H_emblem_050.dds,0
159,,H_emblem_051.dds,0
160,,H_emblem_052.dds,0
161,,H_emblem_053.dds,0
162,,H_emblem_054.dds,0
163,,H_emblem_055.dds,0
164,,H_emblem_056.dds,0
165,,H_emblem_057.dds,0
166,,H_emblem_058.dds,0
167,,H_emblem_059.dds,0
168,,H_emblem_060.dds,0
169,,H_emblem_061.dds,0
170,,H_emblem_062.dds,0
171,,H_emblem_063.dds,0
172,,H_emblem_064.dds,0
173,,H_emblem_065.dds,0
174,,N_emblem_041.dds,0
175,,N_emblem_042.dds,0
176,,N_emblem_043.dds,0
177,,N_emblem_044.dds,0
178,,N_emblem_045.dds,0
179,,N_emblem_046.dds,0
180,,N_emblem_047.dds,0
181,,N_emblem_048.dds,0
182,,N_emblem_049.dds,0
183,,N_emblem_050.dds,0
184,,N_emblem_051.dds,0
185,,N_emblem_052.dds,0
186,,N_emblem_053.dds,0
187,,N_emblem_054.dds,0
188,,N_emblem_055.dds,0
189,,N_emblem_056.dds,0
190,,N_emblem_057.dds,0
191,,N_emblem_058.dds,0
192,,N_emblem_059.dds,0
193,,N_emblem_060.dds,0
194,,N_emblem_061.dds,0
195,,N_emblem_062.dds,0
196,,N_emblem_063.dds,0
197,,N_emblem_064.dds,0
198,,N_emblem_065.dds,0
199,,B_emblem_066.dds,0
200,,B_emblem_067.dds,0
201,,B_emblem_068.dds,0
202,,B_emblem_069.dds,0
203,,B_emblem_070.dds,0
204,,B_emblem_071.dds,0
205,,B_emblem_072.dds,0
206,,B_emblem_073.dds,0
207,,B_emblem_074.dds,0
208,,B_emblem_075.dds,0
209,,B_emblem_076.dds,0
210,,B_emblem_077.dds,0
211,,B_emblem_078.dds,0
212,,B_emblem_079.dds,0
213,,B_emblem_080.dds,0
214,,B_emblem_081.dds,0
215,,B_emblem_082.dds,0
216,,B_emblem_083.dds,0
217,,B_emblem_084.dds,0
218,,N_emblem_066.dds,0
219,,N_emblem_067.dds,0
220,,N_emblem_068.dds,0
221,,N_emblem_069.dds,0
222,,N_emblem_070.dds,0
223,,N_emblem_071.dds,0
224,,N_emblem_072.dds,0
225,,N_emblem_073.dds,0
226,,N_emblem_074.dds,0
227,,N_emblem_075.dds,0
228,,N_emblem_076.dds,0
229,,N_emblem_077.dds,0
230,,N_emblem_078.dds,0
231,,N_emblem_079.dds,0
232,,N_emblem_080.dds,0
233,,N_emblem_081.dds,0
234,,N_emblem_082.dds,0
235,,N_emblem_083.dds,0
236,,N_emblem_084.dds,0
237,,H_emblem_066.dds,0
238,,H_emblem_067.dds,0
239,,H_emblem_068.dds,0
240,,H_emblem_069.dds,0
241,,H_emblem_070.dds,0
242,,H_emblem_071.dds,0
243,,H_emblem_072.dds,0
244,,H_emblem_073.dds,0
245,,H_emblem_074.dds,0
246,,H_emblem_075.dds,0
247,,H_emblem_076.dds,0
248,,H_emblem_077.dds,0
249,,H_emblem_078.dds,0
250,,H_emblem_079.dds,0
251,,H_emblem_080.dds,0
252,,H_emblem_081.dds,0
253,,H_emblem_082.dds,0
254,,H_emblem_083.dds,0
255,,H_emblem_084.dds,0
