id,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,part,desc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
11,1,Elf Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
11,2,Elf Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,Elf Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
11,4,Elf Male Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
12,0,Elf Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
12,1,Elf Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
12,2,Elf Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
12,3,Elf Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
12,4,Elf Female Morphs,Nose,Eyes,Lips,Ears,,,,,,,,,,,,,,,,,,,,,
13,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
13,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
13,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
13,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
13,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
14,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
14,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
14,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
14,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
15,0,Norse Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
15,1,Norse Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
15,2,Norse Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,Norse Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
15,4,Norse Male Morphs,Nose Length,Eyes,Lips,Nose Width,,,,,,,,,,,,,,,,,,,,,
16,0,Norse Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
16,1,Norse Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
16,2,Norse Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
16,3,Norse Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
16,4,Norse Female Morphs,Nose Length,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
17,0,Lurikeen Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
17,1,Lurikeen Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
17,2,Lurikeen Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,Lurikeen Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
17,4,Lurikeen Male Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
18,0,Lurikeen Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
18,1,Lurikeen Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
18,2,Lurikeen Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,Lurikeen Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
18,4,Lurikeen Female Morphs,Nose,Eyes,Lips,Ears,,,,,,,,,,,,,,,,,,,,,
19,0,Kobold Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
19,1,Kobold Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Bald,,,,,,,,,,,,,,,,,,,,
19,2,Kobold Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
19,3,Kobold Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
19,4,Kobold Male Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
20,0,Kobold Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
20,1,Kobold Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
20,2,Kobold Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,Kobold Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
20,4,Kobold Female Morphs,Nose,Eyes,Lips,Ears,,,,,,,,,,,,,,,,,,,,,
21,0,Dwarf Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
21,1,Dwarf Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,,,,,,,,,,,,,,,,,,,
21,2,Dwarf Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,Dwarf Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
21,4,Dwarf Male Morphs,Nose Length,Eyes,Nose Width,Ears,,,,,,,,,,,,,,,,,,,,,
22,0,Dwarf Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
22,1,Dwarf Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
22,2,Dwarf Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
22,3,Dwarf Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
22,4,Dwarf Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
23,0,Inconnu Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
23,1,Inconnu Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
23,2,Inconnu Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
23,3,Inconnu Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
23,4,Inconnu Male Morphs,Nose,Eyes,Tines,Ears,,,,,,,,,,,,,,,,,,,,,
24,0,Inconnu Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
24,1,Inconnu Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,,,,,,,,,,,,,,,,,,,,
24,2,Inconnu Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
24,3,Inconnu Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
24,4,Inconnu Female Morphs,Nose,Eyes,Tines,Ears,,,,,,,,,,,,,,,,,,,,,
25,0,Half Ogre Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
25,1,Half Ogre Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,,,,,,,,,,,,,,,,,,
25,2,Half Ogre Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
25,3,Half Ogre Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
25,4,Half Ogre Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
26,0,Half Ogre Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
26,1,Half Ogre Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
26,2,Half Ogre Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
26,3,Half Ogre Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
26,4,Half Ogre Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
27,0,Valkyn Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
27,1,Valkyn Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
27,2,Valkyn Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,Valkyn Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
27,4,Valkyn Male Morphs,Nose,Eyes,Tusks,Ears,,,,,,,,,,,,,,,,,,,,,
28,0,Valkyn Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
28,1,Valkyn Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
28,2,Valkyn Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,Valkyn Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
28,4,Valkyn Female Male Morphs,Nose,Eyes,Jaw Length,Ears,,,,,,,,,,,,,,,,,,,,,
29,0,Firbolg Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
29,1,Firbolg Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
29,2,Firbolg Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
29,3,Firbolg Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
29,4,Firbolg Male Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
30,0,Firbolg Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
30,1,Firbolg Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
30,2,Firbolg Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
30,3,Firbolg Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
30,4,Firbolg Female Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
31,0,Troll Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
31,1,Troll Male Hair,,,,,,,,,,,,,,,,,,,,,,,,,
31,2,Troll Male Tattoo,No Tattoo,Tattoo 2,Tattoo 3,Tattoo 4,Tattoo 5,Tattoo 6,Tattoo 7,Tattoo 8,Tattoo 9,Tattoo 10,Tattoo 11,Tattoo 12,Tattoo 13,Tattoo 14,Tattoo 15,Tattoo 16,,,,,,,,,
31,3,Troll Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
31,4,Troll Male Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
32,0,Troll Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
32,1,Troll Female Hair,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,Troll Female Tattoo,No Tattoo,Tattoo 2,Tattoo 3,Tattoo 4,Tattoo 5,Tattoo 6,Tattoo 7,Tattoo 8,Tattoo 9,Tattoo 10,Tattoo 11,Tattoo 12,Tattoo 13,Tattoo 14,Tattoo 15,Tattoo 16,,,,,,,,,
32,3,Troll Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
32,4,Troll Female Morphs,Nose,Eyes,Jaw,Ears,,,,,,,,,,,,,,,,,,,,,
33,0,Celt Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
33,1,Celt Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Bald,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
33,2,Celt Male Tattoo,No Tattoo,Tattoo 1,Tattoo 2,Tattoo 3,Tattoo 4,Tattoo 5,,,,,,,,,,,,,,,,,,,
33,3,Celt Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
33,4,Celt Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
34,0,Celt Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
34,1,Celt Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,,,,,,,,,,,,,,,,,,,,
34,2,Celt Female Tattoo,No Tattoo,Tattoo 1,Tattoo 2,Tattoo 3,Tattoo 4,Tattoo 5,,,,,,,,,,,,,,,,,,,
34,3,Celt Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
34,4,Celt Female Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
35,0,Sylvan Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
35,1,Sylvan Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
35,2,Sylvan Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,Sylvan Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
35,4,Sylvan Male Morphs,Nose,Eyes,Sharpness,Jaw,,,,,,,,,,,,,,,,,,,,,
36,0,Sylvan Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
36,1,Sylvan Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
36,2,Sylvan Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
36,3,Sylvan Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
36,4,Sylvan Female Male Morphs,Nose,Eyes,Sharpness,Jaw,,,,,,,,,,,,,,,,,,,,,
61,0,Albion Minotaur Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
61,1,Albion Minotaur Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,Hair 9,Hair 10,,,,,,,,,,,,,,,
61,2,Albion Minotaur Tatoo,,,,,,,,,,,,,,,,,,,,,,,,,
61,3,Albion Minotaur Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
61,4,Albion Minotaur Morphs,Horn Size,,,,,,,,,,,,,,,,,,,,,,,,
62,0,Midgard Minotaur Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
62,1,Midgard Minotaur Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,Hair 9,Hair 10,,,,,,,,,,,,,,,
62,2,Midgard Minotaur Tatoo,,,,,,,,,,,,,,,,,,,,,,,,,
62,3,Midgard Minotaur Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
62,4,Midgard Minotaur Morphs,Horn Size,,,,,,,,,,,,,,,,,,,,,,,,
63,0,Hibernia Minotaur Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
63,1,Hibernia Minotaur Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,Hair 9,Hair 10,,,,,,,,,,,,,,,
63,2,Hibernia Minotaur Tatoo,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,Hibernia Minotaur Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
63,4,Hibernia Minotaur Morphs,Horn Size,,,,,,,,,,,,,,,,,,,,,,,,
189,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
189,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
189,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
189,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
189,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
190,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
190,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
190,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
190,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
190,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
191,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
191,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
191,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
191,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
191,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
192,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
192,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
192,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
192,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
192,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
193,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
193,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
193,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
193,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
193,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
194,0,Highlander Female Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
194,1,Highlander Female Hair,Hair 1,Hair 2,Hair 3,Hair 4,,,,,,,,,,,,,,,,,,,,,
194,2,Highlander Female Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
194,3,Highlander Female Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
194,4,Highlander Female Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
195,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
195,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
195,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
195,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
195,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
196,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
196,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
196,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
196,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
196,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
197,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
197,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
197,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
197,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
197,4,Highlander Male Morphs,Nose,Eyes,Lips,Jaw,,,,,,,,,,,,,,,,,,,,,
198,0,Highlander Male Face,Face 1,Face 2,Face 3,Face 4,Face 5,Face 6,Face 7,,,,,,,,,,,,,,,,,,
198,1,Highlander Male Hair,Hair 1,Hair 2,Hair 3,Hair 4,Hair 5,Hair 6,Hair 7,Hair 8,,,,,,,,,,,,,,,,,
198,2,Highlander Male Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,
198,3,Highlander Male Scale,Short,Average,Tall,,,,,,,,,,,,,,,,,,,,,,
