1500 limit,,,Expansion,Housing
78,silver twinkles sfx,slvtwink_sfx,0,0
79,sparkles with purple popping rings,alb_confus1_hit,0,0
80,sparkles with red popping rings,alb_confus2_hit,0,0
81,Amnesia1 hit,alb_amnesia1_hit,0,0
82,Green downward spirals,grnspirals_hit,0,0
83,Silver mesmerize twinkles,alb_mezmer1_hit,0,0
84,Gold mesmerize twinkles,alb_mezmer2_hit,0,0
85,gold twinkles sfx,gldtwink_sfx,0,0
86,Red downward spirals,redspirals_hit,0,0
87,Coldsnap hit,alb_coldsnap_hit,0,0
88,Hypothermia hit,alb_hypotherm_hit,0,0
89,Iceblast hit,alb_iceblast_hit,0,0
90,Arctic Wind hit,alb_arcticwind_hit,0,0
91,Paladin Group Defense hit,alb_palgrpdefense_hit,0,0
92,Paladin Group Heal hit,alb_palgrpheal_hit,0,0
93,Paladin Group Strength hit,alb_palgrpstrength_hit,0,0
94,Paladin Self Defense hit,alb_palslfdefense_hit,0,0
95,Paladin Summon,alb_paladin_sum,0,0
96, Generic Resist effect,resist_hit,0,0
97,small pain hit w/burn,smpain3_hit,0,0
98,buzzing flies,flybuzz_sfx,0,0
99,Cleric Summon,alb_cleric_sum,0,0
100,green hand glows Minstrel Summon,alb_min_sum,0,0
101,colorful multiswirls,colmultiswirl_hit,0,0
102,Musical notes swirling,alb_min_cst,0,0
103,blue lightshaft with collapsing blue rings,bluringbeam1_hit,0,0
104,green triswirl,grntriswirl_hit,0,0
105,green multiswirl,grnmultiswirl_hit,0,0
106,rainbow triswirl,rnbwtriswirl_hit,0,0
107,Hearts Popping,hearts_popping,0,0
108,smallest explosion,alb_fexplo1_hit,0,0
109,small explosion,alb_fexplo2_hit,0,0
110,medium Fiery explosion,alb_fexplo3_hit,0,0
111,large Fiery explosion,alb_fexplo4_hit,0,0
112,large Fiery explosion w/ flamers,alb_fexplo5_hit,0,0
113,level 0-1 fiery projectile,alb_fire1_trv,0,0
114,level 2-5 fiery projectile,alb_fire2_trv,0,0
115,level 6-9 fiery projectile,alb_fire3_trv,0,0
116,level 10-14 fiery projectile,alb_fire4_trv,0,0
117,level 15-20 fiery projectile,alb_fire5_trv,0,0
118,fiery handglows,alb_fire_sum,0,0
119,scare face 1,scareface1_hit,0,0
120,scare face 1a,scareface1a_hit,0,0
121,scare face 2,scareface2_hit,0,0
122,scare face 2a,scareface2a_hit,0,0
123,Blue cylindrical rings,blucylrings_hit,0,0
124,blue ground twinkles,alb_minmove_pls,0,0
125,light heal sprinkle,healsprinkle_hit,0,0
126,Minstrel Command Pulse,alb_mincom_pls,0,0
127,gold fireworks,fireworks_gold,0,0
128,Poison Spray ,mid_psnspray_cst,0,0
129,small electric splash and static,mid_ddpntblnk1_hit,0,0
130,Strength runes (ground),mid_strbuff1_hit,0,0
131,single lightning stroke,mid_lightning1_hit,0,0
132,double lightning stroke,mid_lightning2_hit,0,0
133,thick lightning stroke,mid_lightning3_hit,0,0
134,electric DD,mid_electric1_hit,0,0
135,bigger electric DD,mid_electric2_hit,0,0
136,thor's hammer spell,mid_mjolnir1_hit,0,0
137,odin's spear spell,mid_gungnir1_hit,0,0
138,Thane summon,mid_thane1_sum,0,0
139,vertical white waves hit,whtwaves1_hit,0,0
140,red skull cloud 5 sec,skullcloud1_hit,0,0
141,poison explosion hit,psnexplo_hit,0,0
142,small ground ripple of darkness,mid_darkwave1_hit,0,0
143,medium ground ripple of darkness,mid_darkwave2_hit,0,0
144,large ground ripple of darkness,mid_darkwave3_hit,0,0
145,leaves swirling,leafswirl1_sfx,0,0
146,swirl darkshield,mid_darkshield1_hit,0,0
147,spherical misty darkshield,mid_darkdmgshld_hit,0,0
148,evil mist ala Sorcerer,mid_nightmist1_hit,0,0
149,generic dark projectile,mid_dark1_trv,0,0
150,generic blue sphere shield,mid_sphereshield1_hit,0,0
151,dark spherical blast,mid_darkblast1_hit,0,0
152,Spiritmaster Summon handglow,mid_spirit_sum,0,0
153,lightning storm,mid_lightning4_hit,0,0
154,Fire DD (path of Fire),alb_ddfire1_hit,0,0
155,Fire DD2 (path of Fire),alb_ddfire2_hit,0,0
156,Fire DD3 (path of Fire),alb_ddfire3_hit,0,0
157,Fire DD4 (path of Fire),alb_ddfire4_hit,0,0
158,Fire DD5 (path of Fire),alb_ddfire5_hit,0,0
159,Meteor projectile,alb_fire6_trv,0,0
160,Giant explosion,alb_fexplo6_hit,0,0
161,earth hand closing,mid_ehand_hit,0,0
162,earth fingers grasping,mid_efinger_hit,0,0
163,wind gust,alb_windgust1_hit,0,0
164,wind swirl,alb_windswirl1_hit,0,0
165,dust devil,alb_dustdevil1_hit,0,0
166,generic cure buildup,alb_cure1_bld,0,0
167,cure poison,alb_nopoison_hit,0,0
168,cure disease,alb_nodisease_hit,0,0
169,blue helix heal 1,alb_heal1_hit,0,0
170,blue helix heal 2,alb_heal2_hit,0,0
171,blue helix heal 3,alb_heal3_hit,0,0
172,blue helix heal 4,alb_heal4_hit,0,0
173,insanity 2 hit/burn,insanity2_hit,0,0
174,spherical golden shield 1,alb_holyshld1_hit,0,0
175,spherical golden shield 2,alb_holyshld2_hit,0,0
176,spherical golden shield 3,alb_holyshld3_hit,0,0
177,spherical golden shield 4,alb_holyshld4_hit,0,0
178,light shaft with spiral twinkles,alb_clstrbuff1_hit,0,0
179,light shaft with rising twinkles,alb_clstrbuff2_hit,0,0
180,golden streaks shaft,alb_clstrbuff3_hit,0,0
181,Earth Cracking Beam,alb_ecrack1_hit,0,0
182,Amethyst shield,alb_eshield1_hit,0,0
183,Ruby shield,alb_eshield2_hit,0,0
184,Sapphire shield,alb_eshield3_hit,0,0
185,Emerald shield,alb_eshield4_hit,0,0
186,Diamond shield,alb_eshield5_hit,0,0
187,insanity 3 hit/burn,insanity3_hit,0,0
188,quick electric spark flash,smspark1_hit,0,0
189,quick electric arcs hit,quickarcs_hit,0,0
190,steamcloud hit,steamcloud_hit,0,0
191,coldring blast,alb_coldring_hit,0,0
192,ice shield,alb_iceshield_hit,0,0
193,Small Orbiting Meteors,alb_meteors1_hit,0,0
194,Mana explosion 1,hib_mexplo1_hit,0,0
195,Mana explosion 2,hib_mexplo2_hit,0,0
196,Mana explosion 3,hib_mexplo3_hit,0,0
197,Mana explosion 4,hib_mexplo4_hit,0,0
198,Mana explosion 5,hib_mexplo5_hit,0,0
199,Void Projectile 1,hib_void1_trv,0,0
200,Void Projectile 2,hib_void2_trv,0,0
201,Void Projectile 3,hib_void3_trv,0,0
202,Void Projectile 4,hib_void4_trv,0,0
203,Void Projectile 5,hib_void5_trv,0,0
204,Void Explosion 1,hib_vexplo1_hit,0,0
205,Void Explosion 2,hib_vexplo2_hit,0,0
206,Void Explosion 3,hib_vexplo3_hit,0,0
207,Void Explosion 4,hib_vexplo4_hit,0,0
208,Void Explosion 5,hib_vexplo5_hit,0,0
209,Mana summoning handglow ,hib_mana_sum,0,0
210,rainbow healing 1,hib_heal1_hit,0,0
211,rainbow healing 2,hib_heal2_hit,0,0
212,rainbow healing 3,hib_heal3_hit,0,0
213,rainbow healing 4,hib_heal4_hit,0,0
214,rainbow healing 5,hib_heal5_hit,0,0
215,rainbow mesmerize 1,hib_mesmer1_hit,0,0
216,rainbow mesmerize 2,hib_mesmer2_hit,0,0
217,rainbow mesmerize 3,hib_mesmer3_hit,0,0
218,leaf and dewdrop,dewdrop1_hit,0,0
219,leaf and dewdrop with waterglob,dewdrop2_hit,0,0
220,Mana buff ground power splash,hib_mbuff1_hit,0,0
221,leaves closing,leafshield1_hit,0,0
222,blue transporter-like light beams,blushafts_hit,0,0
223,silver transporter-like light beams,slvshafts_hit,0,0
224,gold transporter-like light beams,gldshafts_hit,0,0
225,Mana shield 1,hib_mshield1_hit,0,0
226,Mana shield 2,hib_mshield2_hit,0,0
227,Mana shield 3,hib_mshield3_hit,0,0
228,Mana shield 4,hib_mshield4_hit,0,0
229,Mana shield 5,hib_mshield5_hit,0,0
230,Manasurge gather,hib_msurge_gat,0,0
231,Manasurge 1,hib_msurge1_hit,0,0
232,Manasurge 3,hib_msurge3_hit,0,0
233,Manasurge 5,hib_msurge5_hit,0,0
234,Mana/Light  Hand Burst 1,hib_mbeam1_cst,0,0
235,Mana/Light  Hand Burst 2,hib_mbeam2_cst,0,0
236,Mana/Light  Hand Burst 3,hib_mbeam3_cst,0,0
237,Mana/Light  Hand Burst 4,hib_mbeam4_cst,0,0
238,Mana/Light  Hand Burst 5,hib_mbeam5_cst,0,0
239,Thorn shield,hib_thornwrap_hit,0,0
240,Oakleaf buff ,hib_oakleaves_hit,0,0
241,Druid handglow,hib_druid_sum,0,0
242,big camelot knot,levelling1,0,0
243,Balor's eye effect only works for him,baloreye_sfx,1,0
244,thor's hammer 2,mid_mjolnir2_hit,0,0
245,Dark Explosion 1,mid_dkexplo1_hit,0,0
246,Dark Explosion 2,mid_dkexplo2_hit,0,0
247,Dark Explosion 3,mid_dkexplo3_hit,0,0
248,Dark Explosion 4,mid_dkexplo4_hit,0,0
249,Dark Explosion 5,mid_dkexplo5_hit,0,0
250,Void summoning handglow,hib_void_sum,0,0
251,Vine wrap/tangle/root,hib_vinewrap_hit,0,0
252,3 second fire with smokepuff,mdfire_sfx,0,0
253,cold cloud with twinkles,mdcold_sfx,0,0
254,dirt cloud,mddirt_sfx,0,0
255,Hibernian dancing longsword,hib_dancesword_sfx,0,0
256,Arawn's eyes 4 sec,arawneyes1_hit,0,0
257,Arawn's eyes gleaming 6 sec,arawneyes2_hit,0,0
258,Arawn's eyes flaming 6 sec,arawneyes3_hit,0,0
259,Arawn's eyes redbeams,arawneyes4_hit,0,0
260,***Empty***,empty,0,0
261,skull sphereshield,skullshield1_hit,0,0
262,univ longsword propane-style flame,u_lnsw_flame1,0,0
263,univ longsword regular flame,u_lnsw_flame2,0,0
264,univ longsword orange flame,u_lnsw_flame3,0,0
265,univ longsword rising flame,u_lnsw_flaming1,0,0
266,univ longsword flame w/smoke,u_lnsw_firesmk1,0,0
267,univ longsword flame w/sparks,u_lnsw_firesprk1,0,0
268,univ longsword hot glow,u_lnsw_hotglow1,0,0
269,univ longsword  hot aura,u_lnsw_hotglow2,0,0
270,univ longsword  blue aura,u_lnsw_bluglow1,0,0
271,univ longsword  hot blue glow,u_lnsw_hotblu1,0,0
272,univ longsword  hot gold glow,u_lnsw_hotgld1,0,0
273,univ longsword  hot red glow,u_lnsw_hotred1,0,0
274,univ longsword  red aura,u_lnsw_redglow1,0,0
275,univ longsword cold aura w/sparkles,u_lnsw_cold1,0,0
276,univ longsword cold aura w/vapor,u_lnsw_cold2,0,0
277, longsword hilt wavering blue beam,u_lshl_blubeam1,0,0
278, longsword hilt wavering green beam,u_lshl_grnbeam1,0,0
279, longsword hilt wavering red beam,u_lshl_redbeam1,0,0
280, longsword hilt red/blue beam,u_lshl_redblubm1,0,0
281, longsword hilt purple beam,u_lshl_prpbeam1,0,0
282,univ 2h/gr sword yellow flames,u_2hsw_flame1,0,0
283,univ 2h/gr sword orange flames,u_2hsw_flame2,0,0
284,univ 2h/gr sword fire w/smoke,u_2hsw_firesmk1,0,0
285,univ 2h/gr sword fire w/sparks,u_2hsw_firesprk1,0,0
286,univ 2h/gr blue glow w/sparkles,u_2hsw_cold1,0,0
287,univ 2h/gr blue aura w/cold vapor,u_2hsw_cold2,0,0
288,univ 2h/gr icy blue glow,u_2hsw_iceblu1,0,0
289,univ 2h/gr red aura,u_2hsw_redglow1,0,0
290,univ 2h/gr sword  strong crimson glow,u_2hsw_redglow2,0,0
291,univ 2h/gr sword white core red glow,u_2hsw_hotred1,0,0
292,univ 2h/gr sword silvery/white glow,u_2hsw_slvglow1,0,0
293,univ 2h/gr sword  gold/yellow glow,u_2hsw_gldglow1,0,0
294,univ 2h/gr sword hot green glow,u_2hsw_hotgrn1,0,0
295,univ 1h hammer red aura,u_1hhm_redglow1,0,0
296,univ 1h hammer  fiery glow,u_1hhm_hotglow1,0,0
297,univ 1h hammer more intense fiery glow,u_1hhm_hotglow2,0,0
298,univ 1h hammer flaming,u_1hhm_flame1,0,0
299,univ 1h hammer torchlike flaming,u_1hhm_flame2,0,0
300,univ 1h hammer silvery glow,u_1hhm_slvglow1,0,0
301,univ 1h hammer purple glow,u_1hhm_prpglow1,0,0
302,univ 1h hammer blue aura,u_1hhm_bluglow1,0,0
303,univ 1h hammer blue glow,u_1hhm_bluglow2,0,0
304,univ 1h hammer arcs from head to handle,u_1hhm_electric1,0,0
305,univ 1h crush arcing halo ,u_1hcr_electric1,0,0
306,univ 1h crush center arcing,u_1hcr_electric2,0,0
307,univ 1h crush smaller arcing halo ,u_1hcr_electric3,0,0
308,univ 1h crush hot orange core glow,u_1hcr_hotglow1,0,0
309,univ 1h crush orange aura,u_1hcr_hotglow2,0,0
310,univ 1h crush subtle aura with sparks,u_1hcr_hotglow3,0,0
311,univ 1h crush yellow flame,u_1hcr_flame1,0,0
312,univ 1h crush mana flame,u_1hcr_mana1,0,0
313,univ 1h crush hot green glow,u_1hcr_hotgrn1,0,0
314,univ 1h crush hot red glow,u_1hcr_hotred1,0,0
315,univ 1h crush hot purple glow,u_1hcr_hotprp1,0,0
316,univ 1h crush cold vapor,u_1hcr_cold1,0,0
317,univ 1h axe basic flame,u_1hax_flame1,0,0
318,univ 1h axe orange flame,u_1hax_flame2,0,0
319,univ 1h axe slow orange flame w/sparks,u_1hax_flame3,0,0
320,univ 1h axe fiery/trailing flame ,u_1hax_flaming1,0,0
321,univ 1h axe cold vapor,u_1hax_cold1,0,0
322,univ 1h axe blue aura with twinkles,u_1hax_cold2,0,0
323,univ 1h axe hot green glow,u_1hax_hotgrn1,0,0
324,univ 1h axe hot blue glow,u_1hax_hotblu1,0,0
325,univ 1h axe hot cyan glow,u_1hax_hotblu2,0,0
326,univ 1h axe hot purple glow,u_1hax_hotprp1,0,0
327,univ 1h axe blue->purple->orange glow,u_1hax_bluorn1,0,0
328,univ shortsword propane flame,u_shsw_flame1,0,0
329,univ shortsword orange flame with sparks,u_shsw_flame2,0,0
330,univ shortsword blue aura with twinkles,u_shsw_cold1,0,0
331,univ shortsword green cloud with bubbles,u_shsw_poison1,0,0
332,univ shortsword red aura with blood bubbles,u_shsw_redbld1,0,0
333,univ shortsword evil green glow,u_shsw_evlgrn1,0,0
334,univ shortsword black glow,u_shsw_black1,0,0
335,Dragonbreath Fire,drgnbrth_fire_cst,0,0
336,Dragonbreath Cold,drgnbrth_cold_cst,0,0
337,Dragonbreath Evil,drgnbrth_evil_cst,0,0
338,Dragonbreath Steam,drgnbrth_steam_cst,0,0
339,Midgard battlespear cold with twinkles,m_btsp_cold1,0,0
340,Midgard battlespear evil green aura,m_btsp_evilgrn1,0,0
341,Midgard battlespear evil red aura,m_btsp_evilred1,0,0
342,Midgard battlespear flaming,m_btsp_flaming1,0,0
343,Midgard battlespear hot gold glow,m_btsp_gldglow1,0,0
344,Midgard battlespear hot fire glow,m_btsp_hotfire1,0,0
345,Midgard battlespear red aura,m_btsp_redglow1,0,0
346,Midgard lugged spear blue glow,m_lgsp_bluglow1,0,0
347,Midgard lugged spear hot blue glow,m_lgsp_bluglow2,0,0
348,Midgard lugged spear cold with twinkles,m_lgsp_cold1,0,0
349,Midgard lugged spear electric arcing,m_lgsp_electric1,0,0
350,Midgard lugged spear hot yellow flame,m_lgsp_flame1,0,0
351,Midgard lugged spear orange flame w/ sparks,m_lgsp_flame2,0,0
352,Midgard lugged spear orange to purple flame,m_lgsp_ornprp1,0,0
353,Midgard lugged spear hot purple flame,m_lgsp_prpglow1,0,0
354,Midgard lugged spear silvery glow,m_lgsp_slvglow1,0,0
355,Briton quarterstaff blue glow,b_qrst_bluglow1,0,0
356,Briton quarterstaff blue glow w/ twinkles,b_qrst_bluglow2,0,0
357,Briton quarterstaff gold glow,b_qrst_gldglow1,0,0
358,Briton quarterstaff gold glow w/ twinkles,b_qrst_gldglow2,0,0
359,Briton quarterstaff  faint red glow,b_qrst_redglow1,0,0
360,protection runes (floating),mid_shldprotect_hit,0,0
361,protection runes (ground),mid_grndprotect_hit,0,0
362,Spherical jacob's ladder,zapsphere_hit,0,0
363,green shocksplash,grnsplash_hit,0,0
364,blue shocksplash,blusplash_hit,0,0
365,red shocksplash,redsplash_hit,0,0
366,Angel wings,angelwings_sfx,0,0
367,golden twinkle sphere,twnksphere_hit,0,0
368,amber/topaz shield ,ambershld_hit,0,0
369,Dark tendrils,dktendrils_hit,0,0
370, 4 second Multicolor sphereshield,colorshld_hit,0,0
371, 4 second Purple sphereshield,prpshld_hit,0,0
372,Red skull swirl wrap,skullswirl_hit,0,0
373, 4 second Red cylindrical shield,redcylshld_hit,0,0
374, 4 second Purple cylindrical shield,prpcylshld_hit,0,0
375, 4 second Power/Mana cylindrical shield,pwrcylshld_hit,0,0
376,rainbow scintillation,rnbwscint_hit,0,0
377,silver scintillation,slvscint_hit,0,0
378,green scintillation,grnscint_hit,0,0
379,red scintillation,redscint_hit,0,0
380,blue void burning 3 sec,voidbrn_sfx,0,0
381,mana burning 3 sec,manabrn_sfx,0,0
382,quick dirtpuff,dirtpuff_sfx,0,0
383,red swirls,redswirls_sfx,0,0
384,purple spiral twirl,prpspiral_hit,0,0
385,visions 1 hit,visions1_hit,0,0
386,visions 2 hit,visions2_hit,0,0
387,visions 3 hit,visions3_hit,0,0
388,visions 4 hit,visions4_hit,0,0
389,gold scintillation,gldscint_hit,0,0
390,silver/rainbow scintillation,slvscint2_hit,0,0
391,green poison hit,grndrip,0,0
392, brown goo drip,brndrip,0,0
393,Blue triswirls,blutriswirl_hit,0,0
394,sickly brown puff,brnsickly_hit,0,0
395,small lightning stroke,smlightning_hit,0,0
396,gold/rainbow scintillation,gldscint2_hit,0,0
397,waraxe shortsword clash,mid_wpnclash1_hit,0,0
398,battleaxe broadsword clash,mid_wpnclash2_hit,0,0
399,greataxe greathammer  clash,mid_wpnclash3_hit,0,0
400,red flask,redflask_sfx,0,0
401,orange flask,ornflask_sfx,0,0
402,yellow flask,yelflask_sfx,0,0
403,green flask,grnflask_sfx,0,0
404,blue flask,bluflask_sfx,0,0
405,purple flask,prpflask_sfx,0,0
406,red/purple flask,redprpflask_sfx,0,0
407,red/orange flask,redornflask_sfx,0,0
408,rainbow flask,prpflask_sfx,0,0
409,clear flask,clrflask_sfx,0,0
410,mouth bubbles (Atlantis),bubbles_sfx,2,0
411,Sand blowing 1,sand_blow_effect_one,2,0
412,Sand blowing 2,sand_blow_effect_two,2,0
413,Sand blowing 3,sand_blow_effect_three,2,0
414,Sand blowing 4,sand_blow_effect_four,2,0
415,Sand blowing 5,sand_blow_effect_five,2,0
416,spike trap,spiketrap_sfx,2,0
417,1 second red cylindrical shield,redcylshld1s_hit,0,0
418,1 second purple cylindrical shield,prpcylshld1s_hit,0,0
419,1 second mana/power cylindrical shield,pwrcylshld1s_hit,0,0
420,1 second Multicolor sphereshield,colorshld1s_hit,0,0
421,1 second Purple sphereshield,prpshld1s_hit,0,0
422,yellow Gorgon Gaze eyebeams,GorgonGaze,2,0
423,sunshaft,sunshaft_sfx,2,0
424,moonshaft,moonshaft_sfx,2,0
425,small Poison Spray ,poisonspray_sfx,1,0
426, small Fire Spray ,firespray_sfx,1,0
427,Typhon melting,typhon_melt_fx,2,0
428,flame spout,flamespout_sfx,0,0
429,kelp wrapping/tangling,kelpwhip_hit,2,0
430,red rising/falling smoke effect,redsmokecolumn,2,0
431,grey rising/falling smoke effect,greysmokecolumn,2,0
432,red Medusa Gaze eyebeams,MedusaGaze,2,0
433, floating Stygia Symbol,stygia_symbol_cap,2,0
434,floating pyramid energy waves,stygia_pyramid_cap,2,0
435,Ink cloud,inkcloud_sfx,2,0
436,Typhon rising,typhon_rise_fx,2,0
437,water jet spray,waterjet_sfx,2,0
438,water blast explosion,water1_hit,2,0
439,water bolt projectile,water1_trv,2,0
440,spherical  crossrings green,sphere_xrings_green,0,0
441,spherical  crossrings spirit,sphere_xrings_spirit,0,0
442,spherical  crossrings holy,sphere_xrings_holy,0,0
443,spherical  crossrings pearl,sphere_xrings_pearl,0,0
444,speedwarp hit (red waves),speedwarp_hit,0,0
445,Scorpion bolt loading ,bolt_scorpion_load,0,0
446,Scorpion bolt ready,bolt_scorpion_ready,0,0
447,Scorpion bolt travelling,bolt_scorpion_travel,0,0
448,Scorpion bolt stick strike hit,bolt_scorpion_strike,0,0
449,Ballista bolt loading,bolt_ballista_load,0,0
450,Ballista bolt ready,bolt_ballista_ready,0,0
451,Ballista bolt travelling,bolt_ballista_travel,0,0
452,Ballista bolt stick strike hit,bolt_ballista_strike,0,0
453,Boulder loading,boulder_load,0,0
454,Boulder ready,boulder_ready,0,0
455,Boulder travelling,boulder_travel,0,0
456,Boulder exploding hit,boulder_explo,0,0
457,Catapult pitchball loading,pitchball_load,0,0
458,Catapult pitchball ready,pitchball_ready,0,0
459,Catapult pitchball travelling,pitchball_travel,0,0
460,Catapult pitchball exploding hit,pitchball_explo,0,0
461,Catapult coldball loading,coldball_load,0,0
462,Catapult coldball ready,coldball_ready,0,0
463,Catapult coldball travelling,coldball_travel,0,0
464,Catapult coldball exploding hit,coldball_explo,0,0
465,Catapult stone shot loading,shot_stone_load,0,0
466,Catapult stone shot ready,shot_stone_ready,0,0
467,Catapult stone shot travelling,shot_stone_travel,0,0
468,Catapult stone shot hit exploding,shot_stone_explo,0,0
469,Catapult disease carcass load,carcass_load,0,0
470,Catapult disease carcass ready,carcass_ready,0,0
471,Catapult disease carcass travel,carcass_travel,0,0
472,Catapult disease carcass explode,carcass_explo,0,0
473,Boiling oil filling,oil_load,0,0
474,Boiling oil ready,oil_ready,0,0
475,Boiling oil pouring,oil_travel,0,0
476,Straight wall crumble,E_tier1_wall_crumble,0,2
477,Angleconvex wall crumble,E_tier1_angleconvex_crumble,0,2
478,Elbow wall crumble,E_tier1_elbow_crumble,0,2
479,Elbowconcave wall crumble,E_tier1_elbowconcave_crumble,0,2
480,Smoothconvex wall crumble,E_tier1_smoothconvex_crumble,0,2
481,Teir2 Angleconvex wall crumble,E_tier2_angleconvex_crumble,0,2
482,Boiling oil splash,oil_splash,0,0
483,Poison ball load,poisonball_load,0,0
484,Poison ball ready,poisonball_ready,0,0
485,Poison ball travelling,poisonball_travel,0,0
486,Poison ball explosion,poisonball_explo,0,0
487,red  damage fanspray,fanspray_damage,0,0
488,yellow shearing fanspray,fanspray_shear2,0,0
489,blue shearing fanspray,fanspray_shear1,0,0
490,wavy red snaring fanspray,fanspray_snare,0,0
491,red expanding ring ,ringblast_redwave,0,0
492,red expanding ring with Norse runes,ringblast_redrunic,0,0
493,single acuity shear hit,shear_Acuity_hit,0,0
494,single DEX shear hit,shear_DEX_hit,0,0
495,single DEX-QUI shear hit,shear_DEXQUI_hit,0,0
496,single STR shear hit,shear_STR_hit,0,0
497,single CON shear hit,shear_CON_hit,0,0
498,single STRCON shear hit,shear_STRCON_hit,0,0
499,Relic pad effect,relic_pad_effect,0,0
500,radius acuity shear hit,shear_Acuity_rad,0,0
501,radius DEX shear hit,shear_DEX_rad,0,0
502,radius DEX-QUI shear hit,shear_DEXQUI_rad,0,0
503,radius STR shear hit,shear_STR_rad,0,0
504,radius CON shear hit,shear_CON_rad,0,0
505,radius STRCON shear hit,shear_STRCON_rad,0,0
506,smaller red purple explosion,deathblast1_hit,0,0
507, red purple explosion,deathblast2_hit,0,0
508,red purple explosion,deathblast3_hit,0,0
509,fiery aura briefly flaring,burstaura_fiery1,0,0
510,more pronounced fiery aura briefly flaring,burstaura_fiery2,0,0
511,golden streaks aura,burstaura_holy1,0,0
512,golden streaks aura with ring,burstaura_holy2,0,0
513,golden streaks aura with ringburst,burstaura_holy3,0,0
514,small heretic focus dmg projectile,fire1_dmgpulse,1,0
515,small heretic focus pulse effect,fire1_pulse,1,0
516,flame ring surge at feet,ringfire1_hit,0,0
517, larger flame ring surge at feet,ringfire2_hit,0,0
518,flame shield fireblossom,shield_fireblossom,0,0
519,lava bubble shield,shield_lavabubble,0,0
520,heatwaves shield,shield_heatwaves,0,0
521,lifetap hit flash with skull,lifetap_skull1_hit,0,0
522, bigger lifetap hit flash with skull,lifetap_skull2_hit,0,0
