Information,, ,,,Expansion,Expansion,Expansion,Cata,Cata,Cata
40,Purple Cloth,146,0,123,146,0,123,146,0,123
41,Bright Purple Cloth,226,0,127,226,0,127,226,0,127
42,Purple-Red Cloth,225,0,87,225,0,87,225,0,87
43,Black Cloth,34,47,45,34,47,45,34,47,45
44,Brown Cloth,122,75,29,122,75,29,122,75,29
45,Blue Metal,122,122,160,122,122,160,122,122,160
46,Green Metal,83,129,83,83,129,83,83,129,83
47,Yellow Metal,152,141,102,152,141,102,152,141,102
48,Gold Metal,147,122,36,147,122,36,147,122,36
49,Red Metal,127,56,56,127,56,56,127,56,56
50,Purple Metal,121,109,123,121,109,123,121,109,123
51,Blue 1,60,120,210,60,120,210,60,120,210
52,Blue 2,45,90,215,45,90,215,45,90,215
53,Blue 3,15,45,220,15,45,220,15,45,220
54,Blue 4,0,50,100,0,50,100,0,50,100
55,Turquoise 1,90,200,180,90,200,180,90,200,180
56,Turquoise 2,55,180,160,55,180,160,55,180,160
57,Turquoise 3,20,140,120,20,140,120,20,140,120
58,Teal 1,50,130,145,50,130,145,50,130,145
59,Teal 2,30,110,135,30,110,135,30,110,135
60,Teal 3,10,90,125,10,90,125,10,90,125
61,Brown 1,200,160,100,200,160,100,200,160,100
62,Brown 2,170,130,70,170,130,70,170,130,70
63,Brown 3,125,85,25,125,85,25,125,85,25
64,Red 1,190,85,85,190,85,85,190,85,85
65,Red 2,200,55,55,200,55,55,200,55,55
66,Red 3,210,25,25,210,25,25,210,25,25
67,Red 4,140,10,10,140,10,10,140,10,10
68,Green 1,100,160,100,100,160,100,100,160,100
69,Green 2,70,140,70,70,140,70,70,140,70
70,Green 3,40,120,40,40,120,40,40,120,40
71,Green 4,0,150,75,0,150,75,0,150,75
72,Gray 1,100,100,100,100,100,100,100,100,100
73,Gray 2,65,65,65,65,65,65,65,65,65
74,Gray 3,30,30,30,30,30,30,30,30,30
75,Orange 1,255,160,0,255,160,0,255,160,0
76,Orange 2,240,120,15,240,120,15,240,120,15
77,Orange 3,225,80,30,225,80,30,225,80,30
78,Purple 1,160,100,190,160,100,190,160,100,190
79,Purple 2,140,60,200,140,60,200,140,60,200
80,Purple 3,120,20,210,120,20,210,120,20,210
81,Yellow 1,180,180,90,180,180,90,180,180,90
82,Yellow 2,195,195,60,195,195,60,195,195,60
83,Yelow 3,215,215,30,215,215,30,215,215,30
84,violet,230,40,230,230,40,230,230,40,230
85,mauve,160,20,90,160,20,90,160,20,90
86,Blue 4,25,25,150,25,25,150,25,25,150
87,Purple 4,90,10,180,90,10,180,90,10,180
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,Ship Red,203,91,91,203,91,91,203,91,91
101,Ship Red 2,191,106,106,191,106,106,191,106,106
102,Ship Orange,204,161,82,204,161,82,204,161,82
103,Ship Orange 2,204,138,102,204,138,102,204,138,102
104,Orange 3,225,80,30,225,80,30,225,80,30
105,Ship Yellow,229,229,114,229,229,114,229,229,114
106,Ship Lime Green,211,255,128,211,255,128,211,255,128
107,Ship Green,187,255,152,187,255,152,187,255,152
108,Ship Green 2,153,255,153,153,255,153,153,255,153
109,Ship Turquiose,141,255,216,141,255,216,141,255,216
110,Ship Turqiose 2,154,255,189,154,255,189,154,255,189
111,Ship Blue,166,255,255,166,255,255,166,255,255
112,Ship Blue 2,188,211,255,188,211,255,188,211,255
113,Ship Blue 3,166,197,255,166,197,255,166,197,255
114,Ship Purple,188,188,255,188,188,255,188,188,255
115,Ship Purple 2,211,188,255,211,188,255,211,188,255
116,Ship Purple 3,232,188,255,232,188,255,232,188,255
117,Ship Pink,204,122,122,204,122,122,204,122,122
118,Ship Charcoal,141,141,141,141,141,141,141,141,141
119,Ship Charcoal 2,190,190,190,190,190,190,190,190,190
120,red - crafter only,255,53,58,255,53,58,255,53,58
121,plum - crafter only,116,0,67,116,0,67,116,0,67
122,purple - crafter only,99,4,96,99,4,96,99,4,96
123,dark purple - crafter only,68,4,98,68,4,98,68,4,98
124,dusky purple - crafter only,152,136,165,152,136,165,152,136,165
125,light gold - crafter only,236,232,98,236,232,98,236,232,98
126,dark gold - crafter only,144,114,0,144,114,0,144,114,0
127,dirty orange - crafter only,227,181,85,227,181,85,227,181,85
128,dark tan - crafter only,175,161,134,175,161,134,175,161,134
129,brown - crafter only,107,78,20,107,78,20,107,78,20
130,light green - crafter only,135,196,129,135,196,129,135,196,129
131,olive green - crafter only,78,89,10,78,89,10,78,89,10
132,cornflower blue - crafter only,143,162,204,143,162,204,143,162,204
133,light gray - crafter only,154,154,154,154,154,154,154,154,154
134,hot pink - crafter only,255,0,255,255,0,255,255,0,255
135,dusky rose - crafter only,230,145,217,230,145,217,230,145,217
136,sage green - crafter only,170,199,167,170,199,167,170,199,167
137,lime green - crafter only,114,255,0,114,255,0,114,255,0
138,gray teal - crafter only,120,160,160,120,160,160,120,160,160
139,gray blue - crafter only,90,97,152,90,97,152,90,97,152
140,olive gray - crafter only,128,128,128,128,128,128,128,128,128
141,Navy Blue - crafter only,0,0,74,0,0,74,0,0,74
142,Forest Green - crafter only,0,64,0,0,64,0,0,64,0
143,Burgundy - crafter only,85,0,0,85,0,0,85,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
