,,0,1,2,3,4,5,6,7,8,9
86,Impale,630,46,10,933,400,70,186,75,0,
87,Defender's Cross,631,47,10,1000,400,70,186,75,0,
88,Deflect,632,47,10,1000,400,70,186,75,0,
89,Defender's Faith,633,46,10,933,400,29,119,255,0,
90,Executioner,634,47,10,1000,400,29,119,255,0,
91,Distract,635,46,10,933,400,29,119,255,0,
92,Defender's Courage,636,47,10,1000,400,252,255,5,0,
93,Crippling Blow,637,47,10,1000,400,252,255,5,0,
94,Disabler,638,46,10,933,400,252,255,5,0,
95,Phalanx,639,46,10,933,400,249,15,54,0,
96,Mangle,641,47,10,1000,400,249,15,54,0,
97,Defender's Rage,640,47,10,1000,400,249,15,54,0,
98,Poleaxe,642,46,10,933,400,206,73,235,0,
99,Defender's Revenge,643,47,10,1000,400,206,73,235,0,
100,Defender's Aegis,644,46,10,933,400,206,73,235,0,
101,Half Moon,645,49,10,1466,400,70,186,75,0,
102,Double Back,646,53,10,1400,400,70,186,75,0,
103,Rile,647,53,10,1400,400,70,186,75,0,
104,Pacify,648,64,10,1666,400,29,119,255,0,
105,Two Fists,649,53,10,1400,400,29,119,255,0,
106,Bone Bruiser,650,53,10,1400,400,29,119,255,0,
107,Onslaught,651,49,10,1466,400,252,255,5,0,
108,Fury,652,49,10,1466,400,252,255,5,0,
109,Bone Splitter,653,64,10,1666,400,252,255,5,0,
110,Recenter,654,53,10,1400,400,249,15,54,0,
111,Bone Breaker,655,49,10,1466,400,249,15,54,0,
112,Obfuscate,656,53,10,1400,400,249,15,54,0,
113,Doubler,657,49,10,1466,400,206,73,235,0,
114,Two Moons,658,53,10,1400,400,206,73,235,0,
115,Sun and Moon,659,64,10,1666,400,206,73,235,0,
116,Twin Spikes,660,51,10,1200,400,70,186,75,0,
117,Twin Return,661,63,10,1466,400,70,186,75,0,
118,Shadow's Edge,662,52,10,1533,400,70,186,75,0,
119,Inflame,663,51,10,1200,400,29,119,255,0,
120,Orbit,664,52,10,1533,400,29,119,255,0,
121,Eclipse,665,63,10,1466,400,29,119,255,0,
122,Misty Gloom,666,51,10,1200,400,252,255,5,0,
123,Obscure,667,52,10,1533,400,252,255,5,0,
124,Penumbra,668,51,10,1466,400,252,255,5,0,
125,Reflection,674,51,10,1200,400,249,15,54,0,
126,Flank,669,52,10,1533,400,249,15,54,0,
127,Dark Tendrils,1745,63,10,1200,400,249,15,54,0,
128,Shadow's Rain,671,63,10,1466,400,206,73,235,0,
129,Hypnotic Darkness,672,52,10,1533,400,206,73,235,0,
130,Dual Shadows,673,63,10,1466,400,206,73,235,0,
131,Thistle,675,55,10,1733,400,70,186,75,0,
132,Ratfang,676,56,10,1533,400,70,186,75,0,
133,Puncture,677,56,10,1533,400,70,186,75,0,
134,Sting,678,55,10,1733,400,29,119,255,0,
135,Wolftooth,679,56,10,1533,400,29,119,255,0,
136,Bloody Dance,680,56,10,1533,400,29,119,255,0,
137,Beartooth,681,55,10,1733,400,252,255,5,0,
138,Tranquillize,682,56,10,1533,400,252,255,5,0,
139,Lunge,683,55,10,1733,400,252,255,5,0,
140,Ricochet,684,56,10,1533,400,249,15,54,0,
141,Pierce,685,55,10,1733,400,249,15,54,0,
142,Liontooth,686,55,10,1733,400,249,15,54,0,
143,Basiliskfang,687,55,10,1733,400,206,73,235,0,
144,Wyvernfang,688,55,10,1733,400,206,73,235,0,
145,Dragonfang,689,55,10,1733,400,206,73,235,0,
146,Whirling Blade,1650,60,10,1066,400,70,186,75,0,
147,Frost Cut,1651,60,10,1066,400,70,186,75,0,
148,Draw Out,1652,60,10,1066,400,70,186,75,0,
149,Northern Lights,1653,60,10,1066,400,29,119,255,0,
150,Assault,1654,60,10,1066,400,29,119,255,0,
151,Temper,1655,60,10,1066,400,29,119,255,0,
152,Aurora,1656,60,10,1066,400,252,255,5,0,
153,Baldur's Fury,1657,60,10,1066,400,252,255,5,0,
154,Reinforcement,1658,60,10,1066,400,252,255,5,0,
155,Ice Storm,1659,60,10,1066,400,249,15,54,0,
156,Rush,1660,60,10,1066,400,249,15,54,0,
157,Polar Rift,1661,60,10,1066,400,249,15,54,0,
158,Niord's Fury,1662,60,10,1066,400,206,73,235,0,
159,Sif's Revenge,1663,60,10,1066,400,206,73,235,0,
160,Ragnarok,1664,60,10,1066,400,206,73,235,0,
161,Thor's Anvil,1635,61,10,1600,400,70,186,75,0,
162,Crushing Blow,1636,61,10,1600,400,70,186,75,0,
163,Placate,1637,61,10,1600,400,70,186,75,0,
164,Slam,1638,61,10,1600,400,29,119,255,0,
165,Ruiner,1639,61,10,1600,400,29,119,255,0,
166,Frost Hammer,1640,61,10,1600,400,29,119,255,0,
167,Provoke,1641,61,10,1600,400,252,255,5,0,
168,Demolish,1642,61,10,1600,400,252,255,5,0,
169,Revenge,1643,61,10,1600,400,252,255,5,0,
170,Crumble,1644,61,10,1600,400,249,15,54,0,
171,Conquer,1645,61,10,1600,400,249,15,54,0,
172,Thor's Answer,1646,61,10,1600,400,249,15,54,0,
173,Lambast,1647,61,10,1600,400,206,73,235,0,
174,Sledgehammer,1648,136,10,1600,400,206,73,235,0,
175,Mjolnir's Fury,1649,61,10,1600,400,206,73,235,0,
176,Splitter,1620,54,10,1466,400,70,186,75,0,
177,Cleave,1621,54,10,1466,400,70,186,75,0,
178,Plague,1622,54,10,1466,400,70,186,75,0,
179,Thrym's Strength,1623,54,10,1466,400,29,119,255,0,
180,Pillager,1624,54,10,1466,400,29,119,255,0,
181,Hoarfrost,1625,54,10,1466,400,29,119,255,0,
182,Evernight,1626,54,10,1466,400,252,255,5,0,
183,Plunderer,1627,54,10,1466,400,252,255,5,0,
184,Valkyrie's Shield,1628,54,10,1466,400,252,255,5,0,
185,Raider,1629,54,10,1466,400,249,15,54,0,
186,Havoc,1630,54,10,1466,400,249,15,54,0,
187,Midnight Sun,1631,54,10,1466,400,249,15,54,0,
188,Glacial Movement,1632,54,10,1466,400,206,73,235,0,
189,Arctic Rift,1633,54,10,1466,400,206,73,235,0,
190,Tyr's Fury,1634,54,10,1466,400,206,73,235,0,
191,Counter Slash,1665,50,10,1133,400,70,186,75,0,
192,Doubler,1666,50,10,1133,400,70,186,75,0,
193,Ravager,1667,50,10,1133,400,70,186,75,0,
194,Polar Light,1668,50,10,1133,400,29,119,255,0,
195,Snowblind,1669,50,10,1133,400,29,119,255,0,
196,Atrophy,1670,50,10,1133,400,29,119,255,0,
197,Frost Shadow,1671,50,10,1133,400,252,255,5,0,
198,Comeback,1672,63,10,1466,400,252,255,5,0,
199,Scathing Blade,1673,50,10,1133,400,252,255,5,0,
200,Decaying Rage,1674,50,10,1133,400,249,15,54,0,
201,Snowsquall,1675,82,10,1133,400,249,15,54,0,
202,Doublefrost,1676,50,10,1133,400,249,15,54,0,
203,Frosty Gaze,1677,52,10,1533,400,206,73,235,0,
204,Icy Brilliance,1678,50,10,1133,400,206,73,235,0,
205,Aurora Borealis,1679,50,10,1133,400,206,73,235,0,
206,Dazzling Spear,1680,62,10,2000,400,70,186,75,0,
207,Return Thrust,1681,62,10,2000,400,70,186,75,0,
208,Engage,1682,62,10,2000,400,70,186,75,0,
209,Extend Reach,1683,62,10,2000,400,29,119,255,0,
210,Lancer,1684,62,10,2000,400,29,119,255,0,
211,Dismissal,1685,62,10,2000,400,29,119,255,0,
212,Wounding Thrust,1686,62,10,2000,400,252,255,5,0,
213,Stab,1687,62,10,2000,400,252,255,5,0,
214,Perforate,1688,62,10,2000,400,252,255,5,0,
215,Lunging Thrust,1689,62,10,2000,400,249,15,54,0,
216,Raze,1690,62,10,2000,400,249,15,54,0,
217,Whirling Spear,1691,62,10,2000,400,249,15,54,0,
218,Razor Edge,1692,62,10,2000,400,206,73,235,0,
219,Odin's Wrath,1693,62,10,2000,400,206,73,235,0,
220,Gungnir's Fury,1694,62,10,2000,400,206,73,235,0,
221,Numb,780,134,10,1000,400,70,186,75,0,
222,Stun,781,69,10,1000,400,70,186,75,0,
223,Disable,782,69,10,1000,400,29,119,255,0,
224,Incapacitate,783,69,10,1000,400,29,119,255,0,
225,Paralyze,784,69,10,1000,400,252,255,5,0,
226,Bash,785,69,10,1000,400,252,255,5,0,
227,Mangle,786,134,10,1000,400,249,15,54,0,
228,Slam,787,69,10,1000,400,249,15,54,0,
229,Brutalize,788,69,10,1000,400,206,73,235,0,
230,Spinning Staff,690,70,10,1666,400,70,186,75,0,
231,Figure Eight,691,73,10,1533,400,70,186,75,0,
232,Friar's Ally,692,71,10,1266,400,70,186,75,0,
233,Defender's Fury,693,71,10,1266,400,29,119,255,0,
234,Quick Strike,694,73,10,1533,400,29,119,255,0,
235,Friar's Redress,695,72,10,1666,400,29,119,255,0,
236,Double Strike,696,70,10,1666,400,252,255,5,0,
237,Friar's Friend,697,70,10,1666,400,252,255,5,0,
238,Counter Evade,698,71,10,1266,400,252,255,5,0, 
239,Banish,699,72,10,1666,400,249,15,54,0,
240,Friar's Boon,700,73,10,1533,400,249,15,54,0,
241,Holy Staff,701,73,10,1533,400,249,15,54,0,
242,Friar's Fury,702,73,10,1533,400,206,73,235,0,
243,Stunning Wrath,703,73,10,1533,400,206,73,235,0,
244,Excommunicate,704,73,10,1533,400,206,73,235,0,
245,Shining Blade,720,75,10,1066,400,70,186,75,0,
246,Return Blade,721,77,10,1066,400,70,186,75,0,
247,Taunting Blade,722,75,10,1066,400,70,186,75,0,
248,Enervating Blade,723,77,10,1066,400,29,119,255,0,
249,Glowing Blade,724,75,10,1066,400,29,119,255,0,
250,Lunging Blade,725,77,10,1066,400,29,119,255,0,
251,Auroric Blade,726,77,10,1066,400,252,255,5,0,
252,Fire Blade,727,75,10,1066,400,252,255,5,0, 
253,Horizon Blade,728,75,10,1066,400,252,255,5,0,
254,Kinetic Blade,729,77,10,1066,400,249,15,54,0,
255,Dancing Blade,730,75,10,1066,400,249,15,54,0,
256,Revenging Blade,731,77,10,1066,400,249,15,54,0,
257,Spectrum Blade,732,75,10,1066,400,206,73,235,0,
258,Prismatic Blade,733,75,10,1066,400,206,73,235,0,
259,Brilliant Blade,734,77,10,1066,400,206,73,235,0,
260,Contusions,735,74,10,1533,400,70,186,75,0,
261,Bruiser,736,76,10,1133,400,70,186,75,0,
262,Blunt Trauma,737,76,10,1133,400,70,186,75,0,
263,Slam,738,74,10,1533,400,29,119,255,0,
264,Side Bash,739,76,10,1133,400,29,119,255,0,
265,Impact,740,74,10,1533,400,29,119,255,0,
266,Windfall,741,74,10,1533,400,252,255,5,0,
267,Force of Might,742,76,10,1133,400,252,255,5,0,
268,Unstoppable Force,743,74,10,1533,400,252,255,5,0,
269,Back Crush,744,76,10,1133,400,249,15,54,0,
270,Bone Crusher,745,74,10,1533,400,249,15,54,0,
271,Mauler,746,74,10,1533,400,249,15,54,0,
272,Stunning Blow,747,76,10,1133,400,206,73,235,0,
273,Crushing Blow,748,74,10,1533,400,206,73,235,0,
274,Devastating Blow,749,76,10,1133,400,206,73,235,0,
275,Dragonfly,750,78,10,1933,400,70,186,75,0,
276,Wasp's Sting,751,79,10,1733,400,70,186,75,0,
277,Bumblebee's Sting,752,78,10,1933,400,70,186,75,0,
278,Hornet's Sting,753,79,10,1733,400,29,119,255,0,
279,Scorpion,754,78,10,1933,400,29,119,255,0,
280,Black Widow,755,78,10,1933,400,29,119,255,0,
281,Tarantula,756,79,10,1733,400,252,255,5,0,
282,Sidewinder,757,78,10,1933,400,252,255,5,0,
283,Copperhead,758,79,10,1733,400,252,255,5,0,
284,Diamondback,759,78,10,1933,400,249,15,54,0,
285,Viper's Bite,760,79,10,1733,400,249,15,54,0,
286,Asp's Bite,761,78,10,1933,400,249,15,54,0,
287,Cobra's Bite,762,79,10,1733,400,206,73,235,0,
288,Dragonspider,763,78,10,1933,400,206,73,235,0,
289,Wyvern's Bite,764,79,10,1733,400,206,73,235,0,
290,Celtic Might,790,80,10,1600,400,70,186,75,0,
291,Celtic Rage,791,53,10,1400,400,70,186,75,0,
292,Celtic Fury,792,80,10,1600,400,70,186,75,0, 
293,Hibernian Wrath,793,80,10,1600,400,29,119,255,0,
294,Hibernian Force,794,49,10,1466,400,29,119,255,0,
295,Hibernian Vigor,795,64,10,1666,400,29,119,255,0,
296,Domination,796,53,10,1400,400,252,255,5,0,
297,Obliteration,797,80,10,1600,400,252,255,5,0,
298,Frontal Assault,798,49,10,1466,400,252,255,5,0,
299,Gigantic Blow,799,53,10,1600,400,249,15,54,0,
300,Ultimate Recovery,1600,80,10,1600,400,249,15,54,0,
301,Demolish,1601,49,10,1466,400,249,15,54,0,
302,Shatter,1602,80,10,1600,400,206,73,235,0,
303,Devastate,1603,49,10,1466,400,206,73,235,0,
304,Annihilation,1604,80,10,1600,400,206,73,235,0,
305,Hunter's Spear,1605,55,10,1733,400,70,186,75,0,
306,Entrap,1606,56,10,1533,400,70,186,75,0,
307,Hunter's Boon,1607,78,10,1933,400,70,186,75,0,
308,Hunter's Barb,1608,62,10,2000,400,29,119,255,0, 
309,Forest Spear,1609,56,10,1533,400,29,119,255,0,
310,Hunter's Largess,1610,79,10,1733,400,29,119,255,0,
311,Hunter's Lance,1611,62,10,2000,400,252,255,5,0,
312,Javelin,1612,56,10,1533,400,252,255,5,0,
313,Tracking Spear,1613,55,10,1733,400,252,255,5,0,
314,Hunter's Gift,1614,62,10,2000,400,249,15,54,0,
315,Hawk's Talon,1615,62,10,2000,400,249,15,54,0,
316,Eagle Talon,1616,78,10,1933,400,249,15,54,0,
317,Wyvern Talon,1617,79,10,1733,400,206,73,235,0,
318,Dragon Talon,1618,62,10,2000,400,206,73,235,0,
319,Cuchulain's Revenge,1619,55,10,1733,400,206,73,235,0,
320,Misty Gloom,765,82,10,1333,400,70,186,75,0,
321,Blinding Rain,766,50,10,1133,400,70,186,75,0,
322,Squall,767,50,10,1133,400,70,186,75,0,
323,Snow Shower,768,82,10,1333,400,29,119,255,0,
324,Gale,769,82,10,1333,400,29,119,255,0,
325,Blizzard,770,50,10,1133,400,29,119,255,0,
326,Thunderstorm,771,82,10,1333,400,252,255,5,0,
327,Ice Storm,772,50,10,1133,400,252,255,5,0,
328,Hurricane,773,50,10,1133,400,252,255,5,0,
329,Tornado,774,50,10,1333,400,249,15,54,0,
330,Tempest,775,50,10,1133,400,249,15,54,0,
331,Meteor Shower,776,82,10,1333,400,249,15,54,0,
332,Solar Flare,777,82,10,1333,400,206,73,235,0,
333,Twin Star,778,82,10,1133,400,206,73,235,0,
334,Supernova,779,82,10,1333,400,206,73,235,0,
335,Backstab,705,83,10,1000,400,70,186,75,0,
336,Eviscerate,706,84,10,1000,400,70,186,75,0,
337,Kidney Rupture,707,85,10,1000,400,70,186,75,0,
338,Pincer,708,83,10,1000,400,29,119,255,0,
339,Backstab II,709,86,10,2066,400,29,119,255,0,
340,Hamstring,710,87,10,1666,400,29,119,255,0,
341,Thigh Cut,711,84,10,1000,400,252,255,5,0,
342,Garrote,712,85,10,1000,400,252,255,5,0,
343,Perforate Artery,713,88,10,1666,400,252,255,5,0,
344,Achilles Heel,714,86,10,2066,400,249,15,54,0,
345,Leaper,715,89,10,1733,400,249,15,54,0,
346,Creeping Death,716,89,10,1733,400,249,15,54,0,
347,Stunning Stab,717,89,10,1733,400,206,73,235,0,
348,Rib Separation,718,89,10,1733,400,206,73,235,0,
349,Ripper,719,89,10,1733,400,206,73,235,0,
350,Void,1695,55,10,1733,400,70,186,75,0,
351,Doom Bringer,1696,55,10,1733,400,29,119,255,0,
352,Tundra,1697,55,10,1733,400,252,255,5,0,
353,Winter Moon,1698,55,10,1733,400,249,15,54,0,
354,Razorback,1699,55,10,1733,400,206,73,235,0,
355,Reaver-Flex 01,1700,120,10,2000,400,70,186,75,0,
356,Reaver-Flex 02,1701,120,10,2666,400,70,186,75,0,
357,Reaver-Flex 03,1702,121,10,2866,400,70,186,75,0,
358,Reaver-Flex 04,1703,121,10,1533,400,29,119,255,0,
359,Reaver-Flex 05,1704,122,10,2666,400,29,119,255,0,
360,Reaver-Flex 06,1705,122,10,1466,400,29,119,255,0,
361,Reaver-Flex 07,1706,123,10,1066,400,252,255,5,0,
362,Reaver-Flex 08,1707,123,10,2000,400,252,255,5,0,
363,Reaver-Flex 09,1708,124,10,2666,400,252,255,5,0,
364,Reaver-Flex 10,1709,124,10,2866,400,249,15,54,0,
365,Reaver-Flex 11,1710,122,10,1533,400,249,15,54,0,
366,Reaver-Flex 12,1711,122,10,2666,400,249,15,54,0,
367,Reaver-Flex 13,1712,123,10,1466,400,206,73,235,0,
368,Reaver-Flex 14,1713,123,10,1066,400,206,73,235,0,
369,Reaver-Flex 15,1714,124,10,2000,400,206,73,235,0, 
370,H2H Combat Style 1,1730,108,10,1000,400,70,186,75,0,
371,H2H Combat Style 2,1731,108,10,866,400,70,186,75,0,
372,H2H Combat Style 3,1732,109,10,866,400,70,186,75,0,
373,H2H Combat Style 4,1733,109,10,1000,400,29,119,255,0,
374,H2H Combat Style 5,1734,110,10,1400,400,29,119,255,0, 
375,H2H Combat Style 6,1735,110,10,1000,400,29,119,255,0,
376,H2H Combat Style 7,1736,111,10,1733,400,252,255,5,0,
377,H2H Combat Style 8,1737,111,10,1800,400,252,255,5,0,
378,H2H Combat Style 9,1738,112,10,1666,400,252,255,5,0,
379,H2H Combat Style 10,1739,112,10,1000,400,249,15,54,0,
380,H2H Combat Style 11,1740,110,10,866,400,249,15,54,0,
381,H2H Combat Style 12,1741,110,10,866,400,249,15,54,0,
382,H2H Combat Style 13,1742,109,10,1000,400,206,73,235,0,
383,H2H Combat Style 14,1743,109,10,1400,400,206,73,235,0,
384,H2H Combat Style 15,1744,112,10,1000,400,206,73,235,0,
385,Scythe Combat Style 1,1715,117,10,1000,400,70,186,75,0,
386,Scythe Combat Style 2,1716,117,10,866,400,70,186,75,0,
387,Scythe Combat Style 3,1717,118,10,866,400,70,186,75,0,
388,Scythe Combat Style 4,1718,118,10,1000,400,29,119,255,0,
389,Scythe Combat Style 5,1719,119,10,1400,400,29,119,255,0, 
390,Scythe Combat Style 6,1720,119,10,1000,400,29,119,255,0,
391,Scythe Combat Style 7,1721,117,10,1733,400,252,255,5,0,
392,Scythe Combat Style 8,1722,117,10,1800,400,252,255,5,0,
393,Scythe Combat Style 9,1723,118,10,1666,400,252,255,5,0,
394,Scythe Combat Style 10,1724,118,10,1000,400,249,15,54,0,
395,Scythe Combat Style 11,1725,119,10,866,400,249,15,54,0,
396,Scythe Combat Style 12,1726,119,10,866,400,249,15,54,0,
397,Scythe Combat Style 13,1727,118,10,1000,400,206,73,235,0,
398,Scythe Combat Style 14,1728,119,10,1400,400,206,73,235,0,
399,Scythe Combat Style 15,1729,119,10,1000,400,206,73,235,0,
400,Dark Tendrils,670,63,10,1200,400,249,15,54,0,
401,Essence Flames ,1750,126,10,1733,400,70,186,75,0,
402,Faultfinder ,1751,129,10,1733,400,29,119,255,0,
403,Sapping Strike ,1752,131,10,1733,400,252,255,5,0,
404,Power Leak ,1753,130,10,1733,400,249,15,54,0,
405,Essence Sear ,1754,127,10,1733,400,206,73,235,0,
406,Essence Dampen ,1755,125,10,1733,400,70,186,75,0,
407,Essence Shatter ,1756,128,10,1733,400,29,119,255,0,
408,Throw Weapon,1757,132,10,1733,400,29,119,255,0,
409,Odin's Clip,1760,60,10,1066,400,249,15,54,0,
410,Odin's Bite,1761,60,10,1066,400,206,73,235,0,
411,Odin's Deathblow,1762,60,10,1066,400,206,73,235,0,
412,Windmill,1763,56,10,2000,400,249,15,54,0,
413,Roundhouse,1764,56,10,2000,400,206,73,235,0,
414,Assault,1765,69,10,1000,400,249,15,54,0,
415,Cripple,1766,61,10,1000,400,249,15,54,0,
416,Sideswipe,1767,134,10,1000,400,255,255,255,0,
417,Brace,1768,61,10,1000,400,249,15,54,0,
418,Dragonfly - Vamp,750,79,10,1933,400,70,186,75,0,
419,Wasp's Sting - Vamp,751,79,10,1733,400,70,186,75,0,
420,Vampiir's Sting,752,80,10,1933,400,70,186,75,0,
421,Hornet's Sting,753,80,10,1733,400,29,119,255,0,
422,Scorpion,754,79,10,1933,400,29,119,255,0,
423,Head Shot,1770,79,10,1733,400,252,255,5,0,
424,Torso Shot,1771,80,10,1533,400,249,15,54,0,
425,Black Widow,755,79,10,1933,400,29,119,255,0,
426,Leg Shot,1772,81,10,1733,400,249,15,54,0,
427,Tarantula,756,79,10,1733,400,252,255,5,0,
428,Sidewinder,757,80,10,1933,400,252,255,5,0,
429,Copperhead,758,79,10,1733,400,252,255,5,0,
430,Diamondback,759,79,10,1933,400,249,15,54,0,
431,Viper's Bite,760,80,10,1733,400,249,15,54,0,
432,Asp's Bite,761,81,10,1933,400,249,15,54,0,
433,Vampiiric Feint,1773,79,10,1733,400,249,15,54,0,
434,Cobra's Bite,762,80,10,1733,400,206,73,235,0,
435,Eye Shot,1774,79,10,1733,400,206,73,235,0,
436,Dragonspider,763,80,10,1933,400,206,73,235,0,
437,Lung Shot,1775,80,10,1733,400,206,73,235,0,
438,Knee Cap,1776,81,10,1733,400,206,73,235,0,
439,Wyvern's Bite,764,81,10,1733,400,206,73,235,0,
440,Armsman Thrust Ratfang,1780,56,10,1533,400,70,186,75,0,
441,Paladin Thrust –ratfang,1781,56,10,1533,400,70,186,75,0,
442,Bard Blades –return blades,1782,77,10,1066,400,70,186,75,0,
443,Hunter Sword Frost Cut,1783,60,10,1066,400,70,186,75,0,
444,Hunter Sword Reinforcement,1784,60,10,1066,400,252,255,5,0,
445,Ranger Blades Return Blade,1782,77,10,1066,400,70,186,75,0,
446,Ranger Celtic Dual,1785,50,10,1333,400,249,15,54,0,
447,Thane Axe Raider,1786,54,10,1466,400,249,15,54,0,
448,Thane Sword Ice Storm,1787,60,10,1066,400,249,15,54,0,
449,Sever,1790,56,10,1533,400,70,186,75,0,
450,Wildcat/Wild Sting,1789,85,10,1000,400,252,255,5,0,
451,Polar Light (SB),1791,50,10,1133,400,29,119,255,0,
452,Cleave,1792,44,10,933,400,249,15,54,0,
453,1 handed weapon  - SubClass,727,75,10,1066,400,252,255,5,0,1
454,2 handed weapon - SubClass,792,80,10,1600,400,70,186,75,0,1
455,Spear - SubClass,1608,62,10,2000,400,29,119,255,0,1
456,Staff - SubClass,698,71,10,1266,400,252,255,5,0,1
457,H2H - SubClass,1734,110,10,1400,400,29,119,255,0,1
458,Scythe - SubClass,1719,119,10,1400,400,29,119,255,0,1
459,Reaver-Flex SubClass,1714,124,10,2000,400,206,73,235,0,1
460,Tenacity,3812,0,0,0,0,0,0,0,0,1
461,Resilience,3813,0,0,0,0,0,0,0,0,1
462,Onslaught,3814,0,0,0,0,0,0,0,0,1
463,Vengeance,3815,0,0,0,0,0,0,0,0,1
464,Retaliation,3817,0,0,0,0,0,0,0,0,1
465,Anticipation,3819,0,0,0,0,0,0,0,0,1
466,Not Used,3816,0,0,0,0,0,0,0,0,1
