Effect,Desc,Filename,Expansion,Housing,Max
164,Relic_Lightbeam_Gold,Relic_Lightbeam_Gold,1,0,4000
165,Purple Labyrinth Fire,Fire_labyrinth_03,6,0,8000
166,Relic Lock Effect,relic_lock_mon,0,0,4000
167,Rolling Boulder,Rolling_Boulder,6,0,4000
168,Copper Construct Death,Construct_Gold_Death2,6,0,4000
169,2000 Unit Ring Alb,range_2000_alb,0,0,2500
170,2000 Unit Ring Mid,range_2000_mid,0,0,2500
171,2000 Unit Ring Hib,range_2000_hib,0,0,2500
172,riserings3x_red,riserings3x_red,0,0,2500
173,riserings3x_blu,riserings3x_blu,0,0,2500
174,riserings3x_grn,riserings3x_grn,0,0,2500
175,rise_streaks_red,rise_streaks_red,0,0,2500
176,rise_streaks_grn,rise_streaks_grn,0,0,2500
177,rise_streaks_blu,rise_streaks_blu,0,0,2500
178,negmaelstrom_core_alb,negmaelstrom_core_alb,0,0,2500
179,negmaelstrom_core_mid,negmaelstrom_core_mid,0,0,2500
180,negmaelstrom_core_hib,negmaelstrom_core_hib,0,0,2500
181,negmaelstrom350,negmaelstrom350,0,0,2500
182,Exploding Glimmer Knight,Cat_GlimmerKnight_ExplodingDeath,0,0,4000
183,Placeable Fire Prop 1,fire_labyrinth_01_propeffect,0,0,4000
184,Hibernian Dragon Effect Monster,dragonbreath_hib_monster,0,0,4000
185,Black Smoke Effect Prop,smoke_black_propeffect,999,0,4000
186,Lore Quest Indicator,quest_lore,1,0,4000
187,Lesson Quest Indicator,quest_lesson,1,0,4000
188,Quest Completed Indicator,quest_knot_complete,1,0,4000
189,Quest Pending Indicator,quest_knot_inactive_01,1,0,4000
190,Relic_Lightbeam_Blue,Relic_Lightbeam_Blue,1,0,4000
191,Relic_Lightbeam_Green,Relic_Lightbeam_Green,1,0,4000
192,Bonedancer_totem,bonedancer_totem,1,0,2500
193,bonedancer_area_yellow,bonedancer_area_yellow,1,0,2500
194,bonedancer_area_purple,bonedancer_area_purple,1,0,2500
195,bonedancer_area_blue,bonedancer_area_blue,1,0,2500
196,siege ward,ward_siegeward,1,0,2500
