Information,,NIF,Anim,Stride,Stride,Stride,Stride,Alternate,Expansion ,Figure,Ride,Figure,Cata,Vampire,Skeleton,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata Morph,Cata Cloak,Cata Cloak,Cata Cloak,Cata Cloak,Cata Cloak,Cata Cloak,Mount,Z-Offset
141,Cata Sylvan Mummy Male,syl_m,267,160,72,75,75,0,4,1,,3,162,,2,,,,,,,,,,,,112,
142,Cata Sylvan Stone Female,syl_f,268,160,72,75,75,0,4,1,,3,163,,2,,,,,,,,,,,,110,
143,Cata Sylvan Shade Female,syl_f,268,160,72,75,75,0,4,1,,3,164,,2,,,,,,,,,,,,110,
144,Cata Sylvan Mummy Female,syl_f,268,160,72,75,75,0,4,1,,3,165,,2,,,,,,,,,,,,110,
145,Cata Shar Stone Male,sha_m,239,160,75,54,48,0,4,1,,3,154,288,2,,,,1,,,,,,,,100,
146,Cata Shar Shade Male,sha_m,239,160,75,54,48,0,4,1,,3,155,288,2,,,,1,,,,,,,,100,
147,Cata Shar Mummy Male,sha_m,239,160,75,54,48,0,4,1,,3,156,288,2,,,,1,,,,,,,,100,
148,Cata Shar Stone Female,sha_f,240,188,65,52,46,0,4,1,,3,157,289,2,,,,1,,,,,,,,97,
149,Cata Shar Shade Female,sha_f,240,188,65,52,46,0,4,1,,3,158,289,2,,,,1,,,,,,,,97,
150,Cata Shar Mummy Female,sha_f,240,188,65,52,46,0,4,1,,3,159,289,2,,,,1,,,,,,,,97,
151,Cata Elf Stone Male,elf_m,243,160,75,75,75,0,4,1,,3,142,,1,,,,1,,,,,,,,115,
152,Cata Elf Shade Male,elf_m,243,160,75,75,75,0,4,1,,3,143,,1,,,,1,,,,,,,,115,
153,Cata Elf Mummy Male,elf_m,243,160,75,75,75,0,4,1,,3,144,,1,,,,1,,,,,,,,115,
154,Cata Elf Stone Female,elf_f,244,160,75,75,75,0,4,1,,3,145,,2,,,,1,,,,,,,,114,
155,Cata Elf Shade Female,elf_f,244,160,75,75,75,229,4,1,,3,146,,2,,,,1,,,,,,,,114,
156,Cata Elf Mummy Female,elf_f,244,160,75,75,75,0,4,1,,3,147,,2,,,,1,,,,,,,,114,
157,Cata Lurikeen Stone Male,lur_m,249,180,75,75,75,0,4,1,,3,166,286,2,,,,1,,,,,,,,84,
158,Cata Lurikeen Shade Male,lur_m,249,180,75,75,75,0,4,1,,3,167,286,2,,,,1,,,,,,,,84,
159,Cata Lurikeen Mummy Male,lur_m,249,180,75,75,75,0,4,1,,3,168,286,2,,,,1,,,,,,,,84,
160,Cata Lurikeen Stone Female,lur_f,250,180,75,75,75,0,4,1,,3,169,287,1,,,,1,,,,,,,,84,
161,Cata Lurikeen Shade Female,lur_f,250,180,75,75,75,0,4,1,,3,170,287,1,,,,1,,,,,,,,84,
162,Cata Lurikeen Mummy Female,lur_f,250,180,75,75,75,0,4,1,,3,171,287,1,,,,1,,,,,,,,84,
163,Cata Firbolg Stone Male,fir_m,261,190,75,75,75,0,4,1,,3,148,,2,,,,1,,,,,,,,150,
164,Cata Firbolg Shade Male,fir_m,261,190,75,75,75,0,4,1,,3,149,,2,,,,1,,,,,,,,150,
165,Cata Firbolg MummyMale,fir_m,261,190,75,75,75,0,4,1,,3,150,,2,,,,1,,,,,,,,150,
166,Cata Firbolg Stone Female,fir_f,262,160,75,75,75,0,4,1,,3,151,,2,,,,1,,,,,,,,140,
167,Cata Firbolg Shade  Female,fir_f,262,160,75,75,75,0,4,1,,3,152,,2,,,,1,,,,,,,,140,
168,Cata Firbolg Mummy Female,fir_f,262,160,75,75,75,0,4,1,,3,153,,2,,,,1,,,,,,,,140,
169,Cata Valkyn Stone Male,val_m,259,230,75,75,75,0,4,1,,3,124,,2,,,,1,,,,,,,,110,
170,Cata Valkyn Shade Male,val_m,259,230,75,75,75,0,4,1,,3,125,,2,,,,1,,,,,,,,110,
171,Cata Valkyn Mummy Male,val_m,259,230,75,75,75,0,4,1,,3,126,,2,,,,1,,,,,,,,110,
172,Cata Valkyn Stone Female,val_f,260,240,50,75,75,0,4,1,,3,127,,2,,,,1,,,,,,,,100,
173,Cata Valkyn Shade Female,val_f,260,240,50,75,75,0,4,1,,3,128,,2,,,,1,,,,,,,,100,
174,Cata Valkyn Mummy Female,val_f,260,240,50,75,75,0,4,1,,3,129,,2,,,,1,,,,,,,,100,
175,Cata Frostalf Stone Male,fro_m,237,160,75,75,75,0,4,1,,3,100,,1,,,,1,,,,,,,,100,
176,Cata Frostalf Shade Male,fro_m,237,160,75,75,75,0,4,1,,3,101,,1,,,,1,,,,,,,,100,
177,Cata Frostalf Mummy Male,fro_m,237,160,75,75,75,0,4,1,,3,102,,1,,,,1,,,,,,,,100,
178,Cata Frostalf Stone Female,fro_f,238,160,75,75,75,0,4,1,,3,103,,1,,,,1,,,,,,,,95,
179,Cata Frostalf Shade Female,fro_f,238,160,75,75,75,0,4,1,,3,104,,1,,,,1,,,,,,,,95,
180,Cata Frostalf Mummy Female,fro_f,238,160,75,75,75,0,4,1,,3,105,,1,,,,1,,,,,,,,95,
181,Cata Norse Stone Male,nor_m,247,160,75,62,72,0,4,1,,3,112,,1,,,,,,,,,,,,115,
182,Cata Norse Shade Male,nor_m,247,160,75,62,72,0,4,1,,3,113,,1,,,,,,,,,,,,115,
183,Cata Norse Mummy Male,nor_m,247,160,75,62,72,0,4,1,,3,114,,1,,,,,,,,,,,,115,
184,Cata Norse Stone Female,nor_f,248,188,75,58,52,0,4,1,,3,115,,1,,,,,,,,,,,,109,
185,Cata Norse Shade Female,nor_f,248,188,75,58,52,0,4,1,,3,116,,1,,,,,,,,,,,,109,
186,Cata Norse Mummy Female,nor_f,248,188,75,58,52,0,4,1,,3,117,,1,,,,,,,,,,,,109,
187,Cata Kobold Stone Male,kob_m,251,168,72,54,48,0,4,1,,3,118,,1,,,,1,,,,,,,1750,88,
188,Cata Kobold Shade Male,kob_m,251,168,72,54,48,0,4,1,,3,119,,1,,,,1,,,,,,,1750,88,
189,Cata Kobold Mummy Male,kob_m,251,168,72,54,48,0,4,1,,3,120,,1,,,,1,,,,,,,1750,88,
190,Cata Kobold Stone Female,kob_f,252,156,72,72,72,0,4,1,,3,121,,1,,,,1,,,,,,,1500,87,
191,Cata Kobold Shade Female,kob_f,252,156,72,72,72,0,4,1,,3,122,,1,,,,1,,,,,,,1500,87,
192,Cata Kobold Mummy Female,kob_f,252,156,72,72,72,0,4,1,,3,123,,1,,,,1,,,,,,,1500,87,
193,Cata Dwarf Stone Male,dwa_m,253,170,75,54,48,0,4,1,,3,106,,2,,,,,,,,,,,1000,100,
194,Cata Dwarf Shade Male,dwa_m,253,170,75,54,48,0,4,1,,3,107,,2,,,,,,,,,,,1000,100,
195,Cata Dwarf  Mummy Male,dwa_m,253,170,75,54,48,0,4,1,,3,108,,2,,,,,,,,,,,1000,100,
196,Cata Dwarf Stone Female,dwa_f,254,170,66,54,48,0,4,1,,3,109,,1,,,,,,,,,,,500,100,
197,Cata Dwarf Shade Female,dwa_f,254,170,66,54,48,0,4,1,,3,110,,1,,,,,,,,,,,500,100,
198,Cata Dwarf Mummy Female,dwa_f,254,170,66,54,48,0,4,1,,3,111,,1,,,,,,,,,,,500,100,
199,Cata Troll Stone Male,tro_m,263,190,60,54,48,0,4,1,,3,130,,2,,,,1,,,,2250,,,,150,
200,Cata Troll Shade Male,tro_m,263,190,60,54,48,0,4,1,,3,131,,2,,,,1,,,,2250,,,,150,
201,Cata Troll Mummy  Male,tro_m,263,190,60,54,48,0,4,1,,3,132,,2,,,,1,,,,2250,,,,150,
202,Cata Troll Stone Female,tro_f,264,151,60,54,48,0,4,1,,3,133,,1,,,,1,,,,,,,,140,
203,Cata Troll Shade Female,tro_f,264,151,60,54,48,0,4,1,,3,134,,1,,,,1,,,,,,,,140,
204,Cata Troll Mummy Female,tro_f,264,151,60,54,48,0,4,1,,3,135,,1,,,,1,,,,,,,,140,
205,Demon,dem,3,200,100,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
206,Briton Male,bcommonm,2,135,75,54,48,0,0,1,,0,,,,,,,,,,,,,,,100,
207,Skeleton,skel01,4,180,60,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
208,Snake,snake,5,200,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
209,Briton Female,bcommonf,6,158,65,52,46,230,0,1,,0,,,,,,,,,,,,,,,100,
210,Highlander Male,bhilandm,2,135,75,62,72,0,0,1,,0,,,,,,,,,,,,,,,120,
211,Highlander Female,bhilandf,6,158,75,58,52,230,0,1,,0,,,,,,,,,,,,,,,109,
212,Wolf,wolf,7,180,52,52,52,222,0,0,,0,,,,,,,,,,,,,,,,
213,Saracen Male,bsaracenm,2,135,75,54,48,0,0,1,,0,,,,,,,,,,,,,,,100,
214,Saracen Female,bsaracenf,6,158,75,52,46,0,0,1,,0,,,,,,,,,,,,,,,95,
215,Goblin,goblin,8,200,40,75,75,0,0,0,,0,,,,,,,,,,,,,,,,5
216,Spider,spider,9,200,92,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
217,Avalonian Male,bavalonm,2,135,75,62,54,0,0,1,,0,,,,,,,,,,,,,,,110,
218,Avalonian Female,bavalonf,6,158,75,58,52,230,0,1,,0,,,,,,,,,,,,,,,108,
219,Bear,bear,10,200,72,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
220,Fellwood,fellwood,11,200,56,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
221,Boar,boar,12,200,28,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
222,Lion,lion,13,200,52,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
223,Lizard,lizard,14,200,96,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
224,Roman Skeleton,romandead1,69,200,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
225,Roman Robed Skeleton,romandead2,69,200,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
226,Zombie,zombie,15,150,15,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
227,Brownie,brownie,16,75,35,35,35,0,0,0,,0,,,,,,,,,,,,,,,,
228,Troglodyte,troglo,16,100,55,55,55,0,0,0,,0,,,,,,,,,,,,,,,,
229,Rock Creature,rock,17,100,55,55,55,0,0,0,,0,,,,,,,,,,,,,,,,
230,Ant,ant,18,192,192,192,192,0,0,0,,0,,,,,,,,,,,,,,,,
231,Frog,frog,19,192,30,30,30,0,0,0,,0,,,,,,,,,,,,,,,,
232,Giant,giant,20,150,100,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
233,worm,worm,21,175,90,90,90,0,0,0,,0,,,,,,,,,,,,,,,,
234,Lynx,lynx,13,200,52,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
235,Huldu,huldu,16,75,35,35,35,0,0,0,,0,,,,,,,,,,,,,,,,
236,Sprite,sprite,23,192,40,40,40,0,0,0,,0,,,,,,,,,,,,,,,,
237,Male Troll,ntrollm,24,127,60,54,48,0,0,1,,0,,,,,,,,,,,,,,,150,
238,Female Troll,ntrollf,25,127,60,54,48,0,0,1,,0,,,,,,,,,,,,,,,140,
239,Male Norse,nvikingm,28,135,75,62,72,0,0,1,,0,,,,,,,,,,,,,,,115,
240,Female Norse,nvikingf,29,158,75,58,52,230,0,1,,0,,,,,,,,,,,,,,,109,
241,Male Kobold,nkoboldm,26,140,72,54,48,0,0,1,,0,,,,,,,,,,,,,,,88,
242,Female Kobold,nkoboldf,27,130,72,72,72,230,0,1,,0,,,,,,,,,,,,,,,87,
243,Male Dwarf,ndwarfm,40,142,75,54,48,0,0,1,,0,,,,,,,,,,,,,,,100,
244,Female Dwarf,ndwarff,191,142,66,54,48,0,0,1,,0,,,,,,,,,,,,,,,100,
245,Cabalist Pet,cabalpet,20,150,100,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
246,Goblin 2,goblin2,30,160,75,100,100,0,0,0,,0,,,,,,,,,,,,,,,,5
247,hobgoblin,hobgoblin,30,160,75,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
248,vendo,vendo,31,200,80,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
249,werewolf,ww,32,150,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
250,Hibernian Celt Male,hceltm,48,135,75,75,75,0,0,1,,0,,278,,,,,,,,,,,,,100,
251,Hibernian Celt Female,hceltf,49,135,75,75,75,230,0,1,,0,,279,,,,,,,,,,,,,100,
252,Hibernian Elf male,helfm,48,135,75,75,75,0,0,1,,0,,,,,,,,,,,,,,,115,
253,Hibernian Elf Female,helff,49,135,75,75,75,230,0,1,,0,,,,,,,,,,,,,,,114,
254,Hibernian Firbolg Male,hfirbolgm,35,130,75,75,75,0,0,1,,0,,,,,,,,,,,,,,,150,
255,Hibernian Firbolg Female,hfirbolgf,36,130,75,75,75,0,0,1,,0,,,,,,,,,,,,,,,140,
256,Hibernian Lurikeen male,hlurikeenm,33,150,75,75,75,0,0,1,,0,,280,,,,,,,,,,,,,74,
257,Hibernian Lurikeen Female,hlurikeenf,34,150,75,75,75,0,0,1,,0,,281,,,,,,,,,,,,,74,
258,Ettin,ettin,37,150,120,65,65,0,0,0,,0,,,,,,,,,,,,,,,,
259,Ogre,ogre,39,200,80,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
260,arachite 1,arachite01,38,225,110,110,110,0,0,0,,0,,,,,,,,,,,,,,,,
261,arachite 2,arachite02,38,225,110,110,110,0,0,0,,0,,,,,,,,,,,,,,,,
262,Horse,horse01,41,300,55,55,55,0,0,0,71,0,,,,,,,,,,,,,,,,
263,Scrag,scrag,42,120,35,35,35,0,0,0,,0,,,,,,,,,,,,,,,,
264,Red CSR,csrred,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,
265,Yellow CSR,csryellow,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,
266,Green CSR,csrgreen,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,
267,Blue CSR,csrblue,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,
268,Bandit 1,b_band01,22,175,65,52,46,45,0,0,,0,,,,,,,,,,,,,,,,
269,Bandit 2,b_band02,22,175,65,52,46,45,0,0,,0,,,,,,,,,,,,,,,,
270,Bandit leader 1,b_bandlead01,22,175,65,52,46,45,0,0,,0,,,,,,,,,,,,,,,,
271,bandit leader 2,b_bandlead02,22,175,65,52,46,45,0,0,,0,,,,,,,,,,,,,,,,
272,Standard female bandit,b_band01f,50,175,65,52,46,46,0,0,,0,,,,,,,,,,,,,,,,
273,Standard female bandit 2,b_band02f,50,175,65,52,46,46,0,0,,0,,,,,,,,,,,,,,,,
274,female bandit leader 1,b_band03f,50,175,65,52,46,46,0,0,,0,,,,,,,,,,,,,,,,
275,female bandit leader 2,b_band04f,50,175,65,52,46,46,0,0,,0,,,,,,,,,,,,,,,,
276,Wight,wight,43,230,110,110,110,0,0,0,,0,,,,,,,,,,,,,,,,
277,Lich,lich,44,230,110,110,110,0,0,0,,0,,,,,,,,,,,,,,,,
278,Undead male troll,n_trollmon01,45,140,60,54,48,0,0,0,,0,,,,,,,,,,,,,,,,
279,Undead male Elf,h_elfmon01,46,150,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
280,undead female elf,h_elfmon01f,46,150,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
281,undead male avalonian,b_avmon01,45,150,75,62,54,0,0,0,,0,,,,,,,,,,,,,,,,
282,undead female avalonian,b_avmon01f,46,175,75,58,52,0,0,0,,0,,,,,,,,,,,,,,,,
283,Cockatrice,cockatrice,47,140,45,130,130,0,0,0,,0,,,,,,,,,,,,,,,,
284,Basilisk,basilisk,47,140,45,130,130,0,0,0,,0,,,,,,,,,,,,,,,,
285,Unicorn,unicorn,41,150,55,55,55,0,0,0,,0,,,,,,,,,,,,,,,,
286,Crab,crab,51,300,150,55,55,0,0,0,,0,,,,,,,,,,,,,,,,
287,Scorpion,scorp,52,300,150,55,55,0,0,0,,0,,,,,,,,,,,,,,,,
288,Rat,rat,53,125,45,45,45,0,0,0,,0,,,,,,,,,,,,,,,,
289,Badger,badger,54,125,15,15,15,0,0,0,,0,,,,,,,,,,,,,,,,
290,Vendo Man,vendo_man,24,127,60,54,48,0,0,0,,0,,,,,,,,,,,,,,,,
291,Stag Man,stag_man,35,130,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
292,Giant Mite,giantmite,55,255,80,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
293,Weird Land Creature,land2legs,55,255,80,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
294,weird sea creature,sea2legs,56,255,80,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
295,pixie,pixie,57,250,100,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
296,dragon,dragon01,58,200,50,50,50,0,0,0,,0,,,,,,,,,,,,,,,,
297,Demon,demon,59,300,120,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
298,Imp,imp,60,180,75,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
299,Afanc,afanc,61,300,135,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
300,Baby Afanc,afancb,61,300,135,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
301,Ogre Boss,ogre2,39,200,80,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
302,Wolf Dragon,wlfdragon01,58,250,100,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
303,Stone Dragon,stonedragon,58,250,100,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
304,Zombie Dragon,glimmerdragon,58,250,100,100,100,0,0,0,,0,,,,,,,,,,,,,,,,
305,Dragowolf,dragwolf,7,180,52,52,52,0,0,0,,0,,,,,,,,,,,,,,,,
306,Svartalf,svartalfm,48,135,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
307,glimmer knight,glimmerknight,62,192,80,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
308,glimmer spellcaster,glimmercaster,63,192,80,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
309,glimmer ghoul,glimmerghoul,62,192,80,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
310,Skinny Giant,giant2,64,95,27,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
311,Female Svartalf,svartalfF,49,135,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
312,Legion (Soul Keeper),soulkeeper,65,52,52,52,52,0,0,0,,0,,,,,,,,,,,,,,,,
313,3 Headed Demon,3head,66,106,49,106,106,0,0,0,,0,,,,,,,,,,,,,,,,
314,Hag,hag,67,160,68,68,68,0,0,0,,0,,,,,,,,,,,,,,,,
315,Succubus,succubus,68,225,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
316,Wolf 2,wolf2,7,180,52,52,52,222,0,0,,0,,,,,,,,,,,,,,,,
317,Handsome knight,knight_cloak,2,135,75,54,48,0,0,0,,0,,,,,,,,,,,,,,,,
318,Demon Knight,demon_knight,69,200,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
319,Wraith,wraith,70,110,45,45,45,0,0,0,,0,,,,,,,,,,,,,,,,
320,Hulker,hulker,71,150,38,38,38,0,0,0,,0,,,,,,,,,,,,,,,,
321,Locust Head,locust,72,30,42,42,42,0,0,0,,0,,,,,,,,,,,,,,,,
322,Invisible Warrior,Invisible,2,135,75,54,48,0,0,0,115,0,,,,,,,,,,,,,,,,
323,Beetle,Beetle,74,235,125,100,250,0,0,0,,0,,,,,,,,,,,,,,,,
324,Gnome,Gnome,75,120,32,30,30,0,0,0,,0,,,,,,,,,,,,,,,,
325,Zombie Male Firbolg,HFirbolgMonM,35,130,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
326,Zombie Female Firbolg,HFirbolgMonF,36,130,75,75,75,0,0,0,,0,,,,,,,,,,,,,,,,
327,Zombie Female Kobold,NKoboldMonF,27,130,72,72,72,0,0,0,,0,,,,,,,,,,,,,,,,
328,Zombie Male Kobold,NKoboldMonM,26,130,72,72,72,0,0,0,,0,,,,,,,,,,,,,,,,
329,Praying Mantis,Pmantis,80,155,115,115,75,0,1,0,,0,,,,,,,,,,,,,,,,
330,Primitive,Primitive,81,135,60,34,75,0,1,0,,0,,,,,,,,,,,,,,,,
331,Two  Headed Wolf ,2Hwolf,82,190,55,34,75,0,1,0,,0,,,,,,,,,,,,,,,,
332,Sabertooth,SaberT,83,210,74,74,75,0,1,0,,0,,,,,,,,,,,,,,,,
333,Gryphon,Gryphon,84,209,99,99,75,0,1,0,111,0,,,,,,,,,,,,,,,,
334,Gryphon 2,Gryphon_wingless,85,300,74,74,75,0,1,0,,0,,,,,,,,,,,,,,,,
335,Cniogcrag,CNI,91,235,70,149,75,0,1,0,,0,,,,,,,,,,,,,,,,
336,Megalocerous,Mega,92,300,70,70,75,0,1,0,,0,,,,,,,,,,,,,,,,
