race, hair color, desc (new), hair color (old)
10,13, ELF 14,5
10,14, ELF 15,8
10,15, ELF 16,5
11,0, LURIKEEN 1,7
11,1, LURIKEEN 2,5
11,2, LURIKEEN 3,5
11,3, LURIKEEN 4,2
11,4, LURIKEEN 5,6
11,5, LURIKEEN 6,5
11,6, LURIKEEN 7,1
11,7, LURIKEEN 8,5
11,8, LURIKEEN 9,7
11,9, LURIKEEN 10,1
11,10, LURIKEEN 11,2
11,11, LURIKEEN 12,2
11,12, LURIKEEN 13,8
11,13, LURIKEEN 14,8
11,14, LURIKEEN 15,8
11,15, LURIKEEN 16,8
12,0, INCONNU 1,7
12,1, INCONNU 2,1
12,2, INCONNU 3,8
12,3, INCONNU 4,7
12,4, INCONNU 5,1
12,5, INCONNU 6,3
12,6, INCONNU 7,3
12,7, INCONNU 8,8
12,8, INCONNU 9,7
12,9, INCONNU 10,3
12,10, INCONNU 11,1
12,11, INCONNU 12,3
12,12, INCONNU 13,7
12,13, INCONNU 14,1
12,14, INCONNU 15,1
12,15, INCONNU 16,3
13,0, VALKYN 1,1
13,1, VALKYN 2,4
13,2, VALKYN 3,2
13,3, VALKYN 4,8
13,4, VALKYN 5,4
13,5, VALKYN 6,4
13,6, VALKYN 7,4
13,7, VALKYN 8,4
13,8, VALKYN 9,6
13,9, VALKYN 10,4
13,10, VALKYN 11,8
13,11, VALKYN 12,6
13,12, VALKYN 13,8
13,13, VALKYN 14,8
13,14, VALKYN 15,2
13,15, VALKYN 16,6
14,0, SYLVAN 1,2
14,1, SYLVAN 2,5
14,2, SYLVAN 3,3
14,3, SYLVAN 4,5
14,4, SYLVAN 5,2
14,5, SYLVAN 6,4
14,6, SYLVAN 7,3
14,7, SYLVAN 8,2
14,8, SYLVAN 9,6
14,9, SYLVAN 10,6
14,10, SYLVAN 11,3
14,11, SYLVAN 12,6
14,12, SYLVAN 13,2
14,13, SYLVAN 14,4
14,14, SYLVAN 15,3
14,15, SYLVAN 16,5
15,0, HALF_OGRE 1,1
15,1, HALF_OGRE 2,5
15,2, HALF_OGRE 3,8
15,3, HALF_OGRE 4,1
15,4, HALF_OGRE 5,1
15,5, HALF_OGRE 6,8
15,6, HALF_OGRE 7,4
15,7, HALF_OGRE 8,4
15,8, HALF_OGRE 9,1
15,9, HALF_OGRE 10,2
15,10, HALF_OGRE 11,8
15,11, HALF_OGRE 12,1
15,12, HALF_OGRE 13,8
15,13, HALF_OGRE 14,8
15,14, HALF_OGRE 15,2
15,15, HALF_OGRE 16,6
16,0, FROSTALF 1,4
16,1, FROSTALF 2,6
16,2, FROSTALF 3,1
16,3, FROSTALF 4,7
16,4, FROSTALF 5,5
16,5, FROSTALF 6,5
16,6, FROSTALF 7,1
16,7, FROSTALF 8,1
16,8, FROSTALF 9,7
16,9, FROSTALF 10,1
16,10, FROSTALF 11,1
16,11, FROSTALF 12,1
16,12, FROSTALF 13,1
16,13, FROSTALF 14,1
16,14, FROSTALF 15,1
16,15, FROSTALF 16,1
17,0, SHAR 1,8
17,1, SHAR 2,3
17,2, SHAR 3,3
17,3, SHAR 4,4
17,4, SHAR 5,6
17,5, SHAR 6,4
17,6, SHAR 7,4
17,7, SHAR 8,3
17,8, SHAR 9,3
17,9, SHAR 10,3
17,10, SHAR 11,3
17,11, SHAR 12,3
17,12, SHAR 13,2
17,13, SHAR 14,4
17,14, SHAR 15,3
17,15, SHAR 16,4
