Effect,Effect,Effect,Effect,Effect,Effect,Track,Auto,Spin,Angle,Focus,Focus,Focus,Focus,Focus
52,Corrosive Could hit,70,Bip01 Pelvis,10000,100,0,1,,,,,,,
53,Vines whip around ankles,22,rootnode,4000,100,0,1,,,,,,,
54,Red pain flash twinkles (Pelvis),75,Bip01 Pelvis,1000,100,0,1,,,,,,,
55,Red Sorcerer handglow Left,56,Bip01 L Held,4000,100,0,1,,,,,,,
56,Red Penta Splash,57,rootnode,2000,100,0,1,,,,,,,
57,Green Penta Splash,58,rootnode,2000,100,0,1,,,,,,,
58,Sprain Snare hit,59,Bip01 Pelvis,2000,100,0,1,,,,,,,
59,Green Sorcerer handglow Left,60,Bip01 L Held,4000,100,0,1,,,,,,,
60,Fleshbane hit,61,targetchest,3333,100,0,1,,,,,,,
61,Bloodbane hit,62,targetchest,3333,100,0,1,,,,,,,
62,Heartbane hit,63,targetchest,3333,100,0,1,,,,,,,
63,Soulbane hit,64,targetchest,3333,100,0,1,,,,,,,
64,red stun swirl,65,rootnode,2000,100,0,1,,,,,,,
65,weaken hit,66,rootnode,5000,100,0,1,,,,,,,
66,exhaustion hit,67,rootnode,5000,100,0,1,,,,,,,
67,multicolor rings growing/clouds,68,Bip01 Pelvis,6000,100,0,1,,,,,,,
68,growing red rings/cloud,69,Bip01 Pelvis,6000,100,0,1,,,,,,,
69,Red Sorcerer handglow Right,56,Bip01 R Held,4000,100,0,1,,,,,,,
70,acidic mist hit,55,targetchest,5000,100,0,1,,,,,,,
71,Red shock rings collapsing,52,targetchest,1000,100,0,1,,,,,,,
72,Green shock rings collapsing,53,targetchest,1000,100,0,1,,,,,,,
73,Purple shock rings collapsing,54,targetchest,1000,100,0,1,,,,,,,
74,quadriped red ground streaks rising,13,rootnode,2000,100,1,1,,,,,,,
75,black wolf red eye glow/burn,14,Bip01 Head,3000,100,2,1,,,,,,,
76,Green Sorcerer handglow Right,60,Bip01 R Held,4000,100,0,1,,,,,,,
77,silver twinkles SFX,78,Bip01 Pelvis,2000,100,0,1,,,,,,,
78,gold twinkles SFX,85,Bip01 Pelvis,2000,100,0,1,,,,,,,
79,Green Star Splash,76,rootnode,2000,100,0,1,,,,,,,
80,Purple Star Splash,77,rootnode,2000,100,0,1,,,,,,,
81,ground firesplash,36,rootnode,2000,100,0,1,,,,,,,
82,Confusion 1 hit,79,Bip01 Head,10000,100,0,1,,,,,,,
83,Confusion 2 hit,80,Bip01 Head,10000,100,0,1,,,,,,,
84,Green downward spirals,82,rootnode,3000,100,0,1,,,,,,,
85,Amnesia 1 hit,81,Bip01 Head,4000,100,0,1,,,,,,,
86,Silver mesmerize effect,83,Bip01 Head,10000,100,0,1,,,,,,,
87,Gold mesmerize effect,84,Bip01 Head,10000,100,0,1,,,,,,,
88,red evil burning,71,Bip01 Pelvis,3000,100,0,1,,,,,,,
89,flurry hit,41,rootnode,3000,100,0,1,,,,,,,
90,Hypothermia hit,88,rootnode,4000,100,0,1,,,,,,,
91,Coldsnap hit,87,rootnode,4000,100,0,1,,,,,,,
92,Iceblast hit,89,rootnode,4000,100,0,1,,,,,,,
93,Arctic Wind hit,90,rootnode,4000,100,0,1,,,,,,,
94,Paladin Group Defense hit,91,rootnode,4000,100,0,1,,,,,,,
95,Paladin Group Heal hit,92,rootnode,6000,100,1,1,,,,,,,
96,Paladin Group Strength hit,93,Bip01 Head,6500,100,1,1,,,,,,,
97,Paladin Self Defense hit,94,rootnode,2000,100,0,1,,,,,,,
98,Paladin handglow left,95,Bip01 L Held,3000,100,0,1,,,,,,,
99,Paladin handglow right,95,Bip01 R Held,3000,100,0,1,,,,,,,
100,blue lightshaft with collapsing blue rings,103,rootnode,4000,100,0,1,,,,,,,
101,Red pain flash twinkles (chest),75,targetchest,1000,100,0,1,,,,,,,
102,Dark spherical blast,151,targetchest,2000,100,0,1,,,,,,,
103,Cleric handglow left,99,Bip01 L Held,2000,100,0,1,,,,,,,
104,Cleric handglow right,99,Bip01 R Held,2000,100,0,1,,,,,,,
105,Minstrel handglow left,100,Bip01 L Held,2000,100,0,1,,,,,,,
106,Minstrel handglow right,100,Bip01 R Held,2000,100,0,1,,,,,,,
107,Colorful multiswirls,101,targetchest,3000,100,0,1,,,,,,,
108,Musical notes swirling/cast,102,rootnode,5000,100,0,1,,,,,,,
109,skull sphereshield,261,rootnode,4000,100,0,1,,,,,,,
110,scare face 1,119,rootnode,4000,100,0,1,,,,,,,
111,scare face 1a,120,rootnode,4000,100,0,1,,,,,,,
112,scare face 2,121,rootnode,4000,100,0,1,,,,,,,
113,scare face 2a,122,rootnode,4000,100,0,1,,,,,,,
114,smallest explosion,108,targetchest,2000,100,0,1,,,,,,,
115,small explosion,109,targetchest,2000,100,0,1,,,,,,,
116,medium Fiery explosion,110,targetchest,1000,100,0,1,,,,,,,
117,large Fiery explosion,111,targetchest,4000,100,0,1,,,,,,,
118,large Fiery explosion w/ flamers,112,targetchest,4000,100,0,1,,,,,,,
119,level 0-1 Fiery projectile,113,Bip01 R Held,4000,100,0,0,,,,,,,
120,level 2-5 Fiery projectile,114,Bip01 R Held,4000,100,0,0,,,,,,,
121,level 6-9 Fiery projectile,115,Bip01 R Held,4000,100,0,0,,,,,,,
122,level 10-14 Fiery projectile,116,Bip01 R Held,4000,100,0,0,,,,,,,
123,level 15-20 Fiery projectile,117,Bip01 R Held,4000,100,0,0,,,,,,,
124,Fiery handglow left,118,Bip01 L Held,4000,100,0,1,,,,,,,
125,Fiery handglow right,118,Bip01 R Held,4000,100,0,1,,,,,,,
126,leaf and dewdrop,218,rootnode,4000,100,1,1,,,,,,,
127,leaf and dewdrop with waterglob,219,rootnode,5000,100,1,1,,,,,,,
128,green goo triswirl,26,rootnode,3000,100,0,1,,,,,,,
129,Red pain flash w/burn (chest)  ,97,targetchest,3000,100,0,1,,,,,,,
130,Blue cylindrical rings on ground,123,rootnode,2000,100,0,1,,,,,,,
131,ground twinkles,124,rootnode,1000,100,0,1,,,,,,,
132,light heal sprinkle,125,rootnode,2000,100,0,1,,,,,,,
133,Musical Command Pulse,126,Bip01 Head,2000,100,0,1,,,,,,,
134,Balor's eye effect,243,Bip01 Head,4000,100,2,0,,,,,,,
135, Old Poison Spray,128,Bip01 Head,1000,100,2,0,,,,,,,
136,small electric splash and static,129,rootnode,2000,100,0,1,,,,,,,
137,Strength runes (ground),130,rootnode,2000,100,1,1,,,,,,,
138,single lightning stroke,131,targetchest,1000,100,0,1,,,,,,,
139,double lightning stroke,132,targetchest,1500,100,0,1,,,,,,,
140,thick lightning stroke,133,targetchest,1000,100,0,1,,,,,,,
141,2 second arcs electric DD,134,targetchest,2000,100,0,1,,,,,,,
142,ground electric DD,135,rootnode,1000,100,0,1,,,,,,,
143,thor's hammer,136,rootnode,4000,100,0,0,,,,,,,
144,odin's spear,137,rootnode,4000,100,0,0,,,,,,,
145,Electric handglow left,138,Bip01 L Held,3000,100,0,1,,,,,,,
146,Electric handglow right,138,Bip01 R Held,3000,100,0,1,,,,,,,
147,vertical white waves hit (Head),139,Bip01 Head,2000,100,0,1,,,,,,,
148,insanity 1 hit/burn,51,Bip01 Head,3000,100,0,1,,,,,,,
149,insanity 2 hit/burn,173,Bip01 Head,3000,100,0,1,,,,,,,
150,small ground ripple of darkness,142,rootnode,2000,100,0,1,,,,,,,
151,medium ground ripple of darkness,143,rootnode,2000,100,0,1,,,,,,,
152,large ground ripple of darkness,144,rootnode,2000,100,0,1,,,,,,,
153,red skull cloud 5 sec,140,rootnode,5000,100,0,1,,,,,,,
154,swirling darkness,146,rootnode,2000,100,0,1,,,,,,,
155,misty darkshield,147,rootnode,4000,100,0,1,,,,,,,
156,night mist cloud,148,rootnode,5000,100,0,1,,,,,,,
157,generic dark projectile,149,Bip01 Pelvis,4000,100,0,0,,,,,,,
158,blue sphere shield,150,rootnode,4000,100,0,1,,,,,,,
159,insanity 3 hit/burn,187,Bip01 Head,3000,100,0,1,,,,,,,
160,Spiritmaster handglow Right,152,Bip01 L Held,4000,100,0,1,,,,,,,
161,Spiritmaster handglow Left,152,Bip01 R Held,4000,100,0,1,,,,,,,
162,Lightning storm,153,rootnode,3000,100,0,1,,,,,,,
163,Fire DD (path of Fire),154,targetchest,3000,100,0,1,,,,,,,
164,Fire DD2 (path of Fire),155,rootnode,4000,100,0,1,,,,,,,
165,Fire DD3 (path of Fire),156,rootnode,5000,100,0,1,,,,,,,
166,Fire DD4 (path of Fire),157,rootnode,5000,100,0,1,,,,,,,
167,Fire DD5 (path of Fire),158,rootnode,5000,100,0,1,,,,,,,
168,Fire Projectile (pyromancy list),159,Bip01 R Finger0,4000,100,0,0,,,,,,,
169,Fiery explosion (pyromancy list),160,targetchest,4000,100,0,0,,,,,,,
170,earthhand closing,161,rootnode,8000,100,0,1,,,,,,,
171,earth fingers grasping,162,rootnode,8000,100,0,1,,,,,,,
172,wind gust,163,rootnode,3000,100,1,1,,,,,,,
173,wind swirl,164,rootnode,4000,100,0,1,,,,,,,
174,dust devil,165,rootnode,5000,100,0,1,,,,,,,
175,generic cure buildup,166,rootnode,4000,100,1,1,,,,,,,
176,cure poison,167,rootnode,5000,100,0,1,,,,,,,
177,cure disease,168,rootnode,5000,100,0,1,,,,,,,
178,blue helix heal 1,169,Bip01 Pelvis,4000,100,0,1,,,,,,,
179,blue helix heal 2,170,Bip01 Pelvis,4000,100,0,1,,,,,,,
180,blue helix heal 3,171,Bip01 Pelvis,4000,100,0,1,,,,,,,
181,blue helix heal 4,172,Bip01 Pelvis,4000,100,0,1,,,,,,,
182,Red pain flash w/burn (pelvis),97,Bip01 Pelvis,3000,100,0,1,,,,,,,
183,holy shield 1,174,rootnode,4000,100,1,1,,,,,,,
184,holy shield 2,175,rootnode,4000,100,1,1,,,,,,,
185,holy shield 3,176,rootnode,4000,100,1,1,,,,,,,
186,holy shield 4,177,rootnode,4000,100,1,1,,,,,,,
187,light shaft with spiral twinkles,178,rootnode,4000,100,0,1,,,,,,,
188,light shaft with rising twinkles,179,rootnode,4000,100,0,1,,,,,,,
189,golden streaks shaft,180,rootnode,4000,100,0,1,,,,,,,
190,earth crack open,181,rootnode,4000,100,0,1,,,,,,,
191,Amethyst shield,182,rootnode,4000,100,0,1,,,,,,,
192,Ruby shield,183,rootnode,4000,100,0,1,,,,,,,
193,Sapphire shield,184,rootnode,4000,100,0,1,,,,,,,
194,Emerald shield,185,rootnode,4000,100,0,1,,,,,,,
195,Diamond shield,186,rootnode,4000,100,0,1,,,,,,,
196,Dragonbreath Fire,335,Bip01 Head,5000,100,1,1,,,,,,,
197,Dragonbreath Cold,336,Bip01 Head,5000,100,1,1,,,,,,,
198,Dragonbreath Evil,337,Bip01 Head,5000,100,1,1,,,,,,,
199,Dragonbreath Steam,338,Bip01 Head,5000,100,1,1,,,,,,,
200,coldring blast,191,rootnode,3000,100,1,1,,,,,,,
201,ice block/fracture,192,rootnode,4000,100,1,1,,,,,,,
202,2 small Meteors orbiting,193,rootnode,5000,100,1,1,,,,,,,
203,Mana explosion 1,194,targetchest,1000,100,0,1,,,,,,,
204,Mana explosion 2,195,targetchest,3000,100,0,1,,,,,,,
205,Mana explosion 3,196,targetchest,3000,100,0,1,,,,,,,
206,Mana explosion 4,197,targetchest,3000,100,0,1,,,,,,,
207,Mana explosion 5,198,targetchest,2000,100,0,1,,,,,,,
208,Void Projectile 1,199,Bip01 R Held,4000,100,0,0,,,,,,,
209,Void Projectile 2,200,Bip01 R Held,4000,100,0,0,,,,,,,
210,Void Projectile 3,201,Bip01 R Held,4000,100,0,0,,,,,,,
211,Void Projectile 4,202,Bip01 R Held,4000,100,0,0,,,,,,,
212,Void Projectile 5,203,Bip01 R Held,4000,100,0,0,,,,,,,
213,Void Explosion 1,204,targetchest,3000,100,0,0,,,,,,,
214,Void Explosion 2,205,targetchest,3000,100,0,0,,,,,,,
215,Void Explosion 3,206,targetchest,3000,100,0,0,,,,,,,
216,Void Explosion 4,207,targetchest,3000,100,0,0,,,,,,,
217,Void Explosion 5,208,targetchest,4000,100,0,0,,,,,,,
218, Mana handglow left,209,Bip01 L Held,4000,100,0,1,,,,,,,
219,Mana handglow right,209,Bip01 R Held,4000,100,0,1,,,,,,,
220,Rainbow healing 1,210,rootnode,3000,100,1,1,,,,,,,
221,Rainbow healing 2,211,rootnode,3000,100,1,1,,,,,,,
222,Rainbow healing 3,212,rootnode,3000,100,1,1,,,,,,,
223,Rainbow healing 4,213,rootnode,3000,100,1,1,,,,,,,
224,Rainbow healing 5,214,rootnode,4000,100,1,1,,,,,,,
225,rainbow mesmerize 1,215,Bip01 Head,5000,100,0,1,,,,,,,
226,rainbow mesmerize 2,216,Bip01 Head,10000,100,1,1,,,,,,,
227,rainbow mesmerize 3,217,Bip01 Head,10000,100,1,1,,,,,,,
228,red downward spirals,86,rootnode,3000,100,0,1,,,,,,,
229,fungal shield/shell,29,rootnode,3000,100,0,1,,,,,,,
230,Mana buff 1,220,rootnode,1000,100,0,1,,,,,,,
231,oakleaves falling,30,rootnode,3000,100,0,1,,,,,,,
232,blue lightshafts,222,rootnode,2000,100,0,1,,,,,,,
233,silver lightshafts,223,rootnode,2000,100,0,1,,,,,,,
234,gold lightshafts,224,rootnode,2000,100,0,1,,,,,,,
235,Mana shield 1,225,rootnode,4000,100,0,1,,,,,,,
236,Mana shield 2,226,rootnode,4000,100,0,1,,,,,,,
237,Mana shield 3,227,rootnode,4000,100,0,1,,,,,,,
238,Mana shield 4,228,rootnode,4000,100,0,1,,,,,,,
239,Mana shield 5,229,rootnode,4000,100,0,1,,,,,,,
240,Manasurge gather,230,rootnode,2000,100,0,1,,,,,,,
241,Manasurge 1,231,rootnode,2000,100,0,1,,,,,,,
242,Manasurge 3,232,rootnode,2000,100,0,1,,,,,,,
243,Manasurge 5,233,rootnode,2000,100,0,1,,,,,,,
244,Mana/Light  Hand Burst 1,234,Bip01 R Held,3000,100,1,1,,,,,,,
245,Mana/Light  Hand Burst 2,235,Bip01 R Held,3000,100,1,1,,,,,,,
246,Mana/Light  Hand Burst 3,236,Bip01 R Held,3000,100,1,1,,,,,,,
247,Mana/Light  Hand Burst 4,237,Bip01 R Held,3000,100,1,1,,,,,,,
248,Mana/Light  Hand Burst 5,238,Bip01 R Held,3000,100,1,1,,,,,,,
249,Thorn wrapping,239,rootnode,3000,100,0,1,,,,,,,
250,Oakleaf buff ,240,rootnode,5000,100,0,1,,,,,,,
251,Druid handglow L ,241,Bip01 L Held,4000,100,0,1,,,,,,,
252,Druid handglow R ,241,Bip01 R Held,4000,100,0,1,,,,,,,
253,Level Up Effect 1,242,rootnode,4000,100,1,1,,,,,,,
254,Collapsing rune ring,43,rootnode,3000,100,0,1,,,,,,,
255,thor's hammer2 ,244,rootnode,5000,100,0,1,,,,,,,
256,Dark Explosion 1,245,targetchest,2000,100,0,1,,,,,,,
257,Dark Explosion 2,246,targetchest,2000,100,0,1,,,,,,,
258,Dark Explosion 3,247,targetchest,2000,100,0,1,,,,,,,
259,Dark Explosion 4,248,targetchest,2000,100,0,1,,,,,,,
260,Dark Explosion 5,249,targetchest,2000,100,0,1,,,,,,,
261,Void handglow L,250,Bip01 L Held,4000,100,0,1,,,,,,,
262,Void handglow R,250,Bip01 R Held,4000,100,0,1,,,,,,,
263,Vine wrapping,251,rootnode,3000,100,0,1,,,,,,,
264,3 second fire with smokepuff,252,Bip01 Pelvis,3000,100,0,1,,,,,,,
265,cold cloud with twinkles,253,targetchest,2000,100,0,1,,,,,,,
266,long dirt cloud,254,Bip01 Head,10000,100,0,1,,,,,,,
267,Hibernian dancing longsword,255,rootnode,30000,100,1,1,,,,,,,
268,Arawn's eyes 4 sec,256,rootnode,4000,100,0,1,,,,,,,
269,Arawn's eyes gleaming 6 sec,257,rootnode,6000,100,0,1,,,,,,,
270,Arawn's eyes flaming 6 sec,258,rootnode,6000,100,0,1,,,,,,,
271,Arawn's eyes redbeams 6 sec,259,rootnode,6000,100,0,1,,,,,,,
272,protection runes (floating),360,rootnode,2000,100,0,1,,,,,,,
273,protection runes (ground),361,rootnode,2000,100,0,1,,,,,,,
274,green shocksplash,363,rootnode,1000,100,0,1,,,,,,,
275,blue shocksplash,364,rootnode,1000,100,0,1,,,,,,,
276,red shocksplash,365,rootnode,1000,100,0,1,,,,,,,
277,Small Red pain flash (Head),72,Bip01 Head,500,100,0,1,,,,,,,
278,Angel wings,366,rootnode,4000,100,1,1,,,,,,,
279,golden twinkle sphere,367,rootnode,4000,100,0,1,,,,,,,
280,Amber shield effect,368,rootnode,4000,100,0,1,,,,,,,
281,Dark tendrils 5 sec,369,rootnode,5000,100,0,1,,,,,,,
282,Multicolor sphereshield,370,rootnode,4000,100,0,1,,,,,,,
283,Purple sphereshield,371,rootnode,4000,100,0,1,,,,,,,
284,Red skullswirl wrap,372,rootnode,4000,100,0,1,,,,,,,
285, 4s Red cylindrical shield,373,rootnode,4000,100,0,1,,,,,,,
286, 4s Purple cylindrical shield,374,rootnode,4000,100,0,1,,,,,,,
287, 4sPower/Mana cylindrical shield,375,rootnode,4000,100,0,1,,,,,,,
288,rainbow scintillation (Head),376,Bip01 Head,3000,100,0,1,,,,,,,
289,silver scintillation (head),377,Bip01 Head,3000,100,0,1,,,,,,,
290,green head scintillation,378,Bip01 Head,3000,100,0,1,,,,,,,
291,red  head scintillation,379,Bip01 Head,3000,100,0,1,,,,,,,
292,blue void burning 3 sec,380,Bip01 Pelvis,3000,100,0,1,,,,,,,
293,mana  burning 3 sec,381,Bip01 Pelvis,3000,100,0,1,,,,,,,
294,quick dirtpuff (ground),382,rootnode,2000,100,0,1,,,,,,,
295,red swirls,383,rootnode,2000,100,0,1,,,,,,,
296,purple spiral twirl,384,rootnode,2000,100,0,1,,,,,,,
297,visions 1 hit,385,targetchest,2000,100,0,1,,,,,,,
298,visions 2 hit,386,targetchest,2000,100,0,1,,,,,,,
299,visions 3 hit,387,targetchest,2000,100,0,1,,,,,,,
300,visions 4 hit,388,targetchest,2000,100,0,1,,,,,,,
301,gold scintillation (head),389,Bip01 Head,3000,100,0,1,,,,,,,
302,silver/rainbow scintillation,390,Bip01 Head,3000,100,0,1,,,,,,,
303,solid green poison puff,391,targetchest,4000,100,0,1,,,,,,,
304,brown goo drip,392,targetchest,4000,100,0,1,,,,,,,
305,Blue triswirls ,393,rootnode,3000,100,0,1,,,,,,,
306,brown sickly puff (head),394,Bip01 Head,4000,100,0,1,,,,,,,
307,small lightning stroke (right hand),395,Bip01 R Held,1000,100,0,1,,,,,,,
308,silver scintillation (chest) ,377,targetchest,3000,100,0,1,,,,,,,
309,gold scintillation (chest),389,targetchest,3000,100,0,1,,,,,,,
310,silver/rainbow scintillation (chest),390,targetchest,3000,100,0,1,,,,,,,
311,gold/rainbow scintillation (chest),396,targetchest,3000,100,0,1,,,,,,,
312,buzzing flies (head),98,Bip01 Head,4000,100,0,1,,,,,,,
313,waraxe shortsword clash,397,rootnode,3000,100,1,1,,,,,,,
314,battleaxe broadsword clash,398,rootnode,3000,100,1,1,,,,,,,
315,greataxe greathammer  clash,399,rootnode,3000,100,1,1,,,,,,,
316,red flask,400,Bip01 R Held,5000,100,2,1,3,90,,,,,
317,orange flask,401,Bip01 R Held,5000,100,2,1,3,90,,,,,
318,yellow flask,402,Bip01 R Held,5000,100,2,1,3,90,,,,,
319,green flask,403,Bip01 R Held,5000,100,2,1,3,90,,,,,
320,blue flask,404,Bip01 R Held,5000,100,2,1,3,90,,,,,
321,purple flask,405,Bip01 R Held,5000,100,2,1,3,90,,,,,
322,red/purple flask,406,Bip01 R Held,5000,100,2,1,3,90,,,,,
323,red/orange flask,407,Bip01 R Held,5000,100,2,1,3,90,,,,,
324,rainbow flask,408,Bip01 R Held,5000,100,2,1,3,90,,,,,
325,clear flask,409,Bip01 R Held,5000,100,2,1,3,90,,,,,
326,green column with rings,3,rootnode,3000,100,0,1,,,,,,,
327,blue column with rings,4,rootnode,3000,100,0,1,,,,,,,
328,gold column with rings,6,rootnode,3000,100,0,1,,,,,,,
329,Small Red pain flash (RHand),72,Bip01 R Held,500,100,0,1,,,,,,,
330,flurry slashes hit,74,targetchest,3000,100,1,1,,,,,,,
331,mouth bubbles,410,Bip01 Head,3000,100,1,1,,,,,,,
332,Generic Resist,96,rootnode,1000,100,0,1,,,,,,,
333,Sand blowing 1,411,rootnode,8300,100,1,1,,,,,,,
334,Sand blowing 2,412,rootnode,8300,100,1,1,,,,,,,
335,Sand blowing 3,413,rootnode,8300,100,1,1,,,,,,,
336,Sand blowing 4,414,rootnode,8300,100,1,1,,,,,,,
337,Sand blowing 5,415,rootnode,8300,100,1,1,,,,,,,
338,spike trap,416,rootnode,3000,100,0,1,,,,,,,
339,1 second red cylindrical shield,417,rootnode,1000,100,0,1,,,,,,,
340,1 second purple cylindrical shield,418,rootnode,1000,100,0,1,,,,,,,
341,1 second mana/power cylindrical shield,419,rootnode,1000,100,0,1,,,,,,,
342,1 second Multicolor sphereshield,420,rootnode,1000,100,0,1,,,,,,,
343,1 second Purple sphereshield,421,rootnode,1000,100,0,1,,,,,,,
344,leaves swirling,145,rootnode,4000,100,0,1,,,,,,,
345,Gorgon gaze,422,Bip01 Head,1500,100,2,1,,,,,,,
346,poison explosion hit,141,targetchest,2000,100,0,1,,,,,,,
347,sunshaft,423,rootnode,4000,100,0,1,,,,,,,
348,moonshaft,424,rootnode,4000,100,0,1,,,,,,,
349,snake poison spray,425,Bip01 Ext12,2000,100,2,1,3,74,,,,,
350,snake fire spray,426,Bip01 Ext12,2000,100,2,1,3,74,,,,,
351,Typhon melting,427,rootnode,4666,100,1,1,,,,,,,
352,Vertical flame spout,428,rootnode,2000,100,0,1,,,,,,,
353,Kelp wrapping/tangling,429,rootnode,4000,100,0,1,,,,,,,
354,red rising/falling smoke effect,430,rootnode,5000,100,0,1,,,,,,,
355,grey rising/falling smoke effect,431,rootnode,5000,100,0,1,,,,,,,
356,Medusa Gaze,432,Bip01 Head,1500,100,2,1,,,,,,,
357, floating Stygia Symbol,433,rootnode,2000,100,1,1,,,,,,,
358,floating pyramid energy waves,434,rootnode,2000,100,1,1,,,,,,,
359,Ink cloud,435,rootnode,2500,100,0,1,,,,,,,
360,Typhon rising,436,rootnode,4666,100,1,1,,,,,,,
361,water jet,437,Bip01 R Held,1000,100,2,1,,,,,,,
362,water blast,438,Bip01 Pelvis,3000,100,0,1,,,,,,,
363, 2x speed silver twinkles SFX,78,Bip01 Pelvis,1000,200,0,1,,,,,,,
364, 2 sec solid green poison puff (Head),391,Bip01 Head,2000,200,0,1,,,,,,,
365,spherical  crossrings green,440,rootnode,2000,100,0,1,,,,,,,
366,spherical  crossrings spirit,441,rootnode,2000,100,0,1,,,,,,,
367,spherical  crossrings holy,442,rootnode,2000,100,0,1,,,,,,,
368,spherical  crossrings pearl,443,rootnode,2000,100,0,1,,,,,,,
369,speedwarp hit,444,rootnode,1000,100,1,1,,,,,,,
370,Scorpion bolt loading ,445,Ammo,1000,100,2,0,3,,,,,,
371,Scorpion bolt ready,446,Ammo,1000,100,2,0,3,,,,,,
372,Scorpion bolt travelling,447,Ammo,1000,100,2,0,3,,,,,,
373,Scorpion bolt stick strike hit,448,Ammo,4000,100,2,0,3,,,,,,
374,Ballista bolt loading,449,Ammo,1000,100,2,0,3,,,,,,
375,Ballista bolt ready,450,Ammo,1000,100,2,0,3,,,,,,
376,Ballista bolt travelling,451,Ammo,1000,100,2,0,3,,,,,,
377,Ballista bolt stick strike hit,452,Ammo,4000,100,2,0,3,,,,,,
378,Boulder loading,453,Ammo,1000,100,2,0,3,,,,,,
379,Boulder ready,454,Ammo,1000,100,2,0,3,,,,,,
380,Boulder travelling,455,Ammo,1000,100,2,0,3,,,,,,
381,Boulder exploding hit,456,Ammo,4000,100,2,0,3,,,,,,
382,Catapult pitchball loading,457,Ammo,1000,100,2,0,3,,,,,,
