Effect,Desc,NIF Num,Attach,Max,Rate,Track,AutoScale,Rotate,Rotate,Collide,,
43,powertrap hib,43,runenode,2500,100,0,0,0,0,1,,
44,powertrap mid,44,runenode,2500,100,0,0,0,0,1,,
45,siegewrecker alb,45,runenode,2500,100,0,0,0,0,1,,
46,siegewrecker hib,46,runenode,2500,100,0,0,0,0,1,,
47,siegewrecker mid,47,runenode,2500,100,0,0,0,0,1,,
48,tanglesnare alb,48,runenode,2500,100,0,0,0,0,1,,
49,tanglesnare hib,49,runenode,2500,100,0,0,0,0,1,,
50,tanglesnare mid,50,runenode,2500,100,0,0,0,0,1,,
51,range_1000_alb,51,wardnode,2500,100,1,0,0,0,0,,
52,range_1000_hib,52,wardnode,2500,100,1,0,0,0,0,,
53,range_1000_mid,53,wardnode,2500,100,1,0,0,0,0,,
54,ward_base_alb,27,wardnode,2500,100,1,0,0,0,1,,
55,ward_base_mid,28,wardnode,2500,100,1,0,0,0,1,,
56,ward_base_hib,29,wardnode,2500,100,1,0,0,0,1,,
57,storm_base_alb,128,stormnode,2500,100,1,0,0,0,0,,
58,storm_base_mid,129,stormnode,2500,100,1,0,0,0,0,,
59,storm_base_hib,130,stormnode,2500,100,1,0,0,0,0,,
60,Flame Ring,55,runenode,2500,100,1,0,0,0,0,,
61,Thornweed field Alb,56,wardnode,2500,100,1,0,0,0,0,,
62,Thornweed field Mid,57,wardnode,2500,100,1,0,0,0,0,,
63,Thornweed field Hib,58,wardnode,2500,100,1,0,0,0,0,,
64,Static Tempest,59,runenode,2500,100,1,0,0,0,0,,
65,relic pad,60,effectattach,1200,100,1,0,0,0,0,,
66,Color swirl,61,Bip01,2500,100,0,1,0,0,1,,
67,Purple Swirl,62,Bip01,2500,100,0,1,0,0,1,,
68,Flame SFX,63,Bip01,2500,100,0,1,0,0,1,,
69,Salamander,64,Bip01,2500,100,1,1,0,0,0,,
70,Flame Swirl,65,Bip01 Pelvis,2500,100,1,1,0,0,0,,
71,Campfire,66,wardnode,2500,100,1,0,0,0,0,,
72,warlock1,67,warlock1,3000,100,1,0,0,0,0,,
73,warlock2,68,warlock2,3000,100,1,0,0,0,0,,
74,warlock3,69,warlock3,3000,100,1,0,0,0,0,,
75,warlock4,70,warlock4,3000,100,1,0,0,0,0,,
76,warlock5,71,warlock5,3000,100,1,0,0,0,0,,
77,Dark Crystal,72,wardnode,2500,100,1,0,0,0,0,,
78,Heretic Caster - Not used,73,Bip01 Pelvis,4000,100,1,0,0,0,0,,
79,Heretic Target 1 - Not used,74,targetchest,4000,100,1,0,0,0,0,,
80,Shar Telepoter,75,Spell,4000,100,1,0,0,0,0,,
81,Inc Telepoter,76,InconnuMiniTP,4000,100,1,0,0,0,0,,
82,Dark Spire Crystal 1,77,Bip01,4000,100,1,0,0,0,1,,
83,Dark Spire Crystal 2,78,Bip01,4000,100,1,0,0,0,1,,
84,Quest Indicator,79,rootnode,4000,100,1,0,0,0,0,,
85,statictempest_core_alb,80,runenode,2500,100,1,0,0,0,0,,
86,statictempest_core_mid,81,runenode,2500,100,1,0,0,0,0,,
87,statictempest_core_hib,82,runenode,2500,100,1,0,0,0,0,,
88,teleporter_ground,83,Bip01,2500,100,1,0,0,0,0,,
89,Warlock Cauldron Thingy,84,runenode,2500,100,1,0,0,0,0,,
90,hockey_flag_wrapped_blue,85,effectattach,2500,100,1,0,0,0,0,,
91,hockey_flag01,86,effectattach,2500,100,1,0,0,0,0,,
92,hockey_fieldmarker,87,effectattach,2500,100,1,0,0,0,0,,
93,hockey_flag_wrapped_yellow,88,effectattach,2500,100,1,0,0,0,0,,
94,hockey_flag01_yellow,89,effectattach,2500,100,1,0,0,0,0,,
95,hockey_flag_wrapped_brown,90,effectattach,2500,100,1,0,0,0,0,,
96,hockey_flag01_brown,91,effectattach,2500,100,1,0,0,0,0,,
97,hockey_flag_wrapped_green,92,effectattach,2500,100,1,0,0,0,0,,
98,hockey_flag01_green,93,effectattach,2500,100,1,0,0,0,0,,
99,hockey_flag_wrapped_red,94,effectattach,2500,100,1,0,0,0,0,,
100,hockey_flag01_red,95,effectattach,2500,100,1,0,0,0,0,,
101,Flame,96,Bip01,2500,100,0,1,0,0,1,,
102,Buzzing Flies,97,Bip01,2500,100,0,1,0,0,1,,
103,Buzzing Flies,98,Bip01,2500,100,0,1,0,0,1,,
104,Mid Electic Hit,99,wardnode,2500,100,1,0,0,0,0,,
105,guild_banner_alb_effect,100,effectattach,2500,100,2,0,1,-90,0,,
106,guild_banner_mid_effect,101,effectattach,2500,100,2,0,1,-90,0,,
107,guild_banner_hib_effect,102,effectattach,2500,100,2,0,1,-90,0,,
108,Poison Elemental,103,wardnode,2500,100,1,0,0,0,0,,
109,Pulsating Darkness,104,wardnode,2500,100,1,0,0,0,0,,
110,guild_banner_alb_effect,105,effectattach,2500,100,2,0,1,90,1,,
111,guild_banner_mid_effect,106,effectattach,2500,100,2,0,1,90,1,,
112,guild_banner_hib_effect,107,effectattach,2500,100,2,0,1,90,1,,
113,horse flame front l hoof,109,Bip01 L Hand,2500,100,2,1,1,90,0,,
114,horse flame front r hoof,109,Bip01 R Hand,2500,100,2,1,1,90,0,,
115,horse flame rear l hoof,110,Bip01 L HorseLink,2500,100,2,1,1,90,0,,
116,horse flame rear r hoof,110,Bip01 R Horselink,2500,100,2,1,1,90,0,,
117,King Lugs Aura,111,Bip01 Head,2500,100,1,1,0,0,0,,
118,flaming Nightmare head,112,Bip01 Head,2500,100,2,1,0,0,0,,
119,undead horse head effect,113,Bip01 Head,2500,100,2,1,0,0,0,,
120,earth horse dust effect,114,Bip01 Pelvis,2500,100,2,1,0,0,0,,
121,Moloch's Eye used for Moloch,108,Bip01 Head,2500,100,2,1,0,0,0,,
122,Moloch's Eye used for Monster,108,Bip01 Head,2500,100,2,1,1,90,0,,
123,frost horse ice effect,116,Bip01 Pelvis,2500,100,2,1,0,0,0,,
124,rainbow unicorn horn effect,117,Bip01 Head,2500,100,2,1,0,0,0,,
125,Storm horse effect,118,Bip01 Head,2500,100,2,1,0,0,0,,
126,Fire horse eyes,119,Bip01 Head,2500,100,2,1,0,0,0,,
127,Nightmare horse front l hoof,121,Bip01 L Hand,2500,100,2,1,1,90,0,,
128,Nightmare horse front r hoof,121,Bip01 R Hand,2500,100,2,1,1,90,0,,
129,Nightmare horse  rear l hoof,120,Bip01 L HorseLink,2500,100,2,1,1,90,0,,
130,Nightmare horse rear r hoof,120,Bip01 R Horselink,2500,100,2,1,1,90,0,,
131,regular unicorn effect,122,Bip01 Head,2500,100,2,1,0,0,0,,
132,Admorenths Glowing eyes,123,Bip01 Head,2500,100,2,1,0,0,0,,
133,New Placeable Portal,127,wardnode,2500,100,1,1,0,0,0,,
134,Magic Campfire,131,wardnode,2500,100,1,0,0,0,0,,
135,Storm Effect Center,132,stormnode,2500,100,1,0,0,0,1,,
136,Silver Construct Death,133,wardnode,4000,100,1,1,0,0,0,,
137,Portal Monster Effect,134,Bip01,2500,100,1,1,0,0,0,,
138,Relic Health Amulet,135,relicnode,4000,100,1,0,0,0,1,,
139,Relic Earth Runestone,136,relicnode,4000,100,1,0,0,0,1,,
140,Relic Earth Razestone,137,relicnode,4000,100,1,0,0,0,1,,
141,Relic Death Skull,138,relicnode,4000,100,1,0,0,0,1,,
142,Relic Death Mask,139,relicnode,4000,100,1,0,0,0,1,,
143,Relic Death Blade,140,relicnode,4000,100,1,0,0,0,1,,
144,Relic Artisan Shield,141,relicnode,4000,100,1,0,0,0,1,,
145,Relic Artisan Gear,142,relicnode,4000,100,1,0,0,0,1,,
146,Relic Unity Staff,143,relicnode,4000,100,1,0,0,0,1,,
147,Relic Unity Scroll,144,relicnode,4000,100,1,0,0,0,1,,
148,Relic Health Brazier,145,relicnode,4000,100,1,0,0,0,1,,
149,Relic Lightbeam,146,relicnode,4000,100,1,0,0,0,0,,
150,Relic Forge Flame,147,relicnode,4000,100,1,0,0,0,1,,
151,Relic Ruler Bracer,148,relicnode,4000,100,1,0,0,0,1,,
152,Relic Storm Orrery,149,relicnode,4000,100,1,0,0,0,1,,
153,Relic Storm Palantir,150,relicnode,4000,100,1,0,0,0,1,,
154,Relic Forge Anvil,151,relicnode,4000,100,1,0,0,0,1,,
155,Relic Cow Bell,152,relicnode,4000,100,1,0,0,0,1,,
156,Black Wind w/ MinoSkull,153,Bip01,5000,100,2,1,3,180,1,,
157,Relic Ruler Wreath,154,relicnode,4000,100,1,0,0,0,1,,
158,Relic Battle Trident,155,relicnode,4000,100,1,0,0,0,1,,
159,Relic Battle Statue,156,relicnode,4000,100,1,0,0,0,1,,
160,Relic Ruler Statue,157,relicnode,4000,100,1,0,0,0,1,,
161,Relic Warhorn,158,relicnode,4000,100,1,0,0,0,1,,
162,Red Labyrinth Fire,159,wardnode,4000,100,1,0,0,0,0,,
163,Ambient Moths,160,Bip01,2500,100,0,1,0,0,1, , 
164,Ambient Butterflies,161,Bip01,2500,100,0,1,0,0,1,,
165,Black Wind w/ Scary Face,162,Bip01,5000,100,2,1,3,180,1,,
166,Relic_Lightbeam_Red,163,relicnode,4000,100,1,0,0,0,0,,
167,Relic_Lightbeam_Gold,164,relicnode,4000,100,1,0,0,0,0,,
168,Purple Labyrinth Fire,165,Bip01,8000,100,0,0,0,0,0,,
169,Relic Lock Effect,166,Bip01,4000,100,0,0,0,0,0,,
170,Rolling Boulder,167,rootnode,4000,100,1,0,0,0,1,,
171,Copper Construct Death,168,wardnode,4000,100,1,1,0,0,0,,
172,2000 Unit Ring Alb,169,wardnode,2500,100,1,0,0,0,0,,
173,2000 Unit Ring Mid,170,wardnode,2500,100,1,0,0,0,0,,
174,2000 Unit Ring Hib,171,wardnode,2500,100,1,0,0,0,0,,
175,Red Rising Rings 3,172,wardnode,2500,100,1,0,0,0,0,,
176,Blue Rising Rings 3,173,wardnode,2500,100,1,0,0,0,0,,
177,Green Rising Rings 3,174,wardnode,2500,100,1,0,0,0,0,,
178,rise_streaks_red,175,wardnode,2500,100,1,0,0,0,0,,
179,rise_streaks_grn,176,wardnode,2500,100,1,0,0,0,0,,
180,rise_streaks_blu,177,wardnode,2500,100,1,0,0,0,0,,
181,Alb Negative Maelstrom Core ,178,runenode,2500,100,1,0,0,0,0,,
182,Mid Negative Maelstrom Core ,179,runenode,2500,100,1,0,0,0,0,,
183,Hib Negative Maelstrom Core ,180,runenode,2500,100,1,0,0,0,0,,
184,Negative Maelstrom,181,runenode,2500,100,1,0,0,0,0,,
185,Exploding Glimmer Knight,182,wardnode,4000,100,1,1,0,0,0,,
186,Placeable Fire Prop 1,183,wardnode,4000,100,0,0,0,0,0, ,
187,Hibernian Dragon Effect Monster,184,Bip01,4000,100,0,1,0,0,0,,
188,Black Smoke Effect Prop,185,wardnode,4000,100,0,0,0,0,0,,
189,Lore Quest Indicator,186,Bip01 Helmet,4000,100,1,0,0,0,0,,
190,Lesson Quest Indicator,187,Bip01 Helmet,4000,100,1,0,0,0,0,,
191,Quest Completed Indicator,188,Bip01 Helmet,4000,100,1,0,0,0,0,,
192,Quest Pending Indicator,189,Bip01 Helmet,4000,100,1,0,0,0,0,,
193,Relic_Lightbeam_Blue,190,relicnode,4000,100,1,0,0,0,0,,
194,Relic_Lightbeam_Green,191,relicnode,4000,100,1,0,0,0,0,,
195,Bonedancer_totem,192,wardnode,2500,100,1,0,0,0,0,,
196,Bonedancer_area_yellow,193,wardnode,2500,100,1,0,0,0,0,,
197,Bonedancer_area_purple,194,wardnode,2500,100,1,0,0,0,0,,
198,Bonedancer_area_blue,195,wardnode,2500,100,1,0,0,0,0,,
199,Siege Ward,196,wardnode,2500,100,1,0,0,0,0,,
