,hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,Cata Avalonian Male,3886,102,6477,3886,250,6477,3883,103,6477,3883,251,6477,3886,252,6477,3886,254,6477,3883,103,6477,3886,101,6477,3883,128,6477,3883,97,6477,3883,100,6477,3883,255,6477,3883,256,6477,3883,257,6477,3885,107,6477,3885,98,6477
9,6,Cata Avalonian Male,3512,102,,3512,250,,3509,103,,3509,251,,3512,252,,3512,254,,3509,103,,3512,101,,3509,128,,3509,97,,3509,100,,3509,255,,3509,256,,3509,257,,3511,107,,3511,98,
9,7,Cata Avalonian Male,3886,102,6477,3886,250,6477,3883,103,6477,3883,251,6477,3886,252,6477,3886,254,6477,3883,103,6477,3886,101,6477,3883,128,6477,3883,97,6477,3883,100,6477,3883,255,6477,3883,256,6477,3883,257,6477,3885,107,6477,3885,98,6477
9,8,Cata Avalonian Male,3512,102,,3512,250,,3509,103,,3509,251,,3512,252,,3512,254,,3509,103,,3512,101,,3509,128,,3509,97,,3509,100,,3509,255,,3509,256,,3509,257,,3511,107,,3511,98,
10,1,Cata Avalonian Female,3428,102,6265,3428,250,6265,3425,103,6265,3425,251,6265,3428,252,6265,3428,254,6265,3425,103,6265,3428,101,6265,3425,128,6265,3425,97,6265,3425,100,6265,3425,255,6265,3425,256,6265,3425,257,6265,3427,107,6265,3427,98,6265
10,2,Cata Avalonian Female,3882,102,,3882,250,,3879,103,,3879,251,,3882,252,,3882,254,,3879,103,,3882,101,,3879,128,,3879,97,,3879,100,,3879,255,,3879,256,,3879,257,,3881,107,,3881,98,
10,3,Cata Avalonian Female,3875,102,6473,3875,250,6473,3872,103,6473,3872,251,6473,3875,252,6473,3875,254,6473,3872,103,6473,3875,101,6473,3872,128,6473,3872,97,6473,3872,100,6473,3872,255,6473,3872,256,6473,3872,257,6473,3874,107,6473,3874,98,6473
10,4,Cata Avalonian Female,3799,102,,3799,250,,3796,103,,3796,251,,3799,252,,3799,254,,3796,103,,3799,101,,3796,128,,3796,97,,3796,100,,3796,255,,3796,256,,3796,257,,3798,107,,3798,98,
10,5,Cata Avalonian Female,3792,102,6476,3792,250,6476,3795,103,6476,3792,251,6476,3795,252,6476,3792,254,6476,3792,103,6476,3792,101,6476,3792,128,6476,3792,97,6476,3793,100,6476,3794,255,6476,3794,256,6476,3794,257,6476,3794,107,6476,3794,98,6476
10,6,Cata Avalonian Female,3800,102,,3800,250,,3803,103,,3800,251,,3803,252,,3800,254,,3800,103,,3800,101,,3800,128,,3800,97,,3801,100,,3802,255,,3802,256,,3802,257,,3802,107,,3802,98,
11,1,Cata Elf Male,3904,239,,3907,188,,3904,240,,3904,188,,3904,241,,3904,260,,3904,131,,3904,243,,3907,244,,3904,97,,3904,261,,3904,262,,3904,263,,3904,264,,3906,247,,3906,248,
11,2,Cata Elf Male,3904,239,,3907,188,,3904,240,,3904,188,,3904,241,,3904,260,,3904,131,,3904,243,,3907,244,,3904,97,,3904,261,,3904,262,,3904,263,,3904,264,,3906,247,,3906,248,
11,3,Cata Elf Male,3904,239,,3907,188,,3904,240,,3904,188,,3904,241,,3904,260,,3904,131,,3904,243,,3907,244,,3904,97,,3904,261,,3904,262,,3904,263,,3904,264,,3906,247,,3906,248,
11,4,Cata Elf Male,3900,239,6571,3903,188,6571,3900,240,6571,3900,188,6571,3900,241,6571,3900,260,6571,3900,131,6571,3900,243,6571,3903,244,6571,3900,97,6571,3900,261,6571,3900,262,6571,3900,263,6571,3900,264,6571,3902,247,6571,3902,248,6571
12,1,Cata Elf Female,3908,239,,3911,188,,3908,240,,3908,188,,3908,241,,3908,260,,3908,131,,3908,243,,3911,244,,3908,97,,3908,261,,3908,262,,3908,263,,3908,264,,3910,247,,3910,248,
12,2,Cata Elf Female,3908,239,,3911,188,,3908,240,,3908,188,,3908,241,,3908,260,,3908,131,,3908,243,,3911,244,,3908,97,,3908,261,,3908,262,,3908,263,,3908,264,,3910,247,,3910,248,
12,3,Cata Elf Female,3796,239,,3799,188,,3796,240,,3796,188,,3796,241,,3796,260,,3796,131,,3796,243,,3799,244,,3796,97,,3796,261,,3796,262,,3796,263,,3796,264,,3798,247,,3798,248,
12,4,Cata Elf Female,3908,239,6264,3911,188,6264,3908,240,6264,3908,188,6264,3908,241,6264,3908,260,6264,3908,131,6264,3908,243,6264,3911,244,6264,3908,97,6264,3908,261,6264,3908,262,6264,3908,263,6264,3908,264,6264,3908,247,6264,3910,248,6264
13,1,Cata Highlander Male,3567,125,6474,3567,99,6474,3570,101,6474,3567,128,6474,3567,97,6474,3567,100,6474,3567,105,6474,3567,114,6474,3567,127,6474,3567,124,6474,3569,107,6474,3569,188,6474,3567,258,6474,3569,109,6474,3569,98,6474,3569,108,6474
13,2,Cata Highlander Male,3571,125,6483,3571,99,6483,3574,101,6483,3571,128,6483,3571,97,6483,3571,100,6483,3571,105,6483,3571,114,6483,3571,127,6483,3571,124,6483,3573,107,6483,3573,188,6483,3571,258,6483,3573,109,6483,3573,98,6483,3573,108,6483
13,3,Cata Highlander Male,3883,125,6483,3886,99,6483,3886,101,6483,3883,128,6483,3883,97,6483,3883,100,6483,3883,105,6483,3883,114,6483,3883,127,6483,3883,124,6483,3885,107,6483,3885,188,6483,3883,258,6483,3885,109,6483,3885,98,6483,3885,108,6483
13,4,Cata Highlander Male,3417,125,,3417,99,,3420,101,,3417,128,,3417,97,,3417,100,,3417,105,,3417,114,,3417,127,,3417,124,,3419,107,,3419,188,,3417,258,,3419,109,,3419,98,,3419,108,
13,5,Cata Highlander Male,3883,125,,3886,99,,3886,101,,3883,128,,3883,97,,3883,100,,3883,105,,3883,114,,3883,127,,3883,124,,3885,107,,3885,188,,3883,258,,3885,109,,3885,98,,3885,108,
13,6,Cata Highlander Male,3883,125,6483,3886,99,6483,3886,101,6483,3883,128,6483,3883,97,6483,3883,100,6483,3883,105,6483,3883,114,6483,3883,127,6483,3883,124,6483,3885,107,6483,3885,188,6483,3883,258,6483,3885,109,6483,3885,98,6483,3885,108,6483
13,7,Cata Highlander Male,3883,125,,3886,99,,3886,101,,3883,128,,3883,97,,3883,100,,3883,105,,3883,114,,3883,127,,3883,124,,3885,107,,3885,188,,3883,258,,3885,109,,3885,98,,3885,108,
13,8,Cata Highlander Male,3883,125,,3886,99,,3886,101,,3883,128,,3883,97,,3883,100,,3883,105,,3883,114,,3883,127,,3883,124,,3885,107,,3885,188,,3883,258,,3885,109,,3885,98,,3885,108,
14,1,Cata Highlander Female,3425,125,6265,3425,99,6265,3428,101,6265,3425,128,6265,3425,97,6265,3425,100,6265,3425,105,6265,3425,114,6265,3425,127,6265,3425,124,6265,3427,107,6265,3427,188,6265,3425,258,6265,3427,109,6265,3427,98,6265,3427,108,6265
14,2,Cata Highlander Female,3852,125,6359,3852,99,6359,3855,101,6359,3852,128,6359,3852,97,6359,3852,100,6359,3852,105,6359,3852,114,6359,3852,127,6359,3852,124,6359,3854,107,6359,3854,188,6359,3852,258,6359,3854,109,6359,3854,98,6359,3854,108,6359
14,3,Cata Highlander Female,3788,125,,3788,99,,3791,101,,3788,128,,3788,97,,3788,100,,3788,105,,3788,114,,3791,127,,3788,124,,3790,107,,3790,188,,3788,258,,3790,109,,3790,98,,3790,108,
14,4,Cata Highlander Female,3856,125,6478,3856,99,6478,3859,101,6478,3856,128,6478,3856,97,6478,3856,100,6478,3856,105,6478,3856,114,6478,3856,127,6478,3856,124,6478,3858,107,6478,3858,188,6478,3856,258,6478,3858,109,6478,3858,98,6478,3858,108,6478
15,1,Cata Norse Male,3420,102,,3417,188,,3417,104,,3417,99,,3417,103,,3420,101,,3417,97,,3417,100,,3417,105,,3418,110,,3419,107,,3419,188,,3419,106,,3419,109,,3419,108,,3419,98,
15,2,Cata Norse Male,3420,102,,3417,188,,3417,104,,3417,99,,3417,103,,3420,101,,3417,97,,3417,100,,3417,105,,3418,110,,3419,107,,3419,188,,3419,106,,3419,109,,3419,108,,3419,98,
15,3,Cata Norse Male,3420,102,,3417,188,,3417,104,,3417,99,,3417,103,,3420,101,,3417,97,,3417,100,,3417,105,,3418,110,,3419,107,,3419,188,,3419,106,,3419,109,,3419,108,,3419,98,
15,4,Cata Norse Male,3424,102,6482,3421,188,6482,3423,104,6482,3423,99,6482,3421,103,6482,3424,101,6482,3421,97,6482,3421,100,6482,3421,105,6482,3422,110,6482,3423,107,6482,3423,188,6482,3423,106,6482,3423,109,6482,3423,108,6482,3423,98,6482
16,1,Cata Norse Female,3428,102,6265,3425,188,6265,3425,104,6265,3425,99,6265,3425,103,6265,3428,101,6265,3425,97,6265,3425,100,6265,3425,105,6265,3426,110,6265,3427,107,6265,3427,188,6265,3427,106,6265,3427,109,6265,3427,108,6265,3427,98,6265
16,2,Cata Norse Female,3428,102,6265,3425,188,6265,3425,104,6265,3425,99,6265,3425,103,6265,3428,101,6265,3425,97,6265,3425,100,6265,3425,105,6265,3426,110,6265,3427,107,6265,3427,188,6265,3427,106,6265,3427,109,6265,3427,108,6265,3427,98,6265
16,3,Cata Norse Female,3436,102,6484,3433,188,6484,3433,104,6484,3433,99,6484,3433,103,6484,3436,101,6484,3433,97,6484,3433,100,6484,3433,105,6484,3434,110,6484,3435,107,6484,3435,188,6484,3435,106,6484,3435,109,6484,3435,108,6484,3435,98,6484
16,4,Cata Norse Female,3800,102,6475,3800,188,6475,3803,104,6475,3800,99,6475,3803,103,6475,3800,101,6475,3800,97,6475,3800,100,6475,3800,105,6475,3800,110,6475,3801,107,6475,3802,188,6475,3802,106,6475,3802,109,6475,3802,108,6475,3802,98,6475
17,1,Cata Lurikeen Male,3927,188,,3924,188,,3924,125,,3924,126,,3927,115,,3927,116,,3924,99,,3924,131,,3927,101,,3924,128,,3924,97,,3924,100,,3925,123,,3926,108,,3926,98,,3926,117,
17,2,Cata Lurikeen Male,3931,188,,3928,188,,3928,125,,3928,126,,3931,115,,3931,116,,3928,99,,3928,131,,3931,101,,3928,128,,3928,97,,3928,100,,3929,123,,3930,108,,3930,98,,3930,117,
17,3,Cata Lurikeen Male,3931,188,,3928,188,,3928,125,,3928,126,,3931,115,,3931,116,,3928,99,,3928,131,,3931,101,,3928,128,,3928,97,,3928,100,,3929,123,,3930,108,,3930,98,,3930,117,
17,4,Cata Lurikeen Male,3935,188,,3932,188,,3932,125,,3932,126,,3935,115,,3935,116,,3932,99,,3932,131,,3935,101,,3932,128,,3932,97,,3932,100,,3933,123,,3934,108,,3934,98,,3934,117,
17,5,Cata Lurikeen Male,3927,188,,3924,188,,3924,125,,3924,126,,3927,115,,3927,116,,3924,99,,3924,131,,3927,101,,3924,128,,3924,97,,3924,100,,3925,123,,3926,108,,3926,98,,3926,117,
17,6,Cata Lurikeen Male,3927,188,,3924,188,,3924,125,,3924,126,,3927,115,,3927,116,,3924,99,,3924,131,,3927,101,,3924,128,,3924,97,,3924,100,,3925,123,,3926,108,,3926,98,,3926,117,
17,7,Cata Lurikeen Male,3931,188,,3928,188,,3928,125,,3928,126,,3931,115,,3931,116,,3928,99,,3928,131,,3931,101,,3928,128,,3928,97,,3928,100,,3929,123,,3930,108,,3930,98,,3930,117,
17,8,Cata Lurikeen Male,3931,188,,3928,188,,3928,125,,3928,126,,3931,115,,3931,116,,3928,99,,3928,131,,3931,101,,3928,128,,3928,97,,3928,100,,3929,123,,3930,108,,3930,98,,3930,117,
18,1,Cata Lurikeen Female,3919,188,,3916,188,,3916,125,,3916,126,,3919,115,,3919,116,,3916,99,,3916,131,,3919,101,,3916,128,,3916,97,,3916,100,,3917,123,,3918,108,,3918,98,,3918,117,
18,2,Cata Lurikeen Female,3923,188,,3920,188,,3920,125,,3920,126,,3923,115,,3923,116,,3920,99,,3920,131,,3923,101,,3920,128,,3920,97,,3920,100,,3921,123,,3922,108,,3922,98,,3922,117,
18,3,Cata Lurikeen Female,3428,188,6265,3425,188,6265,3425,125,6265,3425,126,6265,3428,115,6265,3428,116,6265,3425,99,6265,3425,131,6265,3428,101,6265,3425,128,6265,3425,97,6265,3425,100,6265,3426,123,6265,3427,108,6265,3427,98,6265,3427,117,6265
18,4,Cata Lurikeen Female,3512,188,,3509,188,,3509,125,,3509,126,,3512,115,,3512,116,,3509,99,,3509,131,,3512,101,,3509,128,,3509,97,,3509,100,,3510,123,,3511,108,,3511,98,,3511,117,
19,1,Cata Kobold Male,3456,102,,3456,188,,3453,188,,3456,122,,3456,116,,3456,120,,3453,99,,3453,121,,3453,114,,3454,119,,3454,123,,3454,118,,3455,188,,3455,108,,3455,98,,3455,117,
19,2,Cata Kobold Male,3456,102,,3456,188,,3453,188,,3456,122,,3456,116,,3456,120,,3453,99,,3453,121,,3453,114,,3454,119,,3454,123,,3454,118,,3455,188,,3455,108,,3455,98,,3455,117,
19,3,Cata Kobold Male,3460,102,6493,3460,188,6493,3457,188,6493,3460,122,6493,3460,116,6493,3460,120,6493,3457,99,6493,3457,121,6493,3457,114,6493,3458,119,6493,3458,123,6493,3458,118,6493,3459,188,6493,3459,108,6493,3459,98,6493,3459,117,6493
19,4,Cata Kobold Male,3464,102,,3464,188,,3461,188,,3464,122,,3464,116,,3464,120,,3461,99,,3461,121,,3461,114,,3462,119,,3462,123,,3462,118,,3463,188,,3463,108,,3463,98,,3463,117,
20,1,Cata Kobold Female,3476,102,,3476,188,,3473,188,,3476,122,,3476,116,,3476,120,,3473,99,,3473,121,,3473,114,,3474,119,,3474,123,,3474,118,,3475,188,,3475,108,,3475,98,,3475,117,
20,2,Cata Kobold Female,3468,102,6495,3465,188,6495,3466,188,6495,3467,108,6495,3468,116,6495,3468,113,6495,3465,99,6495,3465,114,6495,3468,115,6495,3466,112,6495,3466,110,6495,3466,118,6495,3468,188,6495,3467,109,6495,3467,98,6495,3467,117,6495
20,3,Cata Kobold Female,3566,102,,3566,188,,3563,188,,3566,122,,3566,116,,3566,120,,3563,99,,3563,121,,3563,114,,3564,119,,3564,123,,3564,118,,3565,188,,3565,108,,3565,98,,3565,117,
20,4,Cata Kobold Female,3472,102,6494,3472,188,6494,3469,188,6494,3472,122,6494,3472,116,6494,3472,120,6494,3469,99,6494,3469,121,6494,3469,114,6494,3470,119,6494,3470,123,6494,3470,118,6494,3471,188,6494,3471,108,6494,3471,98,6494,3471,117,6494
21,1,Cata Dwarf Male,3480,188,6488,3477,188,6488,3477,125,6488,3477,126,6488,3480,101,6488,3477,97,6488,3477,100,6488,3477,105,6488,3477,127,6488,3477,124,6488,3478,110,6488,3479,107,6488,3479,188,6488,3479,106,6488,3479,109,6488,3479,98,6488
21,2,Cata Dwarf Male,3480,188,6488,3477,188,6488,3477,125,6488,3477,126,6488,3480,101,6488,3477,97,6488,3477,100,6488,3477,105,6488,3477,127,6488,3477,124,6488,3478,110,6488,3479,107,6488,3479,188,6488,3479,106,6488,3479,109,6488,3479,98,6488
21,3,Cata Dwarf Male,3484,188,6487,3481,188,6487,3481,125,6487,3481,126,6487,3484,101,6487,3481,97,6487,3481,100,6487,3481,105,6487,3481,127,6487,3481,124,6487,3482,110,6487,3483,107,6487,3483,188,6487,3483,106,6487,3483,109,6487,3483,98,6487
21,4,Cata Dwarf Male,3488,188,6486,3485,188,6486,3485,125,6486,3485,126,6486,3488,101,6486,3485,97,6486,3485,100,6486,3485,105,6486,3485,127,6486,3485,124,6486,3486,110,6486,3487,107,6486,3487,188,6486,3487,106,6486,3487,109,6486,3487,98,6486
21,5,Cata Dwarf Male,6263,188,6485,6260,188,6485,6260,125,6485,6260,126,6485,6263,101,6485,6260,97,6485,6260,100,6485,6260,105,6485,6260,127,6485,6260,124,6485,6261,110,6485,6262,107,6485,6262,188,6485,6262,106,6485,6262,109,6485,6262,98,6485
