ID,Text,Part,Expansion,Test,Archive,Double
160,Kobold Female Hair,kob_f_Hair02,4,1,10,1
161,Kobold Female Hair,kob_f_Hair03,4,1,8,1
162,Kobold Female Hair,kob_f_Hair04,4,1,9,1
163,Dwarf Male Head,dwa_m_Head01,4,1,15,
164,Dwarf Male Cloak,Cloak01_dwa_m,4,1,10,
165,Dwarf Male Cloak,Cloak02_dwa_m,4,1,12,
166,Dwarf Male Cloak,Cloak03_dwa_m,4,1,10,
167,Dwarf Male Hair,dwa_m_Hair01,4,1,15,1
168,Dwarf Male Hair,dwa_m_Hair02,4,1,15,1
169,Dwarf Male Hair,dwa_m_Hair03,4,1,16,1
170,Dwarf Male Hair,dwa_m_Hair04,4,1,16,1
171,Dwarf Female Head,dwa_f_Head01,4,1,8,
172,Dwarf Female Cloak,Cloak01_dwa_f,4,1,10,
173,Dwarf Female Cloak,Cloak02_dwa_f,4,1,12,
174,Dwarf Female Cloak,Cloak03_dwa_f,4,1,10,
175,Dwarf Female Hair,dwa_f_Hair01,4,1,10,1
176,Dwarf Female Hair,dwa_f_Hair02,4,1,9,1
177,Dwarf Female Hair,dwa_f_Hair03,4,1,8,1
178,Dwarf Female Hair,dwa_f_Hair04,4,1,8,1
179,Inconnu Male Head,inc_m_Head01,4,1,7,
180,Inconnu Male Cloak,Cloak01_inc_m,4,1,10,
181,Inconnu Male Cloak,Cloak02_inc_m,4,1,12,
182,Inconnu Male Cloak,Cloak03_inc_m,4,1,10,
183,Inconnu Male Hair,inc_m_Hair01,4,1,9,1
184,Inconnu Male Hair,inc_m_Hair02,4,1,7,1
185,Inconnu Male Hair,inc_m_Hair03,4,1,15,1
186,Inconnu Male Hair,inc_m_Hair04,4,1,15,1
187,Inconnu Female Head,inc_f_Head01,4,1,10,
188,Inconnu Female Cloak,Cloak01_inc_f,4,1,10,
189,Inconnu Female Cloak,Cloak02_inc_f,4,1,12,
190,Inconnu Female Cloak,Cloak03_inc_f,4,1,10,
191,Inconnu Female Hair,inc_f_Hair01,4,1,9,1
192,Inconnu Female Hair,inc_f_Hair02,4,1,9,1
193,Inconnu Female Hair,inc_f_Hair03,4,1,15,1
194,Inconnu Female Hair,inc_f_Hair04,4,1,9,1
195,Half Ogre Male Head,hal_m_Head01,4,1,7,
196,Half Ogre Male Cloak,Cloak01_hal_m,4,1,10,
197,Half Ogre Male Cloak,Cloak02_hal_m,4,1,12,
198,Half Ogre Male Cloak,Cloak03_hal_m,4,1,10,
199,Half Ogre Male Hair,hal_m_Hair01,4,1,15,1
200,Half Ogre Male Hair,hal_m_Hair02,4,1,15,1
201,Half Ogre Male Hair,hal_m_Hair03,4,1,15,1
202,Half Ogre Male Hair,hal_m_Hair04,4,1,7,1
203,Half Ogre Female Head,hal_f_Head01,4,1,15,
204,Half Ogre Female Cloak,Cloak01_hal_f,4,1,10,
205,Half Ogre Female Cloak,Cloak02_hal_f,4,1,12,
206,Half Ogre Female Cloak,Cloak03_hal_f,4,1,10,
207,Half Ogre Female Hair,hal_f_Hair01,4,1,7,1
208,Half Ogre Female Hair,hal_f_Hair02,4,1,10,1
209,Half Ogre Female Hair,hal_f_Hair03,4,1,9,0
210,Half Ogre Female Hair,hal_f_Hair04,4,1,10,1
211,Valkyn Male Head,val_m_Head01,4,1,8,
212,Valkyn Male Cloak,Cloak01_val_m,4,1,10,
213,Valkyn Male Cloak,Cloak02_val_m,4,1,10,
214,Valkyn Male Cloak,Cloak03_val_m,4,1,10,
215,Valkyn Male Hair,val_m_Hair01,4,1,15,1
216,Valkyn Male Hair,val_m_Hair02,4,1,15,1
217,Valkyn Male Hair,val_m_Hair03,4,1,15,1
218,Valkyn Male Hair,val_m_Hair04,4,1,9,1
219,Valkyn Female Head,val_f_Head01,4,1,15,
220,Valkyn Female Cloak,Cloak01_val_f,4,1,10,
221,Valkyn Female Cloak,Cloak02_val_f,4,1,12,
222,Valkyn Female Cloak,Cloak03_val_f,4,1,10,
223,Valkyn Female Hair,val_f_Hair01,4,1,9,1
224,Valkyn Female Hair,val_f_Hair02,4,1,8,1
225,Valkyn Female Hair,val_f_Hair03,4,1,14,0
226,Valkyn Female Hair,val_f_Hair04,4,1,10,1
227,Firbolg Male Head,fir_m_Head01,4,1,12,
228,Firbolg Male Cloak,Cloak01_fir_m,4,1,10,
229,Firbolg Male Cloak,Cloak02_fir_m,4,1,12,
230,Firbolg Male Cloak,Cloak03_fir_m,4,1,10,
231,Firbolg Male Hair,fir_m_Hair01,4,1,15,1
232,Firbolg Male Hair,fir_m_Hair02,4,1,15,1
233,Firbolg Male Hair,fir_m_Hair03,4,1,8,0
234,Firbolg Male Hair,fir_m_Hair04,4,1,15,1
235,Firbolg Female Head,fir_f_Head01,4,1,8,
236,Firbolg Female Cloak,Cloak01_fir_f,4,1,10,
237,Firbolg Female Cloak,Cloak02_fir_f,4,1,12,
238,Firbolg Female Cloak,Cloak03_fir_f,4,1,11,
239,Firbolg Female Hair,fir_f_Hair01,4,1,9,0
240,Firbolg Female Hair,fir_f_Hair02,4,1,9,1
241,Firbolg Female Hair,fir_f_Hair03,4,1,10,0
242,Firbolg Female Hair,fir_f_Hair04,4,1,9,0
243,Troll Male Head,tro_m_Head01,4,1,9,
244,Troll Male Cloak,Cloak01_tro_m,4,1,10,
245,Troll Male Cloak,Cloak02_tro_m,4,1,12,
246,Troll Male Cloak,Cloak03_tro_m,4,1,10,
251,Troll Female Head,tro_f_Head01,4,1,9,1
252,Troll Female Cloak,Cloak01_tro_f,4,1,10,1
253,Troll Female Cloak,Cloak02_tro_f,4,1,10,1
254,Troll Female Cloak,Cloak03_tro_f,4,1,10,1
260,Celt Male Cloak,Cloak01_cel_m,4,1,12,
261,Celt Male Cloak,Cloak02_cel_m,4,1,12,
262,Celt Male Cloak,Cloak03_cel_m,4,1,12,
263,Celt Male Hair,cel_m_Hair01,4,1,14,1
264,Celt Male Hair,cel_m_Hair02,4,1,15,1
265,Celt Male Hair,cel_m_Hair03,4,1,15,1
266,Celt Male Hair,cel_m_Hair04,4,1,15,0
268,Celt Female Cloak,Cloak01_cel_f,4,1,12,
269,Celt Female Cloak,Cloak02_cel_f,4,1,12,
270,Celt Female Cloak,Cloak03_cel_f,4,1,12,
271,Celt Female Hair,cel_f_Hair01,4,1,9,1
272,Celt Female Hair,cel_f_Hair02,4,1,9,0
273,Celt Female Hair,cel_f_Hair03,4,1,11,1
274,Celt Female Hair,cel_f_Hair04,4,1,9,1
275,Sylvan Male Head,syl_m_Head01,4,1,8,
276,Sylvan Male Cloak,Cloak01_syl_m,4,1,14,
277,Sylvan Male Cloak,Cloak02_syl_m,4,1,14,
278,Sylvan Male Cloak,Cloak03_syl_m,4,1,10,
279,Sylvan Male Hair,syl_m_Hair01,4,1,8,1
280,Sylvan Male Hair,syl_m_Hair02,4,1,15,1
281,Sylvan Male Hair,syl_m_Hair03,4,1,15,1
282,Sylvan Male Hair,syl_m_Hair04,4,1,15,1
283,Sylvan Female Head,syl_f_Head01,4,1,8,
284,Sylvan Female Cloak,Cloak01_syl_f,4,1,10,
285,Sylvan Female Cloak,Cloak02_syl_f,4,1,12,
286,Sylvan Female Cloak,Cloak03_syl_f,4,1,10,
287,Sylvan Female Hair,syl_f_Hair01,4,1,15,1
288,Sylvan Female Hair,syl_f_Hair02,4,1,9,1
289,Sylvan Female Hair,syl_f_Hair03,4,1,9,1
290,Sylvan Female Hair,syl_f_Hair04,4,1,15,1
291,BritCelt Male Body,Body01_BC_m,4,1,2,
292,BritCelt Male Body,Body02_BC_m,4,1,2,
293,BritCelt Male Body,Body03_BC_m,4,1,2,
294,BritCelt Male Body,Body04_BC_m,4,1,2,
295,BritCelt Male Body,Body05_BC_m,4,1,3,
296,BritCelt Male Body,Body06_BC_m,4,1,3,
297,BritCelt Male Body,Body07_BC_m,4,1,3,
298,BritCelt Male Body,Body08_BC_m,4,1,3,
299,BritCelt Male Legs,Legs01_BC_m,4,1,4,
300,BritCelt Male Boots,Boots01_BC_m,4,1,1,
301,BritCelt Male Boots,Boots02_BC_m,4,1,1,
302,BritCelt Male Boots,Boots03_BC_m,4,1,1,
303,BritCelt Male Boots,Boots04_BC_m,4,1,1,
304,BritCelt Male Boots,Boots05_BC_m,4,1,1,
305,BritCelt Male Boots,Boots06_BC_m,4,1,1,
306,BritCelt Male Arms,Arms01_BC_m,4,1,1,
307,BritCelt Male Gloves,Gloves01_BC_m,4,1,5,
308,BritCelt Male Gloves,Gloves02_BC_m,4,1,5,
309,BritCelt Male Gloves,Gloves03_BC_m,4,1,5,
310,BritCelt Male Gloves,Gloves04_BC_m,4,1,5,
311,BritCelt Male Gloves,Gloves05_BC_m,4,1,6,
312,BritCelt Male Gloves,Gloves06_BC_m,4,1,6,
313,BritCelt Female Body,Body01_BC_f,4,1,2,
314,BritCelt Female Body,Body02_BC_f,4,1,2,
315,BritCelt Female Body,Body03_BC_f,4,1,2,
316,BritCelt Female Body,Body04_BC_f,4,1,2,
317,BritCelt Female Body,Body05_BC_f,4,1,3,
318,BritCelt Female Body,Body06_BC_f,4,1,3,
319,BritCelt Female Body,Body07_BC_f,4,1,3,
320,BritCelt Female Body,Body08_BC_f,4,1,3,
321,BritCelt Female Legs,Legs01_BC_f,4,1,4,
322,BritCelt Female Boots,Boots01_BC_f,4,1,1,
323,BritCelt Female Boots,Boots02_BC_f,4,1,1,
324,BritCelt Female Boots,Boots03_BC_f,4,1,1,
325,BritCelt Female Boots,Boots04_BC_f,4,1,1,
326,BritCelt Female Boots,Boots05_BC_f,4,1,1,
327,BritCelt Female Boots,Boots06_BC_f,4,1,1,
328,BritCelt Female Arms,Arms01_BC_f,4,1,1,
329,BritCelt Female Gloves,Gloves01_BC_f,4,1,5,
330,BritCelt Female Gloves,Gloves02_BC_f,4,1,5,
331,BritCelt Female Gloves,Gloves03_BC_f,4,1,5,
332,BritCelt Female Gloves,Gloves04_BC_f,4,1,5,
333,BritCelt Female Gloves,Gloves05_BC_f,4,1,6,
334,BritCelt Female Gloves,Gloves06_BC_f,4,1,6,
335,Saracen/Frostalf/Shar Male Body,Body01_SFS_m,4,1,2,
336,Saracen/Frostalf/Shar Male Body,Body02_SFS_m,4,1,2,
337,Saracen/Frostalf/Shar Male Body,Body03_SFS_m,4,1,2,
338,Saracen/Frostalf/Shar Male Body,Body04_SFS_m,4,1,2,
339,Saracen/Frostalf/Shar Male Body,Body05_SFS_m,4,1,3,
340,Saracen/Frostalf/Shar Male Body,Body06_SFS_m,4,1,3,
341,Saracen/Frostalf/Shar Male Body,Body07_SFS_m,4,1,3,
342,Saracen/Frostalf/Shar Male Body,Body08_SFS_m,4,1,3,
343,Saracen/Frostalf/Shar Male Legs,Legs01_SFS_m,4,1,4,
344,Saracen/Frostalf/Shar Male Boots,Boots01_SFS_m,4,1,1,
345,Saracen/Frostalf/Shar Male Boots,Boots02_SFS_m,4,1,1,
346,Saracen/Frostalf/Shar Male Boots,Boots03_SFS_m,4,1,1,
347,Saracen/Frostalf/Shar Male Boots,Boots04_SFS_m,4,1,1,
348,Saracen/Frostalf/Shar Male Boots,Boots05_SFS_m,4,1,1,
349,Saracen/Frostalf/Shar Male Boots,Boots06_SFS_m,4,1,1,
350,Saracen/Frostalf/Shar Male Arms,Arms01_SFS_m,4,1,1,
351,Saracen/Frostalf/Shar Male Gloves,Gloves01_SFS_m,4,1,5,
352,Saracen/Frostalf/Shar Male Gloves,Gloves02_SFS_m,4,1,5,
353,Saracen/Frostalf/Shar Male Gloves,Gloves03_SFS_m,4,1,5,
354,Saracen/Frostalf/Shar Male Gloves,Gloves04_SFS_m,4,1,5,
355,Saracen/Frostalf/Shar Male Gloves,Gloves05_SFS_m,4,1,6,
356,Saracen/Frostalf/Shar Male Gloves,Gloves06_SFS_m,4,1,6,
357,Saracen/Frostalf/Shar Female Body,Body01_SFS_f,4,1,2,
358,Saracen/Frostalf/Shar Female Body,Body02_SFS_f,4,1,2,
359,Saracen/Frostalf/Shar Female Body,Body03_SFS_f,4,1,2,
360,Saracen/Frostalf/Shar Female Body,Body04_SFS_f,4,1,2,
361,Saracen/Frostalf/Shar Female Body,Body05_SFS_f,4,1,3,
362,Saracen/Frostalf/Shar Female Body,Body06_SFS_f,4,1,3,
363,Saracen/Frostalf/Shar Female Body,Body07_SFS_f,4,1,3,
364,Saracen/Frostalf/Shar Female Body,Body08_SFS_f,4,1,3,
365,Saracen/Frostalf/Shar Female Legs,Legs01_SFS_f,4,1,4,
366,Saracen/Frostalf/Shar Female Boots,Boots01_SFS_f,4,1,1,
367,Saracen/Frostalf/Shar Female Boots,Boots02_SFS_f,4,1,1,
368,Saracen/Frostalf/Shar Female Boots,Boots03_SFS_f,4,1,1,
369,Saracen/Frostalf/Shar Female Boots,Boots04_SFS_f,4,1,1,
370,Saracen/Frostalf/Shar Female Boots,Boots05_SFS_f,4,1,1,
371,Saracen/Frostalf/Shar Female Boots,Boots06_SFS_f,4,1,1,
372,Saracen/Frostalf/Shar Female Arms,Arms01_SFS_f,4,1,1,
373,Saracen/Frostalf/Shar Female Gloves,Gloves01_SFS_f,4,1,5,
374,Saracen/Frostalf/Shar Female Gloves,Gloves02_SFS_f,4,1,5,
375,Saracen/Frostalf/Shar Female Gloves,Gloves03_SFS_f,4,1,5,
376,Saracen/Frostalf/Shar Female Gloves,Gloves04_SFS_f,4,1,5,
377,Saracen/Frostalf/Shar Female Gloves,Gloves05_SFS_f,4,1,6,
378,Saracen/Frostalf/Shar Female Gloves,Gloves06_SFS_f,4,1,6,
379,Saracen/Frostalf/Shar Male Body,Body01_SFS_m,4,1,2,
380,Saracen/Frostalf/Shar Male Body,Body02_SFS_m,4,1,2,
381,Saracen/Frostalf/Shar Male Body,Body03_SFS_m,4,1,2,
382,Saracen/Frostalf/Shar Male Body,Body04_SFS_m,4,1,2,
383,Saracen/Frostalf/Shar Male Body,Body05_SFS_m,4,1,3,
384,Saracen/Frostalf/Shar Male Body,Body06_SFS_m,4,1,3,
385,Saracen/Frostalf/Shar Male Body,Body07_SFS_m,4,1,3,
386,Saracen/Frostalf/Shar Male Body,Body08_SFS_m,4,1,3,
387,Saracen/Frostalf/Shar Male Legs,Legs01_SFS_m,4,1,4,
388,Saracen/Frostalf/Shar Male Boots,Boots01_SFS_m,4,1,1,
389,Saracen/Frostalf/Shar Male Boots,Boots02_SFS_m,4,1,1,
390,Saracen/Frostalf/Shar Male Boots,Boots03_SFS_m,4,1,1,
391,Saracen/Frostalf/Shar Male Boots,Boots04_SFS_m,4,1,1,
392,Saracen/Frostalf/Shar Male Boots,Boots05_SFS_m,4,1,1,
393,Saracen/Frostalf/Shar Male Boots,Boots06_SFS_m,4,1,1,
394,Saracen/Frostalf/Shar Male Arms,Arms01_SFS_m,4,1,1,
395,Saracen/Frostalf/Shar Male Gloves,Gloves01_SFS_m,4,1,5,
396,Saracen/Frostalf/Shar Male Gloves,Gloves02_SFS_m,4,1,5,
397,Saracen/Frostalf/Shar Male Gloves,Gloves03_SFS_m,4,1,5,
398,Saracen/Frostalf/Shar Male Gloves,Gloves04_SFS_m,4,1,5,
399,Saracen/Frostalf/Shar Male Gloves,Gloves05_SFS_m,4,1,6,
400,Saracen/Frostalf/Shar Male Gloves,Gloves06_SFS_m,4,1,6,
401,Saracen/Frostalf/Shar Female Body,Body01_SFS_f,4,1,2,
402,Saracen/Frostalf/Shar Female Body,Body02_SFS_f,4,1,2,
403,Saracen/Frostalf/Shar Female Body,Body03_SFS_f,4,1,2,
404,Saracen/Frostalf/Shar Female Body,Body04_SFS_f,4,1,2,
405,Saracen/Frostalf/Shar Female Body,Body05_SFS_f,4,1,3,
406,Saracen/Frostalf/Shar Female Body,Body06_SFS_f,4,1,3,
407,Saracen/Frostalf/Shar Female Body,Body07_SFS_f,4,1,3,
408,Saracen/Frostalf/Shar Female Body,Body08_SFS_f,4,1,3,
409,Saracen/Frostalf/Shar Female Legs,Legs01_SFS_f,4,1,4,
410,Saracen/Frostalf/Shar Female Boots,Boots01_SFS_f,4,1,1,
411,Saracen/Frostalf/Shar Female Boots,Boots02_SFS_f,4,1,1,
412,Saracen/Frostalf/Shar Female Boots,Boots03_SFS_f,4,1,1,
413,Saracen/Frostalf/Shar Female Boots,Boots04_SFS_f,4,1,1,
414,Saracen/Frostalf/Shar Female Boots,Boots05_SFS_f,4,1,1,
415,Saracen/Frostalf/Shar Female Boots,Boots06_SFS_f,4,1,1,
416,Saracen/Frostalf/Shar Female Arms,Arms01_SFS_f,4,1,1,
417,Saracen/Frostalf/Shar Female Gloves,Gloves01_SFS_f,4,1,5,
418,Saracen/Frostalf/Shar Female Gloves,Gloves02_SFS_f,4,1,5,
419,Saracen/Frostalf/Shar Female Gloves,Gloves03_SFS_f,4,1,5,
420,Saracen/Frostalf/Shar Female Gloves,Gloves04_SFS_f,4,1,5,
421,Saracen/Frostalf/Shar Female Gloves,Gloves05_SFS_f,4,1,6,
422,Saracen/Frostalf/Shar Female Gloves,Gloves06_SFS_f,4,1,6,
423,Saracen/Frostalf/Shar Male Body,Body01_SFS_m,4,1,2,
424,Saracen/Frostalf/Shar Male Body,Body02_SFS_m,4,1,2,
425,Saracen/Frostalf/Shar Male Body,Body03_SFS_m,4,1,2,
426,Saracen/Frostalf/Shar Male Body,Body04_SFS_m,4,1,2,
427,Saracen/Frostalf/Shar Male Body,Body05_SFS_m,4,1,3,
428,Saracen/Frostalf/Shar Male Body,Body06_SFS_m,4,1,3,
429,Saracen/Frostalf/Shar Male Body,Body07_SFS_m,4,1,3,
430,Saracen/Frostalf/Shar Male Body,Body08_SFS_m,4,1,3,
431,Saracen/Frostalf/Shar Male Legs,Legs01_SFS_m,4,1,4,
432,Saracen/Frostalf/Shar Male Boots,Boots01_SFS_m,4,1,1,
433,Saracen/Frostalf/Shar Male Boots,Boots02_SFS_m,4,1,1,
434,Saracen/Frostalf/Shar Male Boots,Boots03_SFS_m,4,1,1,
435,Saracen/Frostalf/Shar Male Boots,Boots04_SFS_m,4,1,1,
436,Saracen/Frostalf/Shar Male Boots,Boots05_SFS_m,4,1,1,
437,Saracen/Frostalf/Shar Male Boots,Boots06_SFS_m,4,1,1,
