87,--DARKNESS FALLS--,0,0,0,0,0,0,0
88,DFAlb,249,23478,19716,22893,0,0,0
89,DFBoss,249,28533,7790,16100,0,0,0
90,DFCenter,249,26248,23698,15850,0,0,0
91,DFHib,249,38193,32106,21357,0,0,0
92,DFHibBoss,249,16586,23883,16100,0,0,0
93,DFLord,249,36937,43426,15500,0,0,0
94,DFMid,249,10392,10695,22892,0,0,0
95,DFMidBoss,249,17508,9701,17700,0,0,0
96,DFPurgatory,249,39357,41453,20833,0,0,0
97,DFTest,249,39299,42156,25010,0,0,0
98,--RVR--,0,0,0,0,0,0,0
99,--RVR ALBION--,0,0,0,0,0,0,0
100,APower,12,7484,6398,6832,3655,0,0
101,AStrength,11,36352,12061,5664,1,0,0
102,MidPKAlb,15,57161,6268,4859,212,0,0
103,HibPKAlb,15,7386,7280,4824,117,0,0
104,Hurbury,12,47380,33908,4960,3565,0,0
105,Renaris,11,15011,12319,4640,17,0,0
106,Boldiam,14,58849,54764,6520,3,0,0
107,Berkstead,14,19027,37976,5848,2161,0,0
108,Sursbrooke,14,17470,13586,5848,153,0,0
109,Erasleigh,14,55279,17986,6136,3,0,0
110,Benowyc,15,54968,59574,6280,1084,0,0
111,--RVR MIDGARD--,0,0,0,0,0,0,0
112,MPower,112,22271,38740,6912,2995,0,0
113,MStrength,111,50553,20924,6992,488,0,0
114,AlbPKMid,115,6515,57742,5968,31,0,0
115,HibPKMid,115,6028,8379,6008,119,0,0
116,Arvakr,112,42898,9012,6904,504,0,0
117,Fensalir,111,18422,50199,7024,1479,0,0
118,Blendrake,113,46144,22950,4416,4089,0,0
119,Glenlock,113,51680,50768,5184,2052,0,0
120,Hlidskialf,113,23816,48315,5712,2102,0,0
121,Nottmoor,113,21533,21612,5184,59,0,0
122,Bledmeer,115,58759,10866,7432,4091,0,0
123,--RVR HIBERNIA--,0,0,0,0,0,0,0
124,HStrength,211,29065,20258,4880,2053,0,0
125,HPower,210,16186,47299,2888,2597,0,0
126,AlbPKHib,214,57890,57020,4080,312,0,0
127,MidPKHib,214,56311,8114,3845,207,0,0
128,Scathaig,210,30163,24919,2888,1537,0,0
129,Ailinne,211,49858,43591,4624,2056,0,0
130,Bolg,212,18148,15036,4792,2,0,0
131,nGed,212,12528,47265,4328,3067,0,0
132,Behnn,212,47231,51577,4952,1046,0,0
133,Crimthainm,212,52183,16009,4088,1085,0,0
134,Crauchon,214,8484,31836,4728,3081,0,0
135,--RVR BATTLEGROUNDS--,0,0,0,0,0,0,0
136,BG1,234,32796,30018,7781,0,0,0
137,BG5,235,32427,34778,7808,0,0,0
138,BG10,236,32557,34869,8270,0,0,0
139,BG15,237,32859,34707,8768,0,0,0
140,BG20,238,25710,31716,4344,0,0,0
141,BG25,239,30131,33277,7272,0,0,0
142,BG30,240,29081,30767,6971,0,0,0
143,BG35,241,33478,29923,5896,0,0,0
144,BG40,254,30093,35366,10392,0,0,0
145,BG45,165,24998,29429,3318,105,,
146,BG50,250,23727,31226,3730,80,,
147,TestBG,242,31578,35192,11568,0,0,0
148,--TOA--,0,0,0,0,0,0,0
149,Aerus,86,5345,457,8168,135,43,143
150,AerusCity,90,33851,30369,10342,0,47,147
151,AerusHaven,76,53958,57942,8120,168,33,133
152,AlbAtlantis,70,41815,11321,5983,134,0,0
153,Ammut,83,36114,28464,15562,90,40,140
154,Celestius,91,23695,23624,15844,0,,
155,Cetus,78,22138,28144,17005,23,35,135
156,Chimera,85,24231,36649,10654,0,42,142
157,Fountain,83,23946,20711,15574,270,40,140
158,HespHaven,73,11859,18664,8344,29,30,130
159,HibAtlantis,72,35453,45714,6147,261,0,0
160,Lavabridge,89,23805,19275,15662,0,46,146
161,Manticore,88,23808,24369,16000,180,45,145
162,Medusa,80,60674,18128,18397,0,37,137
163,Mesothalassa,74,32096,36122,8511,54,31,131
164,MidAtlantis,71,31382,44338,6011,97,0,0
165,Necropolis,83,24493,22246,15974,180,40,140
166,Oceanus,73,11545,10264,8727,243,30,130
167,Phoenix,90,26693,29253,19062,0,47,147
168,Sobekite,79,16312,34919,7463,358,36,136
169,Sobekite2,79,24579,15988,16489,180,36,136
170,Sobekite3,79,31372,13453,13675,85,36,136
171,Sobekite4,79,19155,23769,15979,178,36,136
172,Sobekite5,79,23815,3283,17513,180,36,136
173,StygiaHaven,81,38684,60657,8112,342,38,138
174,Twilight,80,20739,19466,17159,178,37,137
175,Typhon,89,38323,13931,14866,90,46,146
176,Volcanus,89,23808,32529,16445,0,46,146
177,VolcHaven,77,54466,30225,8495,8,34,134
178,--OTHER--,0,0,0,0,0,0,0
179,AlbAbmines,227,24500,24300,19230,0,0,0
180,AlbChap1Dungeon,348,11132,17235,24328,112,,0
181,AlbChap1Keep,330,44570,30573,4682,183,,0
182,AlbChap1Rebel,330,30265,28389,4542,210,,0
183,AlbChap2Dungeon,336,25950,30197,14693,186,,0
184,AlbChap3Dungeon,339,24588,26666,16512,267,,0
185,AlbDarkspire,69,23852,23651,18980,0,0,0
186,AlbForge,59,25647,23803,16000,270,0,0
187,AlbFrontlines,109,22280,12700,15840,180,0,0
188,AlbLaunch,498,23854,24777,16199,0,0,0
189,AlbOtherWorld,196,29015,29319,15875,0,0,0
190,AlbThrone,394,24135,24187,15901,180,,0
191,AlbTutorial,27,30108,35777,5369,270,0,0
192,AlbUnderForest,66,24440,24280,16164,0,0,0
193,AlltaCoill,29,56465,30465,5392,292,,0
194,Aqueducts,63,20920,12118,16934,0,0,0
195,Breach1,489,19289,31973,14463,2,,0
196,Breach2,489,18892,32175,26326,2,,0
197,BurialGrounds,229,19506,22875,17024,0,0,0
198,Chap3Azazel,347,6171,50535,26192,39,,0
199,Deadlands,67,33013,9942,15896,270,0,0
200,Demo,230,32342,31440,12516,0,0,0
201,Finnen,27,56465,30465,5392,292,,0
202,Fintain,29,29385,26495,5024,356,,0
203,Frontlines,148,17425,18140,15930,0,0,0
204,Hafheim,28,29385,26495,5024,356,,0
205,Halgost,28,56465,30465,5392,292,,0
206,HibAbmines,228,24500,24300,19230,0,0,0
207,HibChap1Dungeon,352,17124,18202,16056,93,,0
208,HibChap1Keep,335,45118,31579,4672,212,,0
209,HibChap1Rebel,335,30265,28389,4369,210,,0
210,HibChap2Dungeon,338,23124,23548,15671,87,,0
211,HibChap3Dungeon,341,16363,35323,16000,178,,0
212,HibDarkspire,98,23852,23651,18980,0,0,0
213,HibDeadlands,97,20587,5107,15914,270,0,0
214,HibForge,99,25647,23803,16000,270,0,0
215,HibFrontlines,95,19994,13632,15997,0,0,0
216,HibLaunch,499,24016,23935,16210,0,0,
217,HibThrone,395,24134,24274,15715,175,,
218,HibTutorial,29,30108,35777,5369,270,0,
219,HibUnderForest,96,34010,20680,16177,0,0,
220,Holtham,27,29385,26495,5024,356,,
221,InconnuCrypt,65,24678,26061,16400,0,0,
222,KoboldCity,243,23429,27205,19437,10,0,
223,LabAlbCave,192,26470,22855,15910,274,,
224,LabAlbEnt,245,57087,34820,30249,315,,
225,LabAlbTower1,391,21145,22910,15591,90,,
226,LabAlbTower2,391,21859,29478,15361,90,,
227,LabClockwork,245,33197,31025,29481,226,,
228,LabFlooded,245,40319,23915,26921,50,,
229,LabHibCave,194,26400,22847,15910,270,,
230,LabHibEnt,245,22238,11684,30235,135,,
231,LabHibTower1,399,21284,22907,15591,90,,
232,LabHibTower2,399,22773,29498,15131,90,,
233,LabMidCave,193,26465,22887,15910,269,,
234,LabMidEnt,245,58139,5860,30241,224,,
235,LabMidTower1,398,21172,22913,15591,90,,
236,LabMidTower2,398,22574,29491,15131,90,,
237,Labyrinth,245,42684,20681,28560,,,
238,LowerCrypt,68,24500,24500,16214,0,0,
239,MidAbmines,226,24500,24300,19230,0,0,
240,MidChap1Dungeon,351,25326,22401,24326,85,,
241,MidChap1Keep,334,44045,30823,5472,173,,
242,MidChap1Rebel,334,30364,28537,4383,200,,
243,MidChap2Dungeon,337,37125,31721,16695,89,,
244,MidChap3Dungeon,340,35886,15649,17069,205,,
245,MidDarkspire,188,23852,23651,18980,0,0,
246,MidDeadlands,162,26192,24016,16050,270,0,
247,MidForge,189,25647,23803,16000,270,0,
248,MidLaunch,497,24810,26075,16253,0,0,
249,Midotherworld,195,29292,29336,15892,0,0,
250,MidThrone,360,24141,24018,15738,175,,
251,MidTutorial,28,30108,35777,5369,270,0,
252,MidUnderForest,58,27973,22877,16178,0,0,
253,NewAvalon,27,7531,14983,5192,81,,
254,Nyttheim,149,18269,21284,15874,0,0,
255,OtherWorld,197,38505,24563,15875,70,0,
256,QueensLab,94,26666,15227,20267,180,0,
257,Ryley,29,7531,14983,5192,81,,
258,SharLab,93,18077,19067,17609,0,0,
259,TheVeil,92,50269,20561,11277,0,0,
260,Ulvastad,28,7499,14753,5200,106,,
